Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,149,255,242.485,15.738,5320,77,242,192.627,33.601,5320,77,245,192.886,33.896
G2,5320,86,255,224.596,43.111,5320,86,252,208.614,35.783,5320,126,253,218.950,21.715
G3,5320,4,255,188.029,66.710,5320,4,249,187.622,66.393,5320,124,255,228.102,24.121
G4,5320,160,254,212.178,14.235,5320,160,251,211.907,13.901,5320,196,255,243.916,14.193
G5,5320,95,205,173.737,18.562,5320,95,205,173.737,18.562,5320,171,255,237.298,17.415
G6,5320,0,185,24.065,39.940,5320,0,185,24.065,39.940,5320,74,255,189.116,43.006
G7,5320,0,199,132.601,52.301,5320,0,199,132.601,52.301,5320,84,255,183.588,30.443
G8,5320,66,204,141.519,38.326,5320,66,204,141.519,38.326,5320,85,255,179.374,46.432
G9,5320,82,205,151.636,35.820,5320,82,205,151.636,35.820,5320,159,255,221.152,27.677
G10,5320,79,188,120.046,19.188,5320,79,188,120.046,19.188,5320,155,255,223.914,16.962
G11,5320,37,191,123.872,28.529,5320,37,191,123.872,28.529,5320,109,255,231.651,29.778
G12,5320,96,192,157.928,19.413,5320,96,192,157.928,19.413,5320,121,255,222.708,28.794
G13,5320,84,214,162.071,29.229,5320,84,214,162.071,29.229,5320,115,254,199.795,31.641
G14,5320,66,232,155.118,43.913,5320,66,232,155.118,43.913,5320,118,255,211.134,35.445
G15,5320,90,218,140.082,29.286,5320,90,218,138.849,27.923,5320,121,250,204.340,25.014
G16,5320,83,250,203.111,30.512,5320,66,246,192.036,34.283,5320,66,255,197.573,38.239
G17,5320,56,240,146.378,48.272,5320,56,240,146.378,48.272,5320,132,255,222.111,32.901
G18,5320,83,248,186.384,39.267,5320,83,248,186.183,39.308,5320,96,255,203.430,39.807
G19,5320,142,255,236.739,21.552,5320,142,253,229.479,21.986,5320,145,255,236.833,22.713
G20,5320,163,255,244.964,12.409,5320,89,241,160.404,34.095,5320,89,246,160.585,34.404
G21,5320,44,255,195.603,50.592,5320,28,148,96.989,26.104,5320,28,148,96.989,26.104
G22,5320,54,255,198.809,54.994,5320,36,143,103.732,28.394,5320,36,143,103.732,28.394
G23,5320,73,255,221.533,38.513,5320,64,249,168.552,31.800,5320,64,255,169.018,32.237
G24,5320,86,255,205.572,36.786,5320,69,249,185.053,40.859,5320,69,255,187.439,43.075
G25,5320,65,255,192.672,53.277,5320,31,197,105.117,35.872,5320,31,197,105.117,35.872
G26,5320,140,255,216.328,27.812,5320,47,133,83.904,15.142,5320,47,133,83.904,15.142
G27,5320,172,255,234.385,18.801,5320,0,157,62.300,46.613,5320,0,157,62.300,46.613
G28,5320,66,255,214.296,38.335,5320,0,129,5.650,15.336,5320,0,131,5.660,15.395
G29,5320,93,255,204.343,32.233,5320,8,162,89.988,39.980,5320,8,162,89.988,39.980
G30,5320,74,255,188.034,45.293,5320,29,171,94.968,34.325,5320,29,171,94.968,34.325
G31,5320,86,255,189.262,36.236,5320,29,130,68.615,19.292,5320,29,130,68.615,19.292
G32,5320,51,255,177.698,45.804,5320,0,147,73.227,33.532,5320,0,147,73.227,33.532
G33,5320,53,255,203.273,50.698,5320,0,208,111.224,61.360,5320,0,210,111.260,61.395
G34,5320,166,255,217.926,21.605,5320,138,251,214.927,19.245,5320,141,255,247.866,13.617
G35,5320,157,255,229.088,19.960,5320,83,240,195.782,34.430,5320,83,255,202.373,40.079
G36,5320,160,255,217.861,18.520,5320,77,240,191.873,35.264,5320,77,255,205.739,44.990
G37,5320,149,255,223.858,20.339,5320,96,234,198.053,30.035,5320,96,255,203.548,33.797
G38,5320,138,255,229.940,19.170,5320,104,212,169.817,22.410,5320,104,212,169.817,22.410
G39,5320,32,255,168.627,50.150,5320,28,247,140.025,48.397,5320,28,253,142.570,51.074
G40,5320,184,229,211.622,10.459,5320,184,229,211.622,10.459,5320,223,255,246.839,7.239
G41,5320,110,248,205.787,31.293,5320,110,243,203.354,29.807,5320,121,255,216.728,30.870
G42,5320,86,255,223.232,39.942,5320,80,253,200.604,37.171,5320,80,254,200.740,37.321
G43,5320,125,230,194.183,20.479,5320,125,230,194.108,20.435,5320,132,255,228.289,25.108
G44,5320,87,255,199.103,35.038,5320,59,248,167.364,49.100,5320,59,255,170.884,53.532
G45,5320,37,247,171.844,43.263,5320,37,244,168.414,44.788,5320,41,255,200.415,57.051
G46,5320,0,250,68.258,59.726,5320,0,242,68.148,59.415,5320,116,255,239.841,24.658
