Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,170,255,241.606,14.512,5320,92,252,201.612,36.527,5320,92,255,202.400,37.164
G2,5320,46,255,214.343,58.830,5320,46,252,207.378,54.672,5320,82,255,221.502,39.316
G3,5320,37,253,184.817,58.741,5320,37,252,184.795,58.721,5320,126,255,230.500,28.281
G4,5320,86,248,187.453,33.639,5320,86,248,187.449,33.633,5320,195,255,243.757,11.232
G5,5320,84,188,151.496,18.444,5320,84,188,151.496,18.444,5320,160,255,229.262,15.047
G6,5320,0,225,55.515,59.954,5320,0,225,55.515,59.954,5320,43,255,190.184,41.350
G7,5320,32,223,141.687,47.786,5320,32,223,141.687,47.786,5320,48,255,186.731,46.122
G8,5320,27,182,77.958,30.209,5320,27,182,77.958,30.209,5320,76,255,177.232,53.651
G9,5320,21,134,95.644,27.639,5320,21,134,95.644,27.639,5320,59,255,205.669,49.322
G10,5320,25,179,97.562,36.766,5320,25,179,97.562,36.766,5320,59,255,196.978,59.587
G11,5320,0,225,117.097,51.799,5320,0,225,117.097,51.799,5320,98,255,234.175,29.514
G12,5320,114,223,171.493,22.728,5320,114,223,171.493,22.728,5320,196,255,248.439,9.602
G13,5320,31,191,115.469,37.576,5320,31,191,115.469,37.576,5320,73,255,180.738,42.331
G14,5320,29,196,126.463,47.539,5320,29,196,126.463,47.539,5320,50,222,163.144,42.998
G15,5320,30,254,119.943,59.769,5320,30,251,119.733,59.332,5320,51,255,165.494,52.674
G16,5320,0,254,134.779,64.236,5320,0,246,131.110,60.549,5320,35,252,167.188,47.183
G17,5320,40,168,102.098,37.103,5320,40,168,102.098,37.103,5320,131,255,224.392,28.306
G18,5320,119,247,180.880,34.501,5320,119,247,179.323,34.247,5320,139,255,229.397,26.037
G19,5320,160,255,216.268,24.450,5320,139,248,196.119,22.656,5320,139,255,199.414,23.641
G20,5320,149,255,220.456,26.204,5320,128,241,178.510,25.770,5320,128,255,181.383,28.164
G21,5320,0,255,213.077,39.729,5320,0,223,154.068,30.886,5320,31,223,156.117,26.835
G22,5320,0,254,167.965,73.951,5320,0,199,130.560,54.336,5320,29,255,148.415,46.936
G23,5320,147,255,227.918,27.732,5320,88,238,170.478,36.944,5320,88,255,174.278,41.822
G24,5320,108,255,234.442,20.011,5320,62,171,134.454,21.510,5320,62,171,134.454,21.510
G25,5320,71,255,222.393,39.277,5320,46,190,153.933,26.687,5320,46,190,153.963,26.681
G26,5320,0,255,124.077,103.428,5320,0,210,96.810,79.289,5320,19,255,164.155,51.331
G27,5320,48,255,231.521,19.106,5320,48,210,149.342,36.535,5320,55,210,149.453,36.358
G28,5320,45,255,199.079,47.057,5320,26,211,87.979,32.985,5320,26,223,88.578,34.648
G29,5320,95,255,197.115,33.016,5320,0,175,69.701,47.622,5320,0,175,69.701,47.622
G30,5320,61,255,179.941,60.706,5320,20,179,103.680,42.087,5320,20,179,103.686,42.085
G31,5320,0,249,116.773,52.370,5320,0,150,64.637,34.666,5320,14,243,77.741,45.879
G32,5320,56,255,173.567,44.593,5320,31,184,113.405,34.575,5320,31,184,113.440,34.560
G33,5320,62,255,203.342,46.734,5320,20,235,167.120,48.850,5320,20,235,167.370,48.971
G34,5320,199,255,233.289,12.280,5320,199,251,231.755,10.342,5320,216,255,251.109,6.255
G35,5320,124,255,229.824,26.236,5320,0,133,7.877,21.401,5320,0,133,7.877,21.401
G36,5320,123,255,225.521,34.434,5320,0,154,20.019,35.517,5320,0,154,20.019,35.517
G37,5320,173,255,229.393,17.422,5320,58,196,160.431,24.692,5320,58,196,160.431,24.692
G38,5320,126,255,227.170,22.315,5320,99,228,178.411,18.593,5320,99,228,178.411,18.593
G39,5320,25,255,163.413,53.302,5320,25,242,143.542,48.480,5320,39,255,152.180,53.173
G40,5320,127,255,216.945,25.648,5320,1,200,88.052,53.597,5320,1,207,88.083,53.660
G41,5320,110,255,205.551,27.413,5320,68,249,145.668,32.686,5320,68,252,149.336,37.457
G42,5320,63,255,223.556,31.034,5320,57,250,198.489,27.902,5320,57,252,198.883,28.232
G43,5320,11,228,73.001,46.976,5320,11,206,72.361,45.158,5320,133,255,212.019,34.758
G44,5320,40,236,172.725,33.824,5320,37,223,151.860,26.934,5320,37,255,181.163,41.130
G45,5320,18,209,125.073,46.414,5320,18,204,124.388,45.516,5320,31,255,207.217,53.298
G46,5320,0,247,56.858,55.555,5320,0,244,56.827,55.455,5320,129,255,236.279,24.618
