Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,160,255,245.444,15.192,5320,65,210,160.732,31.302,5320,65,210,160.732,31.302
G2,5320,188,255,238.942,18.527,5320,144,247,196.965,27.361,5320,144,247,196.965,27.361
G3,5320,90,255,220.565,46.272,5320,90,245,199.266,36.488,5320,130,248,211.164,17.138
G4,5320,129,255,229.512,26.399,5320,74,245,201.180,36.178,5320,74,245,201.180,36.178
G5,5320,45,255,179.790,54.810,5320,0,245,112.056,82.435,5320,0,245,112.056,82.435
G6,5320,4,210,75.466,45.482,5320,4,210,75.466,45.482,5320,62,255,183.548,53.806
G7,5320,70,240,169.370,39.257,5320,70,240,166.176,39.202,5320,85,255,184.140,38.295
G8,5320,90,255,189.355,40.236,5320,78,240,137.934,32.763,5320,78,240,137.983,32.819
G9,5320,60,255,168.890,55.211,5320,0,175,49.475,57.281,5320,0,175,49.475,57.281
G10,5320,66,255,216.202,36.358,5320,0,7,0.006,0.159,5320,0,7,0.006,0.159
G11,5320,64,217,160.839,23.878,5320,64,217,160.839,23.878,5320,110,255,235.439,26.921
G12,5320,133,224,191.142,16.813,5320,133,224,191.135,16.814,5320,162,255,239.669,16.530
G13,5320,104,252,178.786,21.864,5320,77,207,162.783,25.628,5320,77,255,176.605,37.555
G14,5320,70,255,167.652,47.359,5320,9,178,85.169,37.171,5320,9,178,85.169,37.172
G15,5320,53,212,124.941,33.193,5320,0,72,15.528,16.161,5320,0,72,15.528,16.161
G16,5320,43,255,187.859,60.256,5320,0,47,0.727,3.523,5320,0,47,0.727,3.523
G17,5320,61,219,149.235,26.445,5320,61,219,149.235,26.445,5320,104,255,224.068,24.487
G18,5320,110,255,200.249,31.997,5320,110,250,195.507,30.828,5320,110,255,219.187,35.533
G19,5320,141,255,208.239,34.737,5320,69,240,161.685,45.618,5320,69,240,161.685,45.618
G20,5320,71,255,203.934,34.582,5320,8,199,126.094,41.352,5320,8,199,126.094,41.352
G21,5320,37,255,195.225,52.210,5320,0,117,51.524,35.652,5320,0,117,51.524,35.652
G22,5320,51,255,216.142,42.052,5320,0,71,38.415,22.019,5320,0,71,38.415,22.019
G23,5320,141,255,229.710,21.861,5320,100,242,156.744,26.529,5320,100,255,157.342,28.176
G24,5320,87,255,230.255,29.596,5320,44,222,131.645,29.555,5320,44,222,131.645,29.555
G25,5320,74,255,199.337,41.514,5320,0,179,39.199,50.219,5320,0,179,39.199,50.219
G26,5320,0,255,179.127,48.914,5320,0,69,6.515,12.666,5320,0,69,6.515,12.666
G27,5320,138,255,230.745,25.126,5320,0,98,25.697,29.527,5320,0,98,25.697,29.527
G28,5320,59,255,219.187,38.787,5320,0,164,2.601,16.180,5320,0,171,2.617,16.331
G29,5320,60,255,206.423,42.550,5320,39,225,132.961,46.820,5320,39,225,132.961,46.820
G30,5320,162,255,221.941,25.591,5320,0,154,83.390,33.057,5320,0,154,83.390,33.057
G31,5320,103,255,214.700,33.055,5320,0,121,57.579,32.872,5320,0,121,57.579,32.872
G32,5320,23,255,187.548,53.089,5320,0,134,49.771,41.588,5320,0,134,49.771,41.588
G33,5320,62,255,207.607,48.382,5320,0,217,103.524,57.637,5320,0,217,103.583,57.706
G34,5320,164,255,220.979,20.588,5320,164,249,217.078,17.867,5320,173,255,246.701,13.100
G35,5320,127,255,216.089,30.397,5320,12,133,74.176,23.605,5320,12,133,74.176,23.605
G36,5320,52,255,193.320,37.928,5320,0,100,13.251,23.726,5320,0,100,13.251,23.726
G37,5320,109,255,212.512,24.193,5320,0,188,145.146,27.519,5320,0,188,145.146,27.519
G38,5320,130,255,230.379,19.896,5320,98,203,159.192,24.776,5320,98,203,159.192,24.776
G39,5320,37,255,164.530,52.457,5320,32,252,137.807,50.801,5320,32,255,138.720,51.455
G40,5320,52,255,193.137,36.990,5320,0,202,115.941,59.878,5320,0,202,116.013,59.967
G41,5320,98,237,187.036,25.674,5320,69,235,160.453,30.587,5320,69,248,167.473,35.822
G42,5320,62,255,215.627,35.042,5320,62,253,194.594,29.129,5320,66,254,197.728,29.200
G43,5320,34,207,100.118,40.456,5320,34,207,100.117,40.455,5320,143,255,230.062,22.124
G44,5320,59,234,163.190,32.327,5320,59,193,150.684,24.592,5320,63,253,188.653,37.466
G45,5320,18,174,103.888,37.302,5320,18,174,102.948,36.441,5320,42,255,194.205,54.789
G46,5320,7,255,101.624,51.064,5320,7,238,100.854,49.129,5320,128,255,235.392,26.748
