Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,153,255,243.512,17.561,5320,82,252,208.303,41.334,5320,82,255,209.219,42.196
G2,5320,163,254,205.921,25.143,5320,163,254,205.691,24.750,5320,194,255,235.717,13.733
G3,5320,64,255,205.935,53.491,5320,64,251,205.762,53.362,5320,118,255,234.981,27.867
G4,5320,95,236,200.028,24.518,5320,95,236,200.028,24.518,5320,120,255,235.430,25.181
G5,5320,53,215,131.579,45.599,5320,53,215,131.579,45.599,5320,92,255,181.308,50.639
G6,5320,0,244,75.192,63.434,5320,0,244,75.192,63.434,5320,55,255,194.476,41.356
G7,5320,31,243,162.172,52.555,5320,31,243,162.172,52.555,5320,45,255,187.684,48.943
G8,5320,60,213,149.331,40.332,5320,60,213,149.331,40.332,5320,73,255,178.787,48.024
G9,5320,141,250,200.250,23.830,5320,141,248,199.802,23.101,5320,170,255,233.388,18.128
G10,5320,102,255,197.608,47.367,5320,60,247,145.478,51.021,5320,60,252,148.408,53.353
G11,5320,0,242,117.723,59.791,5320,0,242,117.723,59.791,5320,102,255,233.902,29.381
G12,5320,94,240,203.119,18.912,5320,94,240,203.119,18.912,5320,197,255,243.228,13.628
G13,5320,58,212,146.628,41.338,5320,58,212,146.628,41.338,5320,68,255,179.674,52.001
G14,5320,75,250,166.369,41.264,5320,75,244,166.294,41.122,5320,199,255,243.122,11.761
G15,5320,58,255,158.947,48.505,5320,39,251,141.778,49.730,5320,39,255,176.104,58.267
G16,5320,48,255,193.290,49.847,5320,17,148,79.980,29.839,5320,17,148,79.980,29.839
G17,5320,18,210,116.803,60.203,5320,18,210,116.803,60.203,5320,126,255,230.841,25.920
G18,5320,26,243,180.346,57.534,5320,26,243,180.177,57.445,5320,41,255,205.395,57.709
G19,5320,21,165,73.252,17.400,5320,21,164,73.250,17.392,5320,49,255,183.829,48.168
G20,5320,37,255,149.318,81.268,5320,37,250,129.951,63.742,5320,71,255,189.492,41.468
G21,5320,146,255,232.820,27.280,5320,46,250,102.910,53.205,5320,46,252,103.321,54.220
G22,5320,91,255,225.788,29.527,5320,0,130,62.150,29.629,5320,0,130,62.150,29.629
G23,5320,144,255,233.489,25.373,5320,117,238,183.297,20.980,5320,117,255,186.097,24.929
G24,5320,61,255,166.442,58.795,5320,61,238,151.523,49.244,5320,67,238,160.574,41.987
G25,5320,41,235,138.561,48.044,5320,41,224,138.114,47.358,5320,60,255,179.482,56.460
G26,5320,77,255,169.485,37.650,5320,77,241,162.062,32.809,5320,99,255,225.239,39.900
G27,5320,134,255,221.788,24.811,5320,63,236,162.244,40.670,5320,63,250,166.563,44.699
G28,5320,56,255,200.400,42.071,5320,27,200,54.375,30.665,5320,27,213,55.026,32.893
G29,5320,118,255,213.562,33.145,5320,57,231,146.960,48.035,5320,57,231,146.960,48.035
G30,5320,35,255,167.082,71.587,5320,35,224,147.164,55.660,5320,57,231,169.082,42.243
G31,5320,56,197,136.854,23.188,5320,56,197,136.836,23.171,5320,59,255,227.197,32.714
G32,5320,41,246,172.157,40.824,5320,41,236,154.894,39.214,5320,51,250,162.067,44.094
G33,5320,78,255,201.202,51.807,5320,24,248,172.417,60.974,5320,24,248,173.471,61.198
G34,5320,163,255,223.948,12.070,5320,163,251,223.699,11.591,5320,186,255,252.159,6.551
G35,5320,137,255,227.491,14.543,5320,35,216,123.295,44.824,5320,35,216,123.462,45.009
G36,5320,41,255,171.038,44.104,5320,38,244,162.685,35.924,5320,38,255,194.848,40.488
G37,5320,54,255,219.782,24.677,5320,54,245,212.215,22.808,5320,64,248,215.639,23.224
G38,5320,126,255,228.598,19.404,5320,108,244,199.977,20.283,5320,108,244,199.978,20.283
G39,5320,25,255,169.203,54.447,5320,25,254,154.597,53.815,5320,33,255,161.157,55.674
G40,5320,40,255,169.889,48.371,5320,0,226,127.142,67.808,5320,0,244,136.209,74.361
G41,5320,74,237,175.147,31.682,5320,74,237,174.931,31.544,5320,79,255,200.002,31.540
G42,5320,72,255,220.949,31.980,5320,70,248,212.841,31.387,5320,70,255,217.560,31.670
G43,5320,10,172,56.832,44.954,5320,10,172,56.832,44.954,5320,119,255,211.499,39.601
G44,5320,45,229,160.035,37.582,5320,45,203,147.408,31.409,5320,70,255,188.561,39.395
G45,5320,0,193,106.183,48.721,5320,0,193,105.959,48.441,5320,39,255,209.218,53.654
G46,5320,0,252,78.413,56.724,5320,0,247,78.271,56.342,5320,126,255,231.245,26.942
