Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,152,255,240.109,16.379,5320,64,232,170.666,32.923,5320,64,232,170.666,32.923
G2,5320,188,255,242.719,17.126,5320,164,243,201.630,17.488,5320,164,248,202.130,17.859
G3,5320,0,255,187.820,77.719,5320,0,253,184.457,75.547,5320,136,255,228.572,23.761
G4,5320,203,255,238.531,14.749,5320,128,249,213.183,24.682,5320,128,251,213.683,25.081
G5,5320,53,255,211.692,35.158,5320,0,243,169.408,47.262,5320,0,255,174.005,50.753
G6,5320,0,215,25.483,48.751,5320,0,215,25.483,48.751,5320,54,255,186.180,52.247
G7,5320,0,255,146.757,66.201,5320,0,244,143.648,63.136,5320,64,245,184.608,33.856
G8,5320,93,254,175.454,40.683,5320,60,241,120.748,41.224,5320,60,244,121.029,41.832
G9,5320,36,255,211.430,46.842,5320,0,152,89.042,43.128,5320,0,152,89.042,43.128
G10,5320,48,255,196.451,54.128,5320,0,13,0.200,1.253,5320,0,13,0.200,1.253
G11,5320,13,250,122.893,58.488,5320,13,248,122.514,57.783,5320,128,255,226.702,27.204
G12,5320,107,255,236.608,24.044,5320,95,247,189.159,38.954,5320,95,249,189.951,38.781
G13,5320,104,255,192.241,26.215,5320,66,165,120.750,19.063,5320,66,165,120.750,19.063
G14,5320,153,255,235.931,18.165,5320,10,179,112.992,43.121,5320,10,179,112.992,43.121
G15,5320,132,255,212.266,29.398,5320,0,59,4.569,10.472,5320,0,59,4.569,10.472
G16,5320,123,255,203.592,29.852,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G17,5320,123,255,213.248,37.660,5320,113,240,173.225,18.432,5320,113,252,185.858,24.710
G18,5320,79,255,182.914,59.789,5320,45,185,116.620,44.622,5320,45,185,116.620,44.622
G19,5320,80,255,197.566,47.827,5320,48,178,117.076,32.794,5320,48,178,117.076,32.794
G20,5320,95,255,218.520,36.779,5320,0,131,77.405,42.956,5320,0,131,77.405,42.956
G21,5320,45,255,187.402,54.713,5320,0,150,52.477,48.740,5320,0,150,52.477,48.740
G22,5320,32,255,204.005,47.001,5320,0,113,50.342,25.985,5320,0,113,50.342,25.985
G23,5320,146,255,233.005,25.878,5320,86,213,156.165,34.929,5320,86,213,156.165,34.929
G24,5320,91,255,212.450,40.735,5320,61,176,115.547,20.148,5320,61,176,115.547,20.148
G25,5320,88,255,195.169,34.639,5320,59,187,131.879,29.547,5320,59,187,131.879,29.547
G26,5320,118,255,222.893,28.041,5320,69,181,145.831,21.086,5320,69,181,145.831,21.086
G27,5320,168,255,228.417,19.534,5320,0,153,60.307,51.760,5320,0,153,60.307,51.760
G28,5320,62,255,215.522,38.477,5320,0,114,1.148,8.469,5320,0,114,1.148,8.469
G29,5320,111,254,214.772,25.176,5320,35,181,98.565,25.547,5320,35,181,98.565,25.547
G30,5320,92,255,227.148,42.247,5320,0,187,141.509,49.949,5320,0,187,141.509,49.949
G31,5320,66,255,222.032,38.729,5320,0,157,51.879,48.814,5320,0,157,51.879,48.814
G32,5320,61,251,170.783,42.862,5320,0,155,84.280,38.380,5320,0,155,84.280,38.380
G33,5320,56,255,204.121,52.119,5320,0,212,109.561,58.944,5320,0,212,109.578,58.970
G34,5320,155,255,215.430,22.576,5320,124,251,212.289,20.176,5320,124,255,246.125,13.834
G35,5320,108,255,183.168,29.630,5320,0,198,93.591,48.474,5320,0,198,93.591,48.474
G36,5320,57,255,202.331,36.496,5320,0,196,22.430,40.036,5320,0,196,22.430,40.036
G37,5320,70,255,218.421,27.494,5320,16,221,180.864,33.100,5320,16,221,180.864,33.100
G38,5320,143,255,231.677,18.726,5320,112,213,169.629,24.840,5320,112,213,169.629,24.840
G39,5320,34,255,168.567,49.302,5320,31,247,143.426,47.739,5320,32,255,146.285,50.109
G40,5320,89,222,167.217,32.264,5320,18,215,123.816,59.847,5320,18,231,125.185,61.451
G41,5320,87,254,195.008,33.865,5320,28,253,182.162,34.409,5320,28,255,193.326,36.708
G42,5320,67,255,232.517,28.098,5320,67,254,215.292,26.171,5320,73,255,218.218,27.615
G43,5320,21,192,73.109,38.527,5320,21,192,73.109,38.527,5320,148,255,225.988,20.398
G44,5320,54,236,160.841,41.422,5320,54,236,153.387,38.856,5320,66,255,202.162,40.577
G45,5320,5,168,100.123,38.271,5320,5,168,99.444,37.760,5320,37,255,201.012,55.362
G46,5320,0,250,51.881,62.132,5320,0,236,51.723,61.671,5320,122,255,235.064,24.465
