Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,154,255,236.512,18.123,5320,81,251,205.475,33.372,5320,81,255,214.649,39.614
G2,5320,102,255,196.755,37.502,5320,102,252,196.174,36.700,5320,173,255,240.918,16.688
G3,5320,6,236,152.586,49.181,5320,6,234,152.582,49.174,5320,153,255,234.523,22.539
G4,5320,5,203,106.036,44.203,5320,5,203,106.036,44.203,5320,189,255,242.096,14.037
G5,5320,0,98,12.590,21.802,5320,0,98,12.590,21.802,5320,181,255,243.131,14.749
G6,5320,0,174,28.184,46.703,5320,0,174,28.184,46.703,5320,61,255,192.075,56.476
G7,5320,3,167,100.113,39.719,5320,3,167,100.113,39.719,5320,77,255,188.280,36.206
G8,5320,5,125,33.074,23.479,5320,5,125,33.074,23.479,5320,89,255,205.351,42.305
G9,5320,0,63,5.395,11.085,5320,0,63,5.395,11.085,5320,88,255,208.988,37.513
G10,5320,0,63,20.894,21.905,5320,0,63,20.894,21.905,5320,44,233,159.730,44.256
G11,5320,54,174,138.812,19.193,5320,54,174,138.812,19.193,5320,93,255,235.138,28.970
G12,5320,44,168,127.484,32.613,5320,44,168,127.484,32.613,5320,163,255,241.187,17.263
G13,5320,0,78,17.778,16.496,5320,0,78,17.778,16.496,5320,113,255,180.508,41.553
G14,5320,0,91,17.013,25.608,5320,0,91,17.013,25.608,5320,84,255,207.866,41.726
G15,5320,45,112,72.630,16.144,5320,45,112,72.630,16.144,5320,170,255,220.251,25.826
G16,5320,0,137,50.760,35.779,5320,0,137,50.760,35.779,5320,32,255,161.087,50.751
G17,5320,63,190,137.771,24.408,5320,63,190,137.771,24.408,5320,92,255,206.635,36.296
G18,5320,0,169,58.533,36.722,5320,0,169,58.533,36.722,5320,43,244,149.470,37.931
G19,5320,0,73,24.362,15.406,5320,0,73,24.362,15.406,5320,47,255,179.528,45.155
G20,5320,36,233,103.937,37.406,5320,0,208,98.956,37.543,5320,0,255,202.726,54.039
G21,5320,48,255,175.881,50.212,5320,0,245,158.192,68.787,5320,0,255,185.931,73.182
G22,5320,22,253,207.406,45.397,5320,22,242,182.223,42.594,5320,45,253,197.133,40.302
G23,5320,70,250,211.725,27.450,5320,70,239,207.384,24.594,5320,160,255,238.774,14.899
G24,5320,29,255,172.128,61.087,5320,29,251,165.062,54.967,5320,106,255,213.689,26.104
G25,5320,12,244,162.511,50.932,5320,0,201,124.158,64.872,5320,0,252,146.426,79.393
G26,5320,21,255,144.161,58.741,5320,0,215,37.702,62.375,5320,0,217,37.886,62.827
G27,5320,113,255,231.857,21.865,5320,14,239,129.330,54.496,5320,14,241,129.800,55.252
G28,5320,49,255,215.657,42.813,5320,0,187,39.113,44.471,5320,0,233,41.433,50.986
G29,5320,168,255,214.972,23.842,5320,0,199,53.052,63.651,5320,0,199,53.052,63.651
G30,5320,112,255,229.096,24.002,5320,0,172,71.706,56.830,5320,0,172,71.706,56.830
G31,5320,0,255,137.991,59.757,5320,0,186,82.660,57.129,5320,0,186,82.660,57.129
G32,5320,51,244,170.219,44.128,5320,24,198,119.844,39.949,5320,24,198,119.844,39.949
G33,5320,61,255,206.984,47.015,5320,0,227,149.499,62.842,5320,0,231,150.568,63.655
G34,5320,170,250,200.787,20.308,5320,170,249,200.101,19.159,5320,198,255,251.250,7.867
G35,5320,143,255,225.476,23.168,5320,0,201,76.188,67.033,5320,0,201,76.188,67.033
G36,5320,121,255,236.099,24.687,5320,101,227,203.242,21.701,5320,101,227,203.242,21.701
G37,5320,164,255,217.827,20.726,5320,138,236,201.991,15.940,5320,138,236,203.220,15.731
G38,5320,123,255,229.764,22.040,5320,99,237,190.669,23.907,5320,99,238,190.672,23.911
G39,5320,37,255,171.526,50.012,5320,36,248,144.825,48.783,5320,36,253,145.798,49.352
G40,5320,142,255,207.474,24.947,5320,121,237,189.832,26.155,5320,121,239,195.870,28.962
G41,5320,98,239,191.448,31.141,5320,98,238,189.380,29.677,5320,98,249,206.792,27.606
G42,5320,69,255,212.269,37.378,5320,69,247,202.939,34.155,5320,78,255,208.203,34.063
G43,5320,19,182,71.020,49.057,5320,19,182,71.020,49.057,5320,143,255,217.297,30.189
G44,5320,43,223,151.961,44.124,5320,43,198,142.170,37.851,5320,52,255,193.416,44.204
G45,5320,20,189,102.352,38.378,5320,20,189,101.635,37.743,5320,40,255,200.805,54.541
G46,5320,0,236,64.375,59.171,5320,0,234,64.355,59.116,5320,136,255,239.587,26.059
