Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,242.169,10.386,5320,92,231,175.200,31.901,5320,92,231,175.200,31.901
G2,5320,172,255,227.091,26.070,5320,155,250,212.423,18.636,5320,155,255,222.624,20.042
G3,5320,77,255,210.662,46.719,5320,65,237,190.997,42.151,5320,65,237,191.194,42.031
G4,5320,133,255,227.331,22.424,5320,133,250,222.985,21.475,5320,134,255,232.825,25.203
G5,5320,15,250,147.582,59.735,5320,15,248,147.478,59.648,5320,26,255,178.736,61.136
G6,5320,0,219,147.198,67.540,5320,0,219,146.314,67.799,5320,33,255,190.056,47.762
G7,5320,97,233,180.644,26.622,5320,97,233,180.429,26.811,5320,98,255,201.929,32.168
G8,5320,89,255,201.268,38.107,5320,83,250,195.584,35.476,5320,83,252,197.867,34.777
G9,5320,37,255,188.063,52.449,5320,37,253,180.595,48.343,5320,52,255,187.115,46.913
G10,5320,37,255,186.245,59.543,5320,37,249,170.234,51.052,5320,39,254,171.636,50.644
G11,5320,0,212,126.430,43.056,5320,0,212,126.430,43.056,5320,90,255,234.700,29.053
G12,5320,62,224,161.364,42.905,5320,62,224,156.181,40.945,5320,113,255,202.360,32.579
G13,5320,73,255,193.197,52.280,5320,49,232,146.386,45.662,5320,49,232,146.446,45.673
G14,5320,151,255,226.501,23.021,5320,103,234,179.217,19.906,5320,103,234,179.217,19.906
G15,5320,125,255,244.049,22.508,5320,125,250,209.439,21.099,5320,139,255,212.733,21.530
G16,5320,51,244,167.868,36.084,5320,51,244,166.884,35.973,5320,59,251,186.845,36.879
G17,5320,48,255,164.034,58.368,5320,48,250,162.121,55.928,5320,119,255,224.791,23.194
G18,5320,64,255,217.462,52.888,5320,43,250,169.476,49.553,5320,43,250,169.600,49.710
G19,5320,79,255,197.541,43.231,5320,51,186,126.557,30.108,5320,51,186,126.557,30.108
G20,5320,36,255,176.595,56.417,5320,34,220,149.651,48.007,5320,34,220,150.613,48.592
G21,5320,125,255,195.292,20.983,5320,84,234,169.987,28.528,5320,84,239,173.969,31.818
G22,5320,19,255,191.340,57.264,5320,15,236,165.867,52.101,5320,15,236,165.867,52.101
G23,5320,144,255,233.131,24.851,5320,80,238,141.147,24.087,5320,80,241,141.177,24.169
G24,5320,148,255,222.773,20.401,5320,67,188,127.995,26.827,5320,67,188,127.995,26.827
G25,5320,38,255,192.827,58.777,5320,19,226,153.322,50.533,5320,19,226,153.322,50.533
G26,5320,47,255,159.931,49.530,5320,0,147,30.434,43.386,5320,0,147,30.434,43.386
G27,5320,58,255,216.855,37.005,5320,0,236,172.696,63.999,5320,0,236,172.696,63.999
G28,5320,118,255,193.243,27.800,5320,115,231,185.664,22.956,5320,115,233,186.267,23.144
G29,5320,142,255,226.551,26.471,5320,4,143,65.450,41.151,5320,4,143,65.450,41.151
G30,5320,80,255,204.172,41.266,5320,27,158,113.611,36.751,5320,27,158,113.611,36.751
G31,5320,6,240,151.447,49.874,5320,0,90,16.871,22.646,5320,0,90,16.871,22.646
G32,5320,55,255,193.222,49.267,5320,0,219,153.222,54.007,5320,0,219,153.222,54.007
G33,5320,139,255,234.496,20.005,5320,139,217,183.755,14.435,5320,139,217,183.755,14.435
G34,5320,50,255,202.520,54.301,5320,50,251,191.436,48.980,5320,58,255,196.037,49.765
G35,5320,84,255,223.905,41.368,5320,29,158,117.552,30.762,5320,29,158,117.552,30.762
G36,5320,48,255,199.528,33.549,5320,36,169,108.002,39.875,5320,36,169,108.002,39.875
G37,5320,64,255,217.714,29.285,5320,48,229,195.094,30.078,5320,48,229,195.094,30.078
G38,5320,173,255,222.979,22.230,5320,114,213,170.073,26.090,5320,114,213,170.073,26.090
G39,5320,36,255,194.814,47.627,5320,0,250,146.363,66.008,5320,0,255,147.083,67.065
G40,5320,130,255,196.260,29.347,5320,113,229,170.347,30.304,5320,113,251,175.074,32.442
G41,5320,129,237,195.708,21.023,5320,107,229,187.191,21.359,5320,107,255,192.402,25.393
G42,5320,67,255,227.428,24.603,5320,46,252,200.729,24.881,5320,46,253,200.800,24.954
G43,5320,88,222,144.082,28.494,5320,88,222,144.082,28.494,5320,136,255,225.986,22.439
G44,5320,58,250,196.884,27.455,5320,45,245,159.542,50.638,5320,45,255,170.456,61.042
G45,5320,111,245,172.020,31.880,5320,94,245,166.967,35.023,5320,94,255,224.592,45.404
G46,5320,0,255,192.154,73.297,5320,0,249,178.408,67.900,5320,60,255,212.242,31.876
