Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,166,255,240.701,15.767,5320,0,178,103.931,46.832,5320,0,178,103.931,46.832
G2,5320,11,255,155.008,79.202,5320,11,214,110.802,42.986,5320,60,214,138.498,30.973
G3,5320,52,255,186.482,56.174,5320,39,223,154.104,38.523,5320,39,248,169.718,39.821
G4,5320,2,190,94.517,49.748,5320,2,178,90.992,46.547,5320,95,251,195.840,41.952
G5,5320,0,62,8.301,14.923,5320,0,62,8.301,14.923,5320,45,255,154.798,58.581
G6,5320,1,139,39.331,27.589,5320,1,139,39.331,27.589,5320,96,255,220.332,32.116
G7,5320,13,202,112.553,40.108,5320,13,202,112.548,40.110,5320,85,255,223.983,31.678
G8,5320,0,115,15.311,27.594,5320,0,115,15.311,27.594,5320,124,255,225.768,26.908
G9,5320,0,2,0.007,0.100,5320,0,2,0.007,0.100,5320,47,255,189.313,55.223
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,45,243,168.791,36.608
G11,5320,31,113,78.591,14.197,5320,31,113,78.591,14.197,5320,107,255,250.689,9.862
G12,5320,0,74,40.334,25.568,5320,0,74,40.334,25.568,5320,120,255,221.133,28.810
G13,5320,0,12,0.189,0.986,5320,0,12,0.189,0.986,5320,141,255,240.605,20.936
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,188,255,226.831,20.107
G15,5320,0,54,1.099,4.993,5320,0,54,1.099,4.993,5320,128,255,228.515,21.187
G16,5320,0,145,51.138,47.913,5320,0,145,51.138,47.913,5320,192,255,235.069,17.785
G17,5320,9,171,90.767,36.711,5320,9,171,90.767,36.711,5320,146,255,222.092,26.474
G18,5320,0,160,77.909,44.842,5320,0,160,77.909,44.842,5320,194,255,239.404,17.425
G19,5320,0,131,33.620,41.921,5320,0,131,33.620,41.921,5320,168,255,226.540,25.452
G20,5320,0,152,59.363,40.863,5320,0,152,59.363,40.863,5320,191,255,241.652,17.303
G21,5320,0,165,91.453,52.841,5320,0,165,91.453,52.841,5320,54,255,215.213,35.775
G22,5320,36,241,158.037,57.189,5320,36,241,154.612,56.222,5320,47,255,192.112,60.387
G23,5320,131,226,182.817,16.028,5320,131,214,182.722,15.849,5320,185,255,241.701,14.233
G24,5320,109,255,194.071,37.822,5320,109,248,185.356,32.434,5320,138,255,235.425,25.167
G25,5320,92,255,205.089,33.936,5320,48,217,155.415,36.391,5320,48,235,169.840,43.448
G26,5320,17,238,149.492,67.457,5320,17,208,106.438,49.513,5320,26,255,164.522,60.288
G27,5320,44,248,190.414,36.516,5320,34,236,125.648,37.174,5320,34,255,130.699,44.397
G28,5320,128,255,221.243,28.786,5320,37,115,91.981,15.960,5320,37,115,91.981,15.960
G29,5320,54,255,220.560,39.032,5320,0,239,90.482,63.147,5320,0,239,90.804,63.766
G30,5320,124,255,201.339,27.429,5320,35,208,129.901,36.011,5320,35,208,129.906,36.021
G31,5320,43,255,207.221,50.870,5320,15,116,63.710,24.513,5320,15,116,63.710,24.513
G32,5320,31,251,180.281,49.082,5320,12,170,79.915,33.650,5320,12,170,79.915,33.650
G33,5320,67,255,187.257,54.826,5320,29,179,108.554,49.443,5320,29,179,108.554,49.443
G34,5320,60,255,200.325,42.158,5320,24,252,181.637,57.537,5320,24,255,189.936,62.260
G35,5320,89,247,185.619,31.446,5320,43,238,150.675,56.090,5320,43,255,165.422,71.123
G36,5320,52,255,223.944,38.582,5320,21,219,107.000,43.887,5320,21,225,107.601,45.147
G37,5320,107,255,217.171,28.141,5320,77,244,190.551,28.835,5320,77,244,194.220,30.086
G38,5320,130,255,232.506,18.547,5320,99,211,166.835,18.231,5320,99,211,166.835,18.231
G39,5320,26,255,189.165,54.738,5320,21,247,159.898,54.678,5320,21,255,163.128,58.083
G40,5320,79,247,178.365,31.902,5320,79,224,156.620,35.293,5320,96,246,178.739,44.506
G41,5320,71,249,184.330,34.088,5320,71,244,182.936,32.688,5320,88,255,205.301,30.868
G42,5320,131,255,237.042,21.785,5320,100,245,215.294,26.620,5320,100,255,216.027,27.376
G43,5320,0,227,91.460,48.370,5320,0,227,91.460,48.370,5320,125,255,223.913,29.766
G44,5320,63,244,188.306,33.918,5320,46,243,170.293,43.038,5320,46,255,194.803,54.362
G45,5320,42,253,136.110,40.246,5320,28,212,126.382,40.313,5320,28,255,195.409,67.245
G46,5320,17,255,115.158,58.187,5320,17,218,111.983,52.658,5320,132,255,236.319,25.765
