Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,171,255,244.731,14.153,5320,0,123,41.734,34.367,5320,0,123,41.734,34.367
G2,5320,81,255,193.965,42.997,5320,4,163,73.507,33.665,5320,4,163,73.525,33.698
G3,5320,46,255,193.083,54.436,5320,25,217,120.136,37.930,5320,25,228,125.802,43.257
G4,5320,10,227,140.099,58.986,5320,10,201,120.708,45.382,5320,71,255,163.624,42.270
G5,5320,0,149,52.209,42.989,5320,0,148,50.669,42.847,5320,0,237,176.019,30.879
G6,5320,7,155,70.202,35.350,5320,7,155,70.202,35.350,5320,101,255,204.386,28.871
G7,5320,31,210,121.697,39.259,5320,31,209,121.406,39.135,5320,85,255,218.782,32.532
G8,5320,0,108,17.369,26.042,5320,0,108,17.369,26.042,5320,119,255,217.639,30.145
G9,5320,0,9,0.011,0.244,5320,0,9,0.011,0.244,5320,178,255,238.623,16.849
G10,5320,0,38,3.844,8.506,5320,0,38,3.844,8.506,5320,78,255,234.099,29.678
G11,5320,46,115,92.262,8.132,5320,46,115,92.262,8.132,5320,112,255,249.996,10.332
G12,5320,0,89,51.981,24.410,5320,0,89,51.981,24.410,5320,123,255,223.772,27.782
G13,5320,0,34,0.424,2.323,5320,0,34,0.424,2.323,5320,132,255,228.832,25.732
G14,5320,0,13,0.109,0.846,5320,0,13,0.109,0.846,5320,140,255,214.862,24.092
G15,5320,0,34,0.513,2.372,5320,0,34,0.513,2.372,5320,137,255,219.372,27.489
G16,5320,0,207,109.740,64.013,5320,0,203,106.255,60.834,5320,108,255,231.296,33.287
G17,5320,9,136,83.681,27.268,5320,9,136,83.681,27.268,5320,159,255,226.683,23.750
G18,5320,0,197,78.137,58.966,5320,0,197,78.137,58.966,5320,162,255,224.736,23.931
G19,5320,0,205,91.683,72.305,5320,0,205,91.683,72.305,5320,64,255,213.059,48.032
G20,5320,0,236,60.841,56.672,5320,0,228,60.796,56.547,5320,59,255,191.551,55.766
G21,5320,39,241,176.785,38.163,5320,39,237,174.074,37.584,5320,67,255,216.814,30.180
G22,5320,23,253,175.115,65.063,5320,23,251,161.473,62.763,5320,28,255,172.608,66.172
G23,5320,74,207,147.099,29.677,5320,74,207,147.099,29.677,5320,128,255,226.777,22.868
G24,5320,134,248,215.415,16.143,5320,134,247,211.243,16.974,5320,171,255,229.395,19.695
G25,5320,60,255,185.527,51.637,5320,0,244,102.948,74.600,5320,0,255,107.921,78.792
G26,5320,74,255,237.108,27.960,5320,0,240,41.330,68.722,5320,0,244,41.741,69.598
G27,5320,110,253,207.909,25.288,5320,0,216,38.056,47.021,5320,0,217,38.082,47.099
G28,5320,164,255,235.055,20.963,5320,0,97,38.533,26.801,5320,0,97,38.533,26.801
G29,5320,88,255,211.250,30.340,5320,47,212,145.162,34.031,5320,47,220,148.216,37.284
G30,5320,155,255,230.678,22.709,5320,0,210,119.602,50.073,5320,0,210,119.602,50.073
G31,5320,64,255,219.827,26.834,5320,0,58,5.452,11.126,5320,0,58,5.452,11.126
G32,5320,39,251,171.335,51.204,5320,0,133,17.818,34.209,5320,0,133,17.818,34.209
G33,5320,61,255,188.691,55.460,5320,0,155,75.307,54.254,5320,0,155,75.307,54.254
G34,5320,42,246,179.902,48.780,5320,0,245,159.851,66.430,5320,0,255,174.225,75.658
G35,5320,73,255,188.731,44.423,5320,16,250,143.823,70.432,5320,16,255,154.830,80.111
G36,5320,77,255,218.160,39.274,5320,1,243,103.978,74.681,5320,1,249,104.329,75.255
G37,5320,136,255,221.826,23.920,5320,51,207,159.532,34.948,5320,51,207,159.532,34.948
G38,5320,147,255,232.879,17.653,5320,107,190,147.281,18.520,5320,107,190,147.281,18.520
G39,5320,36,255,189.252,56.140,5320,33,248,159.536,55.079,5320,33,255,161.947,57.449
G40,5320,120,255,195.955,34.171,5320,120,247,192.656,32.575,5320,137,255,209.758,32.645
G41,5320,78,255,210.615,31.180,5320,76,247,193.495,30.708,5320,76,252,195.255,31.872
G42,5320,127,255,238.048,21.594,5320,106,245,199.997,23.620,5320,106,250,200.055,23.729
G43,5320,110,247,166.130,25.727,5320,110,244,166.115,25.689,5320,123,255,223.086,28.558
G44,5320,75,255,204.726,32.086,5320,72,253,185.212,42.509,5320,72,255,190.245,46.346
G45,5320,25,251,183.214,33.482,5320,22,234,175.647,36.426,5320,22,255,204.307,53.919
G46,5320,15,255,144.691,50.011,5320,15,220,139.394,43.074,5320,130,255,230.132,30.119
