Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,198,255,247.956,9.437,5320,0,203,105.333,52.475,5320,0,203,105.333,52.475
G2,5320,37,255,158.714,67.951,5320,37,193,122.057,34.405,5320,60,193,137.111,28.344
G3,5320,45,255,185.753,60.220,5320,38,238,158.960,40.420,5320,38,240,178.296,36.271
G4,5320,6,231,83.863,41.764,5320,6,175,80.583,34.115,5320,61,255,172.534,45.830
G5,5320,0,59,20.757,17.668,5320,0,59,20.757,17.668,5320,35,255,127.144,47.504
G6,5320,0,120,43.457,25.918,5320,0,120,43.457,25.918,5320,79,255,208.797,24.282
G7,5320,0,160,83.910,37.603,5320,0,160,83.901,37.595,5320,103,255,213.457,34.523
G8,5320,0,81,5.586,13.634,5320,0,81,5.586,13.634,5320,123,255,212.627,36.132
G9,5320,0,31,1.399,4.428,5320,0,31,1.399,4.428,5320,100,255,209.725,46.887
G10,5320,0,56,5.833,12.635,5320,0,56,5.833,12.635,5320,42,255,198.998,55.149
G11,5320,12,87,55.925,10.437,5320,12,87,55.925,10.437,5320,123,255,251.038,9.505
G12,5320,0,52,20.204,17.937,5320,0,52,20.204,17.937,5320,104,255,214.302,33.328
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,64,255,208.371,36.241
G14,5320,0,18,0.805,2.663,5320,0,18,0.805,2.663,5320,61,255,184.215,56.559
G15,5320,0,80,41.936,26.748,5320,0,80,41.936,26.748,5320,146,255,214.583,22.334
G16,5320,3,214,99.210,61.753,5320,3,214,99.210,61.753,5320,53,255,193.340,55.004
G17,5320,0,65,34.730,15.740,5320,0,65,34.730,15.740,5320,155,255,223.885,24.555
G18,5320,0,42,8.763,10.087,5320,0,42,8.763,10.087,5320,102,255,219.348,26.086
G19,5320,0,65,27.792,14.009,5320,0,65,27.792,14.009,5320,147,255,239.944,23.939
G20,5320,10,218,49.978,34.335,5320,10,214,49.900,34.049,5320,147,255,243.057,20.366
G21,5320,79,254,194.528,38.631,5320,79,253,192.173,37.145,5320,150,255,246.035,16.643
G22,5320,48,248,172.705,52.117,5320,48,243,168.122,52.429,5320,54,255,184.136,56.854
G23,5320,9,170,95.987,37.319,5320,9,170,95.987,37.319,5320,63,255,215.718,31.360
G24,5320,41,240,127.253,50.325,5320,41,224,126.727,49.416,5320,194,255,233.561,13.091
G25,5320,57,245,166.662,38.132,5320,0,223,111.657,69.354,5320,0,255,144.827,90.728
G26,5320,122,255,219.849,27.001,5320,0,227,16.642,41.261,5320,0,233,16.748,41.637
G27,5320,110,255,209.522,38.604,5320,0,244,81.832,66.879,5320,0,255,82.635,68.479
G28,5320,103,255,229.807,27.685,5320,39,122,96.450,17.117,5320,39,122,96.450,17.117
G29,5320,53,251,170.448,39.789,5320,53,251,169.444,38.419,5320,91,255,211.573,33.199
G30,5320,115,255,228.121,24.132,5320,0,254,113.641,74.768,5320,0,255,114.048,75.335
G31,5320,47,255,235.693,24.219,5320,0,91,12.804,13.386,5320,0,91,12.804,13.386
G32,5320,40,255,187.079,59.650,5320,0,183,42.915,52.619,5320,0,183,42.915,52.619
G33,5320,61,255,186.434,52.532,5320,19,196,113.951,58.279,5320,19,196,113.951,58.279
G34,5320,61,233,173.059,46.216,5320,40,227,161.470,59.766,5320,40,255,181.762,74.131
G35,5320,73,238,175.106,39.694,5320,0,227,110.910,81.009,5320,0,255,123.146,95.152
G36,5320,66,255,201.595,35.205,5320,0,231,29.088,56.263,5320,0,232,29.089,56.267
G37,5320,159,255,218.331,24.231,5320,100,237,186.750,29.880,5320,100,237,187.304,30.331
G38,5320,131,255,228.555,18.034,5320,101,220,178.031,16.919,5320,101,220,178.031,16.920
G39,5320,33,255,191.789,50.381,5320,32,239,169.952,52.859,5320,34,255,176.578,58.148
G40,5320,102,241,199.964,26.582,5320,34,225,137.527,55.903,5320,34,239,144.004,60.640
G41,5320,125,235,190.077,27.203,5320,103,233,186.837,26.102,5320,103,249,195.709,23.456
G42,5320,122,255,230.105,26.259,5320,95,245,209.402,28.145,5320,95,255,209.902,28.473
G43,5320,0,234,119.389,41.440,5320,0,234,119.389,41.440,5320,140,255,225.727,29.422
G44,5320,58,246,181.501,30.934,5320,46,244,161.226,37.945,5320,46,255,177.823,48.766
G45,5320,31,245,154.559,33.684,5320,29,217,150.243,30.612,5320,30,255,206.873,49.012
G46,5320,6,255,107.692,45.417,5320,6,226,106.844,43.307,5320,117,255,234.997,24.539
