Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,183,255,249.281,8.496,5320,0,214,107.977,53.417,5320,0,214,107.979,53.419
G2,5320,48,255,179.841,60.361,5320,48,206,137.594,31.786,5320,66,209,149.473,27.943
G3,5320,45,255,188.955,66.994,5320,45,253,173.663,56.898,5320,55,255,184.269,48.763
G4,5320,46,233,125.373,40.424,5320,46,192,122.086,34.938,5320,89,248,184.351,30.171
G5,5320,0,245,52.508,43.463,5320,0,153,47.859,30.254,5320,48,225,156.044,42.679
G6,5320,0,98,35.270,25.536,5320,0,98,35.270,25.536,5320,87,244,205.745,23.692
G7,5320,0,119,65.165,34.419,5320,0,119,65.165,34.419,5320,70,255,200.776,52.717
G8,5320,0,71,11.880,18.602,5320,0,71,11.880,18.602,5320,89,255,225.723,34.069
G9,5320,0,45,4.506,9.101,5320,0,45,4.506,9.101,5320,113,255,232.828,26.047
G10,5320,0,11,0.084,0.704,5320,0,11,0.084,0.704,5320,29,245,147.709,52.232
G11,5320,4,72,27.622,15.424,5320,4,72,27.622,15.424,5320,122,255,247.381,13.665
G12,5320,0,60,15.245,16.372,5320,0,60,15.245,16.372,5320,102,255,228.064,38.090
G13,5320,0,9,0.517,1.240,5320,0,9,0.517,1.240,5320,199,255,235.067,16.305
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,169,246,215.957,15.020
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,46,250,161.936,53.702
G16,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,121,255,229.787,30.012
G17,5320,9,97,54.351,16.302,5320,9,97,54.351,16.302,5320,93,255,221.158,28.064
G18,5320,0,121,37.437,27.736,5320,0,121,37.437,27.736,5320,160,255,231.794,20.515
G19,5320,0,119,20.775,30.127,5320,0,119,20.775,30.127,5320,97,255,179.857,33.927
G20,5320,0,5,0.003,0.106,5320,0,5,0.003,0.106,5320,63,236,141.030,41.655
G21,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,159,255,228.653,22.168
G22,5320,0,218,113.588,75.272,5320,0,218,113.476,75.206,5320,38,255,192.119,65.919
G23,5320,47,157,111.895,23.634,5320,47,157,111.895,23.634,5320,128,255,212.670,29.498
G24,5320,11,191,125.357,35.709,5320,11,191,125.357,35.709,5320,127,255,200.059,29.154
G25,5320,0,232,85.794,83.593,5320,0,232,85.719,83.478,5320,46,255,178.238,66.917
G26,5320,0,255,51.063,84.260,5320,0,217,45.662,73.610,5320,32,238,164.137,45.990
G27,5320,0,255,202.208,51.489,5320,0,220,145.120,36.428,5320,64,255,159.336,39.432
G28,5320,82,255,223.800,35.516,5320,65,187,149.730,22.414,5320,65,187,149.730,22.414
G29,5320,110,195,163.482,19.547,5320,110,195,163.482,19.547,5320,177,255,233.100,20.436
G30,5320,119,251,189.337,35.957,5320,119,240,186.221,31.911,5320,167,255,241.278,17.822
G31,5320,119,255,211.146,27.084,5320,72,222,170.232,28.780,5320,72,247,177.522,33.598
G32,5320,32,255,193.162,53.751,5320,16,219,103.392,44.125,5320,16,219,103.392,44.125
G33,5320,61,255,186.070,54.197,5320,38,229,145.024,57.526,5320,38,229,145.024,57.526
G34,5320,43,219,150.038,42.296,5320,29,218,138.128,50.681,5320,29,255,163.459,71.543
G35,5320,42,163,110.773,27.513,5320,42,163,110.773,27.513,5320,144,255,211.489,33.194
G36,5320,50,198,128.320,20.933,5320,50,192,127.978,20.554,5320,64,255,217.095,36.636
G37,5320,135,254,200.663,31.164,5320,135,249,195.026,27.372,5320,150,255,214.846,22.603
G38,5320,140,255,224.374,19.285,5320,126,253,201.025,20.392,5320,126,253,201.141,20.597
G39,5320,15,255,174.820,51.503,5320,15,253,168.531,52.260,5320,28,255,189.736,57.828
G40,5320,11,133,70.890,27.376,5320,11,133,70.890,27.376,5320,67,252,187.803,44.792
G41,5320,74,221,128.963,24.669,5320,74,221,128.963,24.669,5320,141,249,201.583,24.428
G42,5320,136,255,221.296,24.617,5320,123,251,217.831,25.085,5320,123,255,228.444,25.284
G43,5320,0,199,43.685,43.985,5320,0,199,43.685,43.985,5320,139,255,220.878,29.827
G44,5320,49,221,160.208,35.004,5320,49,221,153.524,32.656,5320,60,255,193.593,39.555
G45,5320,10,194,114.779,44.810,5320,10,190,114.424,44.302,5320,61,255,212.261,47.143
G46,5320,0,254,105.051,45.766,5320,0,253,104.689,44.770,5320,127,255,228.705,26.848
