Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,192,255,248.483,9.856,5320,0,185,104.351,48.371,5320,0,185,104.351,48.371
G2,5320,13,255,148.702,75.540,5320,13,207,116.073,45.991,5320,65,220,146.111,29.733
G3,5320,49,255,183.403,58.116,5320,38,238,154.541,38.948,5320,38,243,168.103,33.836
G4,5320,39,208,105.509,32.863,5320,39,183,102.955,30.246,5320,67,245,180.126,35.298
G5,5320,0,68,9.583,16.329,5320,0,68,9.583,16.329,5320,40,252,139.080,49.078
G6,5320,0,102,36.030,24.285,5320,0,102,36.030,24.285,5320,86,247,208.720,23.743
G7,5320,3,176,97.251,35.127,5320,3,176,97.249,35.127,5320,92,255,208.251,38.474
G8,5320,0,84,20.093,25.710,5320,0,84,20.093,25.710,5320,137,255,226.581,25.741
G9,5320,0,56,2.345,8.014,5320,0,56,2.345,8.014,5320,34,255,171.039,61.184
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,64,255,188.910,45.948
G11,5320,0,69,37.707,11.458,5320,0,69,37.707,11.458,5320,130,255,250.044,12.126
G12,5320,0,52,10.592,9.084,5320,0,52,10.592,9.084,5320,92,255,217.672,32.750
G13,5320,0,5,0.039,0.331,5320,0,5,0.039,0.331,5320,99,255,240.939,25.160
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,76,255,211.295,54.269
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,77,255,187.743,46.738
G16,5320,0,102,8.641,20.080,5320,0,102,8.641,20.080,5320,174,250,218.421,13.235
G17,5320,4,81,37.970,19.813,5320,4,81,37.970,19.813,5320,149,255,224.994,23.944
G18,5320,0,79,29.366,22.535,5320,0,79,29.366,22.535,5320,153,255,228.543,26.408
G19,5320,0,155,29.396,28.904,5320,0,155,29.396,28.904,5320,157,255,223.334,27.600
G20,5320,0,255,70.295,78.682,5320,0,228,67.779,73.960,5320,145,255,223.945,28.439
G21,5320,0,255,169.994,66.455,5320,0,242,157.225,56.305,5320,99,255,234.813,29.353
G22,5320,28,243,148.789,61.049,5320,28,243,147.797,61.056,5320,45,255,178.419,65.427
G23,5320,24,115,54.716,23.098,5320,24,115,54.716,23.098,5320,112,255,214.910,37.624
G24,5320,32,228,108.564,52.401,5320,32,215,108.005,51.382,5320,139,255,234.797,27.057
G25,5320,157,255,221.766,20.033,5320,105,228,176.928,29.005,5320,105,245,180.054,32.091
G26,5320,81,255,180.370,37.448,5320,47,220,107.095,39.622,5320,47,220,107.096,39.620
G27,5320,80,255,217.374,39.250,5320,42,246,118.072,52.188,5320,42,255,118.949,54.033
G28,5320,74,255,224.579,34.786,5320,56,178,134.992,25.133,5320,56,178,134.992,25.133
G29,5320,45,168,116.933,40.013,5320,45,168,116.933,40.013,5320,88,255,179.271,52.035
G30,5320,91,250,176.825,27.009,5320,91,231,161.020,29.336,5320,92,255,176.067,42.581
G31,5320,114,255,219.119,32.642,5320,74,230,133.274,41.474,5320,74,234,133.294,41.516
G32,5320,52,255,190.709,48.588,5320,17,194,72.129,44.300,5320,17,194,72.129,44.300
G33,5320,56,255,189.728,54.711,5320,19,207,127.546,55.122,5320,19,207,127.546,55.122
G34,5320,62,235,159.483,41.944,5320,42,235,147.107,50.294,5320,42,255,163.963,65.226
G35,5320,120,249,170.326,26.226,5320,120,238,170.214,25.947,5320,189,255,234.230,14.964
G36,5320,49,255,192.855,29.557,5320,49,236,189.197,29.301,5320,57,255,220.222,36.031
G37,5320,139,255,212.131,25.039,5320,100,243,193.514,24.865,5320,100,250,201.740,28.009
G38,5320,135,255,222.199,24.333,5320,115,233,181.224,22.877,5320,115,233,181.231,22.892
G39,5320,30,255,186.737,48.198,5320,30,248,172.986,47.067,5320,38,255,185.224,52.157
G40,5320,74,208,136.650,28.577,5320,74,208,136.650,28.577,5320,97,235,178.660,23.036
G41,5320,89,230,159.186,22.842,5320,89,221,159.106,22.655,5320,132,249,201.062,23.229
G42,5320,128,255,227.708,25.109,5320,109,253,219.428,26.122,5320,109,255,223.159,26.664
G43,5320,0,215,62.597,50.345,5320,0,215,62.597,50.345,5320,134,255,222.632,28.883
G44,5320,55,233,169.610,31.412,5320,55,233,159.380,32.798,5320,55,255,188.296,43.580
G45,5320,21,196,125.473,40.929,5320,21,184,124.351,40.017,5320,54,255,208.614,50.944
G46,5320,2,253,108.308,46.065,5320,2,225,107.027,43.032,5320,115,255,233.964,23.788
