Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,246.489,8.180,5320,0,215,124.321,56.668,5320,0,215,124.321,56.668
G2,5320,29,255,165.836,71.225,5320,29,216,136.262,44.050,5320,54,223,158.073,34.641
G3,5320,47,255,182.680,59.088,5320,43,242,167.024,45.189,5320,43,246,187.165,33.286
G4,5320,20,228,96.424,36.100,5320,20,195,95.623,34.095,5320,80,249,210.619,26.266
G5,5320,0,102,19.992,25.347,5320,0,102,19.992,25.347,5320,51,238,183.792,49.223
G6,5320,0,110,40.538,26.867,5320,0,110,40.538,26.867,5320,75,251,210.818,24.997
G7,5320,10,169,101.647,30.417,5320,10,169,101.647,30.417,5320,92,255,205.255,35.133
G8,5320,0,69,11.945,17.605,5320,0,69,11.945,17.605,5320,57,254,192.090,40.316
G9,5320,0,18,0.369,1.786,5320,0,18,0.369,1.786,5320,56,255,181.638,51.607
G10,5320,0,12,0.145,0.775,5320,0,12,0.145,0.775,5320,95,255,232.791,28.416
G11,5320,0,71,43.192,10.634,5320,0,71,43.192,10.634,5320,120,255,248.620,14.289
G12,5320,0,83,21.514,14.683,5320,0,83,21.514,14.683,5320,66,255,216.592,35.395
G13,5320,0,6,0.008,0.167,5320,0,6,0.008,0.167,5320,55,255,225.408,30.623
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,98,255,209.005,37.012
G15,5320,0,64,0.941,5.368,5320,0,64,0.941,5.368,5320,95,255,206.877,42.405
G16,5320,0,255,166.676,75.779,5320,0,230,140.374,59.837,5320,74,255,213.158,41.266
G17,5320,1,84,46.921,17.395,5320,1,84,46.921,17.395,5320,173,255,227.195,23.488
G18,5320,0,81,37.079,24.297,5320,0,81,37.079,24.297,5320,191,255,231.021,16.653
G19,5320,0,71,16.848,16.399,5320,0,71,16.848,16.399,5320,159,255,228.114,25.465
G20,5320,0,223,74.005,72.124,5320,0,216,67.550,65.444,5320,1,255,212.178,41.262
G21,5320,70,255,188.736,36.654,5320,0,196,84.136,61.245,5320,0,227,90.651,67.861
G22,5320,38,255,170.683,57.875,5320,0,243,145.270,70.327,5320,0,255,155.875,78.213
G23,5320,56,149,82.802,16.995,5320,56,149,82.802,16.995,5320,154,255,231.132,26.083
G24,5320,38,228,123.862,52.880,5320,38,228,123.862,52.880,5320,196,255,233.685,15.105
G25,5320,60,255,167.249,57.310,5320,0,243,128.684,83.536,5320,0,255,144.543,94.700
G26,5320,45,255,157.367,69.042,5320,0,71,3.294,11.047,5320,0,71,3.294,11.047
G27,5320,41,255,189.997,46.846,5320,0,244,124.352,56.087,5320,0,255,126.114,59.022
G28,5320,111,255,224.297,33.111,5320,62,150,118.935,18.737,5320,62,150,118.935,18.737
G29,5320,90,226,175.853,27.572,5320,90,226,175.851,27.574,5320,126,255,224.769,27.415
G30,5320,135,255,219.792,27.390,5320,69,241,184.111,32.696,5320,69,255,189.371,36.190
G31,5320,40,255,231.436,30.335,5320,3,251,157.870,56.906,5320,3,251,157.880,56.909
G32,5320,26,255,189.886,52.831,5320,16,219,115.156,39.386,5320,16,219,115.171,39.392
G33,5320,51,255,185.613,53.317,5320,28,217,138.337,59.095,5320,28,217,138.337,59.095
G34,5320,54,227,157.965,40.030,5320,36,222,148.745,51.577,5320,36,255,178.387,71.571
G35,5320,34,188,115.689,30.339,5320,34,168,114.627,29.315,5320,73,252,166.304,34.867
G36,5320,36,255,163.561,41.845,5320,36,250,162.369,40.845,5320,51,253,206.127,29.465
G37,5320,110,251,193.186,38.036,5320,110,249,188.266,33.994,5320,149,255,216.079,21.276
G38,5320,126,255,222.948,21.904,5320,112,245,200.471,21.898,5320,112,247,200.939,22.625
G39,5320,25,255,178.482,47.820,5320,25,246,168.470,48.514,5320,40,255,183.678,56.087
G40,5320,15,132,69.227,22.232,5320,15,132,69.227,22.232,5320,103,232,170.996,22.023
G41,5320,35,211,102.996,28.550,5320,35,211,102.996,28.550,5320,138,249,198.365,22.368
G42,5320,98,255,211.046,26.287,5320,98,248,208.536,26.644,5320,109,255,228.463,27.404
G43,5320,0,175,15.611,30.957,5320,0,175,15.611,30.957,5320,149,255,228.525,27.147
G44,5320,3,213,132.713,50.866,5320,3,202,130.300,48.414,5320,59,255,192.671,31.398
G45,5320,0,189,72.109,52.944,5320,0,180,72.040,52.806,5320,83,255,213.460,42.272
G46,5320,10,252,100.163,44.670,5320,10,225,99.505,42.999,5320,135,255,230.357,25.643
