Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,248.523,7.516,5320,0,189,103.231,48.903,5320,0,189,103.231,48.903
G2,5320,15,255,149.636,75.120,5320,15,196,116.157,43.011,5320,57,205,145.751,26.774
G3,5320,53,255,183.141,58.249,5320,41,208,151.834,35.929,5320,41,221,167.646,31.273
G4,5320,30,211,103.559,38.848,5320,30,181,100.896,36.234,5320,65,252,190.020,37.461
G5,5320,0,67,9.982,16.448,5320,0,67,9.982,16.448,5320,40,255,145.842,60.099
G6,5320,1,111,42.014,26.142,5320,1,111,42.014,26.142,5320,75,247,208.818,23.018
G7,5320,0,175,92.217,39.710,5320,0,175,92.217,39.710,5320,91,255,213.123,33.494
G8,5320,0,70,9.472,16.029,5320,0,70,9.472,16.029,5320,121,255,227.307,27.974
G9,5320,0,29,0.511,2.628,5320,0,29,0.511,2.628,5320,42,255,187.173,58.122
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,83,255,187.104,46.787
G11,5320,0,75,43.599,11.176,5320,0,75,43.599,11.176,5320,127,255,249.594,13.303
G12,5320,0,34,14.025,11.783,5320,0,34,14.025,11.783,5320,110,255,215.083,34.180
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,106,255,229.241,26.784
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,114,255,218.515,22.001
G15,5320,0,61,0.677,4.544,5320,0,61,0.677,4.544,5320,168,255,235.455,20.630
G16,5320,0,189,55.780,54.514,5320,0,174,55.338,53.560,5320,160,255,240.290,19.930
G17,5320,0,60,35.079,14.800,5320,0,60,35.079,14.800,5320,137,255,216.120,24.992
G18,5320,0,56,13.198,18.249,5320,0,56,13.198,18.249,5320,170,255,237.155,19.554
G19,5320,0,60,3.447,8.740,5320,0,60,3.447,8.740,5320,159,255,223.567,24.153
G20,5320,0,255,78.338,62.799,5320,0,215,73.023,57.906,5320,0,255,207.118,44.810
G21,5320,68,255,190.117,38.208,5320,0,215,61.261,71.876,5320,0,255,67.880,82.175
G22,5320,37,255,141.653,57.909,5320,0,216,125.355,63.081,5320,0,255,162.828,76.166
G23,5320,28,157,74.004,30.913,5320,28,157,74.004,30.913,5320,116,255,214.819,35.887
G24,5320,14,202,114.175,50.324,5320,14,202,113.572,49.641,5320,129,255,226.929,17.544
G25,5320,33,255,156.353,44.993,5320,0,212,86.638,58.238,5320,0,245,100.529,75.128
G26,5320,34,255,209.113,49.704,5320,0,207,17.296,38.040,5320,0,207,17.296,38.040
G27,5320,44,255,201.836,41.484,5320,0,223,120.502,50.880,5320,0,255,125.337,58.769
G28,5320,94,255,228.982,29.630,5320,80,198,165.724,24.560,5320,80,198,165.724,24.560
G29,5320,65,227,160.461,34.214,5320,65,212,155.147,31.110,5320,110,255,213.802,35.199
G30,5320,161,253,220.422,19.599,5320,0,228,104.061,58.326,5320,0,253,106.864,63.001
G31,5320,52,255,227.660,25.285,5320,0,133,30.608,23.576,5320,0,133,30.608,23.576
G32,5320,31,255,192.415,58.426,5320,10,211,87.504,48.747,5320,10,211,87.504,48.747
G33,5320,56,255,185.920,55.371,5320,33,217,143.186,52.743,5320,33,217,143.186,52.743
G34,5320,48,227,159.419,39.702,5320,39,226,152.177,43.951,5320,39,255,174.719,60.139
G35,5320,14,245,163.271,58.984,5320,14,234,151.657,50.061,5320,128,255,218.029,35.215
G36,5320,47,244,181.578,32.682,5320,21,244,143.361,48.681,5320,21,255,162.499,63.660
G37,5320,151,254,207.485,28.402,5320,126,252,197.597,25.564,5320,126,255,210.737,25.496
G38,5320,127,255,220.875,25.458,5320,113,246,189.800,24.440,5320,113,246,189.817,24.474
G39,5320,31,255,178.590,48.363,5320,31,242,167.942,47.488,5320,42,255,181.652,53.364
G40,5320,48,204,137.812,37.328,5320,48,204,137.812,37.328,5320,131,255,206.131,34.129
G41,5320,71,225,143.387,24.532,5320,71,223,143.374,24.499,5320,141,253,203.408,25.369
G42,5320,121,255,220.321,26.257,5320,112,254,216.528,26.519,5320,112,255,227.018,26.519
G43,5320,0,196,29.456,41.154,5320,0,196,29.456,41.154,5320,141,255,225.404,27.550
G44,5320,7,218,144.155,48.602,5320,7,218,140.449,45.863,5320,62,255,195.317,35.182
G45,5320,0,189,88.268,50.208,5320,0,187,88.198,50.078,5320,98,255,216.263,40.431
G46,5320,9,255,101.141,46.058,5320,9,219,99.670,42.142,5320,125,255,225.277,25.103
