Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,121,255,245.612,17.908,5320,0,181,81.298,49.721,5320,0,181,81.298,49.721
G2,5320,24,255,135.722,57.994,5320,24,208,108.930,35.380,5320,54,208,131.058,31.973
G3,5320,51,255,191.620,48.782,5320,38,224,162.800,35.646,5320,38,237,174.397,36.874
G4,5320,21,202,117.208,35.398,5320,21,202,116.800,35.171,5320,66,255,195.922,49.621
G5,5320,0,101,12.083,23.110,5320,0,101,12.083,23.110,5320,45,246,142.645,58.842
G6,5320,22,139,60.969,23.057,5320,22,139,60.969,23.057,5320,98,248,214.862,21.740
G7,5320,56,215,139.939,32.647,5320,56,215,139.886,32.611,5320,98,255,219.056,31.825
G8,5320,0,127,42.449,42.539,5320,0,127,42.449,42.539,5320,8,255,218.638,39.895
G9,5320,0,89,9.219,15.084,5320,0,89,9.219,15.084,5320,31,255,165.993,53.616
G10,5320,0,15,0.518,1.854,5320,0,15,0.518,1.854,5320,72,255,207.168,36.820
G11,5320,0,96,75.391,10.875,5320,0,96,75.391,10.875,5320,118,255,250.022,10.976
G12,5320,4,90,59.425,18.571,5320,4,90,59.425,18.571,5320,104,255,217.511,31.413
G13,5320,0,73,4.336,8.925,5320,0,73,4.336,8.925,5320,44,255,203.392,50.693
G14,5320,0,119,9.718,22.136,5320,0,119,9.718,22.136,5320,40,255,173.161,48.163
G15,5320,0,249,81.220,89.217,5320,0,247,78.326,84.477,5320,40,255,184.789,63.297
G16,5320,0,255,214.188,69.305,5320,0,223,122.465,53.068,5320,27,226,133.082,48.969
G17,5320,35,124,85.623,17.498,5320,35,124,85.623,17.498,5320,147,255,227.592,27.098
G18,5320,19,125,85.030,27.493,5320,19,125,85.030,27.493,5320,219,255,250.067,6.901
G19,5320,33,146,103.400,22.868,5320,33,146,103.400,22.868,5320,206,255,246.305,11.957
G20,5320,122,255,191.528,38.952,5320,122,250,186.045,33.378,5320,173,255,243.452,15.517
G21,5320,117,255,225.271,26.534,5320,26,235,143.176,52.313,5320,26,235,143.186,52.328
G22,5320,66,255,174.499,62.312,5320,20,226,125.281,70.020,5320,20,226,125.281,70.020
G23,5320,106,138,125.997,6.825,5320,106,138,125.997,6.825,5320,229,255,253.407,3.785
G24,5320,121,246,163.105,29.480,5320,121,246,162.947,29.160,5320,215,255,252.673,4.264
G25,5320,147,255,240.188,21.207,5320,43,253,182.304,46.225,5320,43,255,191.283,52.630
G26,5320,182,255,245.916,13.753,5320,0,224,65.591,64.555,5320,0,224,65.591,64.555
G27,5320,100,255,211.858,40.233,5320,0,219,62.500,69.463,5320,0,219,62.500,69.463
G28,5320,87,255,226.633,30.723,5320,1,88,53.355,13.445,5320,1,88,53.355,13.445
G29,5320,23,238,121.697,45.959,5320,23,230,115.227,43.401,5320,44,255,161.736,62.473
G30,5320,83,255,182.344,47.309,5320,0,200,55.626,44.937,5320,0,211,55.718,45.205
G31,5320,40,255,239.820,22.883,5320,0,59,1.054,4.577,5320,0,59,1.054,4.577
G32,5320,35,255,194.688,55.973,5320,0,161,28.967,47.532,5320,0,161,28.967,47.532
G33,5320,45,255,185.887,54.011,5320,0,190,95.282,57.639,5320,0,190,95.282,57.639
G34,5320,50,239,173.310,50.827,5320,25,234,154.289,69.185,5320,25,255,169.374,80.762
G35,5320,100,245,201.619,33.251,5320,0,227,89.535,59.933,5320,0,228,89.773,60.417
G36,5320,45,255,204.861,34.169,5320,0,190,18.708,43.567,5320,0,190,18.708,43.567
G37,5320,152,255,218.640,24.699,5320,67,216,164.972,34.115,5320,67,216,164.972,34.115
G38,5320,126,255,225.063,22.868,5320,100,206,162.711,19.981,5320,100,206,162.711,19.981
G39,5320,24,255,182.164,55.126,5320,24,240,162.582,51.086,5320,34,255,176.569,56.116
G40,5320,120,240,195.267,22.076,5320,0,225,74.908,63.573,5320,0,234,75.362,64.430
G41,5320,125,242,194.483,23.751,5320,40,240,174.072,28.363,5320,40,248,176.024,29.204
G42,5320,123,255,232.623,24.753,5320,99,249,207.518,25.204,5320,99,253,207.629,25.329
G43,5320,0,243,89.779,69.982,5320,0,241,89.664,69.791,5320,128,255,220.069,31.371
G44,5320,50,250,181.250,32.909,5320,48,248,168.930,35.456,5320,48,255,189.219,43.676
G45,5320,43,211,142.736,35.586,5320,42,210,141.130,33.962,5320,44,255,209.962,48.789
G46,5320,36,255,123.742,41.173,5320,36,222,122.063,37.070,5320,127,255,231.127,26.040
