Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,248.327,8.826,5320,0,171,77.225,42.899,5320,0,171,77.228,42.904
G2,5320,53,255,169.983,60.098,5320,53,175,118.364,23.724,5320,79,193,131.619,24.249
G3,5320,41,255,185.613,56.256,5320,24,210,142.778,36.444,5320,24,216,150.069,36.820
G4,5320,75,218,145.282,31.794,5320,59,218,136.036,31.983,5320,59,255,185.960,46.306
G5,5320,0,134,44.238,42.549,5320,0,134,44.238,42.549,5320,25,255,148.372,59.878
G6,5320,2,125,39.361,26.478,5320,2,125,39.361,26.478,5320,84,247,206.315,24.739
G7,5320,36,196,135.060,31.181,5320,36,193,135.002,31.149,5320,105,255,211.210,34.555
G8,5320,0,134,73.310,35.904,5320,0,134,73.310,35.904,5320,86,255,206.482,43.293
G9,5320,0,156,101.477,42.815,5320,0,156,101.477,42.815,5320,59,255,216.837,53.095
G10,5320,0,140,32.331,38.607,5320,0,140,32.331,38.607,5320,68,230,142.214,38.558
G11,5320,0,81,48.501,13.064,5320,0,81,48.501,13.064,5320,99,255,246.880,18.260
G12,5320,0,104,29.183,18.046,5320,0,104,29.183,18.046,5320,69,255,213.780,34.706
G13,5320,0,77,10.324,18.160,5320,0,77,10.324,18.160,5320,74,255,233.931,26.365
G14,5320,35,152,99.609,28.615,5320,35,152,99.609,28.615,5320,219,255,248.723,5.735
G15,5320,34,165,112.831,27.823,5320,34,165,112.831,27.823,5320,107,255,211.534,32.403
G16,5320,0,160,78.702,55.854,5320,0,160,78.702,55.854,5320,57,254,162.209,56.248
G17,5320,2,88,57.389,17.800,5320,2,88,57.389,17.800,5320,106,255,219.942,34.354
G18,5320,0,80,45.418,22.590,5320,0,80,45.418,22.590,5320,71,255,225.815,30.194
G19,5320,0,60,14.497,16.555,5320,0,60,14.497,16.555,5320,88,255,229.144,35.932
G20,5320,0,82,7.544,14.896,5320,0,82,7.544,14.896,5320,168,255,228.515,24.428
G21,5320,0,157,49.602,46.873,5320,0,157,49.602,46.873,5320,91,255,237.350,29.646
G22,5320,2,207,133.660,57.049,5320,2,207,133.495,57.102,5320,42,255,180.102,59.717
G23,5320,0,91,58.544,27.881,5320,0,91,58.544,27.881,5320,65,255,232.997,43.914
G24,5320,0,112,33.670,32.754,5320,0,112,33.670,32.754,5320,32,255,199.695,51.873
G25,5320,0,212,77.474,58.740,5320,0,212,77.474,58.740,5320,125,255,206.912,36.388
G26,5320,0,227,71.779,63.037,5320,0,227,71.762,63.004,5320,131,255,231.870,16.398
G27,5320,5,255,181.847,58.139,5320,5,250,177.685,54.583,5320,90,255,207.185,35.463
G28,5320,97,255,231.401,28.893,5320,90,236,188.806,24.720,5320,90,236,188.807,24.716
G29,5320,19,105,37.171,10.617,5320,19,105,37.171,10.617,5320,118,255,239.063,18.320
G30,5320,26,244,119.320,66.418,5320,26,236,118.978,65.838,5320,139,255,224.169,24.361
G31,5320,90,255,229.512,24.118,5320,90,247,217.252,19.798,5320,95,253,224.700,19.418
G32,5320,39,255,181.926,54.475,5320,38,245,173.683,51.340,5320,38,254,179.006,51.446
G33,5320,53,255,185.273,53.188,5320,47,253,173.283,59.301,5320,47,254,174.293,59.960
G34,5320,56,209,142.169,33.237,5320,49,209,136.226,38.500,5320,49,255,175.106,66.530
G35,5320,0,157,35.516,29.624,5320,0,157,35.514,29.617,5320,56,209,134.223,34.564
G36,5320,33,211,93.900,46.288,5320,33,208,93.719,45.912,5320,60,228,150.908,40.242
G37,5320,55,241,136.760,47.894,5320,55,241,136.760,47.894,5320,160,255,223.071,27.260
G38,5320,139,255,213.187,21.281,5320,134,253,212.109,20.660,5320,135,255,224.041,19.894
G39,5320,15,238,165.068,48.342,5320,15,238,163.202,48.304,5320,41,255,194.163,54.463
G40,5320,0,66,22.660,19.842,5320,0,66,22.660,19.842,5320,104,255,206.974,34.595
G41,5320,0,137,45.634,29.466,5320,0,137,45.634,29.466,5320,157,255,233.721,19.232
G42,5320,95,236,182.895,27.692,5320,95,236,182.791,27.767,5320,126,255,232.005,25.128
G43,5320,0,129,6.902,20.400,5320,0,129,6.902,20.400,5320,138,255,216.997,29.610
G44,5320,9,212,138.765,45.579,5320,9,194,135.176,42.057,5320,60,255,195.011,35.330
G45,5320,8,253,106.854,41.558,5320,8,250,106.659,41.210,5320,52,255,209.283,47.174
G46,5320,9,255,96.900,46.711,5320,9,205,95.416,42.892,5320,97,255,227.820,25.263
