Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,190,255,248.520,9.877,5320,0,211,112.288,49.664,5320,0,211,112.288,49.664
G2,5320,33,255,163.401,70.598,5320,33,207,129.041,42.244,5320,67,215,147.110,31.474
G3,5320,50,255,172.377,69.083,5320,46,250,149.383,50.365,5320,46,255,169.440,38.292
G4,5320,8,222,79.514,40.594,5320,8,180,76.704,34.710,5320,73,255,174.370,44.905
G5,5320,0,166,11.696,24.440,5320,0,166,11.695,24.437,5320,46,255,116.371,42.802
G6,5320,0,86,24.964,24.028,5320,0,86,24.964,24.028,5320,77,248,209.046,22.803
G7,5320,0,119,53.427,36.098,5320,0,119,53.427,36.098,5320,80,255,210.290,45.694
G8,5320,0,49,3.104,7.935,5320,0,49,3.104,7.935,5320,177,255,244.769,15.642
G9,5320,0,8,0.045,0.463,5320,0,8,0.045,0.463,5320,49,255,175.861,62.548
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,38,255,203.788,46.655
G11,5320,0,58,17.125,14.180,5320,0,58,17.125,14.180,5320,129,255,249.758,12.387
G12,5320,0,12,0.276,1.184,5320,0,12,0.276,1.184,5320,91,255,214.831,34.845
G13,5320,0,23,2.895,5.432,5320,0,23,2.895,5.432,5320,112,255,205.958,38.084
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,62,255,168.716,68.282
G15,5320,0,8,0.090,0.654,5320,0,8,0.090,0.654,5320,205,255,248.401,10.930
G16,5320,0,102,42.894,34.669,5320,0,102,42.894,34.669,5320,137,255,248.499,14.325
G17,5320,0,50,17.038,14.832,5320,0,50,17.038,14.832,5320,139,255,227.620,24.947
G18,5320,0,49,5.963,10.474,5320,0,49,5.963,10.474,5320,105,252,203.817,33.914
G19,5320,0,19,1.415,3.258,5320,0,19,1.415,3.258,5320,89,255,192.529,49.324
G20,5320,0,59,16.502,16.503,5320,0,59,16.502,16.503,5320,176,255,235.615,15.614
G21,5320,0,77,15.429,20.321,5320,0,77,15.429,20.321,5320,165,255,230.244,16.220
G22,5320,4,223,122.603,67.393,5320,4,223,121.750,66.901,5320,44,255,178.786,60.125
G23,5320,0,74,22.384,24.991,5320,0,74,22.384,24.991,5320,59,255,176.561,49.744
G24,5320,0,157,27.831,44.314,5320,0,157,27.831,44.314,5320,25,255,170.161,54.194
G25,5320,11,231,110.619,55.802,5320,11,224,107.242,52.236,5320,112,255,197.214,34.098
G26,5320,50,255,170.456,49.051,5320,50,225,162.131,43.570,5320,134,255,219.381,29.849
G27,5320,36,255,202.970,46.009,5320,36,229,128.149,45.503,5320,49,255,135.915,51.334
G28,5320,99,255,223.269,34.675,5320,70,183,145.537,23.711,5320,70,183,145.537,23.711
G29,5320,0,192,28.992,51.573,5320,0,168,23.357,46.018,5320,0,255,141.578,69.722
G30,5320,0,255,186.030,76.628,5320,0,230,148.465,67.257,5320,0,255,185.306,55.256
G31,5320,145,255,237.828,18.004,5320,78,204,119.518,23.583,5320,78,204,119.520,23.585
G32,5320,38,255,186.497,47.199,5320,13,201,86.255,41.882,5320,13,201,86.255,41.882
G33,5320,50,255,186.196,55.034,5320,22,211,133.756,53.822,5320,22,211,133.756,53.822
G34,5320,53,228,157.304,42.105,5320,36,228,146.100,49.182,5320,36,255,168.129,66.796
G35,5320,2,246,135.533,68.018,5320,2,236,134.170,66.252,5320,162,255,232.594,21.452
G36,5320,83,255,205.551,31.444,5320,76,249,188.144,40.369,5320,76,250,192.930,42.025
G37,5320,161,255,212.260,24.943,5320,116,247,196.293,25.400,5320,116,252,204.894,28.458
G38,5320,132,255,224.510,19.570,5320,114,238,189.098,20.382,5320,114,238,189.106,20.399
G39,5320,32,255,180.398,51.163,5320,32,253,170.656,52.539,5320,33,254,184.249,57.844
G40,5320,34,215,124.877,42.137,5320,34,215,124.836,42.071,5320,61,240,170.894,41.537
G41,5320,81,230,155.391,24.125,5320,81,222,155.322,23.963,5320,100,249,195.778,24.490
G42,5320,123,255,227.123,25.295,5320,107,251,219.504,26.287,5320,107,255,223.443,27.052
G43,5320,0,216,72.414,49.734,5320,0,216,72.414,49.734,5320,141,255,217.540,29.367
G44,5320,63,233,173.757,30.586,5320,62,233,162.286,31.430,5320,68,255,188.827,42.718
G45,5320,44,196,138.561,35.626,5320,44,186,137.181,34.119,5320,47,255,209.447,49.748
G46,5320,2,255,95.412,46.819,5320,2,235,94.895,45.401,5320,127,255,231.712,26.741
