Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,164,255,238.099,20.730,5320,0,228,95.225,61.644,5320,0,229,95.230,61.654
G2,5320,22,255,150.526,66.886,5320,22,188,106.270,34.022,5320,59,251,135.151,42.225
G3,5320,30,255,150.032,56.152,5320,30,238,139.361,44.776,5320,53,255,187.105,47.189
G4,5320,48,245,91.639,39.754,5320,48,191,89.370,34.272,5320,56,251,213.079,33.909
G5,5320,0,83,21.696,21.876,5320,0,83,21.696,21.876,5320,34,255,172.126,62.691
G6,5320,0,83,13.186,18.270,5320,0,83,13.186,18.270,5320,71,249,197.683,25.745
G7,5320,0,141,85.613,35.084,5320,0,141,85.613,35.084,5320,98,255,232.182,23.882
G8,5320,0,95,34.204,24.177,5320,0,95,34.204,24.177,5320,138,255,238.841,15.799
G9,5320,0,49,5.106,10.172,5320,0,49,5.106,10.172,5320,43,255,198.382,65.409
G10,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,79,216,131.605,26.688
G11,5320,0,17,1.158,3.251,5320,0,17,1.158,3.251,5320,100,255,244.673,19.651
G12,5320,0,72,31.302,22.088,5320,0,72,31.302,22.088,5320,76,255,176.920,49.023
G13,5320,7,60,22.467,12.991,5320,7,60,22.467,12.991,5320,77,255,162.507,54.932
G14,5320,0,47,29.040,9.895,5320,0,47,29.040,9.895,5320,92,255,210.619,30.687
G15,5320,0,47,5.566,11.067,5320,0,47,5.566,11.067,5320,84,246,157.957,38.614
G16,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,130,255,214.939,28.972
G17,5320,0,42,2.787,8.060,5320,0,42,2.787,8.060,5320,111,255,199.273,27.990
G18,5320,0,93,44.173,24.531,5320,0,93,44.173,24.531,5320,114,255,222.178,32.134
G19,5320,2,95,50.661,21.667,5320,2,95,50.661,21.667,5320,88,244,181.489,36.232
G20,5320,0,52,9.206,15.630,5320,0,52,9.206,15.630,5320,89,255,217.747,33.686
G21,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,109,255,206.100,44.156
G22,5320,0,171,91.139,53.428,5320,0,171,91.139,53.428,5320,46,255,173.521,55.282
G23,5320,0,83,32.630,27.255,5320,0,83,32.630,27.255,5320,131,255,224.414,25.925
G24,5320,2,98,75.029,17.672,5320,2,98,75.029,17.672,5320,107,255,232.055,24.595
G25,5320,0,83,15.827,24.958,5320,0,83,15.827,24.958,5320,92,255,207.008,32.957
G26,5320,0,224,32.299,54.888,5320,0,224,32.299,54.888,5320,101,255,206.824,34.472
G27,5320,0,237,159.028,48.059,5320,0,237,159.028,48.059,5320,78,255,218.867,33.932
G28,5320,56,244,192.318,41.186,5320,56,244,192.163,41.199,5320,65,255,213.877,40.722
G29,5320,0,74,17.242,23.720,5320,0,74,17.242,23.720,5320,225,255,251.328,6.359
G30,5320,0,119,30.055,32.851,5320,0,119,30.055,32.851,5320,222,255,252.310,5.153
G31,5320,0,241,127.657,61.119,5320,0,241,127.657,61.119,5320,88,255,214.156,26.906
G32,5320,32,243,171.986,55.213,5320,32,243,171.986,55.213,5320,39,255,189.210,57.240
G33,5320,60,245,155.721,47.407,5320,60,245,155.687,47.425,5320,76,255,172.645,49.619
G34,5320,73,187,131.894,28.254,5320,73,187,131.873,28.269,5320,76,255,191.352,51.417
G35,5320,0,3,0.022,0.196,5320,0,3,0.022,0.196,5320,141,255,205.810,37.709
G36,5320,0,134,22.695,39.655,5320,0,134,22.695,39.655,5320,69,255,196.902,36.515
G37,5320,110,238,171.975,39.600,5320,110,238,171.975,39.600,5320,173,255,223.391,21.285
G38,5320,152,249,224.163,14.347,5320,138,248,223.561,15.268,5320,138,255,234.058,17.000
G39,5320,31,230,146.432,46.256,5320,31,229,141.199,46.586,5320,37,255,167.930,56.460
G40,5320,0,124,66.691,40.061,5320,0,124,66.691,40.061,5320,107,255,227.991,34.019
G41,5320,87,211,123.782,23.071,5320,87,211,123.782,23.071,5320,145,255,203.586,24.552
G42,5320,69,252,214.395,24.558,5320,69,250,212.778,26.527,5320,70,255,227.234,30.123
G43,5320,63,205,105.844,24.689,5320,63,205,105.844,24.689,5320,125,255,217.490,27.315
G44,5320,57,218,176.730,27.410,5320,57,218,171.124,25.802,5320,60,255,197.986,35.408
G45,5320,89,205,137.095,26.878,5320,89,205,137.056,26.794,5320,135,255,214.830,27.394
G46,5320,0,247,56.521,71.577,5320,0,245,56.441,71.371,5320,135,255,229.067,27.167
