Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,130,255,233.797,29.619,5320,0,172,55.301,47.186,5320,0,172,55.301,47.186
G2,5320,29,255,169.400,56.186,5320,0,146,88.809,39.943,5320,0,218,103.393,50.410
G3,5320,52,255,172.116,60.380,5320,43,244,143.406,43.358,5320,43,253,172.635,44.629
G4,5320,0,237,75.107,60.886,5320,0,148,68.077,50.552,5320,89,255,203.831,44.519
G5,5320,0,117,10.340,20.357,5320,0,117,10.340,20.357,5320,46,255,200.040,61.633
G6,5320,3,127,48.910,28.923,5320,3,127,48.910,28.923,5320,85,255,196.246,38.584
G7,5320,38,154,107.837,22.717,5320,38,154,107.837,22.717,5320,88,255,208.959,34.008
G8,5320,0,65,6.251,13.212,5320,0,65,6.251,13.212,5320,115,255,201.148,37.430
G9,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,153,255,227.361,25.684
G10,5320,0,24,0.969,3.126,5320,0,24,0.969,3.126,5320,49,255,194.532,52.694
G11,5320,0,71,33.805,17.036,5320,0,71,33.805,17.036,5320,110,255,252.260,7.652
G12,5320,0,98,58.327,25.354,5320,0,98,58.327,25.354,5320,75,255,225.415,26.052
G13,5320,0,57,6.273,12.337,5320,0,57,6.273,12.337,5320,71,255,218.299,42.485
G14,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,56,255,203.537,52.951
G15,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,75,255,206.675,43.715
G16,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,30,249,166.838,43.295
G17,5320,0,63,31.080,16.451,5320,0,63,31.080,16.451,5320,83,255,221.195,30.657
G18,5320,0,40,1.968,5.450,5320,0,40,1.968,5.450,5320,69,255,195.111,51.551
G19,5320,0,26,0.504,2.530,5320,0,26,0.504,2.530,5320,177,255,232.534,14.091
G20,5320,0,53,16.470,16.430,5320,0,53,16.470,16.430,5320,21,255,186.372,59.179
G21,5320,0,55,0.276,3.029,5320,0,55,0.276,3.029,5320,29,255,200.775,55.668
G22,5320,0,178,85.800,51.922,5320,0,178,85.800,51.922,5320,43,255,164.959,62.525
G23,5320,0,66,20.591,22.996,5320,0,66,20.591,22.996,5320,204,255,237.457,15.072
G24,5320,0,82,12.229,20.401,5320,0,82,12.229,20.401,5320,180,255,246.042,11.987
G25,5320,0,176,88.328,38.160,5320,0,176,88.328,38.160,5320,59,255,213.145,35.927
G26,5320,0,255,86.448,83.565,5320,0,220,83.317,78.379,5320,29,255,160.883,65.010
G27,5320,68,255,196.546,37.481,5320,68,220,177.933,24.159,5320,149,255,200.574,23.135
G28,5320,67,255,202.861,47.899,5320,62,254,191.395,44.489,5320,62,255,197.421,44.973
G29,5320,0,59,4.247,8.246,5320,0,59,4.247,8.246,5320,118,255,194.269,35.036
G30,5320,0,174,47.659,52.563,5320,0,174,47.659,52.563,5320,180,255,242.687,14.017
G31,5320,2,255,151.339,74.180,5320,2,247,142.688,65.427,5320,69,255,215.389,27.962
G32,5320,51,255,178.535,56.608,5320,42,242,146.864,44.931,5320,42,242,147.616,44.782
G33,5320,78,255,170.942,45.507,5320,72,242,164.332,41.291,5320,72,242,171.417,41.979
G34,5320,63,193,125.369,31.835,5320,63,193,125.304,31.848,5320,82,255,182.220,51.794
G35,5320,0,25,1.467,3.923,5320,0,25,1.467,3.923,5320,125,250,190.030,27.736
G36,5320,0,159,55.839,34.682,5320,0,159,55.838,34.682,5320,51,250,193.515,33.432
G37,5320,67,253,178.429,47.233,5320,67,246,177.170,45.681,5320,77,255,219.303,29.720
G38,5320,128,255,232.587,18.968,5320,104,253,218.326,20.346,5320,104,253,219.437,20.736
G39,5320,36,255,165.343,51.241,5320,27,244,148.833,55.127,5320,27,244,158.581,61.210
G40,5320,4,138,82.877,33.489,5320,4,138,82.877,33.489,5320,158,255,240.410,16.481
G41,5320,62,224,130.807,38.931,5320,62,224,130.807,38.931,5320,104,255,203.907,34.197
G42,5320,84,255,225.949,24.481,5320,84,251,220.829,28.498,5320,87,255,228.834,30.849
G43,5320,78,210,130.078,22.454,5320,78,210,130.078,22.454,5320,116,255,215.887,29.630
G44,5320,59,222,187.061,27.445,5320,59,222,180.306,31.883,5320,64,255,201.392,45.217
G45,5320,65,205,160.235,23.774,5320,65,205,159.591,23.847,5320,79,255,217.589,36.598
G46,5320,10,255,115.725,51.795,5320,10,243,113.220,46.114,5320,125,255,232.797,26.706
