Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,210,255,242.108,9.776,5320,39,176,78.776,27.174,5320,39,176,78.776,27.174
G2,5320,71,255,215.624,48.522,5320,0,101,35.451,27.405,5320,0,101,35.451,27.405
G3,5320,53,255,225.315,42.907,5320,0,127,78.995,31.400,5320,0,127,78.995,31.400
G4,5320,55,255,164.074,43.322,5320,0,93,16.529,25.977,5320,0,93,16.529,25.977
G5,5320,38,246,180.221,42.381,5320,0,120,36.876,30.717,5320,0,120,36.876,30.717
G6,5320,136,255,209.824,26.343,5320,5,136,95.778,24.844,5320,5,136,95.778,24.844
G7,5320,64,255,195.851,36.441,5320,37,133,91.104,17.920,5320,37,133,91.104,17.920
G8,5320,49,255,189.855,52.467,5320,32,108,72.525,15.276,5320,32,108,72.525,15.276
G9,5320,59,249,167.649,40.949,5320,0,170,66.878,41.580,5320,0,170,66.878,41.580
G10,5320,138,255,232.282,30.085,5320,98,212,169.659,24.550,5320,98,224,173.312,27.059
G11,5320,169,255,233.391,16.139,5320,57,204,136.800,36.861,5320,57,204,136.800,36.861
G12,5320,112,255,224.593,24.844,5320,28,193,121.327,31.181,5320,28,193,121.327,31.181
G13,5320,50,253,153.294,40.078,5320,0,224,91.738,45.549,5320,0,232,91.839,45.745
G14,5320,55,255,193.695,42.398,5320,30,246,147.090,48.718,5320,30,250,147.325,49.098
G15,5320,51,255,185.449,35.930,5320,24,209,103.336,42.473,5320,24,209,103.338,42.477
G16,5320,180,255,227.915,21.392,5320,63,215,109.493,35.165,5320,63,215,109.493,35.165
G17,5320,65,249,159.444,47.305,5320,0,163,59.694,38.533,5320,0,163,59.694,38.533
G18,5320,30,203,130.080,37.629,5320,30,203,130.080,37.629,5320,64,253,204.391,38.342
G19,5320,98,255,204.920,39.667,5320,98,252,193.594,34.711,5320,134,255,209.017,27.706
G20,5320,177,255,235.956,18.634,5320,144,227,193.630,14.449,5320,144,227,193.630,14.449
G21,5320,199,255,251.471,9.268,5320,152,213,202.866,10.322,5320,152,213,202.866,10.322
G22,5320,129,255,197.416,35.276,5320,116,225,170.388,27.390,5320,116,233,170.950,27.618
G23,5320,112,254,216.698,36.440,5320,109,251,211.488,37.909,5320,109,255,215.575,38.098
G24,5320,151,255,213.439,18.478,5320,151,249,207.590,14.757,5320,165,255,238.155,20.269
G25,5320,49,255,213.735,42.857,5320,42,247,190.869,43.591,5320,42,255,195.637,47.016
G26,5320,64,244,166.961,37.350,5320,47,169,90.302,21.350,5320,47,169,90.302,21.350
G27,5320,33,197,147.389,34.542,5320,33,197,147.389,34.542,5320,76,255,224.351,38.679
G28,5320,111,255,211.761,27.489,5320,111,248,207.409,23.802,5320,144,255,236.602,22.268
G29,5320,127,255,226.565,30.311,5320,91,232,174.436,30.558,5320,91,232,174.436,30.558
G30,5320,172,255,232.951,25.431,5320,54,210,136.916,39.566,5320,54,210,136.916,39.566
G31,5320,140,255,222.923,28.452,5320,48,216,124.726,39.736,5320,48,216,124.726,39.736
G32,5320,99,255,214.620,45.468,5320,94,212,157.233,28.657,5320,94,212,157.845,27.975
G33,5320,51,232,174.234,37.445,5320,47,213,164.154,38.192,5320,47,252,176.069,44.904
G34,5320,74,255,209.884,44.880,5320,73,214,178.806,29.228,5320,73,236,180.665,29.673
G35,5320,67,255,169.017,50.321,5320,44,207,125.651,42.392,5320,44,207,125.651,42.392
G36,5320,50,205,145.537,39.299,5320,50,205,145.537,39.299,5320,87,255,228.450,32.657
G37,5320,110,255,203.825,38.793,5320,110,253,198.376,33.610,5320,140,255,222.544,26.392
G38,5320,119,255,204.228,36.385,5320,86,234,156.259,39.911,5320,86,234,156.259,39.911
G39,5320,124,255,220.386,26.845,5320,35,199,125.722,44.766,5320,35,199,125.722,44.766
G40,5320,106,240,191.717,32.598,5320,14,119,51.694,22.172,5320,14,119,51.694,22.172
G41,5320,42,255,186.476,60.994,5320,12,223,114.907,66.177,5320,12,223,114.907,66.177
G42,5320,49,255,175.670,45.364,5320,43,222,144.464,32.356,5320,43,222,144.464,32.356
G43,5320,102,255,225.410,23.141,5320,75,193,153.245,21.786,5320,75,193,153.245,21.786
G44,5320,44,255,151.034,50.935,5320,28,211,113.549,46.961,5320,28,211,114.305,47.381
G45,5320,3,255,162.566,55.000,5320,3,249,157.684,51.285,5320,4,255,181.673,56.572
G46,5320,154,255,230.095,25.598,5320,123,241,180.985,27.451,5320,123,246,183.762,29.316
G47,5320,113,255,235.016,26.545,5320,36,193,135.411,36.099,5320,36,193,135.411,36.099
G48,5320,89,255,187.952,33.759,5320,53,198,129.645,31.845,5320,53,198,129.645,31.845
G49,5320,161,255,215.031,21.381,5320,58,209,137.943,31.798,5320,58,209,137.943,31.798
G50,5320,95,255,221.324,31.334,5320,47,215,104.054,39.812,5320,47,215,104.054,39.812
G51,5320,104,255,222.901,29.388,5320,31,149,89.795,19.418,5320,31,149,89.795,19.418
G52,5320,103,255,186.612,40.232,5320,29,131,64.769,27.427,5320,29,131,64.769,27.427
G53,5320,41,255,209.369,56.844,5320,0,80,45.490,19.936,5320,0,80,45.535,19.974
G54,5320,113,255,235.476,28.980,5320,113,254,212.382,34.042,5320,127,254,217.278,29.371
G55,5320,168,255,234.449,24.500,5320,58,193,122.530,24.984,5320,58,193,122.530,24.984
G56,5320,147,255,228.293,33.434,5320,14,139,55.618,32.098,5320,14,139,55.618,32.098
G57,5320,97,253,198.680,28.747,5320,23,252,163.133,53.069,5320,23,255,164.472,54.792
G58,5320,66,255,154.401,54.176,5320,49,252,126.271,59.057,5320,49,255,126.935,60.316
G59,5320,28,254,183.508,40.415,5320,20,224,109.899,37.512,5320,20,242,113.292,43.906
G60,5320,32,235,171.428,47.336,5320,13,113,78.528,27.038,5320,13,113,78.528,27.038
G61,5320,90,255,162.903,37.635,5320,24,161,73.617,33.705,5320,24,161,73.617,33.705
G62,5320,60,255,177.690,57.642,5320,0,214,30.472,32.604,5320,0,255,31.318,37.072
G63,5320,46,255,181.003,47.893,5320,29,197,97.650,46.892,5320,29,249,99.219,49.668
G64,5320,110,255,186.783,43.065,5320,8,232,92.167,70.480,5320,8,247,92.786,71.599
G65,5320,153,247,203.780,22.458,5320,130,241,198.714,24.061,5320,130,255,237.381,27.503
G66,5320,51,237,147.198,47.294,5320,51,237,146.521,46.885,5320,71,255,190.808,45.154
G67,5320,26,252,188.632,35.278,5320,24,238,179.816,35.130,5320,24,255,208.220,43.531
G68,5320,169,255,230.864,24.832,5320,90,235,156.757,40.869,5320,90,237,156.924,41.152
G69,5320,180,255,247.404,13.166,5320,96,165,127.340,13.991,5320,96,165,127.340,13.991
G70,5320,43,255,190.898,48.669,5320,43,179,120.805,26.790,5320,46,205,122.400,26.703
G71,5320,120,255,221.680,30.312,5320,120,228,175.387,15.305,5320,142,246,180.007,17.799
G72,5320,115,255,223.490,27.301,5320,115,246,205.369,21.541,5320,155,255,220.507,23.109
G73,5320,77,240,157.585,33.330,5320,77,238,157.569,33.294,5320,150,255,241.147,22.399
G74,5320,48,216,106.885,27.158,5320,48,216,106.885,27.158,5320,61,255,181.902,45.829
G75,5320,50,216,129.041,26.694,5320,50,216,129.041,26.694,5320,66,248,191.405,37.512
G76,5320,81,255,190.806,50.099,5320,81,252,177.623,39.439,5320,139,254,201.525,25.667
G77,5320,60,255,213.237,38.727,5320,57,241,161.897,29.566,5320,57,242,162.054,29.849
G78,5320,14,209,133.273,44.988,5320,14,209,133.273,44.988,5320,30,255,202.140,59.886
G79,5320,112,229,162.483,26.551,5320,112,226,162.299,26.201,5320,177,255,235.160,17.283
G80,5320,52,166,130.359,19.936,5320,52,166,130.359,19.936,5320,107,255,236.751,23.162
G81,5320,67,152,117.405,13.185,5320,67,152,117.405,13.185,5320,131,255,229.449,20.755
G82,5320,39,140,103.149,26.228,5320,39,140,103.149,26.228,5320,170,255,229.357,24.344
G83,5320,14,223,57.831,43.120,5320,14,223,57.823,43.090,5320,93,255,232.292,31.390
G84,5320,31,247,161.180,34.887,5320,31,218,143.449,31.112,5320,47,249,169.238,45.583
G85,5320,90,163,132.006,16.890,5320,90,163,132.006,16.890,5320,138,255,202.099,25.214
G86,5320,62,151,114.466,20.767,5320,62,151,114.466,20.767,5320,102,249,185.948,33.637
G87,5320,112,201,160.162,18.921,5320,112,201,160.162,18.920,5320,155,255,226.288,22.486
G88,5320,103,196,173.223,15.692,5320,103,196,173.223,15.692,5320,169,255,241.570,18.675
G89,5320,69,195,144.781,25.383,5320,69,195,144.781,25.383,5320,150,255,242.995,18.316
G90,5320,5,146,84.220,40.528,5320,5,146,84.220,40.528,5320,38,252,170.457,54.358
G91,5320,27,255,119.740,59.794,5320,27,255,116.015,54.509,5320,32,255,138.499,51.997
G92,5320,37,233,159.793,52.198,5320,0,52,12.897,10.208,5320,0,52,12.897,10.208
G93,5320,79,255,215.723,38.265,5320,0,64,5.295,10.995,5320,0,64,5.295,10.995
G94,5320,162,255,230.855,19.644,5320,0,177,101.561,53.719,5320,0,177,101.561,53.719
G95,5320,78,255,196.440,58.900,5320,50,180,127.051,32.094,5320,50,180,127.051,32.094
G96,5320,125,247,169.365,26.716,5320,121,227,167.860,25.092,5320,121,255,233.511,23.767
G97,5320,0,255,134.454,56.754,5320,0,199,124.200,50.238,5320,32,255,205.246,47.597
G98,5320,24,255,148.269,61.533,5320,24,245,132.049,46.055,5320,47,255,186.723,45.757
G99,5320,18,252,116.537,30.617,5320,18,201,116.068,29.460,5320,27,255,207.492,45.734
G100,5320,38,254,166.371,40.350,5320,38,248,165.817,39.763,5320,59,255,213.785,34.409
