Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,243.218,9.563,5320,51,183,96.708,24.224,5320,51,183,96.708,24.224
G2,5320,73,255,218.650,46.051,5320,4,117,63.235,26.131,5320,4,117,63.235,26.131
G3,5320,45,255,225.338,43.149,5320,11,144,101.475,28.991,5320,11,144,101.475,28.991
G4,5320,42,230,158.872,42.862,5320,3,104,41.400,23.273,5320,3,104,41.400,23.273
G5,5320,38,255,193.786,51.015,5320,0,202,76.952,61.154,5320,0,202,76.952,61.154
G6,5320,153,255,212.643,31.659,5320,0,238,137.079,64.607,5320,0,238,137.079,64.607
G7,5320,81,255,193.415,35.094,5320,56,218,149.907,38.564,5320,56,218,149.907,38.564
G8,5320,48,255,189.005,55.074,5320,33,125,81.472,19.914,5320,33,125,81.472,19.914
G9,5320,56,255,175.348,43.825,5320,0,181,70.756,43.499,5320,0,181,70.756,43.499
G10,5320,135,255,232.764,29.428,5320,113,210,176.422,22.376,5320,113,229,179.549,24.467
G11,5320,187,255,234.770,16.388,5320,63,215,149.825,38.136,5320,63,215,149.825,38.136
G12,5320,99,255,215.925,46.418,5320,45,186,135.645,29.181,5320,45,186,138.286,29.642
G13,5320,40,255,128.512,53.103,5320,22,206,110.386,39.850,5320,22,207,133.128,49.338
G14,5320,45,255,172.347,46.630,5320,40,242,163.487,41.451,5320,40,242,179.861,39.987
G15,5320,42,254,184.725,38.176,5320,31,229,127.553,46.917,5320,31,229,127.559,46.925
G16,5320,180,255,228.738,19.313,5320,59,215,122.338,33.484,5320,59,215,122.338,33.484
G17,5320,63,245,158.224,44.393,5320,0,167,62.668,40.406,5320,0,167,62.668,40.406
G18,5320,30,201,129.542,38.368,5320,30,201,129.542,38.368,5320,71,253,201.928,37.743
G19,5320,96,255,203.779,37.536,5320,96,252,195.890,35.317,5320,126,255,212.556,32.814
G20,5320,111,255,214.183,26.331,5320,97,250,191.203,29.277,5320,97,255,191.957,30.339
G21,5320,35,255,158.876,61.791,5320,35,253,143.711,53.953,5320,59,255,152.264,46.867
G22,5320,28,255,139.542,71.991,5320,28,200,123.295,53.850,5320,31,209,166.411,38.736
G23,5320,24,247,140.404,52.520,5320,24,204,127.548,46.744,5320,37,226,148.179,43.471
G24,5320,171,255,225.960,17.359,5320,139,246,212.419,23.134,5320,139,254,214.124,24.495
G25,5320,53,255,216.734,43.066,5320,45,248,192.582,46.108,5320,45,254,193.457,46.986
G26,5320,66,244,168.115,38.870,5320,46,173,94.613,23.157,5320,46,173,94.613,23.157
G27,5320,31,198,154.233,33.891,5320,31,198,154.233,33.891,5320,73,255,231.981,35.480
G28,5320,105,253,212.261,21.682,5320,105,252,211.842,21.515,5320,115,255,239.415,22.331
G29,5320,172,255,224.396,21.050,5320,157,251,218.537,21.100,5320,157,255,219.494,21.447
G30,5320,129,255,219.071,29.521,5320,129,251,216.338,28.071,5320,135,255,224.528,29.261
G31,5320,204,255,246.981,9.770,5320,148,239,193.417,23.956,5320,148,239,193.417,23.956
G32,5320,51,247,175.023,52.444,5320,42,174,128.519,34.117,5320,42,174,128.519,34.117
G33,5320,62,245,182.136,43.401,5320,47,215,128.214,36.919,5320,47,215,128.214,36.919
G34,5320,72,255,214.402,41.875,5320,63,213,162.835,31.206,5320,63,213,162.835,31.206
G35,5320,66,255,168.061,51.558,5320,45,206,123.595,40.754,5320,45,206,123.595,40.754
G36,5320,62,224,172.009,31.163,5320,62,224,172.009,31.163,5320,90,255,228.909,35.483
G37,5320,105,255,203.625,38.422,5320,105,254,202.684,37.491,5320,115,255,225.290,31.913
G38,5320,187,255,240.041,14.440,5320,162,252,216.241,21.626,5320,162,252,216.303,21.711
G39,5320,126,255,215.846,29.313,5320,117,244,197.552,22.625,5320,117,244,198.210,22.262
G40,5320,138,255,241.054,19.044,5320,110,235,196.210,22.006,5320,110,235,196.210,22.006
G41,5320,123,255,229.301,32.246,5320,102,211,177.310,23.344,5320,102,211,177.310,23.344
G42,5320,65,251,185.545,41.107,5320,47,195,141.001,27.882,5320,47,195,141.001,27.882
