Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,244.961,7.639,5320,52,174,91.394,24.103,5320,52,174,91.394,24.103
G2,5320,77,255,216.319,46.579,5320,0,114,59.173,27.833,5320,0,114,59.173,27.833
G3,5320,47,255,224.885,43.675,5320,0,141,98.257,30.738,5320,0,141,98.257,30.738
G4,5320,46,202,139.433,35.261,5320,0,80,2.599,10.245,5320,0,80,2.599,10.245
G5,5320,83,245,178.478,41.054,5320,0,120,32.890,34.937,5320,0,120,32.890,34.937
G6,5320,133,255,216.647,33.745,5320,15,140,93.243,22.492,5320,15,140,93.243,22.492
G7,5320,60,255,197.030,40.378,5320,32,126,89.336,20.761,5320,32,126,89.336,20.761
G8,5320,53,255,187.537,57.282,5320,28,97,64.955,14.456,5320,28,97,64.955,14.456
G9,5320,58,254,175.532,44.707,5320,0,181,68.471,43.658,5320,0,181,68.471,43.658
G10,5320,135,255,234.506,26.455,5320,115,211,165.362,19.566,5320,115,224,167.425,22.643
G11,5320,186,255,238.467,13.071,5320,83,186,144.745,22.407,5320,83,186,144.745,22.407
G12,5320,32,255,222.323,46.185,5320,0,158,107.135,39.040,5320,0,158,107.135,39.040
G13,5320,37,244,176.111,50.314,5320,0,162,76.109,32.886,5320,0,162,76.109,32.886
G14,5320,42,253,194.694,43.961,5320,23,220,120.543,36.557,5320,23,220,120.543,36.557
G15,5320,49,255,195.421,40.452,5320,22,202,101.801,42.213,5320,22,202,101.801,42.213
G16,5320,163,255,229.103,19.774,5320,55,194,104.142,31.930,5320,55,194,104.142,31.930
G17,5320,60,244,170.982,46.818,5320,0,164,58.147,40.928,5320,0,164,58.147,40.928
G18,5320,33,207,136.580,40.032,5320,33,207,136.580,40.032,5320,66,251,204.497,37.786
G19,5320,101,255,212.256,36.601,5320,101,253,191.863,31.896,5320,131,255,200.779,30.980
G20,5320,166,255,233.793,19.432,5320,101,214,151.517,20.046,5320,101,214,151.517,20.046
G21,5320,178,255,249.869,12.277,5320,105,225,165.303,25.694,5320,105,225,165.303,25.694
G22,5320,80,255,213.521,35.154,5320,60,236,175.050,34.614,5320,60,236,175.050,34.614
G23,5320,70,251,179.351,36.703,5320,50,210,151.833,28.350,5320,50,213,152.607,28.612
G24,5320,83,255,209.925,36.824,5320,83,250,198.899,29.760,5320,93,255,230.732,29.397
G25,5320,48,255,209.730,43.898,5320,41,243,185.892,41.586,5320,41,255,193.943,46.684
G26,5320,63,249,167.325,38.661,5320,46,174,91.035,23.383,5320,46,174,91.035,23.383
G27,5320,36,220,167.449,39.732,5320,36,220,167.449,39.732,5320,81,255,225.667,38.104
G28,5320,112,255,225.556,22.072,5320,112,253,215.422,21.046,5320,127,255,229.904,26.584
G29,5320,165,255,226.358,25.607,5320,112,213,164.009,21.919,5320,112,213,164.009,21.919
G30,5320,163,255,234.604,27.182,5320,122,225,187.194,27.219,5320,122,225,187.194,27.219
G31,5320,132,255,226.249,27.277,5320,95,236,182.583,31.468,5320,95,236,182.583,31.468
G32,5320,99,255,203.947,34.827,5320,99,224,181.275,22.965,5320,100,224,181.313,22.908
G33,5320,50,194,150.436,34.962,5320,50,194,149.494,35.195,5320,50,249,166.123,46.400
G34,5320,71,255,207.475,47.132,5320,71,218,181.569,30.126,5320,76,231,185.525,29.034
G35,5320,66,255,169.746,49.911,5320,49,211,130.067,42.406,5320,49,211,130.067,42.406
G36,5320,95,255,220.212,34.332,5320,43,253,153.446,67.204,5320,43,255,163.258,76.830
G37,5320,114,255,218.535,31.629,5320,114,251,205.293,25.396,5320,118,255,212.302,26.893
G38,5320,170,255,227.645,22.444,5320,97,217,161.467,24.691,5320,97,217,161.467,24.691
G39,5320,178,255,235.970,19.143,5320,100,175,136.955,20.981,5320,100,175,136.955,20.981
G40,5320,139,255,232.657,21.293,5320,36,182,93.305,28.313,5320,36,182,93.305,28.313
G41,5320,95,255,201.797,44.106,5320,36,232,164.830,46.299,5320,36,232,164.830,46.299
G42,5320,60,252,190.077,34.124,5320,58,221,166.090,23.598,5320,58,221,166.090,23.598
