Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,210,255,243.323,9.374,5320,47,189,97.139,27.492,5320,47,189,97.139,27.492
G2,5320,72,255,218.102,45.769,5320,4,125,53.154,27.808,5320,4,125,53.154,27.808
G3,5320,51,255,227.338,42.914,5320,11,138,94.576,28.331,5320,11,138,94.576,28.331
G4,5320,40,255,170.586,52.924,5320,1,121,60.496,33.072,5320,1,121,60.496,33.072
G5,5320,45,255,192.517,41.033,5320,4,164,98.049,37.228,5320,4,164,98.049,37.228
G6,5320,56,255,183.844,43.259,5320,33,203,115.403,32.063,5320,33,203,115.403,32.063
G7,5320,37,255,195.911,44.887,5320,20,204,105.805,32.327,5320,20,204,105.805,32.327
G8,5320,49,255,187.581,54.690,5320,27,109,67.786,16.312,5320,27,109,67.786,16.312
G9,5320,59,251,173.002,37.956,5320,0,177,71.719,46.321,5320,0,177,71.719,46.321
G10,5320,131,255,230.035,33.004,5320,120,229,183.824,25.684,5320,120,231,189.212,25.510
G11,5320,149,255,223.012,25.742,5320,51,249,165.673,50.140,5320,51,251,166.104,50.663
G12,5320,82,255,228.891,27.492,5320,23,249,160.549,47.960,5320,23,250,160.586,48.020
G13,5320,87,255,232.057,29.241,5320,19,254,148.008,66.900,5320,19,254,148.181,67.156
G14,5320,43,255,168.280,52.957,5320,27,254,124.486,54.385,5320,27,254,124.677,54.646
G15,5320,66,255,196.739,36.626,5320,30,247,117.614,54.632,5320,30,247,117.727,54.863
G16,5320,165,255,223.920,23.101,5320,39,209,106.451,36.389,5320,39,209,106.451,36.389
G17,5320,62,252,161.172,43.406,5320,0,169,61.457,42.218,5320,0,169,61.457,42.218
G18,5320,22,194,122.611,36.215,5320,22,194,122.611,36.215,5320,59,251,206.948,40.203
G19,5320,66,255,197.372,41.448,5320,66,250,193.998,39.406,5320,109,255,218.554,31.085
G20,5320,149,255,212.338,22.902,5320,149,251,211.609,21.870,5320,172,255,233.734,19.644
G21,5320,169,255,225.981,18.924,5320,169,250,223.156,16.970,5320,197,255,243.373,13.034
G22,5320,143,253,204.820,24.401,5320,143,251,203.680,23.712,5320,182,255,235.583,19.537
G23,5320,69,255,161.108,42.583,5320,69,252,159.809,41.742,5320,101,255,205.706,38.584
G24,5320,138,255,184.522,31.419,5320,138,253,182.490,28.568,5320,193,255,250.197,9.788
G25,5320,50,255,208.935,40.900,5320,44,245,190.236,40.140,5320,44,255,200.758,45.995
G26,5320,64,245,167.404,38.513,5320,45,175,91.012,23.096,5320,45,175,91.012,23.096
G27,5320,41,205,154.283,37.563,5320,41,205,154.283,37.563,5320,84,255,225.771,37.725
G28,5320,88,255,212.563,24.168,5320,88,254,211.689,23.950,5320,115,255,239.988,23.161
G29,5320,143,255,222.352,29.402,5320,119,254,203.454,34.988,5320,119,255,206.442,37.399
G30,5320,196,255,237.559,14.072,5320,178,254,224.952,18.816,5320,178,255,232.128,22.457
G31,5320,154,255,213.867,25.673,5320,152,236,192.667,16.459,5320,152,255,206.341,26.570
G32,5320,69,236,156.581,24.696,5320,69,224,153.820,22.358,5320,79,255,203.681,41.135
G33,5320,48,216,164.921,35.399,5320,48,216,164.549,35.708,5320,48,255,204.593,51.056
G34,5320,69,255,205.614,48.270,5320,69,221,181.674,32.122,5320,73,238,186.484,30.687
G35,5320,67,255,168.253,52.818,5320,40,206,123.407,44.603,5320,40,206,123.407,44.603
G36,5320,103,255,215.725,33.633,5320,37,236,143.513,67.530,5320,37,255,157.788,81.879
G37,5320,105,255,213.958,34.148,5320,105,252,209.308,30.571,5320,116,255,222.874,26.733
G38,5320,61,255,192.395,45.933,5320,35,237,148.107,55.331,5320,35,237,148.107,55.331
G39,5320,163,255,222.924,28.283,5320,83,209,136.237,30.771,5320,83,209,136.237,30.771
G40,5320,134,255,222.582,27.566,5320,64,196,137.336,22.053,5320,64,196,137.336,22.053
G41,5320,45,255,161.641,54.191,5320,44,227,130.825,52.890,5320,45,227,131.033,52.692
G42,5320,39,255,192.203,35.553,5320,39,225,169.327,28.133,5320,40,225,169.368,27.977
G43,5320,145,255,228.357,21.777,5320,83,201,162.247,20.667,5320,83,201,162.247,20.667
G44,5320,49,255,152.189,52.203,5320,29,205,113.081,45.900,5320,29,205,113.433,46.195
G45,5320,14,255,188.519,55.477,5320,9,239,149.848,49.651,5320,9,239,149.888,49.662
G46,5320,178,255,234.436,21.524,5320,152,245,199.211,21.373,5320,152,245,199.242,21.370
G47,5320,76,255,208.014,54.977,5320,37,212,137.047,51.263,5320,37,212,137.047,51.263
G48,5320,54,255,173.043,61.715,5320,27,164,99.965,43.537,5320,27,164,99.965,43.537
G49,5320,92,255,187.308,43.226,5320,39,170,100.757,35.300,5320,39,170,100.757,35.300
G50,5320,109,255,230.757,33.279,5320,65,226,143.251,31.484,5320,65,226,143.251,31.484
G51,5320,101,255,225.674,30.095,5320,45,214,133.620,23.228,5320,45,214,133.620,23.228
G52,5320,93,253,185.233,38.612,5320,35,155,81.418,33.560,5320,35,155,81.418,33.560
G53,5320,45,255,210.009,53.127,5320,8,88,51.603,19.398,5320,8,88,51.628,19.413
G54,5320,132,255,239.518,23.730,5320,128,241,206.680,28.903,5320,128,243,209.167,26.615
G55,5320,183,255,237.079,20.406,5320,111,186,145.918,17.117,5320,111,186,145.918,17.117
G56,5320,225,255,252.523,5.303,5320,94,180,127.877,16.355,5320,94,180,127.877,16.355
G57,5320,101,255,206.929,29.408,5320,41,161,104.264,22.800,5320,41,161,104.264,22.800
G58,5320,125,255,203.741,30.527,5320,47,247,158.917,54.013,5320,47,255,172.831,66.043
G59,5320,19,255,184.211,56.230,5320,18,253,151.612,46.089,5320,18,255,183.334,61.162
G60,5320,41,249,175.892,50.642,5320,20,154,107.502,35.659,5320,20,154,107.502,35.659
G61,5320,82,245,165.372,30.649,5320,28,161,80.981,29.787,5320,28,161,80.981,29.787
G62,5320,37,255,184.246,56.545,5320,1,109,34.543,23.676,5320,1,116,34.553,23.697
G63,5320,47,255,182.861,53.903,5320,34,192,104.578,39.336,5320,34,192,104.645,39.411
G64,5320,92,255,183.796,41.346,5320,45,190,92.859,35.362,5320,45,190,92.859,35.362
G65,5320,147,232,184.604,17.186,5320,69,222,128.008,35.354,5320,69,230,128.480,36.237
G66,5320,37,198,116.075,39.397,5320,37,198,114.390,37.379,5320,84,255,176.367,35.421
G67,5320,41,227,140.457,56.193,5320,41,227,137.509,54.097,5320,54,255,220.100,37.568
G68,5320,163,255,220.608,20.760,5320,109,223,169.222,28.193,5320,109,245,171.338,31.188
G69,5320,163,255,246.711,14.535,5320,100,173,137.883,13.138,5320,100,173,137.883,13.138
G70,5320,33,255,187.771,59.901,5320,33,184,121.111,33.344,5320,38,223,127.521,31.491
