Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,244.525,8.468,5320,54,169,97.135,18.754,5320,54,169,97.135,18.754
G2,5320,71,255,209.639,50.431,5320,32,133,82.193,16.768,5320,32,133,82.193,16.768
G3,5320,52,255,225.118,44.871,5320,32,161,124.846,25.548,5320,32,161,124.846,25.548
G4,5320,51,227,153.651,39.767,5320,29,205,119.987,40.383,5320,29,240,128.204,49.077
G5,5320,68,240,183.262,34.262,5320,0,213,124.379,70.753,5320,0,255,146.074,89.970
G6,5320,118,255,206.124,27.409,5320,14,231,123.104,37.222,5320,14,255,124.653,41.045
G7,5320,79,255,194.185,35.369,5320,48,146,109.643,17.402,5320,48,146,109.643,17.402
G8,5320,59,255,192.308,52.091,5320,36,129,85.834,18.667,5320,36,129,85.834,18.667
G9,5320,59,251,162.134,35.176,5320,6,167,73.450,39.596,5320,6,167,73.450,39.596
G10,5320,144,255,233.166,26.897,5320,116,212,155.154,22.627,5320,116,227,157.420,26.133
G11,5320,107,255,224.668,25.853,5320,47,143,112.446,17.106,5320,47,143,112.446,17.106
G12,5320,34,248,172.570,58.215,5320,34,155,100.881,25.652,5320,43,240,108.027,33.286
G13,5320,28,197,111.934,36.707,5320,28,195,110.908,37.118,5320,43,255,183.301,61.841
G14,5320,31,255,170.087,52.984,5320,28,235,160.278,46.100,5320,28,255,209.352,45.400
G15,5320,50,255,200.164,41.712,5320,31,222,134.105,46.984,5320,31,225,134.131,47.033
G16,5320,167,255,228.781,21.476,5320,71,210,120.571,30.323,5320,71,210,120.571,30.323
G17,5320,66,240,160.273,46.673,5320,4,163,65.164,37.914,5320,4,163,65.164,37.914
G18,5320,34,212,140.445,39.126,5320,34,212,140.439,39.117,5320,66,254,206.180,37.713
G19,5320,106,255,211.726,37.445,5320,106,250,180.024,34.000,5320,125,252,189.443,35.386
G20,5320,128,255,229.083,26.777,5320,46,186,109.972,22.309,5320,46,186,109.972,22.309
G21,5320,162,255,225.462,24.400,5320,65,222,123.560,35.840,5320,65,222,123.662,36.053
G22,5320,30,228,106.383,50.565,5320,30,215,100.232,40.911,5320,48,242,139.950,38.227
G23,5320,37,228,105.498,27.915,5320,37,215,105.450,27.727,5320,61,255,191.326,47.068
G24,5320,131,255,215.060,25.797,5320,131,252,208.700,22.475,5320,167,255,237.623,19.176
G25,5320,51,255,214.982,45.062,5320,42,245,185.081,44.398,5320,42,252,186.027,45.356
G26,5320,64,244,165.897,37.014,5320,45,168,88.324,21.437,5320,45,168,88.324,21.437
G27,5320,36,209,156.387,35.491,5320,36,209,156.387,35.491,5320,76,255,224.767,38.943
G28,5320,110,255,219.887,25.888,5320,109,252,207.596,22.145,5320,116,255,227.809,28.541
G29,5320,147,255,227.557,27.366,5320,107,193,155.013,18.744,5320,107,193,155.013,18.744
G30,5320,161,255,233.100,22.944,5320,140,224,184.699,16.730,5320,140,234,186.741,19.097
G31,5320,72,255,157.870,43.916,5320,72,233,150.839,34.068,5320,99,239,189.621,25.019
G32,5320,66,255,154.225,53.000,5320,65,236,145.011,45.271,5320,65,236,157.139,42.508
G33,5320,43,249,191.342,45.790,5320,37,236,174.273,48.839,5320,37,244,182.099,54.115
G34,5320,83,255,211.887,45.413,5320,77,232,177.198,31.922,5320,77,237,177.348,32.102
G35,5320,67,255,171.551,49.659,5320,47,199,124.686,40.042,5320,47,199,124.686,40.042
G36,5320,75,217,163.070,31.952,5320,75,217,163.070,31.952,5320,94,255,227.346,31.661
G37,5320,107,255,207.242,37.907,5320,107,253,201.380,33.278,5320,114,255,219.798,28.149
G38,5320,86,255,200.345,42.662,5320,36,233,149.925,51.024,5320,36,233,149.925,51.024
G39,5320,90,255,233.385,32.550,5320,21,189,130.229,52.261,5320,21,189,130.229,52.261
G40,5320,165,255,239.599,15.106,5320,43,213,162.597,22.886,5320,43,213,162.597,22.886
G41,5320,59,255,181.936,51.722,5320,52,235,151.642,46.699,5320,52,235,151.642,46.699
G42,5320,43,255,192.630,35.104,5320,38,219,161.297,26.931,5320,38,219,161.297,26.931
G43,5320,146,255,226.504,21.971,5320,72,193,151.440,21.822,5320,72,193,151.440,21.822
G44,5320,47,255,150.216,49.900,5320,26,206,109.439,45.059,5320,26,206,109.714,45.257
G45,5320,20,255,167.875,50.307,5320,20,250,163.719,47.583,5320,23,255,184.373,51.012
G46,5320,138,255,232.487,23.932,5320,138,242,199.760,22.813,5320,145,250,201.813,23.562
G47,5320,76,255,206.189,53.014,5320,16,214,130.217,57.123,5320,16,214,130.217,57.123
G48,5320,76,255,176.807,47.001,5320,12,133,39.377,19.622,5320,12,133,39.377,19.622
G49,5320,50,255,188.082,47.685,5320,34,220,135.609,51.770,5320,34,220,135.646,51.791
G50,5320,70,255,220.139,33.877,5320,44,233,144.363,60.747,5320,44,233,144.363,60.747
G51,5320,90,255,218.667,33.172,5320,26,189,81.903,28.335,5320,26,189,81.903,28.335
G52,5320,95,255,183.312,40.335,5320,26,138,64.948,29.828,5320,26,138,64.948,29.828
G53,5320,42,255,210.118,54.926,5320,5,165,46.683,19.365,5320,5,165,46.705,19.382
G54,5320,123,255,234.204,29.887,5320,123,254,215.001,32.041,5320,141,254,220.317,26.032
G55,5320,177,255,236.548,22.179,5320,121,197,154.807,14.841,5320,121,197,154.807,14.841
G56,5320,227,255,251.497,6.088,5320,24,181,130.972,26.751,5320,24,181,130.972,26.751
G57,5320,141,255,241.197,18.435,5320,27,193,142.534,32.761,5320,27,193,142.534,32.761
G58,5320,57,255,218.297,42.901,5320,52,232,182.018,33.096,5320,52,232,182.018,33.096
G59,5320,130,255,222.573,36.966,5320,43,207,122.116,39.382,5320,43,207,122.116,39.382
G60,5320,45,249,171.159,52.055,5320,12,132,80.530,37.269,5320,12,132,80.530,37.269
G61,5320,87,248,167.326,32.280,5320,25,154,73.901,29.411,5320,25,154,73.901,29.411
G62,5320,45,255,184.036,57.965,5320,0,123,31.937,25.018,5320,0,161,31.969,25.128
G63,5320,40,255,181.376,48.747,5320,27,203,109.915,37.756,5320,27,250,111.284,40.391
G64,5320,63,255,188.620,57.373,5320,0,171,32.819,42.587,5320,0,171,32.819,42.587
G65,5320,39,255,204.535,48.632,5320,0,199,77.415,72.483,5320,0,199,77.415,72.483
G66,5320,41,255,203.339,40.515,5320,35,228,177.567,34.645,5320,35,228,177.567,34.645
G67,5320,160,255,217.229,26.133,5320,108,230,186.084,32.051,5320,108,230,186.085,32.051
G68,5320,141,255,222.868,20.945,5320,81,231,154.157,29.832,5320,81,231,154.157,29.832
G69,5320,142,255,246.920,14.298,5320,82,163,130.447,11.776,5320,82,163,130.447,11.776
G70,5320,33,255,189.421,53.484,5320,33,181,121.297,29.060,5320,36,239,126.330,32.892
G71,5320,115,255,220.155,29.553,5320,114,236,165.841,18.388,5320,120,249,169.598,22.899
G72,5320,54,255,212.980,50.644,5320,0,250,165.641,68.395,5320,0,255,167.814,70.620
G73,5320,40,255,197.827,38.163,5320,0,246,180.578,43.401,5320,0,252,190.875,45.517
G74,5320,164,255,223.981,23.557,5320,143,248,206.153,27.257,5320,143,255,210.002,31.012
G75,5320,168,255,223.494,22.374,5320,168,252,218.805,20.328,5320,174,255,232.809,15.207
G76,5320,81,255,203.162,41.397,5320,81,246,184.259,31.898,5320,122,255,193.336,31.442
G77,5320,61,255,212.224,42.332,5320,48,229,156.424,30.904,5320,48,233,156.508,31.055
G78,5320,3,235,142.934,48.389,5320,3,235,142.934,48.389,5320,8,255,203.671,56.964
G79,5320,119,250,188.540,27.289,5320,119,248,187.302,26.208,5320,167,255,238.221,20.280
G80,5320,55,216,179.412,32.181,5320,55,216,179.412,32.181,5320,82,255,235.190,30.391
G81,5320,40,237,159.912,46.256,5320,40,237,159.912,46.256,5320,114,255,230.075,29.956
G82,5320,37,196,113.504,41.909,5320,37,196,113.504,41.909,5320,112,255,219.606,32.897
G83,5320,13,234,66.420,43.096,5320,13,232,66.388,42.979,5320,83,255,225.973,34.824
G84,5320,38,246,168.212,35.894,5320,34,219,147.647,31.503,5320,34,255,169.053,43.170
G85,5320,100,178,144.980,16.455,5320,100,178,144.980,16.455,5320,140,255,211.171,24.236
G86,5320,62,165,131.249,22.337,5320,62,165,131.249,22.337,5320,102,252,203.935,32.033
G87,5320,96,186,161.674,13.073,5320,96,186,161.674,13.073,5320,157,255,237.957,20.089
G88,5320,62,212,161.601,33.045,5320,62,212,161.601,33.045,5320,121,255,230.303,30.106
G89,5320,89,205,141.488,21.881,5320,89,205,141.488,21.881,5320,160,255,243.202,15.866
G90,5320,8,154,87.797,42.573,5320,8,154,87.797,42.573,5320,41,255,168.618,56.641
G91,5320,28,255,125.601,62.064,5320,28,255,120.670,55.673,5320,34,255,142.664,54.085
G92,5320,36,239,156.772,55.167,5320,18,118,56.454,22.028,5320,18,118,56.454,22.028
G93,5320,82,255,217.057,36.346,5320,0,99,13.032,19.858,5320,0,99,13.032,19.858
G94,5320,156,255,230.177,19.558,5320,0,201,125.893,53.276,5320,0,201,125.893,53.276
G95,5320,73,255,196.411,58.888,5320,59,192,136.685,36.146,5320,59,192,136.685,36.146
G96,5320,120,248,176.623,23.090,5320,114,231,175.150,22.075,5320,115,255,234.059,23.161
G97,5320,3,255,142.224,55.926,5320,3,204,130.463,48.883,5320,32,255,205.996,48.808
G98,5320,24,255,151.889,57.856,5320,24,225,132.761,40.126,5320,46,255,180.882,45.628
G99,5320,24,252,119.535,30.237,5320,24,202,119.143,29.454,5320,35,255,206.308,45.357
G100,5320,31,253,168.258,37.285,5320,31,247,168.006,36.890,5320,51,255,217.167,34.055
