Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,242.891,9.483,5320,66,221,128.135,30.804,5320,66,221,128.135,30.804
G2,5320,75,255,220.805,46.733,5320,4,167,87.797,38.674,5320,4,167,87.797,38.674
G3,5320,49,255,225.740,42.870,5320,13,154,114.898,31.514,5320,13,154,114.898,31.514
G4,5320,46,254,157.474,43.444,5320,3,153,56.050,34.519,5320,3,153,56.050,34.519
G5,5320,44,255,188.206,51.177,5320,0,251,89.354,88.410,5320,0,252,89.802,89.110
G6,5320,145,255,220.495,29.760,5320,0,209,85.710,39.970,5320,0,209,85.710,39.970
G7,5320,67,255,197.358,37.671,5320,40,140,97.316,18.000,5320,40,140,97.316,18.000
G8,5320,55,255,188.484,54.920,5320,30,104,78.485,18.322,5320,30,104,78.485,18.322
G9,5320,59,255,174.496,42.914,5320,0,178,72.105,43.378,5320,0,178,72.105,43.378
G10,5320,109,255,217.712,39.389,5320,109,249,205.229,33.920,5320,137,255,223.964,24.539
G11,5320,117,255,208.131,33.862,5320,100,248,179.690,29.622,5320,100,255,210.739,40.032
G12,5320,101,255,199.899,42.507,5320,79,242,167.986,32.267,5320,79,255,195.904,38.183
G13,5320,19,255,146.742,56.699,5320,15,249,136.895,61.635,5320,15,255,155.808,71.570
G14,5320,53,252,176.148,48.580,5320,36,245,155.033,46.252,5320,36,255,173.322,49.433
G15,5320,50,255,194.595,39.944,5320,26,236,129.699,50.188,5320,26,240,130.559,51.598
G16,5320,167,255,230.924,19.188,5320,71,230,129.942,34.118,5320,71,231,129.957,34.146
G17,5320,61,245,159.320,44.854,5320,0,181,67.659,42.071,5320,0,181,67.659,42.071
G18,5320,20,179,100.989,35.224,5320,20,179,100.989,35.224,5320,69,254,204.539,40.439
G19,5320,40,213,130.362,29.973,5320,40,213,130.362,29.973,5320,106,255,217.648,27.888
G20,5320,32,188,93.899,29.121,5320,32,188,93.899,29.121,5320,89,255,203.285,40.848
G21,5320,32,177,82.436,29.569,5320,32,177,82.436,29.569,5320,93,255,203.986,44.310
G22,5320,20,185,88.067,44.194,5320,20,185,88.067,44.194,5320,51,255,177.840,56.410
G23,5320,50,220,93.930,26.172,5320,50,219,93.929,26.169,5320,141,255,223.575,20.669
G24,5320,108,255,175.115,36.281,5320,108,243,173.670,34.084,5320,183,255,246.744,12.390
G25,5320,49,255,203.078,41.790,5320,47,250,190.916,40.338,5320,47,255,204.505,44.506
G26,5320,65,247,169.753,39.462,5320,46,188,100.321,25.016,5320,46,188,100.321,25.016
G27,5320,26,130,103.272,22.143,5320,26,130,103.272,22.143,5320,82,255,230.102,35.875
G28,5320,34,136,115.417,19.824,5320,34,136,115.417,19.824,5320,86,255,225.397,36.238
G29,5320,35,164,137.419,16.585,5320,35,164,137.419,16.585,5320,92,255,235.935,17.080
G30,5320,27,216,146.761,37.904,5320,27,216,146.761,37.904,5320,83,255,229.558,40.376
G31,5320,19,222,123.413,66.166,5320,19,221,123.393,66.138,5320,62,255,168.861,54.958
G32,5320,26,175,71.714,24.988,5320,26,175,71.714,24.988,5320,70,255,181.652,54.862
G33,5320,29,170,129.735,31.447,5320,29,170,129.729,31.449,5320,38,255,203.379,50.323
G34,5320,65,255,198.315,54.777,5320,65,235,183.119,42.796,5320,75,243,194.891,35.065
G35,5320,68,255,168.481,52.962,5320,45,218,132.891,47.108,5320,45,218,132.891,47.108
G36,5320,51,202,142.405,24.109,5320,51,199,142.402,24.102,5320,82,255,226.539,35.404
G37,5320,63,217,145.156,33.065,5320,63,217,145.156,33.065,5320,113,255,223.906,31.288
G38,5320,98,243,150.069,34.539,5320,98,243,150.059,34.516,5320,165,255,228.643,20.362
G39,5320,101,255,188.222,33.684,5320,101,241,187.053,32.118,5320,134,255,232.356,29.438
G40,5320,152,255,236.266,15.639,5320,122,236,209.960,19.405,5320,122,255,212.409,21.152
G41,5320,24,255,160.892,65.769,5320,24,253,158.380,64.579,5320,34,254,167.720,58.750
G42,5320,28,255,194.710,37.298,5320,28,247,180.049,29.731,5320,39,248,183.906,26.890
G43,5320,130,255,225.170,24.027,5320,74,215,170.187,24.342,5320,74,215,170.290,24.306
G44,5320,43,255,148.865,53.833,5320,28,218,118.721,50.237,5320,28,218,119.379,50.304
G45,5320,6,253,155.406,52.132,5320,0,249,152.896,53.305,5320,0,255,182.005,55.413
G46,5320,132,255,219.682,32.183,5320,132,252,207.823,27.729,5320,171,255,224.102,23.604
G47,5320,213,255,244.016,9.036,5320,95,252,211.186,35.153,5320,95,255,212.572,36.327
G48,5320,177,255,237.300,14.863,5320,88,251,175.578,39.060,5320,88,255,176.801,41.024
G49,5320,153,255,230.229,25.485,5320,120,208,177.848,21.854,5320,120,208,177.848,21.854
G50,5320,94,255,226.399,31.830,5320,82,249,183.378,27.791,5320,82,249,183.378,27.791
G51,5320,85,255,211.697,34.066,5320,42,208,137.459,24.810,5320,42,208,137.459,24.810
G52,5320,103,255,182.420,37.936,5320,29,159,77.965,35.389,5320,29,159,77.965,35.389
G53,5320,33,255,213.692,54.962,5320,0,89,48.132,22.845,5320,0,89,48.184,22.865
G54,5320,126,255,228.583,24.988,5320,126,250,215.571,27.153,5320,147,255,224.293,23.850
G55,5320,190,255,238.085,18.598,5320,104,213,157.411,21.904,5320,104,213,157.411,21.904
G56,5320,55,255,220.826,52.309,5320,25,195,101.780,39.546,5320,25,195,101.780,39.546
G57,5320,87,255,234.017,30.510,5320,36,196,105.310,37.988,5320,36,196,105.310,37.988
G58,5320,144,255,233.055,27.038,5320,114,233,195.009,30.176,5320,114,233,195.009,30.176
G59,5320,43,255,203.583,49.011,5320,29,223,168.640,46.500,5320,29,223,168.640,46.500
G60,5320,34,228,165.626,43.627,5320,19,130,94.689,25.482,5320,19,130,94.689,25.482
G61,5320,79,255,164.505,44.446,5320,16,166,80.041,37.753,5320,16,166,80.041,37.753
G62,5320,59,255,184.754,61.009,5320,0,180,30.507,28.331,5320,0,255,31.152,31.663
G63,5320,47,255,184.891,44.121,5320,28,212,108.087,38.520,5320,28,253,108.978,40.469
G64,5320,57,242,195.927,37.270,5320,26,231,149.000,47.390,5320,26,233,149.048,47.465
G65,5320,87,244,190.877,31.285,5320,45,221,153.973,36.190,5320,45,222,153.978,36.198
G66,5320,193,255,236.807,14.025,5320,105,224,164.191,27.213,5320,105,224,164.191,27.213
G67,5320,79,255,228.420,34.405,5320,71,245,179.314,33.737,5320,71,245,179.405,33.807
G68,5320,108,255,232.939,27.967,5320,67,237,164.706,38.177,5320,67,237,164.706,38.177
G69,5320,167,255,243.594,17.296,5320,97,169,125.363,14.967,5320,97,169,125.363,14.967
G70,5320,24,255,187.807,53.761,5320,24,181,119.121,29.409,5320,42,246,123.204,31.350
G71,5320,92,255,225.391,34.349,5320,92,226,180.517,17.651,5320,120,240,185.672,16.763
G72,5320,101,255,219.073,31.985,5320,89,250,210.469,31.016,5320,89,255,222.126,30.497
G73,5320,76,255,212.198,39.125,5320,62,249,175.865,45.109,5320,62,255,184.717,52.802
G74,5320,56,255,191.661,63.593,5320,32,177,95.290,27.156,5320,32,204,96.252,29.239
G75,5320,75,244,177.667,35.853,5320,51,238,155.459,49.221,5320,51,254,170.228,62.099
G76,5320,83,255,201.950,46.491,5320,83,253,186.152,35.636,5320,113,254,200.548,27.505
G77,5320,66,255,213.655,37.123,5320,58,241,161.324,31.439,5320,58,241,161.638,31.827
G78,5320,0,196,129.607,45.577,5320,0,196,129.607,45.577,5320,0,255,196.457,62.824
G79,5320,87,240,153.747,31.532,5320,87,240,153.730,31.494,5320,135,255,234.588,26.395
G80,5320,52,213,132.273,33.442,5320,52,213,132.127,33.578,5320,61,255,224.937,43.958
G81,5320,76,188,138.385,22.528,5320,76,188,138.067,23.002,5320,81,255,237.716,34.927
G82,5320,37,177,116.397,41.420,5320,37,177,116.397,41.420,5320,120,255,236.588,28.122
G83,5320,0,224,61.352,45.596,5320,0,224,61.346,45.577,5320,88,255,227.756,33.279
G84,5320,38,238,170.393,34.962,5320,38,213,150.478,31.794,5320,51,234,168.198,41.379
G85,5320,86,165,130.473,17.877,5320,86,165,130.473,17.877,5320,131,255,209.903,26.150
G86,5320,52,139,101.994,21.040,5320,52,139,101.994,21.040,5320,101,249,187.637,33.196
G87,5320,56,191,132.038,23.848,5320,56,191,132.038,23.848,5320,144,255,226.443,22.114
G88,5320,37,176,124.216,29.235,5320,37,176,124.216,29.235,5320,85,255,227.684,26.693
G89,5320,44,173,108.803,24.729,5320,44,173,108.803,24.729,5320,113,255,239.620,23.585
G90,5320,4,149,79.881,42.686,5320,4,149,79.881,42.686,5320,38,255,172.442,55.878
G91,5320,34,255,126.724,57.174,5320,34,255,122.864,52.303,5320,41,255,147.869,52.940
G92,5320,32,240,158.975,54.020,5320,5,69,33.603,12.708,5320,5,69,33.603,12.708
G93,5320,103,255,213.042,33.264,5320,0,71,8.534,15.662,5320,0,71,8.534,15.662
G94,5320,157,255,227.848,19.350,5320,0,171,92.220,53.179,5320,0,171,92.220,53.179
G95,5320,76,255,193.481,58.588,5320,47,179,121.192,30.549,5320,47,179,121.192,30.549
G96,5320,106,246,150.062,27.330,5320,106,223,149.810,26.830,5320,122,255,237.892,20.123
G97,5320,3,255,144.003,55.701,5320,3,213,132.583,49.177,5320,36,255,206.006,47.449
G98,5320,13,255,159.152,59.801,5320,13,220,137.305,39.616,5320,50,255,181.398,41.884
G99,5320,17,240,123.701,36.302,5320,17,222,122.606,34.965,5320,25,255,207.234,42.312
G100,5320,35,244,163.869,35.758,5320,35,244,163.869,35.757,5320,55,255,221.919,31.753
