Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,244.640,7.587,5320,69,214,123.933,30.388,5320,69,214,123.933,30.388
G2,5320,71,255,217.552,45.684,5320,1,167,83.236,37.609,5320,1,167,83.236,37.609
G3,5320,53,255,223.589,45.541,5320,13,150,109.588,32.218,5320,13,150,109.588,32.218
G4,5320,38,255,162.318,41.367,5320,0,138,52.762,32.754,5320,0,138,52.762,32.754
G5,5320,56,255,175.595,58.348,5320,12,132,79.902,30.262,5320,12,132,79.902,30.262
G6,5320,79,255,192.865,54.063,5320,42,162,111.215,33.506,5320,42,162,111.215,33.506
G7,5320,34,255,195.762,38.838,5320,17,162,104.711,25.399,5320,17,162,104.711,25.399
G8,5320,56,255,188.446,54.021,5320,30,110,71.907,16.294,5320,30,110,71.907,16.294
G9,5320,58,255,169.937,40.474,5320,0,162,63.940,40.606,5320,0,162,63.940,40.606
G10,5320,109,255,220.478,42.284,5320,109,251,204.451,36.605,5320,137,255,220.021,23.969
G11,5320,133,255,208.483,32.070,5320,83,242,178.855,35.775,5320,83,255,198.677,42.612
G12,5320,125,255,225.199,33.990,5320,81,243,176.009,36.725,5320,81,255,183.241,42.314
G13,5320,23,255,153.637,54.164,5320,7,134,72.070,30.571,5320,7,134,72.140,30.687
G14,5320,46,238,180.272,37.456,5320,30,122,91.678,20.614,5320,30,122,91.678,20.614
G15,5320,54,229,181.143,30.579,5320,26,187,95.780,34.048,5320,26,187,95.794,34.078
G16,5320,159,255,226.645,23.179,5320,60,227,116.186,37.784,5320,60,228,116.305,38.022
G17,5320,62,242,166.966,43.160,5320,0,174,60.676,41.886,5320,0,174,60.676,41.886
G18,5320,19,175,96.746,32.584,5320,19,175,96.746,32.584,5320,70,248,201.215,38.525
G19,5320,69,229,148.735,32.609,5320,69,229,148.735,32.609,5320,134,255,220.475,31.127
G20,5320,77,222,127.420,27.305,5320,77,222,127.420,27.305,5320,209,255,243.431,11.245
G21,5320,29,255,156.847,58.174,5320,29,253,150.612,55.337,5320,45,255,187.909,58.674
