Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,244.262,8.791,5320,33,184,78.192,30.550,5320,33,184,78.192,30.550
G2,5320,83,255,219.060,46.001,5320,0,104,26.000,24.614,5320,0,104,26.000,24.614
G3,5320,51,255,225.760,45.203,5320,0,107,59.559,28.604,5320,0,107,59.559,28.604
G4,5320,45,255,162.838,47.628,5320,0,70,8.265,16.382,5320,0,70,8.265,16.382
G5,5320,48,255,169.131,52.248,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G6,5320,53,255,229.615,20.658,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G7,5320,34,255,196.098,40.383,5320,0,41,3.016,7.163,5320,0,41,3.016,7.163
G8,5320,49,255,189.508,54.326,5320,0,96,27.863,16.441,5320,0,96,27.863,16.441
G9,5320,48,255,168.986,38.714,5320,0,151,55.215,40.199,5320,0,151,55.215,40.199
G10,5320,128,255,231.044,32.273,5320,106,223,178.973,26.356,5320,106,238,184.656,27.664
G11,5320,136,255,225.234,27.482,5320,27,247,146.669,54.311,5320,27,247,146.669,54.311
G12,5320,80,255,223.461,33.543,5320,0,197,60.314,44.913,5320,0,197,60.314,44.913
G13,5320,50,255,152.206,61.313,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G14,5320,49,255,195.873,62.426,5320,0,4,0.018,0.217,5320,0,4,0.018,0.217
G15,5320,54,255,195.800,36.903,5320,0,119,22.223,30.856,5320,0,119,22.223,30.856
G16,5320,164,255,227.136,23.007,5320,0,148,58.679,37.529,5320,0,148,58.679,37.529
G17,5320,53,244,165.682,43.752,5320,0,134,50.617,34.891,5320,0,134,50.617,34.891
G18,5320,23,200,123.001,38.704,5320,23,200,123.001,38.704,5320,64,251,205.705,39.944
G19,5320,82,255,185.382,36.179,5320,82,236,182.066,32.655,5320,120,255,217.987,29.222
G20,5320,58,255,197.217,52.658,5320,57,254,194.322,52.148,5320,57,255,203.421,53.534
G21,5320,55,255,170.540,61.704,5320,0,227,88.057,63.774,5320,0,227,88.058,63.775
G22,5320,65,255,148.088,41.602,5320,0,54,9.892,14.899,5320,0,54,9.892,14.899
G23,5320,65,255,193.170,45.601,5320,0,115,23.270,29.825,5320,0,115,23.270,29.825
G24,5320,166,255,248.533,12.573,5320,5,201,143.493,46.219,5320,5,201,143.493,46.219
G25,5320,51,255,217.752,43.607,5320,32,200,147.394,34.432,5320,32,200,147.394,34.432
G26,5320,64,245,168.595,38.821,5320,39,138,79.577,18.595,5320,39,138,79.577,18.595
G27,5320,32,148,114.644,20.504,5320,32,148,114.644,20.504,5320,79,255,227.232,35.810
G28,5320,79,199,158.395,22.747,5320,79,199,158.395,22.747,5320,122,255,238.690,24.095
G29,5320,91,244,160.785,28.444,5320,91,243,160.681,28.272,5320,111,255,208.295,27.663
G30,5320,54,255,201.906,43.344,5320,19,250,154.136,70.831,5320,19,253,157.191,73.736
G31,5320,85,255,221.117,33.088,5320,0,86,44.799,23.677,5320,0,86,44.799,23.677
G32,5320,78,255,195.805,46.907,5320,11,101,64.283,17.996,5320,11,101,64.283,17.996
G33,5320,56,255,193.603,53.464,5320,27,182,106.547,39.788,5320,27,182,106.547,39.788
G34,5320,77,255,211.334,44.793,5320,54,180,139.720,33.692,5320,54,180,139.720,33.692
G35,5320,65,255,167.995,50.390,5320,39,197,113.883,38.219,5320,39,197,113.883,38.219
G36,5320,20,184,104.704,36.793,5320,20,184,104.704,36.793,5320,83,255,228.509,33.749
G37,5320,76,174,132.863,21.436,5320,76,174,132.863,21.436,5320,119,255,226.341,29.095
G38,5320,100,193,138.372,21.167,5320,100,193,138.372,21.167,5320,197,255,245.509,14.324
G39,5320,60,255,186.273,58.050,5320,60,246,172.502,52.074,5320,67,255,220.188,34.067
G40,5320,84,255,167.468,50.998,5320,0,218,52.633,67.315,5320,0,227,53.570,69.324
G41,5320,71,252,177.668,35.902,5320,0,201,78.032,51.544,5320,0,201,78.032,51.544
G42,5320,49,248,203.908,46.677,5320,26,200,146.873,40.355,5320,26,200,146.873,40.355
G43,5320,112,255,226.769,23.915,5320,69,163,137.476,17.105,5320,69,163,137.476,17.105
G44,5320,41,255,150.765,53.202,5320,31,207,107.533,46.149,5320,31,207,107.968,46.323
G45,5320,10,203,115.483,37.787,5320,10,203,115.004,37.687,5320,16,255,187.035,56.363
G46,5320,30,193,130.499,31.655,5320,30,193,130.499,31.655,5320,45,255,230.442,28.672
G47,5320,21,215,137.567,48.837,5320,21,215,137.567,48.837,5320,30,255,186.064,62.527
G48,5320,25,189,136.066,32.282,5320,25,189,136.066,32.282,5320,41,245,177.012,36.223
G49,5320,104,249,181.039,31.233,5320,74,247,175.877,35.413,5320,74,255,205.764,42.124
G50,5320,87,255,216.969,34.685,5320,58,252,183.145,41.460,5320,58,255,184.953,43.716
G51,5320,86,255,220.238,35.055,5320,52,211,144.767,25.224,5320,52,211,144.767,25.224
G52,5320,104,255,183.616,37.181,5320,35,142,76.289,29.202,5320,35,142,76.289,29.202
G53,5320,45,255,207.421,57.381,5320,5,173,48.226,17.151,5320,5,178,48.255,17.205
G54,5320,58,198,142.120,30.680,5320,58,198,142.120,30.680,5320,155,255,239.506,19.206
G55,5320,8,191,68.925,31.981,5320,8,191,68.925,31.981,5320,37,255,209.841,40.470
G56,5320,34,209,168.286,40.414,5320,34,209,168.286,40.414,5320,119,255,238.411,25.142
G57,5320,70,195,117.611,25.459,5320,70,195,117.611,25.459,5320,103,250,168.175,29.260
G58,5320,6,199,93.868,41.748,5320,6,199,93.868,41.748,5320,129,254,205.268,27.772
G59,5320,9,255,132.106,88.644,5320,9,247,117.899,78.060,5320,46,255,195.575,41.332
G60,5320,56,229,168.252,48.447,5320,32,150,103.788,31.559,5320,32,150,103.788,31.559
G61,5320,88,255,163.300,37.589,5320,23,173,81.867,35.660,5320,23,173,81.867,35.660
G62,5320,54,255,178.152,60.106,5320,3,200,31.698,27.459,5320,3,255,32.857,33.540
G63,5320,19,222,106.986,38.961,5320,19,222,106.986,38.961,5320,36,255,211.477,46.749
G64,5320,52,122,81.166,16.599,5320,52,122,81.166,16.599,5320,162,255,235.874,22.711
G65,5320,38,122,95.992,17.495,5320,38,122,95.992,17.495,5320,172,255,224.624,18.413
G66,5320,0,105,21.741,22.215,5320,0,105,21.741,22.215,5320,138,251,196.513,20.843
G67,5320,0,247,96.695,90.592,5320,0,239,95.177,89.098,5320,49,255,209.759,31.580
G68,5320,163,255,228.574,25.267,5320,108,241,174.990,37.384,5320,108,247,177.351,40.155
G69,5320,175,255,247.595,13.100,5320,112,179,139.423,14.155,5320,112,179,139.423,14.155
G70,5320,25,255,188.457,55.887,5320,25,183,122.714,33.079,5320,43,228,127.720,30.132
G71,5320,93,255,186.760,33.558,5320,93,250,185.852,32.143,5320,144,255,232.855,20.935
G72,5320,75,211,146.187,29.680,5320,75,211,146.187,29.680,5320,172,255,248.229,12.134
G73,5320,38,134,84.594,22.244,5320,38,134,84.594,22.244,5320,152,255,240.728,17.287
G74,5320,0,60,18.390,17.465,5320,0,60,18.390,17.465,5320,129,255,191.304,29.370
G75,5320,0,179,45.687,36.272,5320,0,179,45.687,36.272,5320,90,251,194.042,39.150
G76,5320,54,255,170.589,62.522,5320,54,247,163.320,54.848,5320,144,255,206.742,26.890
G77,5320,63,255,213.405,39.126,5320,58,237,170.152,29.395,5320,58,241,170.664,29.842
G78,5320,10,212,108.881,38.402,5320,10,212,108.879,38.399,5320,25,255,203.960,56.107
G79,5320,89,186,139.947,17.125,5320,89,186,139.947,17.125,5320,193,255,240.990,12.116
G80,5320,45,173,140.598,23.249,5320,45,173,140.598,23.249,5320,121,255,236.004,24.779
G81,5320,43,160,97.947,24.776,5320,43,160,97.947,24.776,5320,139,255,227.063,22.447
G82,5320,13,114,73.071,19.979,5320,13,114,73.071,19.979,5320,168,255,235.012,23.052
G83,5320,0,212,33.281,41.525,5320,0,212,33.281,41.525,5320,88,255,225.277,39.248
G84,5320,10,247,151.768,39.365,5320,10,207,138.103,34.346,5320,55,255,172.370,45.473
G85,5320,74,154,120.938,19.279,5320,74,154,120.938,19.279,5320,138,255,211.451,23.558
G86,5320,57,145,111.823,18.697,5320,57,145,111.823,18.697,5320,103,250,199.054,32.180
G87,5320,100,191,148.920,16.150,5320,100,191,148.920,16.150,5320,164,255,232.679,22.646
G88,5320,117,212,186.686,18.352,5320,117,212,186.686,18.352,5320,170,255,240.456,17.862
G89,5320,66,206,135.616,32.884,5320,66,206,135.616,32.884,5320,161,255,241.548,18.910
G90,5320,0,133,76.423,40.837,5320,0,133,76.423,40.837,5320,49,247,172.982,56.693
G91,5320,24,255,119.098,62.193,5320,24,255,115.466,57.060,5320,34,255,141.235,53.785
G92,5320,35,250,165.355,60.085,5320,0,17,0.655,2.161,5320,0,17,0.655,2.161
G93,5320,128,255,214.792,28.906,5320,0,14,0.063,0.621,5320,0,14,0.063,0.621
G94,5320,151,255,216.477,21.170,5320,0,111,21.521,31.445,5320,0,111,21.517,31.442
G95,5320,61,255,199.714,57.195,5320,0,139,65.642,33.512,5320,0,139,65.642,33.512
G96,5320,122,245,172.771,23.347,5320,122,229,171.752,22.410,5320,125,255,236.855,23.019
G97,5320,20,243,122.591,44.927,5320,20,236,122.279,44.436,5320,52,255,214.549,37.788
G98,5320,28,255,166.405,60.682,5320,21,248,149.958,54.203,5320,21,255,188.461,49.991
G99,5320,19,253,111.392,30.835,5320,19,210,109.866,29.541,5320,21,255,201.356,49.609
G100,5320,30,250,159.511,44.285,5320,30,250,158.661,43.706,5320,54,255,217.842,34.560
