Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,242.086,10.891,5320,62,215,135.926,31.293,5320,62,215,135.926,31.293
G2,5320,80,255,216.317,48.067,5320,19,181,113.120,35.545,5320,19,181,113.120,35.545
G3,5320,60,255,222.804,47.753,5320,23,170,135.307,33.134,5320,23,170,135.307,33.134
G4,5320,48,226,155.430,38.818,5320,0,164,38.234,26.985,5320,0,164,38.234,26.985
G5,5320,77,255,192.765,47.533,5320,0,184,43.072,49.949,5320,0,186,43.077,49.963
G6,5320,138,255,224.274,29.879,5320,0,178,66.133,35.952,5320,0,180,66.135,35.958
G7,5320,60,255,197.081,40.797,5320,29,112,83.704,14.122,5320,29,112,83.704,14.122
G8,5320,48,255,186.714,56.705,5320,31,109,77.716,19.300,5320,31,109,77.716,19.300
G9,5320,59,255,170.304,41.053,5320,1,178,69.468,41.687,5320,1,178,69.468,41.687
G10,5320,116,255,222.658,37.764,5320,116,254,209.294,32.422,5320,136,255,222.533,24.371
G11,5320,100,255,206.118,35.283,5320,100,247,188.036,30.553,5320,138,255,217.261,31.837
G12,5320,46,255,200.358,49.637,5320,0,238,155.578,60.492,5320,0,248,155.916,60.935
G13,5320,9,255,174.135,57.320,5320,9,244,140.370,52.247,5320,9,255,151.881,62.141
G14,5320,0,255,180.234,63.333,5320,0,253,156.283,58.874,5320,0,255,181.884,69.880
G15,5320,53,255,197.850,37.615,5320,26,249,136.763,54.886,5320,26,249,137.689,56.310
G16,5320,159,255,228.995,20.923,5320,70,231,128.619,36.370,5320,70,233,128.735,36.618
G17,5320,60,255,158.454,47.466,5320,0,182,64.494,42.329,5320,0,182,64.494,42.329
G18,5320,22,179,111.281,35.094,5320,22,179,111.281,35.094,5320,65,253,206.212,39.267
G19,5320,68,221,147.810,26.981,5320,68,221,147.810,26.981,5320,113,255,221.792,30.816
G20,5320,28,221,118.535,28.498,5320,28,216,118.409,28.329,5320,47,255,198.994,46.984
G21,5320,80,244,152.954,47.023,5320,80,221,139.848,35.660,5320,84,243,150.405,31.001
G22,5320,15,187,103.264,43.309,5320,15,186,101.583,41.516,5320,61,221,135.611,34.655
G23,5320,10,183,52.391,25.956,5320,10,183,52.391,25.956,5320,60,255,196.511,48.516
G24,5320,65,255,151.759,47.192,5320,65,252,151.348,46.540,5320,193,255,245.618,14.040
G25,5320,54,255,197.856,43.355,5320,52,245,187.963,41.605,5320,52,255,206.430,46.077
G26,5320,63,246,167.987,38.940,5320,49,188,98.255,25.429,5320,49,188,98.255,25.429
G27,5320,29,159,120.868,27.312,5320,29,159,120.868,27.312,5320,79,255,227.081,34.840
G28,5320,79,171,151.171,15.212,5320,79,171,151.171,15.212,5320,116,255,237.887,25.494
