Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,204,255,243.453,10.094,5320,75,232,151.973,32.677,5320,75,233,151.988,32.709
G2,5320,72,255,217.564,47.483,5320,42,202,133.347,33.068,5320,42,202,133.347,33.068
G3,5320,51,255,224.598,43.743,5320,33,185,151.465,30.677,5320,33,185,151.465,30.677
G4,5320,52,255,172.465,52.464,5320,29,201,95.995,30.406,5320,29,201,95.995,30.406
G5,5320,142,255,219.740,24.552,5320,70,220,143.483,29.511,5320,70,223,143.547,29.647
G6,5320,50,220,146.789,41.644,5320,50,216,139.589,36.766,5320,68,255,166.751,49.031
G7,5320,46,247,189.056,32.758,5320,41,246,175.752,41.182,5320,41,255,188.956,51.850
G8,5320,59,255,191.077,53.653,5320,37,150,95.453,23.695,5320,37,150,95.453,23.695
G9,5320,52,251,174.591,42.206,5320,1,190,78.977,45.734,5320,1,190,78.977,45.734
G10,5320,116,255,206.502,37.641,5320,116,249,202.336,34.111,5320,141,255,232.529,21.767
G11,5320,78,255,190.305,41.305,5320,78,252,180.562,37.025,5320,137,255,219.751,31.070
G12,5320,54,255,229.885,36.438,5320,30,251,199.309,48.525,5320,30,255,202.611,51.142
G13,5320,54,252,147.726,57.377,5320,37,236,133.258,51.929,5320,37,244,150.541,54.534
G14,5320,43,238,179.659,41.371,5320,39,232,170.462,37.373,5320,39,255,201.683,41.875
G15,5320,46,252,186.600,36.326,5320,40,250,143.279,51.748,5320,40,255,146.119,55.523
G16,5320,166,255,224.200,21.974,5320,59,235,131.988,36.549,5320,59,235,132.273,37.068
G17,5320,64,248,162.780,42.084,5320,0,187,67.633,45.123,5320,0,187,67.633,45.123
G18,5320,17,173,97.097,33.311,5320,17,173,97.097,33.311,5320,67,249,206.473,38.735
G19,5320,46,188,120.152,26.079,5320,46,188,120.152,26.079,5320,98,255,212.472,34.139
G20,5320,32,200,119.078,31.210,5320,32,200,119.078,31.210,5320,65,255,194.976,36.527
G21,5320,92,246,177.012,32.037,5320,92,246,175.731,30.514,5320,96,255,202.095,29.271
G22,5320,7,200,92.983,42.565,5320,7,200,92.926,42.458,5320,52,255,133.131,35.954
G23,5320,5,161,45.883,34.034,5320,5,161,45.883,34.034,5320,57,255,208.946,46.694
G24,5320,76,238,142.996,36.846,5320,76,238,142.945,36.767,5320,196,255,246.908,12.675
G25,5320,50,255,193.670,42.696,5320,50,248,185.538,40.008,5320,50,255,209.349,44.238
G26,5320,64,244,168.388,38.578,5320,51,194,102.847,25.588,5320,51,194,102.847,25.588
G27,5320,17,131,100.089,24.963,5320,17,131,100.089,24.963,5320,71,255,224.259,38.995
G28,5320,64,144,128.135,12.232,5320,64,144,128.135,12.232,5320,111,255,238.152,23.470
G29,5320,35,153,112.554,24.247,5320,35,153,112.554,24.247,5320,84,255,230.211,26.333
G30,5320,93,211,154.572,25.237,5320,93,211,154.572,25.237,5320,194,255,232.941,16.446
G31,5320,28,248,170.829,54.435,5320,28,241,170.389,54.019,5320,66,255,206.866,55.472
G32,5320,14,84,47.992,13.755,5320,14,84,47.992,13.755,5320,67,255,187.467,64.698
G33,5320,36,166,114.326,33.432,5320,36,166,114.326,33.432,5320,50,255,210.386,45.558
G34,5320,55,255,195.664,58.447,5320,55,247,186.290,50.703,5320,75,247,202.928,38.234
G35,5320,63,255,168.908,50.880,5320,48,226,136.705,47.344,5320,48,226,136.705,47.344
G36,5320,37,214,133.519,27.663,5320,37,214,133.519,27.662,5320,80,255,225.440,38.180
