Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,243.293,9.427,5320,52,192,99.030,26.962,5320,52,192,99.030,26.962
G2,5320,85,255,220.909,42.158,5320,0,125,53.096,30.247,5320,0,125,53.096,30.247
G3,5320,53,255,225.270,43.661,5320,1,139,92.025,32.723,5320,1,139,92.025,32.723
G4,5320,51,255,173.442,51.127,5320,0,123,36.042,35.269,5320,0,123,36.042,35.269
G5,5320,54,255,232.989,32.958,5320,0,157,66.069,37.756,5320,0,157,66.069,37.756
G6,5320,74,252,166.803,48.459,5320,32,155,92.547,26.595,5320,32,155,92.547,26.595
G7,5320,71,255,191.298,36.395,5320,47,169,117.183,26.050,5320,47,169,117.183,26.050
G8,5320,59,255,189.099,52.924,5320,36,117,79.614,17.988,5320,36,117,79.614,17.988
G9,5320,58,255,171.993,41.965,5320,0,181,72.890,44.286,5320,0,181,72.890,44.286
G10,5320,128,255,229.130,33.220,5320,117,235,185.762,26.718,5320,117,235,191.827,26.427
G11,5320,157,255,225.411,24.455,5320,55,247,170.436,48.573,5320,55,253,171.885,49.826
G12,5320,126,255,233.333,21.978,5320,50,250,171.787,43.910,5320,50,254,173.130,45.436
G13,5320,45,252,164.267,57.633,5320,0,233,125.202,55.338,5320,0,233,127.576,55.835
G14,5320,46,255,212.620,36.507,5320,29,238,176.261,42.368,5320,29,255,181.504,47.348
G15,5320,53,255,194.695,40.654,5320,31,218,122.100,45.065,5320,31,218,122.102,45.068
G16,5320,163,255,228.956,21.583,5320,59,210,123.027,30.911,5320,59,210,123.027,30.911
G17,5320,64,253,158.153,45.986,5320,0,172,65.295,40.790,5320,0,172,65.295,40.790
G18,5320,27,186,117.414,36.117,5320,27,186,117.414,36.117,5320,69,254,206.486,38.671
G19,5320,87,255,187.299,36.503,5320,87,239,185.165,34.304,5320,117,255,220.136,30.076
G20,5320,144,255,198.036,24.141,5320,144,248,197.598,23.263,5320,181,255,231.826,18.821
G21,5320,134,253,200.148,24.946,5320,134,247,198.898,23.272,5320,193,255,242.457,11.828
G22,5320,59,225,130.074,31.335,5320,59,221,129.264,29.943,5320,97,255,189.257,40.031
G23,5320,148,249,207.813,25.679,5320,148,249,207.636,25.485,5320,210,255,241.440,12.466
G24,5320,175,255,217.213,19.088,5320,175,246,212.493,15.416,5320,177,255,243.366,15.672
G25,5320,56,255,211.982,44.766,5320,50,240,190.941,42.856,5320,50,255,194.888,45.395
G26,5320,65,244,167.530,38.644,5320,50,177,97.510,23.539,5320,50,177,97.510,23.539
G27,5320,31,162,121.539,26.230,5320,31,162,121.539,26.230,5320,79,255,224.390,38.659
G28,5320,94,218,172.801,24.037,5320,94,218,172.801,24.037,5320,128,255,239.529,22.016
G29,5320,136,217,180.436,18.665,5320,136,217,180.436,18.665,5320,161,255,223.940,27.424
G30,5320,90,233,164.948,24.592,5320,90,233,164.948,24.592,5320,129,255,224.518,29.284
G31,5320,43,244,118.433,46.837,5320,43,244,117.817,46.857,5320,58,255,175.209,56.871
G32,5320,123,255,214.463,24.308,5320,0,248,158.423,71.110,5320,0,255,176.763,82.403
G33,5320,51,255,196.400,38.549,5320,0,250,174.816,62.209,5320,0,252,190.414,69.872
G34,5320,71,255,211.140,49.984,5320,71,240,195.970,40.027,5320,71,240,199.217,37.837
G35,5320,78,255,164.936,49.851,5320,48,221,132.001,46.066,5320,48,221,132.001,46.066
G36,5320,38,179,113.308,40.771,5320,38,179,113.308,40.771,5320,84,255,226.230,32.687
G37,5320,86,212,161.377,30.069,5320,86,212,161.377,30.069,5320,118,255,225.492,30.705
G38,5320,136,212,185.825,18.141,5320,136,212,185.825,18.141,5320,162,255,226.489,23.428
G39,5320,134,245,203.566,20.180,5320,134,245,203.566,20.180,5320,160,255,238.495,19.158
G40,5320,59,253,216.869,39.294,5320,40,250,210.667,41.574,5320,40,255,215.642,43.805
G41,5320,44,255,158.630,50.498,5320,0,222,121.447,69.397,5320,0,255,138.400,85.851
G42,5320,45,255,182.976,41.813,5320,0,248,177.678,41.342,5320,0,253,187.417,41.794
G43,5320,144,255,227.019,22.029,5320,98,224,187.263,23.535,5320,98,229,187.425,23.613
G44,5320,41,255,148.819,51.327,5320,33,225,123.809,49.782,5320,33,225,124.957,49.951
G45,5320,17,233,139.533,48.028,5320,17,233,139.101,48.140,5320,24,255,190.363,51.902
G46,5320,118,248,199.323,24.393,5320,118,248,199.323,24.393,5320,166,255,237.080,20.223
G47,5320,30,244,196.590,30.076,5320,30,244,196.172,30.242,5320,40,255,223.877,37.964
G48,5320,76,254,192.315,36.325,5320,74,254,188.735,38.180,5320,78,255,199.867,43.930
G49,5320,89,235,173.905,29.708,5320,89,235,173.905,29.708,5320,169,255,232.136,22.719
G50,5320,43,204,99.944,43.324,5320,43,204,99.942,43.321,5320,113,255,210.320,32.913
G51,5320,70,255,181.675,53.724,5320,70,249,168.327,43.707,5320,72,252,205.273,27.950
G52,5320,101,255,185.286,39.412,5320,54,190,111.014,36.742,5320,54,190,111.014,36.742
G53,5320,32,255,210.836,55.532,5320,18,106,69.321,20.222,5320,18,106,69.391,20.181
G54,5320,83,249,215.133,31.069,5320,83,249,212.661,30.719,5320,120,255,234.372,23.167
G55,5320,174,255,236.669,21.278,5320,172,253,211.034,20.662,5320,172,255,212.686,20.831
G56,5320,30,255,196.072,57.425,5320,30,247,185.999,52.754,5320,41,255,200.427,53.106
G57,5320,20,180,86.184,35.524,5320,20,180,85.214,35.129,5320,35,228,128.851,42.722
G58,5320,71,155,94.893,14.314,5320,71,155,94.893,14.314,5320,123,228,195.832,20.068
G59,5320,33,146,81.864,24.293,5320,33,146,81.864,24.293,5320,49,213,156.009,34.651
G60,5320,28,247,159.230,54.211,5320,28,232,147.218,51.976,5320,38,232,163.199,48.726
G61,5320,94,245,166.233,30.613,5320,41,202,107.655,35.483,5320,41,202,107.655,35.483
G62,5320,39,255,185.369,56.438,5320,10,137,50.974,25.861,5320,10,137,51.019,25.929
G63,5320,42,255,182.472,48.821,5320,37,241,141.253,42.531,5320,37,250,145.587,46.459
G64,5320,90,253,200.436,32.226,5320,90,243,180.277,38.885,5320,100,255,194.742,47.008
G65,5320,0,205,64.786,55.439,5320,0,205,64.786,55.439,5320,110,255,201.803,41.255
G66,5320,0,110,54.617,32.668,5320,0,110,54.617,32.668,5320,187,255,237.191,17.301
G67,5320,39,139,94.692,22.092,5320,39,139,94.692,22.092,5320,180,255,238.948,18.591
G68,5320,31,255,175.987,57.833,5320,31,231,171.916,54.628,5320,152,255,219.931,18.336
G69,5320,138,255,246.178,15.841,5320,100,228,181.964,18.850,5320,100,233,181.983,18.895
G70,5320,13,255,183.914,66.009,5320,13,200,134.714,45.281,5320,41,228,143.791,35.511
G71,5320,107,255,224.050,33.966,5320,107,242,201.944,25.534,5320,144,245,210.445,18.853
G72,5320,89,245,191.890,42.074,5320,89,244,191.608,41.779,5320,207,255,248.767,7.236
G73,5320,0,156,40.317,32.804,5320,0,156,40.317,32.804,5320,84,255,238.494,25.096
G74,5320,0,71,44.222,20.375,5320,0,71,44.222,20.375,5320,111,255,207.582,29.920
G75,5320,0,72,30.422,21.147,5320,0,72,30.422,21.147,5320,160,255,230.198,16.137
