Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,243.110,8.360,5320,56,187,98.346,26.567,5320,56,187,98.346,26.567
G2,5320,76,255,217.543,45.059,5320,0,125,55.970,30.932,5320,0,125,55.970,30.932
G3,5320,56,255,225.078,43.096,5320,7,137,93.183,30.977,5320,7,137,93.183,30.977
G4,5320,54,255,156.626,41.557,5320,0,115,37.961,29.109,5320,0,115,37.961,29.109
G5,5320,35,253,171.230,46.203,5320,0,169,36.450,36.972,5320,0,169,36.450,36.972
G6,5320,79,255,172.690,49.846,5320,7,179,78.687,36.794,5320,7,179,78.687,36.794
G7,5320,43,255,193.367,38.134,5320,21,113,85.389,15.773,5320,21,113,85.389,15.773
G8,5320,54,255,189.738,55.290,5320,29,96,69.152,14.077,5320,29,96,69.152,14.077
G9,5320,57,255,172.117,45.400,5320,0,168,65.010,40.431,5320,0,168,65.010,40.431
G10,5320,134,255,233.527,28.274,5320,126,220,185.671,20.563,5320,126,230,189.480,21.511
G11,5320,185,255,231.429,18.820,5320,71,245,167.243,44.386,5320,71,245,167.280,44.422
G12,5320,140,255,231.039,22.703,5320,57,247,158.998,41.649,5320,57,250,159.305,42.082
G13,5320,35,252,147.905,54.214,5320,9,230,116.128,55.519,5320,9,255,136.634,71.947
G14,5320,56,255,207.146,43.481,5320,32,242,171.739,41.971,5320,32,255,185.305,49.120
G15,5320,53,255,195.733,40.292,5320,26,213,111.753,46.476,5320,26,213,111.753,46.476
G16,5320,140,255,225.488,24.404,5320,65,196,104.181,32.515,5320,65,196,104.181,32.515
G17,5320,59,252,161.229,47.117,5320,0,166,60.209,39.272,5320,0,166,60.209,39.272
G18,5320,29,198,128.550,38.166,5320,29,198,128.550,38.166,5320,70,251,207.086,35.022
G19,5320,87,253,200.158,37.100,5320,87,248,195.832,34.817,5320,116,255,217.661,30.778
G20,5320,190,255,231.325,17.533,5320,190,254,229.492,16.300,5320,196,255,241.619,14.769
G21,5320,194,255,231.197,14.384,5320,177,252,228.633,13.702,5320,177,255,249.341,10.946
G22,5320,43,234,159.026,51.194,5320,43,234,157.435,51.009,5320,64,255,183.082,54.069
G23,5320,79,255,192.862,41.911,5320,79,254,189.906,39.999,5320,125,255,201.561,31.168
G24,5320,205,255,234.156,10.183,5320,169,251,226.716,13.252,5320,169,255,240.037,19.594
G25,5320,49,255,216.198,42.541,5320,41,249,189.708,44.342,5320,41,255,191.963,46.476
G26,5320,63,248,169.463,38.600,5320,44,171,91.546,22.668,5320,44,171,91.546,22.668
G27,5320,26,200,153.499,37.289,5320,26,200,153.499,37.289,5320,64,255,226.427,39.767
G28,5320,102,251,207.600,24.172,5320,102,251,207.584,24.168,5320,116,255,239.738,22.191
G29,5320,142,250,212.950,20.900,5320,142,250,212.762,20.924,5320,148,255,228.436,25.027
G30,5320,125,224,193.822,18.748,5320,125,224,193.822,18.748,5320,161,255,235.993,18.558
G31,5320,127,249,187.785,20.279,5320,127,244,187.507,19.707,5320,165,255,238.773,16.301
G32,5320,161,255,235.503,18.672,5320,90,250,179.846,33.416,5320,90,253,181.208,34.911
G33,5320,51,255,213.651,48.666,5320,38,244,172.100,52.320,5320,38,249,174.333,54.832
G34,5320,73,255,211.127,45.527,5320,67,229,175.544,33.107,5320,67,239,175.685,33.276
G35,5320,63,255,170.825,55.475,5320,42,205,125.594,45.814,5320,42,205,125.594,45.814
G36,5320,86,255,215.971,30.363,5320,76,250,176.167,37.166,5320,76,255,191.875,51.803
G37,5320,102,254,208.549,35.598,5320,102,252,207.061,34.468,5320,116,255,224.916,29.546
G38,5320,136,255,201.149,38.213,5320,136,253,194.214,36.870,5320,136,255,202.117,33.691
G39,5320,33,255,182.959,50.497,5320,33,250,180.460,47.767,5320,37,255,201.671,47.341
G40,5320,49,255,128.798,47.564,5320,49,233,125.913,45.162,5320,50,246,141.553,51.285
G41,5320,40,255,176.294,64.616,5320,31,249,155.178,64.119,5320,31,249,155.384,64.258
G42,5320,44,255,190.567,37.549,5320,35,231,162.374,28.430,5320,35,231,162.374,28.430
G43,5320,129,255,226.016,23.186,5320,65,193,153.410,23.114,5320,65,193,153.410,23.114
G44,5320,45,255,149.966,57.366,5320,25,204,110.312,48.407,5320,25,204,110.528,48.408
G45,5320,4,255,183.597,55.849,5320,0,241,157.342,52.695,5320,0,241,160.857,51.060
G46,5320,168,255,234.236,22.708,5320,127,252,198.161,24.312,5320,127,253,198.655,24.565
G47,5320,169,255,241.732,16.173,5320,109,213,169.672,24.784,5320,109,213,169.672,24.784
G48,5320,44,255,202.030,44.428,5320,44,231,174.177,37.459,5320,45,231,174.339,37.256
G49,5320,79,255,201.251,44.295,5320,79,251,182.085,37.939,5320,81,251,182.837,37.374
G50,5320,85,255,209.360,41.874,5320,49,251,131.697,50.155,5320,49,251,131.764,50.297
G51,5320,104,255,228.259,29.559,5320,38,180,114.921,22.533,5320,38,180,114.921,22.533
G52,5320,102,254,183.713,37.645,5320,25,143,67.247,30.913,5320,25,143,67.247,30.913
G53,5320,33,255,215.233,53.799,5320,0,121,43.945,21.714,5320,0,137,43.985,21.747
G54,5320,134,255,237.033,24.071,5320,134,243,209.843,26.042,5320,142,244,213.115,23.228
G55,5320,165,255,235.874,24.821,5320,99,196,141.874,19.157,5320,99,196,141.874,19.157
G56,5320,177,255,251.304,10.666,5320,0,169,97.319,36.249,5320,0,169,97.319,36.249
G57,5320,64,255,232.997,35.714,5320,0,216,73.889,44.228,5320,0,216,73.889,44.228
G58,5320,70,255,192.654,45.540,5320,41,220,142.099,46.145,5320,41,220,142.099,46.145
G59,5320,42,251,173.466,51.906,5320,28,192,121.855,36.944,5320,28,192,121.855,36.944
G60,5320,40,226,167.416,46.246,5320,20,140,89.639,28.634,5320,20,140,89.639,28.634
G61,5320,79,255,162.264,43.518,5320,13,166,76.396,38.825,5320,13,166,76.396,38.825
G62,5320,46,255,183.587,61.740,5320,0,190,28.992,29.006,5320,0,255,29.431,31.404
G63,5320,42,255,183.620,47.566,5320,28,212,98.587,36.916,5320,28,249,99.577,39.320
G64,5320,66,255,176.672,57.196,5320,0,150,17.919,30.884,5320,0,150,17.919,30.884
G65,5320,155,255,224.024,22.240,5320,0,123,11.229,21.341,5320,0,123,11.229,21.341
G66,5320,96,255,197.611,45.161,5320,31,254,157.832,67.295,5320,31,255,159.691,69.560
G67,5320,150,255,224.402,24.481,5320,122,254,214.409,31.693,5320,122,255,226.882,35.350
G68,5320,157,255,231.703,26.762,5320,105,251,172.978,41.582,5320,105,253,173.589,42.470
G69,5320,180,255,244.548,15.573,5320,98,175,129.711,16.038,5320,98,175,129.711,16.038
G70,5320,0,255,182.630,66.113,5320,0,182,114.632,39.265,5320,36,255,127.924,38.006
G71,5320,133,255,228.445,25.843,5320,126,233,157.788,16.473,5320,126,240,159.539,19.407
G72,5320,67,255,214.377,58.656,5320,0,249,150.316,74.928,5320,0,253,151.078,75.809
G73,5320,83,246,188.248,38.707,5320,0,233,134.650,73.407,5320,0,255,160.761,91.686
