Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.303,8.532,5320,39,160,71.805,23.947,5320,39,160,71.805,23.947
G2,5320,80,255,217.692,45.985,5320,0,83,31.114,23.109,5320,0,83,31.114,23.109
G3,5320,52,255,225.386,45.812,5320,0,126,77.165,30.207,5320,0,126,77.165,30.207
G4,5320,56,255,167.460,49.274,5320,0,93,19.215,26.485,5320,0,93,19.215,26.485
G5,5320,39,255,187.009,53.819,5320,0,76,13.716,17.441,5320,0,76,13.716,17.441
G6,5320,53,255,196.094,54.245,5320,0,215,89.094,61.587,5320,0,215,89.094,61.587
G7,5320,45,255,197.717,37.818,5320,31,235,139.596,40.848,5320,31,235,139.596,40.848
G8,5320,50,255,187.058,54.871,5320,34,119,77.198,18.018,5320,34,119,77.198,18.018
G9,5320,58,255,172.120,40.873,5320,0,173,70.697,42.981,5320,0,173,70.697,42.981
G10,5320,140,255,234.312,28.336,5320,84,205,150.229,23.010,5320,84,217,151.610,25.088
G11,5320,195,255,237.879,13.570,5320,53,184,127.378,34.713,5320,53,184,127.378,34.713
G12,5320,103,255,235.736,24.850,5320,26,206,134.893,39.124,5320,26,206,134.894,39.125
G13,5320,53,255,162.993,48.006,5320,0,174,90.174,46.184,5320,0,197,92.494,48.510
G14,5320,29,255,208.380,50.324,5320,29,242,155.950,40.701,5320,49,255,179.529,47.764
G15,5320,45,255,187.900,37.097,5320,28,245,125.490,53.507,5320,28,251,127.496,56.594
G16,5320,169,255,227.545,22.438,5320,55,230,123.691,37.262,5320,55,231,123.859,37.590
G17,5320,61,252,159.209,45.926,5320,0,173,62.970,40.538,5320,0,173,62.970,40.538
G18,5320,41,231,155.902,40.616,5320,41,231,155.862,40.558,5320,74,252,207.968,33.088
G19,5320,117,255,217.696,33.833,5320,117,239,184.197,29.047,5320,122,249,187.751,29.433
G20,5320,76,255,241.982,18.792,5320,63,207,188.162,14.454,5320,63,207,188.162,14.454
G21,5320,67,255,219.526,38.194,5320,54,221,185.865,32.240,5320,54,221,185.983,32.261
G22,5320,0,218,109.911,71.865,5320,0,201,107.017,68.686,5320,50,217,159.847,44.039
G23,5320,0,153,11.396,22.481,5320,0,153,11.396,22.481,5320,101,255,212.649,32.201
G24,5320,44,247,143.299,47.811,5320,44,238,142.782,47.003,5320,189,255,244.149,14.664
G25,5320,50,255,198.999,42.227,5320,46,250,186.308,41.197,5320,46,255,205.166,47.097
G26,5320,62,245,165.860,37.784,5320,47,179,91.571,23.024,5320,47,179,91.571,23.024
G27,5320,38,255,195.142,56.669,5320,38,250,190.365,52.794,5320,70,255,216.523,44.210
G28,5320,119,255,239.774,23.846,5320,88,253,189.324,31.300,5320,88,254,190.454,32.030
G29,5320,69,255,218.719,34.559,5320,55,199,135.159,27.791,5320,55,199,135.159,27.791
G30,5320,68,255,232.428,28.822,5320,54,183,154.523,18.934,5320,54,183,154.523,18.934
G31,5320,0,234,92.920,67.164,5320,0,186,86.258,57.037,5320,103,186,150.128,18.847
G32,5320,0,50,21.668,10.354,5320,0,50,21.668,10.354,5320,112,254,200.847,37.994
G33,5320,21,171,106.272,42.587,5320,21,171,106.025,42.583,5320,44,254,204.302,48.229
G34,5320,63,255,200.234,56.019,5320,63,211,167.166,33.513,5320,78,237,177.446,28.123
G35,5320,67,255,171.677,51.182,5320,48,195,123.881,38.778,5320,48,195,123.881,38.778
G36,5320,90,255,225.498,33.561,5320,72,252,206.332,35.108,5320,72,255,209.368,36.779
