Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,243.001,9.046,5320,61,194,107.562,26.736,5320,61,194,107.562,26.736
G2,5320,86,255,219.311,45.032,5320,4,142,77.863,31.566,5320,4,142,77.863,31.566
G3,5320,54,255,222.828,47.469,5320,9,148,107.470,30.726,5320,9,148,107.470,30.726
G4,5320,45,219,134.994,38.084,5320,0,86,7.377,9.653,5320,0,86,7.377,9.653
G5,5320,55,255,164.820,45.984,5320,0,51,3.991,7.561,5320,0,51,3.991,7.561
G6,5320,72,255,174.181,51.034,5320,0,102,47.990,26.372,5320,0,102,47.990,26.372
G7,5320,59,255,178.063,42.593,5320,20,98,62.092,16.405,5320,20,98,62.092,16.405
G8,5320,50,255,188.891,53.768,5320,25,104,54.845,13.356,5320,25,104,54.845,13.356
G9,5320,48,253,169.560,41.082,5320,0,155,57.739,39.323,5320,0,155,57.739,39.323
G10,5320,131,255,230.445,33.289,5320,131,227,188.462,22.235,5320,135,230,194.456,21.373
G11,5320,191,255,246.202,9.159,5320,93,225,181.488,27.359,5320,93,225,181.488,27.359
G12,5320,79,255,224.664,30.341,5320,18,191,123.501,38.204,5320,18,191,123.501,38.204
G13,5320,42,255,186.714,53.647,5320,0,191,89.086,50.339,5320,0,191,89.086,50.339
G14,5320,71,255,218.853,28.738,5320,28,189,107.817,35.312,5320,28,189,107.817,35.312
G15,5320,72,255,185.276,41.412,5320,27,187,82.189,44.235,5320,27,187,82.189,44.235
G16,5320,154,255,225.851,24.506,5320,39,192,85.515,36.264,5320,39,192,85.515,36.264
G17,5320,55,254,168.088,44.653,5320,0,148,51.451,36.645,5320,0,148,51.451,36.645
G18,5320,24,191,118.313,36.261,5320,24,191,118.313,36.261,5320,61,247,205.517,38.726
G19,5320,88,255,189.978,39.814,5320,88,244,185.980,36.632,5320,137,255,217.703,29.715
G20,5320,173,255,233.189,18.625,5320,146,239,200.730,15.413,5320,146,254,201.083,16.181
G21,5320,213,255,245.195,10.369,5320,127,200,178.601,16.468,5320,127,200,178.601,16.468
G22,5320,57,249,169.792,35.135,5320,31,177,115.682,25.749,5320,31,177,115.682,25.749
G23,5320,168,255,228.158,19.416,5320,115,208,158.876,14.666,5320,115,208,158.876,14.666
G24,5320,190,255,244.288,10.425,5320,143,253,220.673,25.721,5320,143,255,223.563,28.324
G25,5320,50,255,217.582,42.089,5320,39,240,178.009,43.249,5320,39,247,178.423,43.786
G26,5320,63,246,167.578,36.968,5320,41,154,79.549,19.497,5320,41,154,79.549,19.497
G27,5320,24,145,104.430,21.977,5320,24,145,104.430,21.977,5320,69,255,227.542,37.216
G28,5320,73,237,162.517,34.603,5320,73,237,162.517,34.603,5320,115,255,241.143,21.327
G29,5320,87,250,209.322,35.523,5320,80,245,203.090,33.741,5320,80,255,209.557,33.617
