Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,243.601,8.422,5320,49,179,91.120,24.891,5320,49,179,91.120,24.891
G2,5320,76,255,218.678,44.923,5320,0,117,49.623,29.666,5320,0,117,49.623,29.666
G3,5320,53,255,224.500,44.432,5320,2,134,89.504,31.586,5320,2,134,89.504,31.586
G4,5320,49,255,159.330,38.794,5320,0,86,19.079,23.483,5320,0,86,19.079,23.483
G5,5320,60,234,177.468,32.699,5320,0,102,20.644,24.489,5320,0,102,20.644,24.489
G6,5320,81,255,169.897,30.296,5320,0,141,90.491,23.833,5320,0,141,90.491,23.833
G7,5320,60,255,193.480,36.477,5320,35,142,106.028,20.400,5320,35,142,106.028,20.400
G8,5320,52,255,186.383,56.827,5320,33,128,87.539,23.735,5320,33,128,87.539,23.735
G9,5320,56,248,172.414,40.676,5320,5,187,80.596,45.295,5320,5,187,80.596,45.295
G10,5320,129,255,231.564,31.765,5320,118,212,173.559,21.313,5320,118,230,178.045,23.576
G11,5320,193,255,233.734,17.254,5320,52,205,144.791,35.861,5320,52,205,144.791,35.861
G12,5320,159,255,231.152,21.098,5320,51,161,103.956,24.150,5320,51,161,103.956,24.150
G13,5320,31,255,169.280,65.163,5320,0,156,81.704,43.604,5320,0,156,81.704,43.604
G14,5320,54,255,207.972,42.878,5320,34,233,137.704,40.712,5320,34,233,137.704,40.712
G15,5320,38,251,201.397,36.310,5320,21,219,144.623,43.264,5320,21,239,147.213,46.645
G16,5320,162,255,225.612,23.908,5320,89,241,151.551,29.738,5320,89,255,156.552,38.181
G17,5320,59,245,158.628,45.981,5320,2,219,77.800,49.223,5320,2,225,77.813,49.259
G18,5320,31,208,126.185,37.926,5320,31,208,126.185,37.926,5320,71,252,205.817,35.724
G19,5320,100,255,205.021,42.435,5320,100,250,191.535,35.249,5320,131,255,206.019,30.835
G20,5320,195,255,241.193,15.769,5320,160,218,195.494,12.534,5320,160,218,195.494,12.534
G21,5320,127,255,233.477,29.315,5320,45,197,140.187,37.456,5320,45,197,140.187,37.456
G22,5320,65,222,143.002,35.897,5320,32,153,89.575,25.684,5320,32,153,89.575,25.684
G23,5320,60,254,168.456,47.552,5320,53,233,147.553,41.330,5320,53,233,148.556,41.114
G24,5320,26,235,121.667,54.901,5320,26,232,120.635,53.135,5320,58,252,155.746,55.334
G25,5320,21,243,111.874,57.756,5320,21,239,111.167,56.607,5320,54,255,184.414,65.124
G26,5320,59,240,167.476,37.709,5320,59,226,121.204,30.532,5320,62,233,121.912,31.665
G27,5320,34,221,166.114,43.200,5320,34,221,166.114,43.200,5320,77,255,227.239,40.064
G28,5320,132,255,226.562,25.768,5320,132,254,216.383,25.208,5320,136,255,230.648,28.418
G29,5320,148,255,229.183,28.051,5320,89,216,158.661,28.492,5320,89,216,158.661,28.492
G30,5320,82,255,204.844,38.855,5320,36,192,99.362,35.597,5320,36,192,99.362,35.597
G31,5320,157,255,205.632,23.825,5320,53,155,83.073,21.477,5320,53,155,83.073,21.477
G32,5320,144,255,214.478,28.828,5320,83,234,161.602,34.136,5320,83,247,169.901,44.185
G33,5320,115,210,173.548,18.389,5320,115,210,173.548,18.389,5320,139,255,216.674,27.405
G34,5320,56,255,191.783,43.994,5320,56,254,190.834,42.832,5320,91,255,227.955,33.754
G35,5320,68,255,164.347,49.454,5320,57,248,146.038,49.998,5320,57,254,147.099,51.206
G36,5320,118,255,219.183,30.708,5320,56,249,149.414,62.919,5320,56,255,159.454,74.223
G37,5320,135,255,215.876,30.518,5320,135,245,204.799,24.738,5320,141,255,213.382,25.335
G38,5320,51,255,175.783,53.818,5320,37,214,121.390,43.529,5320,37,214,121.390,43.529
G39,5320,61,255,208.046,33.384,5320,45,236,152.319,49.476,5320,45,236,152.319,49.476
G40,5320,89,255,207.242,42.585,5320,50,195,84.949,19.513,5320,50,195,84.949,19.513
G41,5320,123,255,199.703,41.239,5320,57,234,147.941,41.163,5320,57,244,155.634,45.551
