Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,244.396,7.737,5320,49,180,86.427,25.975,5320,49,180,86.427,25.975
G2,5320,77,255,215.217,47.600,5320,0,108,41.140,29.370,5320,0,108,41.140,29.370
G3,5320,48,255,223.016,48.021,5320,0,127,80.561,31.446,5320,0,127,80.561,31.446
G4,5320,54,250,158.589,39.453,5320,0,68,9.489,17.624,5320,0,68,9.489,17.624
G5,5320,59,252,181.952,31.449,5320,0,50,4.102,10.425,5320,0,50,4.102,10.425
G6,5320,77,255,163.345,39.983,5320,0,144,70.649,30.191,5320,0,144,70.649,30.191
G7,5320,66,255,185.239,34.794,5320,38,143,91.920,20.814,5320,38,143,91.920,20.814
G8,5320,52,255,186.452,56.376,5320,28,89,59.550,12.378,5320,28,89,59.550,12.378
G9,5320,60,255,174.846,44.489,5320,0,178,66.783,42.494,5320,0,178,66.783,42.494
G10,5320,131,255,232.597,29.765,5320,109,216,175.272,22.587,5320,109,221,178.992,24.696
G11,5320,171,255,226.935,21.711,5320,46,209,136.218,37.219,5320,46,209,136.218,37.219
G12,5320,157,255,227.269,22.661,5320,15,135,78.030,26.664,5320,15,135,78.030,26.664
G13,5320,42,255,171.817,58.617,5320,0,51,17.450,16.321,5320,0,51,17.450,16.321
G14,5320,58,255,214.718,34.401,5320,25,80,56.310,10.551,5320,25,80,56.310,10.551
G15,5320,56,231,178.363,35.108,5320,26,146,67.601,24.213,5320,26,146,67.601,24.213
G16,5320,175,255,229.503,20.994,5320,49,185,98.182,32.439,5320,49,185,98.182,32.439
G17,5320,58,247,160.899,43.985,5320,0,162,59.796,37.655,5320,0,162,59.796,37.655
G18,5320,30,192,123.812,37.476,5320,30,192,123.812,37.476,5320,72,254,204.055,39.420
G19,5320,95,255,204.519,40.337,5320,95,252,194.112,35.745,5320,129,255,210.345,30.020
G20,5320,176,255,230.823,21.320,5320,135,227,187.710,16.971,5320,135,227,187.710,16.971
G21,5320,176,255,245.364,12.828,5320,35,201,122.178,44.145,5320,35,201,122.178,44.145
G22,5320,63,238,156.067,45.001,5320,8,72,30.252,13.354,5320,8,72,30.252,13.354
G23,5320,49,250,171.465,49.080,5320,12,199,72.281,42.871,5320,12,199,72.281,42.871
G24,5320,72,252,149.269,41.310,5320,29,208,113.150,36.675,5320,29,208,113.150,36.675
G25,5320,48,255,190.999,54.244,5320,36,214,158.817,44.714,5320,36,214,158.817,44.714
G26,5320,59,246,168.997,38.662,5320,44,167,94.252,22.176,5320,44,167,94.252,22.176
G27,5320,34,204,155.810,37.043,5320,34,204,155.810,37.043,5320,80,255,225.740,37.300
G28,5320,107,255,214.564,26.427,5320,107,244,209.586,23.296,5320,117,255,234.995,24.304
G29,5320,143,255,224.088,27.587,5320,103,228,164.104,27.966,5320,103,228,164.104,27.966
G30,5320,44,255,231.943,39.915,5320,24,225,132.205,36.029,5320,24,225,132.205,36.029
G31,5320,40,255,177.132,62.254,5320,20,224,136.571,66.756,5320,20,224,136.571,66.756
G32,5320,65,255,203.163,57.670,5320,56,240,173.215,54.408,5320,56,240,173.215,54.408
G33,5320,143,255,232.149,22.685,5320,120,240,202.764,24.920,5320,120,240,202.764,24.920
G34,5320,113,255,243.598,22.122,5320,97,217,197.414,18.116,5320,97,217,197.414,18.116
G35,5320,67,255,168.098,51.301,5320,47,199,127.112,42.760,5320,47,199,127.112,42.760
G36,5320,104,255,215.738,28.696,5320,87,251,188.352,29.746,5320,87,255,202.485,41.860
G37,5320,106,255,212.779,36.432,5320,106,250,207.473,33.356,5320,116,255,220.506,30.212
G38,5320,84,255,173.963,48.310,5320,54,246,150.247,53.227,5320,54,246,150.247,53.227
G39,5320,65,255,174.294,48.237,5320,34,226,133.508,51.322,5320,34,226,133.508,51.322
G40,5320,98,255,224.258,33.604,5320,97,239,206.973,26.617,5320,98,239,208.652,25.652
G41,5320,71,255,188.743,43.660,5320,63,249,178.853,43.599,5320,63,250,179.200,43.849
G42,5320,188,246,222.718,11.341,5320,155,230,195.664,13.776,5320,155,230,195.664,13.776
G43,5320,130,255,227.825,22.988,5320,67,196,157.216,22.958,5320,67,196,157.216,22.958
G44,5320,41,255,152.065,57.349,5320,26,209,116.833,52.420,5320,26,215,117.596,52.770
G45,5320,26,255,191.918,53.798,5320,0,241,170.560,46.336,5320,0,241,170.888,46.524
G46,5320,163,255,237.364,19.763,5320,132,245,178.510,27.126,5320,132,245,178.680,27.290
G47,5320,95,255,227.564,26.282,5320,75,244,181.202,44.520,5320,75,244,181.202,44.520
G48,5320,94,255,191.840,34.147,5320,94,238,176.824,31.644,5320,108,238,179.303,29.711
G49,5320,129,255,226.160,27.747,5320,129,254,223.759,26.678,5320,142,255,241.701,15.430
G50,5320,66,255,210.489,36.225,5320,0,249,121.210,93.411,5320,0,253,123.330,95.316
G51,5320,71,255,219.346,38.948,5320,0,226,143.744,51.067,5320,0,226,143.744,51.067
G52,5320,103,255,181.055,37.227,5320,30,151,76.766,33.775,5320,30,151,76.766,33.775
G53,5320,36,255,216.715,52.572,5320,0,137,46.847,22.075,5320,0,169,46.907,22.149
G54,5320,133,255,236.035,24.956,5320,133,244,208.497,27.565,5320,134,244,211.846,24.960
G55,5320,190,255,238.233,20.120,5320,99,191,138.016,15.034,5320,99,191,138.016,15.034
G56,5320,126,255,232.253,22.989,5320,11,210,107.071,31.819,5320,11,210,107.071,31.819
G57,5320,67,255,193.160,54.269,5320,24,248,170.435,51.553,5320,24,250,191.819,44.074
G58,5320,96,225,138.913,28.975,5320,96,223,138.909,28.963,5320,173,255,233.980,18.151
G59,5320,41,240,146.882,44.068,5320,11,232,137.823,45.619,5320,11,255,197.361,61.432
G60,5320,36,228,170.675,46.169,5320,24,193,112.081,35.365,5320,24,193,112.363,35.690
G61,5320,78,255,163.151,44.227,5320,14,171,81.583,39.273,5320,14,171,81.583,39.273
G62,5320,51,255,182.037,61.681,5320,0,174,30.821,29.532,5320,0,255,31.429,32.497
G63,5320,41,255,183.816,48.489,5320,27,209,105.454,40.373,5320,27,241,106.174,41.884
G64,5320,83,255,193.065,49.841,5320,0,171,44.083,36.540,5320,0,171,44.083,36.540
G65,5320,115,255,216.273,30.406,5320,0,251,166.892,65.924,5320,0,255,187.126,76.114
G66,5320,53,191,103.121,20.085,5320,53,191,103.121,20.085,5320,174,255,226.528,18.321
G67,5320,48,254,140.674,64.549,5320,48,245,136.917,60.782,5320,61,255,214.192,34.612
G68,5320,103,255,230.311,28.612,5320,69,243,173.115,39.755,5320,69,244,173.519,40.299
G69,5320,182,255,243.657,16.260,5320,94,177,132.142,16.024,5320,94,177,132.142,16.024
G70,5320,17,255,184.755,60.395,5320,17,183,118.496,33.187,5320,33,228,126.314,30.513
G71,5320,127,255,224.948,29.681,5320,127,226,169.371,15.976,5320,129,243,172.406,18.975
G72,5320,136,255,223.930,30.682,5320,52,249,184.752,48.471,5320,52,255,188.129,51.723
G73,5320,111,255,185.761,31.934,5320,111,247,181.301,28.929,5320,118,255,232.571,26.019
G74,5320,25,152,75.506,28.564,5320,25,152,75.506,28.564,5320,129,255,188.598,25.329
G75,5320,23,218,88.077,37.344,5320,23,217,88.074,37.336,5320,82,254,194.572,41.004
G76,5320,63,255,186.294,59.092,5320,63,250,175.079,49.840,5320,100,255,205.424,29.391
G77,5320,71,255,212.761,37.446,5320,57,238,163.966,32.293,5320,57,241,164.524,32.788
G78,5320,13,229,146.476,50.279,5320,13,227,146.475,50.278,5320,18,255,197.289,60.928
G79,5320,117,250,191.496,27.568,5320,117,249,190.855,26.707,5320,161,255,236.403,19.609
G80,5320,88,210,185.477,21.315,5320,88,210,185.477,21.315,5320,130,255,241.208,21.167
G81,5320,100,195,135.683,18.667,5320,100,195,135.683,18.667,5320,158,255,229.862,21.262
G82,5320,26,130,91.979,26.394,5320,26,130,91.979,26.394,5320,171,255,235.633,21.400
G83,5320,0,221,40.266,47.491,5320,0,221,40.266,47.491,5320,98,255,222.921,37.282
G84,5320,14,239,168.202,39.226,5320,14,211,151.425,32.049,5320,42,254,174.231,41.059
G85,5320,108,183,154.993,13.939,5320,108,183,154.993,13.939,5320,150,255,217.735,19.891
G86,5320,68,174,138.003,22.772,5320,68,174,138.003,22.772,5320,102,251,197.364,31.110
G87,5320,111,206,175.858,15.234,5320,111,206,175.858,15.234,5320,153,255,235.783,19.796
G88,5320,118,208,193.132,14.906,5320,118,208,193.123,14.911,5320,153,255,240.155,20.046
G89,5320,57,200,135.576,32.400,5320,57,200,135.576,32.400,5320,146,255,241.290,18.959
G90,5320,2,149,81.257,42.987,5320,2,149,81.257,42.987,5320,30,255,170.924,54.074
G91,5320,31,255,125.225,56.897,5320,31,255,121.982,52.811,5320,38,255,147.674,51.913
G92,5320,31,255,159.311,58.654,5320,0,59,8.497,10.613,5320,0,59,8.497,10.613
G93,5320,130,255,224.666,23.980,5320,0,108,4.611,12.976,5320,0,108,4.611,12.976
G94,5320,151,255,221.428,24.334,5320,0,172,98.659,56.423,5320,0,172,98.659,56.423
G95,5320,76,255,197.508,58.940,5320,46,172,127.278,31.606,5320,46,172,127.278,31.606
G96,5320,123,246,163.998,24.287,5320,120,220,162.955,22.926,5320,122,255,234.420,21.793
G97,5320,0,255,155.034,57.737,5320,0,221,142.061,53.666,5320,29,255,203.854,50.181
G98,5320,30,255,165.905,55.836,5320,30,229,139.773,37.633,5320,55,255,177.087,46.247
G99,5320,21,245,130.394,32.309,5320,21,223,129.267,31.528,5320,28,255,206.832,42.678
G100,5320,40,253,172.172,36.026,5320,40,253,172.169,36.026,5320,59,255,219.276,32.952
