Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,245.183,8.399,5320,75,193,134.550,23.554,5320,75,193,134.550,23.554
G2,5320,84,255,213.489,49.301,5320,71,173,134.197,19.678,5320,71,173,134.197,19.678
G3,5320,49,255,224.733,45.520,5320,40,191,155.194,26.750,5320,40,191,155.194,26.750
G4,5320,78,194,138.765,27.139,5320,66,189,136.102,28.735,5320,66,191,146.427,32.692
G5,5320,42,250,134.303,49.659,5320,42,197,120.715,40.838,5320,49,220,135.457,43.155
G6,5320,35,254,168.192,42.068,5320,35,249,165.723,39.052,5320,51,254,206.708,32.812
G7,5320,65,240,172.506,34.300,5320,65,240,167.445,34.599,5320,72,255,190.937,39.809
G8,5320,54,255,188.170,54.086,5320,43,174,109.431,28.951,5320,43,174,109.432,28.951
G9,5320,60,255,170.560,41.902,5320,2,194,80.787,43.819,5320,2,194,80.787,43.820
G10,5320,133,255,234.015,27.296,5320,132,215,192.969,13.063,5320,136,226,196.084,12.687
G11,5320,158,255,238.262,15.274,5320,120,214,185.377,17.605,5320,120,214,185.377,17.605
G12,5320,71,255,207.839,58.795,5320,56,213,152.705,41.069,5320,56,213,152.705,41.069
G13,5320,31,246,133.325,49.448,5320,31,224,126.084,42.752,5320,55,240,164.106,49.448
G14,5320,36,231,135.398,45.070,5320,36,231,135.376,45.045,5320,55,255,213.010,46.543
G15,5320,51,247,186.608,37.479,5320,49,246,159.070,47.467,5320,52,255,165.614,53.477
G16,5320,172,255,227.974,21.883,5320,81,250,152.789,31.988,5320,81,255,153.168,32.865
G17,5320,63,255,159.990,45.910,5320,1,189,73.616,43.051,5320,1,189,73.616,43.051
G18,5320,32,197,132.122,37.044,5320,32,197,132.122,37.044,5320,69,254,204.088,37.563
G19,5320,110,255,211.141,37.838,5320,110,247,195.322,28.497,5320,136,249,206.141,24.660
G20,5320,178,255,231.471,20.781,5320,126,215,168.463,22.616,5320,126,215,168.463,22.616
G21,5320,201,255,243.984,12.335,5320,113,232,180.851,23.307,5320,113,234,180.900,23.390
G22,5320,0,255,136.005,89.033,5320,0,243,132.259,85.098,5320,53,255,182.589,58.332
G23,5320,0,148,12.919,24.150,5320,0,148,12.919,24.150,5320,131,255,218.646,23.449
G24,5320,58,239,144.324,37.453,5320,58,239,144.251,37.341,5320,190,255,248.022,11.385
G25,5320,49,255,189.169,43.613,5320,49,250,181.279,41.195,5320,50,255,208.213,46.745
G26,5320,65,245,169.043,38.217,5320,52,195,103.907,25.445,5320,52,195,103.907,25.445
G27,5320,36,253,183.887,47.901,5320,36,252,183.886,47.899,5320,78,255,228.334,37.083
G28,5320,117,255,237.587,23.060,5320,103,254,210.397,34.722,5320,103,255,214.103,36.648
G29,5320,128,255,220.701,31.639,5320,0,188,90.488,49.610,5320,0,188,90.488,49.610
G30,5320,111,255,219.632,31.676,5320,0,178,52.938,55.054,5320,0,178,52.938,55.054
G31,5320,0,255,193.142,64.102,5320,0,200,122.704,54.956,5320,0,210,129.712,49.248
