Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,244.117,10.635,5320,50,173,109.133,24.014,5320,50,173,109.133,24.014
G2,5320,81,255,209.785,50.320,5320,50,143,104.178,18.110,5320,50,143,104.178,18.110
G3,5320,51,255,225.257,43.757,5320,36,169,135.745,24.037,5320,36,169,135.745,24.037
G4,5320,47,209,147.787,37.886,5320,32,209,134.256,47.734,5320,32,209,136.570,49.241
G5,5320,38,255,132.214,58.696,5320,32,197,110.252,44.198,5320,32,197,116.011,40.830
G6,5320,41,255,168.993,55.089,5320,41,235,157.434,46.910,5320,60,255,194.097,51.304
G7,5320,70,253,181.296,33.051,5320,59,252,169.680,36.396,5320,59,255,185.632,44.793
G8,5320,61,255,188.143,54.172,5320,37,155,89.006,23.912,5320,37,155,89.006,23.912
G9,5320,58,255,171.801,42.689,5320,0,171,65.420,43.570,5320,0,171,65.420,43.570
G10,5320,134,255,235.518,25.617,5320,130,215,165.216,14.090,5320,131,233,166.794,17.131
G11,5320,148,255,232.592,20.345,5320,82,161,134.631,15.659,5320,82,161,134.631,15.659
G12,5320,138,255,235.107,23.170,5320,74,177,124.639,15.695,5320,74,177,124.639,15.695
G13,5320,3,245,140.869,47.783,5320,3,199,123.777,42.550,5320,38,254,145.695,46.694
G14,5320,5,254,157.176,67.097,5320,5,249,152.846,62.627,5320,49,255,198.542,47.686
G15,5320,48,255,196.561,41.217,5320,40,228,132.109,45.288,5320,40,233,132.512,45.632
G16,5320,170,255,228.132,21.542,5320,53,182,112.886,24.368,5320,53,182,112.886,24.368
G17,5320,62,255,158.791,46.821,5320,0,152,56.661,37.749,5320,0,152,56.661,37.749
G18,5320,36,223,148.363,43.067,5320,36,223,148.363,43.067,5320,70,250,205.777,38.954
G19,5320,122,255,217.443,33.222,5320,53,226,163.542,34.427,5320,53,245,168.328,38.677
G20,5320,133,255,237.130,19.048,5320,16,158,76.205,31.252,5320,16,158,76.205,31.252
G21,5320,78,255,224.517,33.891,5320,13,178,105.173,38.142,5320,13,178,105.173,38.142
G22,5320,0,246,143.038,84.639,5320,0,230,123.392,69.934,5320,46,230,152.045,44.380
G23,5320,6,227,53.400,50.415,5320,6,225,53.373,50.327,5320,85,255,204.950,34.305
G24,5320,135,255,237.687,27.860,5320,135,248,212.496,22.442,5320,154,251,218.635,16.270
G25,5320,52,255,214.813,46.285,5320,39,227,166.988,42.224,5320,39,227,166.988,42.224
G26,5320,65,244,166.805,37.920,5320,42,156,81.554,20.267,5320,42,156,81.554,20.267
G27,5320,39,255,200.780,48.865,5320,39,254,196.566,45.496,5320,77,255,222.053,34.991
G28,5320,120,255,236.353,26.228,5320,40,243,155.403,59.542,5320,40,248,156.127,60.163
G29,5320,69,255,207.978,45.462,5320,3,73,38.872,14.755,5320,3,73,38.872,14.755
G30,5320,68,255,195.549,43.750,5320,10,108,50.057,18.182,5320,10,108,50.057,18.182
G31,5320,65,234,151.156,39.520,5320,6,162,74.907,36.563,5320,6,162,80.525,42.409
G32,5320,52,232,169.767,40.381,5320,0,214,91.294,55.951,5320,0,225,105.324,65.937
G33,5320,39,249,200.076,51.425,5320,0,225,98.079,60.445,5320,0,225,98.116,60.517
G34,5320,86,255,210.789,44.599,5320,37,186,138.350,35.653,5320,37,186,138.350,35.653
G35,5320,66,255,171.420,51.859,5320,44,189,115.468,37.287,5320,44,189,115.468,37.287
G36,5320,89,255,225.882,34.506,5320,44,254,146.988,69.505,5320,44,255,148.488,71.230
G37,5320,118,255,226.502,29.928,5320,74,237,169.784,35.242,5320,74,237,169.784,35.242
G38,5320,50,255,208.849,57.488,5320,0,153,64.861,41.751,5320,0,153,64.861,41.751
G39,5320,56,255,231.761,28.425,5320,0,101,60.659,34.590,5320,0,101,60.659,34.590
G40,5320,68,255,237.892,25.673,5320,3,118,54.741,27.207,5320,3,118,54.741,27.207
G41,5320,37,255,168.449,55.488,5320,0,210,89.393,67.758,5320,0,210,89.393,67.758
G42,5320,39,255,189.423,37.540,5320,0,201,130.844,30.442,5320,0,201,130.844,30.442
G43,5320,134,255,226.885,23.188,5320,57,158,126.379,17.864,5320,57,158,126.379,17.864
G44,5320,44,255,149.222,52.990,5320,22,190,99.983,44.511,5320,22,190,100.155,44.591
G45,5320,15,255,191.534,53.381,5320,9,218,138.209,40.639,5320,9,218,138.629,40.658
G46,5320,174,255,235.065,21.532,5320,88,196,140.698,25.155,5320,88,196,140.698,25.155
G47,5320,36,255,182.047,61.737,5320,0,221,82.281,51.310,5320,0,221,82.281,51.310
G48,5320,51,255,178.534,54.016,5320,0,229,133.880,66.447,5320,0,229,134.217,66.648
G49,5320,77,255,194.068,47.708,5320,58,249,164.560,47.429,5320,58,255,181.985,55.563
G50,5320,127,255,227.773,30.281,5320,76,249,187.294,36.884,5320,76,255,192.751,39.652
G51,5320,83,255,223.702,35.082,5320,33,194,111.643,24.840,5320,33,194,111.643,24.840
G52,5320,105,255,185.180,36.060,5320,19,122,58.881,27.366,5320,19,122,58.881,27.366
G53,5320,41,255,213.147,51.620,5320,0,131,41.655,21.192,5320,0,140,41.692,21.240
G54,5320,150,255,238.364,22.253,5320,106,231,190.908,28.349,5320,106,231,192.781,27.911
G55,5320,173,255,235.684,24.652,5320,61,159,98.721,17.549,5320,61,159,98.721,17.549
G56,5320,77,255,227.762,34.531,5320,32,231,122.776,63.513,5320,32,231,122.776,63.513
G57,5320,109,255,225.373,32.928,5320,109,247,212.413,27.367,5320,129,249,215.787,23.611
G58,5320,44,215,126.521,27.122,5320,44,215,126.521,27.122,5320,112,255,200.361,30.762
G59,5320,28,255,138.306,56.803,5320,25,247,129.138,47.637,5320,25,255,209.106,49.298
G60,5320,36,251,174.465,47.419,5320,16,175,99.822,33.593,5320,16,175,99.822,33.593
G61,5320,87,255,161.067,38.104,5320,19,167,75.674,37.242,5320,19,167,75.674,37.242
G62,5320,24,255,182.306,57.336,5320,0,168,27.692,28.131,5320,0,255,28.534,32.191
G63,5320,40,255,186.408,48.756,5320,22,237,92.032,45.197,5320,22,239,92.180,45.512
G64,5320,61,255,202.569,43.653,5320,12,246,123.787,61.990,5320,12,253,123.967,62.324
G65,5320,42,255,179.093,50.386,5320,42,242,171.796,45.463,5320,104,255,192.818,36.586
G66,5320,0,189,38.958,39.094,5320,0,189,38.958,39.094,5320,106,255,198.146,28.502
G67,5320,0,250,102.536,95.995,5320,0,241,98.572,92.297,5320,64,255,216.944,37.084
G68,5320,157,255,232.321,23.972,5320,110,241,172.993,37.179,5320,110,244,174.581,39.303
