Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,223,255,241.990,9.751,5320,65,188,109.587,23.122,5320,65,188,109.587,23.122
G2,5320,85,255,224.278,43.095,5320,19,137,90.416,25.585,5320,19,137,90.416,25.585
G3,5320,48,255,225.008,43.106,5320,19,157,120.477,28.648,5320,19,157,120.477,28.648
G4,5320,46,255,159.250,52.503,5320,0,124,33.731,20.570,5320,0,124,33.731,20.570
G5,5320,62,255,209.797,48.991,5320,0,159,52.168,32.913,5320,0,159,52.168,32.913
G6,5320,62,255,153.280,53.114,5320,0,185,100.006,40.768,5320,0,185,100.006,40.768
G7,5320,47,255,176.174,38.066,5320,30,179,112.599,27.451,5320,30,179,112.599,27.451
G8,5320,46,255,190.518,53.292,5320,28,120,77.623,18.472,5320,28,120,77.623,18.472
G9,5320,49,255,172.780,41.230,5320,0,168,67.363,41.456,5320,0,168,67.363,41.456
G10,5320,132,255,231.801,31.586,5320,130,216,181.760,18.947,5320,133,223,185.994,19.371
G11,5320,219,255,244.937,8.742,5320,118,216,176.369,26.995,5320,118,216,176.369,26.995
G12,5320,37,255,224.761,46.799,5320,0,209,145.528,54.444,5320,0,209,145.528,54.444
G13,5320,55,255,188.578,54.837,5320,0,228,112.283,56.172,5320,0,228,112.592,56.225
G14,5320,64,255,212.308,41.795,5320,43,238,182.417,42.740,5320,43,255,188.700,47.757
G15,5320,60,255,199.213,51.137,5320,35,222,128.583,50.913,5320,35,225,128.617,50.975
G16,5320,144,255,231.071,22.144,5320,60,193,116.941,26.883,5320,60,193,116.941,26.883
G17,5320,51,255,167.761,43.509,5320,0,167,62.912,40.577,5320,0,167,62.912,40.577
G18,5320,30,203,129.944,37.356,5320,30,203,129.944,37.356,5320,67,254,205.996,37.048
G19,5320,98,255,202.019,39.565,5320,98,254,194.835,36.974,5320,136,255,213.535,32.182
G20,5320,118,255,225.468,26.445,5320,107,250,194.724,21.496,5320,107,254,194.923,21.897
G21,5320,79,255,230.276,31.147,5320,73,240,205.870,25.055,5320,73,240,205.880,25.060
G22,5320,15,255,164.146,66.177,5320,15,238,155.827,60.364,5320,47,238,176.014,40.768
G23,5320,38,226,111.586,50.599,5320,38,225,111.354,50.172,5320,115,255,234.146,24.007
G24,5320,182,255,233.495,14.358,5320,158,252,224.177,17.323,5320,158,255,239.885,21.519
G25,5320,54,255,214.619,45.303,5320,45,246,186.132,44.508,5320,45,254,187.238,45.546
G26,5320,64,248,169.383,37.808,5320,47,172,92.827,22.862,5320,47,172,92.827,22.862
G27,5320,30,184,138.516,30.970,5320,30,184,138.516,30.970,5320,76,255,224.601,38.367
G28,5320,112,254,202.695,29.493,5320,112,253,202.428,29.193,5320,144,255,240.350,21.946
G29,5320,55,255,202.356,37.429,5320,51,254,196.174,37.584,5320,51,254,196.511,37.929
G30,5320,63,255,204.381,36.275,5320,58,233,182.667,27.416,5320,58,233,182.667,27.416
G31,5320,21,252,140.043,52.343,5320,13,190,104.824,45.286,5320,13,204,110.633,44.623
G32,5320,32,255,201.841,67.668,5320,19,239,142.213,57.052,5320,19,245,174.558,56.335
G33,5320,47,251,212.078,42.955,5320,41,236,183.377,50.883,5320,41,253,186.510,53.979
G34,5320,80,255,211.528,44.560,5320,73,224,179.577,31.354,5320,73,237,179.891,31.626
G35,5320,67,255,167.643,50.439,5320,43,201,122.993,42.219,5320,43,201,122.993,42.219
G36,5320,4,194,109.171,61.934,5320,4,194,109.171,61.934,5320,100,255,228.463,30.979
G37,5320,112,254,191.175,39.209,5320,112,253,190.607,38.502,5320,135,255,225.129,28.192
G38,5320,196,255,244.055,13.172,5320,154,253,222.657,25.842,5320,154,254,222.741,25.897
G39,5320,182,255,242.392,19.056,5320,120,224,180.991,27.890,5320,120,224,180.991,27.890
G40,5320,36,255,211.522,50.338,5320,0,183,115.438,52.437,5320,0,183,115.438,52.437
G41,5320,29,255,187.495,66.680,5320,0,229,113.511,77.012,5320,0,229,113.511,77.012
G42,5320,52,255,190.297,34.488,5320,42,229,162.990,27.442,5320,42,229,162.990,27.442
G43,5320,145,255,226.941,22.129,5320,78,195,158.714,20.737,5320,78,195,158.714,20.737
G44,5320,47,255,150.134,50.495,5320,32,212,113.594,45.790,5320,32,212,114.050,45.838
G45,5320,16,255,148.535,62.394,5320,3,252,143.079,63.679,5320,3,255,183.361,56.708
G46,5320,143,255,228.857,28.479,5320,132,253,208.431,26.169,5320,132,255,213.850,25.180
G47,5320,225,255,248.039,7.509,5320,28,233,162.870,43.881,5320,28,233,162.870,43.881
G48,5320,91,255,221.332,33.564,5320,3,166,104.613,36.681,5320,3,166,104.613,36.681
G49,5320,164,255,241.178,12.484,5320,132,225,183.089,21.669,5320,132,225,183.089,21.669
G50,5320,118,255,218.565,32.024,5320,99,245,201.738,33.787,5320,99,245,201.738,33.787
G51,5320,85,255,222.656,30.688,5320,45,245,160.895,38.540,5320,45,245,160.895,38.540
G52,5320,102,255,182.569,38.817,5320,37,144,77.188,29.360,5320,37,144,77.188,29.360
G53,5320,35,255,209.216,57.051,5320,0,139,48.633,20.430,5320,0,154,48.681,20.473
G54,5320,110,255,236.499,26.210,5320,110,253,222.966,28.135,5320,161,255,228.053,22.090
G55,5320,165,255,235.517,23.185,5320,130,221,166.923,16.138,5320,130,221,166.923,16.138
G56,5320,89,255,224.898,40.950,5320,6,192,99.118,47.410,5320,6,192,99.118,47.410
G57,5320,109,255,212.936,32.125,5320,0,220,78.918,65.716,5320,0,220,78.918,65.717
G58,5320,140,255,231.742,18.756,5320,119,217,167.915,19.006,5320,119,217,167.915,19.007
G59,5320,55,252,164.302,46.090,5320,34,206,122.795,34.542,5320,34,206,122.795,34.542
G60,5320,38,231,170.642,48.668,5320,22,192,101.261,34.018,5320,22,192,101.261,34.018
G61,5320,89,255,162.749,37.823,5320,27,165,78.181,33.254,5320,27,165,78.181,33.254
G62,5320,58,255,176.152,57.839,5320,0,194,30.623,28.566,5320,0,255,32.256,36.768
G63,5320,49,255,183.050,45.806,5320,39,224,114.810,37.308,5320,39,240,116.863,40.544
G64,5320,120,255,226.749,32.076,5320,58,226,149.526,37.267,5320,58,226,149.527,37.268
G65,5320,125,255,221.148,34.470,5320,122,252,204.593,32.071,5320,122,255,231.597,28.196
G66,5320,56,255,158.326,61.318,5320,56,249,153.849,55.885,5320,172,255,228.576,22.738
G67,5320,63,255,176.908,56.846,5320,63,236,164.775,52.192,5320,90,255,199.609,38.796
G68,5320,171,255,230.008,24.014,5320,95,227,159.455,38.354,5320,95,233,160.095,39.364
G69,5320,179,255,247.980,12.643,5320,100,169,131.401,13.470,5320,100,169,131.401,13.470
G70,5320,38,255,191.104,50.831,5320,38,183,123.075,28.800,5320,43,229,125.904,29.181
G71,5320,140,255,225.944,24.997,5320,137,218,165.984,13.913,5320,137,243,168.109,16.014
G72,5320,207,255,246.534,10.474,5320,175,251,211.747,16.808,5320,175,255,216.384,21.923
G73,5320,111,254,173.108,32.857,5320,111,254,172.319,31.433,5320,205,255,248.338,8.901
G74,5320,46,124,79.008,20.447,5320,46,124,79.008,20.447,5320,152,255,214.446,31.352
G75,5320,47,205,97.278,24.576,5320,47,205,97.278,24.576,5320,109,255,220.240,20.862
G76,5320,63,255,183.752,56.626,5320,63,252,171.372,46.279,5320,145,255,201.189,26.349
G77,5320,62,255,214.666,39.572,5320,55,239,167.500,29.478,5320,55,241,167.713,29.779
G78,5320,12,224,150.685,46.902,5320,12,221,150.676,46.894,5320,23,255,201.702,57.838
G79,5320,131,251,196.779,25.175,5320,131,250,195.632,23.901,5320,169,255,237.958,18.785
G80,5320,87,220,191.764,23.105,5320,87,220,191.764,23.105,5320,126,255,240.784,21.042
G81,5320,85,190,133.567,18.274,5320,85,190,133.567,18.274,5320,151,255,231.588,22.075
G82,5320,16,128,90.257,28.297,5320,16,128,90.257,28.297,5320,168,255,235.537,20.396
G83,5320,3,222,47.250,45.884,5320,3,220,47.242,45.856,5320,96,255,228.134,33.522
G84,5320,50,246,161.122,33.854,5320,50,220,147.227,30.829,5320,56,252,173.771,44.585
G85,5320,103,179,150.272,14.057,5320,103,179,150.272,14.057,5320,140,255,213.338,21.674
G86,5320,65,174,139.193,24.159,5320,65,174,139.193,24.159,5320,99,250,199.410,32.869
G87,5320,124,213,176.486,14.175,5320,124,213,176.494,14.171,5320,170,255,235.632,19.459
G88,5320,117,212,191.794,17.471,5320,117,212,191.794,17.471,5320,165,255,237.718,21.212
G89,5320,56,203,131.778,33.797,5320,56,203,131.778,33.797,5320,169,255,241.380,18.007
G90,5320,5,145,79.250,41.880,5320,5,145,79.250,41.880,5320,49,254,172.867,55.823
G91,5320,28,255,117.577,60.438,5320,28,255,114.890,56.350,5320,34,255,140.376,54.235
G92,5320,35,244,162.708,58.464,5320,0,72,22.691,13.999,5320,0,72,22.691,13.999
G93,5320,94,255,215.279,32.895,5320,0,81,5.992,12.403,5320,0,81,5.992,12.403
G94,5320,164,255,224.306,23.024,5320,0,189,118.675,64.965,5320,0,189,118.675,64.965
G95,5320,68,255,195.219,58.090,5320,45,197,141.737,40.109,5320,45,197,141.737,40.109
G96,5320,121,245,177.405,25.963,5320,119,235,176.267,25.200,5320,120,255,236.125,23.628
G97,5320,1,255,127.634,54.280,5320,1,221,119.013,47.982,5320,37,255,206.495,47.384
G98,5320,21,255,158.672,58.162,5320,21,239,137.056,41.369,5320,67,255,177.640,45.539
G99,5320,21,252,125.897,32.020,5320,21,211,125.032,31.116,5320,28,255,208.136,50.352
G100,5320,39,253,170.326,37.687,5320,39,247,168.786,37.080,5320,58,255,215.946,37.008
