Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,227,255,244.813,8.072,5320,50,175,87.313,24.681,5320,50,175,87.313,24.681
G2,5320,72,255,218.525,47.371,5320,0,103,42.983,28.642,5320,0,103,42.983,28.642
G3,5320,52,255,225.447,45.350,5320,0,128,83.647,30.544,5320,0,128,83.647,30.544
G4,5320,52,255,159.441,42.478,5320,0,88,19.097,24.754,5320,0,88,19.097,24.754
G5,5320,39,255,177.810,53.542,5320,0,129,14.258,21.073,5320,0,129,14.258,21.073
G6,5320,40,255,197.320,52.293,5320,8,126,74.051,27.345,5320,8,126,74.051,27.345
G7,5320,66,255,163.577,49.085,5320,26,118,68.400,19.839,5320,26,118,68.400,19.839
G8,5320,57,255,189.270,55.987,5320,27,90,58.287,12.859,5320,27,90,58.287,12.859
G9,5320,55,251,171.814,42.226,5320,0,171,60.798,41.997,5320,0,171,60.798,41.997
G10,5320,136,255,234.094,27.163,5320,104,208,170.154,21.193,5320,104,233,172.788,24.223
G11,5320,185,255,235.565,16.633,5320,55,201,141.676,37.299,5320,55,201,141.676,37.299
G12,5320,141,255,229.386,23.856,5320,36,194,116.929,34.044,5320,36,194,116.929,34.044
G13,5320,35,255,142.380,59.703,5320,0,210,86.619,51.243,5320,0,255,103.744,68.670
G14,5320,86,255,185.319,49.231,5320,47,231,132.610,35.424,5320,47,255,164.510,62.284
G15,5320,64,255,208.655,49.758,5320,23,129,92.472,25.987,5320,23,129,92.472,25.987
G16,5320,184,255,232.048,18.038,5320,41,135,86.654,21.161,5320,41,135,86.654,21.161
G17,5320,48,246,167.656,44.725,5320,0,127,50.484,33.700,5320,0,127,50.484,33.700
G18,5320,31,210,135.563,40.158,5320,31,210,135.563,40.158,5320,61,254,205.793,39.027
G19,5320,110,255,209.817,38.587,5320,110,253,194.812,33.504,5320,125,255,205.594,30.889
G20,5320,179,255,232.637,19.504,5320,149,224,192.298,16.105,5320,149,224,192.298,16.105
G21,5320,209,255,245.645,11.494,5320,129,218,194.680,14.674,5320,129,218,194.680,14.674
G22,5320,35,255,159.792,63.648,5320,33,189,112.495,37.774,5320,33,227,119.708,37.038
G23,5320,54,251,158.912,52.553,5320,23,157,108.031,28.247,5320,23,255,139.772,57.066
G24,5320,180,255,246.210,13.101,5320,14,113,72.588,24.092,5320,14,113,72.588,24.092
G25,5320,49,255,216.651,43.974,5320,25,136,103.858,23.788,5320,25,136,103.858,23.788
G26,5320,65,247,168.833,36.412,5320,35,129,72.432,16.430,5320,35,129,72.432,16.430
G27,5320,32,230,170.795,42.570,5320,32,230,170.795,42.570,5320,73,255,225.077,38.129
G28,5320,120,255,229.155,24.130,5320,119,252,218.600,24.477,5320,119,255,229.851,27.327
G29,5320,143,255,227.068,27.352,5320,98,222,171.239,29.978,5320,98,222,171.239,29.978
G30,5320,171,255,236.315,20.379,5320,115,224,187.371,23.057,5320,115,224,187.371,23.057
G31,5320,155,255,229.398,19.083,5320,4,220,126.727,44.257,5320,4,220,126.727,44.257
G32,5320,81,244,187.552,32.474,5320,0,130,19.719,31.551,5320,0,130,19.719,31.551
G33,5320,57,255,214.052,38.961,5320,0,65,6.664,13.221,5320,0,65,6.664,13.221
G34,5320,72,255,209.570,45.773,5320,0,158,97.064,50.215,5320,0,158,97.064,50.215
G35,5320,67,255,171.432,52.010,5320,39,179,106.426,34.865,5320,39,179,106.426,34.865
G36,5320,91,255,222.020,30.779,5320,59,249,162.002,57.105,5320,59,255,169.571,65.328
G37,5320,119,255,221.908,30.154,5320,119,250,200.713,24.806,5320,119,255,204.900,27.693
