Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,223,255,243.636,8.876,5320,54,183,94.015,26.124,5320,54,183,94.015,26.124
G2,5320,75,255,217.947,47.264,5320,0,118,54.887,30.123,5320,0,118,54.887,30.123
G3,5320,49,255,221.220,46.926,5320,8,142,94.832,32.403,5320,8,142,94.832,32.403
G4,5320,53,255,159.611,42.907,5320,0,127,48.934,29.907,5320,0,127,48.934,29.907
G5,5320,38,255,175.598,47.851,5320,1,169,59.853,33.948,5320,1,169,59.853,33.948
G6,5320,53,253,158.927,53.092,5320,43,220,130.150,48.055,5320,43,220,130.150,48.055
G7,5320,47,255,170.412,48.668,5320,33,214,125.477,44.092,5320,33,214,125.477,44.092
G8,5320,48,255,192.014,53.877,5320,28,126,84.228,22.607,5320,28,126,84.228,22.607
G9,5320,48,255,175.310,41.510,5320,0,173,66.992,43.217,5320,0,173,66.992,43.217
G10,5320,140,255,232.166,29.042,5320,112,218,178.935,23.542,5320,112,225,182.254,25.024
G11,5320,172,255,234.954,15.344,5320,80,232,161.557,40.030,5320,80,232,161.570,40.040
G12,5320,127,255,236.203,18.093,5320,59,242,180.674,43.999,5320,59,255,183.847,47.837
G13,5320,43,255,170.801,58.039,5320,2,242,127.999,54.200,5320,2,255,130.269,56.406
G14,5320,84,255,188.642,39.598,5320,75,227,172.187,35.352,5320,75,228,174.155,36.233
G15,5320,114,255,224.179,31.776,5320,82,225,171.371,38.302,5320,82,225,171.374,38.306
G16,5320,178,255,224.905,21.173,5320,47,203,126.535,30.932,5320,47,203,126.535,30.932
G17,5320,62,246,162.055,43.375,5320,0,162,60.148,43.094,5320,0,162,60.148,43.094
G18,5320,29,205,129.167,38.770,5320,29,205,129.167,38.770,5320,66,254,202.965,38.474
G19,5320,98,255,204.205,37.957,5320,98,252,197.809,35.886,5320,131,255,215.165,31.906
G20,5320,184,255,239.327,15.486,5320,176,252,231.829,14.763,5320,176,255,234.895,16.002
G21,5320,160,251,219.383,15.973,5320,160,249,219.315,15.909,5320,175,255,239.753,16.490
G22,5320,167,238,194.180,15.096,5320,167,238,194.180,15.096,5320,188,255,244.360,13.706
G23,5320,68,252,177.276,41.153,5320,61,250,172.228,43.495,5320,61,255,185.481,49.840
G24,5320,166,255,243.137,16.664,5320,140,237,213.461,18.249,5320,140,237,213.461,18.249
G25,5320,50,255,217.942,42.486,5320,41,235,182.923,40.432,5320,41,235,182.923,40.432
G26,5320,64,244,167.722,37.516,5320,45,170,91.694,22.076,5320,45,170,91.694,22.076
G27,5320,29,197,151.777,35.779,5320,29,197,151.777,35.779,5320,73,255,229.027,38.107
G28,5320,104,255,212.815,25.230,5320,104,253,211.808,24.830,5320,118,255,240.125,23.946
G29,5320,122,255,222.871,27.037,5320,118,254,211.950,31.081,5320,118,255,213.342,32.421
G30,5320,100,252,211.671,33.012,5320,99,250,206.705,37.289,5320,99,255,216.732,42.348
G31,5320,164,255,221.205,18.817,5320,129,239,198.487,22.346,5320,129,255,203.619,28.966
G32,5320,62,255,198.385,53.423,5320,45,252,184.941,60.277,5320,45,255,186.129,61.497
G33,5320,46,254,201.027,47.561,5320,39,231,160.894,41.476,5320,39,231,160.894,41.476
G34,5320,78,255,210.842,46.481,5320,71,217,174.611,34.867,5320,71,217,174.605,34.882
G35,5320,62,255,171.349,51.041,5320,48,206,126.918,41.843,5320,48,206,126.918,41.843
G36,5320,45,221,144.607,50.076,5320,45,221,144.607,50.076,5320,112,255,227.345,32.021
G37,5320,102,255,208.747,36.346,5320,102,249,197.685,31.213,5320,117,255,215.159,29.367
G38,5320,128,255,219.301,26.746,5320,113,243,198.078,24.508,5320,113,243,198.078,24.508
G39,5320,84,254,192.937,34.953,5320,77,228,181.214,32.588,5320,77,228,181.226,32.571
G40,5320,39,254,178.515,52.367,5320,34,236,159.035,44.629,5320,34,238,159.096,44.704
G41,5320,42,255,188.045,53.528,5320,34,249,174.112,51.362,5320,34,249,174.198,51.415
G42,5320,73,254,195.173,32.198,5320,63,228,169.701,22.979,5320,63,228,169.760,22.948
G43,5320,127,255,229.240,21.805,5320,75,200,158.004,22.516,5320,75,200,158.004,22.516
G44,5320,45,255,151.264,53.243,5320,28,208,112.321,46.754,5320,28,208,112.706,46.848
G45,5320,9,255,171.339,50.087,5320,9,239,160.749,43.221,5320,10,255,178.858,50.068
G46,5320,166,255,235.196,22.683,5320,71,236,136.214,43.920,5320,71,236,136.900,44.791
G47,5320,185,255,232.094,16.370,5320,56,211,106.034,36.247,5320,56,211,106.034,36.247
G48,5320,192,255,247.942,11.068,5320,114,213,165.662,29.766,5320,114,213,165.662,29.766
G49,5320,163,255,241.581,15.594,5320,109,246,192.177,25.245,5320,109,246,192.186,25.261
G50,5320,65,255,188.022,52.679,5320,16,247,103.343,64.107,5320,16,247,103.345,64.110
G51,5320,83,255,210.521,38.458,5320,28,166,88.789,28.116,5320,28,166,88.789,28.116
G52,5320,102,255,182.841,37.844,5320,32,135,69.068,28.266,5320,32,135,69.068,28.266
G53,5320,42,255,211.222,55.386,5320,0,167,46.870,20.330,5320,0,177,46.904,20.380
G54,5320,128,255,234.433,28.325,5320,109,243,197.748,34.424,5320,109,243,201.149,32.349
G55,5320,183,255,234.622,20.738,5320,69,174,95.792,19.586,5320,69,174,95.792,19.586
G56,5320,102,255,188.707,29.013,5320,43,190,95.258,32.875,5320,43,190,95.258,32.875
G57,5320,180,255,227.938,16.180,5320,86,170,120.090,16.058,5320,86,170,120.090,16.058
G58,5320,152,255,235.824,26.319,5320,99,160,133.450,13.747,5320,99,160,133.450,13.747
G59,5320,39,255,206.002,39.925,5320,21,187,113.631,30.027,5320,21,187,113.631,30.027
G60,5320,32,230,174.566,43.307,5320,11,106,80.506,23.525,5320,11,106,80.506,23.525
G61,5320,93,255,161.234,36.916,5320,24,160,73.187,32.613,5320,24,160,73.187,32.613
G62,5320,31,255,176.836,59.708,5320,0,179,29.591,27.051,5320,0,255,30.383,31.317
G63,5320,45,255,182.329,45.657,5320,26,212,95.958,39.845,5320,26,242,96.511,41.115
G64,5320,137,255,216.706,30.448,5320,52,202,131.998,34.683,5320,52,202,131.998,34.683
G65,5320,174,255,230.110,19.495,5320,93,207,156.273,30.114,5320,93,207,156.273,30.114
G66,5320,97,255,193.512,38.866,5320,21,183,106.724,40.502,5320,21,183,106.724,40.502
G67,5320,57,255,217.602,37.479,5320,14,233,152.337,52.140,5320,14,233,152.401,52.195
G68,5320,171,255,230.855,23.931,5320,85,222,149.041,36.371,5320,85,223,149.049,36.387
G69,5320,182,255,247.319,11.715,5320,96,159,125.702,13.293,5320,96,159,125.702,13.293
G70,5320,25,255,190.842,54.043,5320,25,182,120.849,30.269,5320,42,229,125.422,28.394
G71,5320,130,255,222.823,26.146,5320,130,242,172.927,18.244,5320,143,248,178.398,23.428
G72,5320,171,255,230.545,20.830,5320,86,248,170.849,47.693,5320,86,254,171.492,48.586
G73,5320,171,255,236.951,15.454,5320,83,239,150.131,43.113,5320,83,253,151.281,45.119
G74,5320,54,255,147.414,47.384,5320,10,183,92.745,57.572,5320,10,230,96.908,63.535
G75,5320,41,255,160.840,37.226,5320,5,229,133.430,60.402,5320,5,246,144.658,70.764
G76,5320,80,255,199.704,43.508,5320,80,249,181.841,32.166,5320,145,254,194.565,24.960
G77,5320,61,255,214.573,39.078,5320,56,238,161.757,28.715,5320,56,239,161.908,28.991
G78,5320,10,219,138.304,44.821,5320,10,218,138.298,44.814,5320,16,255,202.043,55.498
G79,5320,129,250,185.744,27.806,5320,129,245,185.447,27.399,5320,189,255,242.981,14.324
G80,5320,66,236,169.762,24.233,5320,66,236,169.583,23.952,5320,90,255,234.420,30.898
G81,5320,64,182,143.738,19.337,5320,64,182,143.738,19.337,5320,142,255,231.139,17.813
G82,5320,25,185,109.595,48.055,5320,25,185,109.595,48.055,5320,173,255,237.887,22.918
G83,5320,5,226,49.271,47.633,5320,5,224,49.257,47.586,5320,76,255,227.417,36.126
G84,5320,25,245,161.964,37.115,5320,25,219,147.293,32.029,5320,48,255,175.368,42.560
G85,5320,101,168,140.767,14.705,5320,101,168,140.767,14.705,5320,148,255,211.883,21.732
G86,5320,64,159,126.314,19.721,5320,64,159,126.314,19.721,5320,103,251,197.002,29.904
G87,5320,120,203,162.401,15.958,5320,120,203,162.401,15.958,5320,167,255,226.538,20.502
G88,5320,61,178,141.209,28.470,5320,61,178,141.209,28.470,5320,147,255,225.874,29.121
G89,5320,44,169,102.884,32.417,5320,44,169,102.884,32.417,5320,158,255,235.630,21.627
G90,5320,5,147,76.250,42.962,5320,5,147,76.250,42.962,5320,41,255,171.857,54.958
G91,5320,26,255,118.695,59.184,5320,26,255,115.911,54.955,5320,31,255,142.062,53.379
G92,5320,39,255,151.683,58.198,5320,4,81,41.468,15.229,5320,4,81,41.468,15.229
G93,5320,105,255,239.031,19.922,5320,1,93,42.005,19.362,5320,1,93,42.005,19.362
G94,5320,197,255,235.942,13.702,5320,54,217,153.401,51.168,5320,54,217,153.413,51.181
G95,5320,60,255,210.700,48.564,5320,43,213,166.873,40.221,5320,43,213,166.873,40.221
G96,5320,126,244,172.622,24.404,5320,121,234,171.305,22.805,5320,122,255,232.879,21.962
G97,5320,12,255,154.554,56.551,5320,12,220,139.494,51.361,5320,20,255,200.673,52.415
G98,5320,32,255,167.255,57.046,5320,32,225,140.097,39.202,5320,56,255,176.215,47.006
G99,5320,21,253,125.199,32.160,5320,21,219,124.017,31.141,5320,32,255,206.799,49.678
G100,5320,34,253,170.129,39.809,5320,34,251,169.521,39.642,5320,52,255,218.150,35.193
