Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,223,255,243.526,8.839,5320,58,195,105.762,29.001,5320,58,195,105.762,29.001
G2,5320,83,255,212.605,49.304,5320,11,139,61.672,27.823,5320,11,139,61.672,27.823
G3,5320,51,255,221.888,48.102,5320,15,145,99.603,30.773,5320,15,145,99.603,30.773
G4,5320,46,255,167.477,50.621,5320,7,238,80.341,39.800,5320,7,242,80.353,39.840
G5,5320,67,255,204.695,49.536,5320,9,250,135.690,83.904,5320,9,255,136.996,85.546
G6,5320,57,255,170.688,55.385,5320,33,205,116.701,43.087,5320,33,205,116.701,43.087
G7,5320,54,255,174.523,46.486,5320,36,162,108.362,28.382,5320,36,162,108.362,28.382
G8,5320,56,255,190.672,49.189,5320,32,130,86.764,18.743,5320,32,130,86.764,18.743
G9,5320,56,253,166.238,40.170,5320,0,177,68.302,41.039,5320,0,177,68.302,41.039
G10,5320,130,255,227.981,35.795,5320,129,245,196.116,30.037,5320,137,252,203.563,26.131
G11,5320,124,255,221.350,27.116,5320,65,248,183.415,42.652,5320,65,255,192.407,49.379
G12,5320,78,255,231.257,31.623,5320,31,254,171.844,47.564,5320,31,254,172.581,48.665
G13,5320,17,242,158.504,49.566,5320,13,238,144.866,56.071,5320,13,255,156.237,62.783
G14,5320,109,255,206.012,37.902,5320,81,231,179.323,35.099,5320,81,231,179.323,35.099
G15,5320,71,255,216.559,41.767,5320,27,222,158.410,42.748,5320,27,222,158.410,42.748
G16,5320,190,255,229.677,17.776,5320,69,201,130.733,27.510,5320,69,201,130.733,27.510
G17,5320,65,254,156.681,46.996,5320,0,162,63.307,40.540,5320,0,162,63.307,40.540
G18,5320,23,192,118.081,35.703,5320,23,192,118.081,35.703,5320,59,249,200.070,40.107
G19,5320,82,247,182.879,35.030,5320,82,244,182.271,34.273,5320,122,255,220.567,31.176
G20,5320,139,246,182.070,17.807,5320,139,244,182.049,17.747,5320,204,255,246.312,12.413
G21,5320,134,252,211.873,25.885,5320,117,248,206.180,29.329,5320,117,255,222.117,32.158
G22,5320,82,255,190.991,43.528,5320,79,223,174.748,37.511,5320,79,223,174.829,37.578
G23,5320,156,255,222.874,18.372,5320,140,227,196.499,15.637,5320,140,227,196.499,15.637
G24,5320,146,255,235.960,27.213,5320,137,253,211.727,27.051,5320,137,253,211.727,27.051
G25,5320,51,255,214.556,44.417,5320,41,238,180.103,42.766,5320,41,238,180.103,42.766
G26,5320,64,245,166.723,37.822,5320,44,169,91.029,21.971,5320,44,169,91.029,21.971
G27,5320,40,196,149.862,32.371,5320,40,196,149.862,32.371,5320,86,255,232.575,32.090
G28,5320,121,232,199.167,18.423,5320,121,232,199.167,18.423,5320,139,255,243.299,20.710
G29,5320,135,234,205.912,21.686,5320,135,234,205.910,21.693,5320,141,255,235.564,28.069
G30,5320,157,254,216.016,21.562,5320,125,247,211.296,22.348,5320,125,255,221.077,25.788
G31,5320,181,255,245.971,14.250,5320,94,243,196.722,31.281,5320,94,243,196.798,31.328
G32,5320,97,255,225.159,35.640,5320,79,215,172.643,30.219,5320,79,215,172.643,30.219
G33,5320,54,254,201.152,46.386,5320,45,245,164.990,46.524,5320,45,245,164.990,46.524
G34,5320,77,255,210.346,43.789,5320,66,216,169.610,31.549,5320,66,216,169.610,31.549
G35,5320,66,255,171.598,50.613,5320,49,198,126.823,40.496,5320,49,198,126.823,40.496
G36,5320,82,255,214.597,32.307,5320,63,250,151.239,56.652,5320,63,255,167.316,72.717
G37,5320,121,255,209.916,33.170,5320,121,254,207.530,30.986,5320,140,255,226.050,24.854
G38,5320,132,255,223.152,31.339,5320,132,252,188.114,27.965,5320,138,253,189.239,27.512
G39,5320,138,255,217.051,30.825,5320,57,230,149.837,40.845,5320,57,231,150.100,41.252
G40,5320,99,255,200.753,39.599,5320,20,146,70.251,29.630,5320,20,146,70.251,29.630
G41,5320,56,255,172.169,59.076,5320,16,219,116.638,59.595,5320,16,219,116.638,59.595
G42,5320,50,254,185.356,39.631,5320,41,212,151.987,28.438,5320,41,212,151.987,28.438
G43,5320,101,255,226.789,23.160,5320,71,190,149.778,21.411,5320,71,190,149.778,21.411
G44,5320,41,255,150.435,49.958,5320,26,206,111.037,45.574,5320,26,206,111.390,45.535
G45,5320,15,255,188.620,57.047,5320,10,242,153.839,49.912,5320,10,242,154.161,49.889
G46,5320,165,255,232.109,23.995,5320,154,248,200.202,21.393,5320,154,249,201.042,21.793
G47,5320,217,255,249.954,6.342,5320,140,210,167.034,18.869,5320,140,210,167.034,18.869
G48,5320,160,255,234.612,20.601,5320,88,187,141.947,17.245,5320,88,187,141.947,17.245
G49,5320,75,255,191.873,47.498,5320,0,183,86.892,55.001,5320,0,183,86.892,55.001
G50,5320,29,255,144.973,60.118,5320,0,202,37.749,63.944,5320,0,202,37.749,63.944
G51,5320,105,255,214.860,32.629,5320,0,159,82.833,33.374,5320,0,159,82.833,33.374
G52,5320,103,255,185.050,39.186,5320,29,136,65.705,27.572,5320,29,136,65.705,27.572
G53,5320,39,255,210.269,56.157,5320,0,159,44.363,20.521,5320,0,184,44.426,20.664
G54,5320,136,255,237.335,25.218,5320,136,243,213.070,26.423,5320,139,244,216.431,22.354
G55,5320,177,255,236.834,21.622,5320,121,201,155.807,16.846,5320,121,201,155.807,16.846
G56,5320,214,255,252.758,5.323,5320,9,183,131.645,30.542,5320,9,183,131.645,30.542
G57,5320,176,255,234.595,21.011,5320,9,186,123.976,32.092,5320,9,186,123.976,32.092
G58,5320,100,255,231.819,25.455,5320,5,224,151.132,35.354,5320,5,224,151.139,35.365
G59,5320,27,255,191.859,55.763,5320,0,253,118.243,80.394,5320,0,255,119.486,82.151
G60,5320,35,223,172.290,42.003,5320,11,109,74.817,25.416,5320,11,109,74.817,25.416
G61,5320,95,252,162.468,33.666,5320,20,157,69.614,30.819,5320,20,157,69.614,30.819
G62,5320,48,255,182.490,56.719,5320,0,145,26.559,25.948,5320,0,238,26.653,26.365
G63,5320,42,255,181.939,50.021,5320,28,208,107.598,38.683,5320,28,248,108.608,40.798
G64,5320,65,255,192.062,60.457,5320,0,152,25.932,37.745,5320,0,152,25.932,37.745
G65,5320,124,255,223.910,35.713,5320,0,129,32.910,36.790,5320,0,129,32.910,36.790
G66,5320,87,253,190.752,34.202,5320,52,247,174.254,46.119,5320,52,255,188.686,55.503
G67,5320,59,252,184.242,38.649,5320,59,237,172.302,36.184,5320,59,255,195.200,36.412
G68,5320,163,255,230.271,25.644,5320,80,233,155.311,39.756,5320,80,233,155.377,39.871
G69,5320,172,255,247.528,13.462,5320,91,165,127.865,13.219,5320,91,165,127.865,13.219
G70,5320,24,255,186.566,58.065,5320,24,182,116.636,32.770,5320,38,228,122.870,31.245
G71,5320,137,255,227.655,25.345,5320,136,223,166.904,15.435,5320,136,241,169.616,19.214
G72,5320,71,255,206.505,55.220,5320,0,247,152.819,77.083,5320,0,255,155.098,79.478
G73,5320,107,237,186.182,27.963,5320,0,216,137.112,58.123,5320,0,255,162.795,78.035
G74,5320,95,233,146.963,29.934,5320,95,233,146.404,29.689,5320,98,255,224.317,31.447
G75,5320,71,226,143.809,18.453,5320,71,226,143.808,18.447,5320,92,255,212.355,24.624
G76,5320,68,255,192.346,50.580,5320,68,252,177.984,39.610,5320,149,254,199.591,25.775
G77,5320,65,255,211.276,38.926,5320,57,238,160.420,31.217,5320,57,239,160.582,31.498
G78,5320,8,236,153.257,48.259,5320,8,231,153.204,48.194,5320,15,255,205.074,54.515
G79,5320,144,246,194.852,25.038,5320,144,240,193.252,23.159,5320,192,255,239.725,13.141
G80,5320,105,199,166.753,17.874,5320,105,199,166.753,17.874,5320,198,255,245.906,10.845
G81,5320,62,159,115.797,19.897,5320,62,159,115.797,19.897,5320,158,255,229.578,20.124
G82,5320,12,145,86.059,39.661,5320,12,145,86.059,39.661,5320,191,255,235.242,18.010
