Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,190,255,242.086,11.454,5320,53,191,115.351,25.132,5320,53,191,115.351,25.132
G2,5320,86,255,217.409,45.559,5320,40,146,105.410,22.586,5320,40,146,105.410,22.586
G3,5320,64,255,224.000,46.655,5320,34,168,132.833,28.656,5320,34,168,132.833,28.656
G4,5320,56,211,142.311,31.038,5320,29,146,77.496,21.439,5320,29,146,77.496,21.439
G5,5320,56,246,151.924,44.978,5320,0,148,66.694,52.718,5320,0,148,66.694,52.718
G6,5320,66,255,199.548,48.209,5320,3,227,120.093,48.951,5320,3,227,120.093,48.951
G7,5320,74,255,198.285,35.511,5320,48,225,127.140,29.338,5320,48,225,127.140,29.338
G8,5320,52,255,188.945,53.735,5320,32,124,87.200,22.318,5320,32,124,87.200,22.318
G9,5320,57,255,174.664,42.606,5320,2,179,73.475,45.325,5320,2,179,73.475,45.325
G10,5320,121,255,231.867,31.613,5320,121,216,182.871,17.810,5320,134,242,187.178,18.428
G11,5320,183,255,230.094,18.635,5320,103,207,160.293,22.561,5320,103,207,160.293,22.561
G12,5320,64,255,195.645,60.023,5320,35,177,124.725,41.325,5320,35,177,124.725,41.325
G13,5320,64,255,188.365,34.801,5320,33,245,137.911,41.498,5320,33,245,137.911,41.498
G14,5320,47,255,202.464,50.799,5320,40,251,176.440,47.192,5320,40,251,176.681,47.136
G15,5320,47,255,198.576,42.607,5320,33,216,140.649,43.892,5320,33,216,140.656,43.900
G16,5320,170,255,228.973,20.617,5320,55,239,139.479,35.669,5320,55,243,139.614,35.968
G17,5320,62,248,164.327,44.318,5320,0,193,65.888,47.062,5320,0,193,65.888,47.062
G18,5320,30,208,130.276,39.978,5320,30,208,130.276,39.978,5320,69,252,203.205,38.509
G19,5320,100,255,201.718,39.515,5320,100,253,193.286,35.745,5320,131,255,211.934,32.868
G20,5320,177,255,234.557,20.164,5320,91,242,154.737,29.657,5320,91,244,154.749,29.689
G21,5320,97,255,229.431,29.950,5320,61,187,132.801,20.766,5320,61,187,132.801,20.766
G22,5320,35,246,160.121,44.628,5320,35,238,128.766,35.643,5320,43,238,130.042,34.471
G23,5320,26,255,166.614,70.771,5320,26,252,165.959,70.206,5320,34,255,176.817,70.955
G24,5320,64,255,163.393,62.585,5320,64,237,158.245,57.179,5320,68,239,166.625,56.189
G25,5320,54,255,178.482,53.357,5320,52,241,171.969,49.091,5320,52,254,189.549,50.276
G26,5320,60,248,166.695,38.988,5320,53,201,104.722,26.573,5320,53,201,104.722,26.573
G27,5320,35,189,147.188,30.761,5320,35,189,147.188,30.761,5320,81,255,230.285,33.579
G28,5320,115,254,203.829,27.820,5320,115,251,203.273,27.070,5320,137,255,240.369,21.053
G29,5320,141,255,224.985,30.915,5320,133,248,207.701,25.669,5320,133,252,209.163,25.409
G30,5320,58,255,214.890,45.723,5320,58,248,193.075,45.526,5320,66,255,199.332,44.908
G31,5320,35,196,119.025,27.148,5320,35,145,113.260,25.871,5320,44,255,191.456,66.940
G32,5320,28,168,100.019,35.903,5320,28,168,100.019,35.903,5320,47,255,160.177,56.418
G33,5320,75,223,179.467,23.287,5320,75,223,179.467,23.287,5320,86,251,209.090,29.453
G34,5320,69,255,224.276,38.697,5320,69,252,219.771,36.354,5320,82,255,229.922,35.191
G35,5320,72,255,171.620,50.213,5320,54,238,146.023,48.388,5320,54,238,146.023,48.388
G36,5320,59,252,192.476,35.683,5320,59,252,192.460,35.678,5320,75,255,227.059,35.786
G37,5320,113,248,190.997,34.388,5320,113,247,190.950,34.332,5320,138,255,225.433,31.491
G38,5320,46,231,150.637,50.198,5320,46,231,150.602,50.185,5320,52,255,168.293,54.352
G39,5320,26,248,126.521,48.006,5320,26,248,126.521,48.006,5320,31,255,164.182,47.867
G40,5320,77,164,128.122,16.039,5320,77,164,128.122,16.039,5320,132,255,214.132,21.423
G41,5320,52,254,165.891,45.143,5320,52,252,164.882,43.686,5320,85,255,215.397,34.066
G42,5320,170,255,222.043,20.737,5320,170,238,213.787,17.018,5320,179,254,230.731,16.539
G43,5320,131,255,229.701,21.174,5320,85,248,196.636,27.467,5320,85,248,198.039,28.535
G44,5320,43,255,149.552,53.242,5320,32,219,128.495,52.398,5320,32,219,129.651,52.526
G45,5320,13,255,179.911,54.441,5320,1,248,173.922,51.523,5320,1,255,183.892,54.152
G46,5320,131,255,232.692,23.330,5320,108,245,192.817,35.959,5320,108,255,196.149,37.817
G47,5320,105,255,215.002,28.879,5320,59,250,194.536,46.087,5320,59,255,201.322,49.648
G48,5320,114,238,183.525,28.148,5320,114,238,183.525,28.148,5320,166,255,230.973,18.694
G49,5320,91,198,146.771,23.324,5320,91,198,146.771,23.324,5320,167,255,226.604,21.776
G50,5320,135,254,191.752,26.242,5320,135,246,189.169,24.536,5320,153,255,236.459,24.861
G51,5320,87,255,229.795,29.615,5320,55,252,185.183,38.762,5320,55,255,186.989,40.943
G52,5320,110,253,184.178,36.353,5320,41,177,92.628,37.415,5320,41,177,92.628,37.415
G53,5320,28,255,211.992,55.746,5320,3,124,59.056,22.493,5320,3,164,59.137,22.539
G54,5320,146,255,237.439,23.522,5320,122,249,206.759,30.517,5320,122,249,210.088,28.694
G55,5320,182,255,235.383,19.937,5320,41,182,99.804,25.859,5320,41,182,99.804,25.859
G56,5320,103,255,214.435,38.252,5320,24,250,140.101,71.880,5320,24,255,141.056,73.270
G57,5320,120,255,194.335,30.880,5320,120,248,193.063,28.879,5320,204,255,239.887,10.529
G58,5320,84,193,115.669,26.985,5320,84,193,115.669,26.985,5320,185,255,218.304,17.895
G59,5320,45,202,134.720,39.552,5320,43,202,133.350,39.604,5320,43,255,220.906,44.798
G60,5320,39,231,173.135,46.532,5320,26,206,123.551,38.470,5320,26,226,124.992,40.594
G61,5320,83,255,162.392,42.898,5320,18,177,88.430,38.504,5320,18,177,88.430,38.504
G62,5320,58,255,185.909,60.055,5320,0,159,37.010,29.602,5320,0,255,37.801,33.200
G63,5320,25,255,187.500,46.568,5320,16,225,90.909,47.341,5320,16,249,91.491,48.601
G64,5320,112,255,230.294,26.915,5320,20,219,153.578,53.958,5320,20,219,153.578,53.958
G65,5320,141,255,221.392,27.404,5320,141,246,213.297,22.696,5320,176,255,235.594,15.749
G66,5320,90,186,136.903,24.333,5320,90,186,136.903,24.333,5320,170,255,220.148,19.427
G67,5320,46,254,164.437,45.508,5320,46,248,162.143,43.601,5320,60,255,218.808,34.842
G68,5320,161,255,231.282,25.979,5320,111,248,174.942,37.791,5320,111,248,175.531,38.664
