Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,195,255,243.808,10.089,5320,50,178,102.418,22.368,5320,50,178,102.418,22.368
G2,5320,78,255,222.742,42.571,5320,36,121,92.853,15.657,5320,36,121,92.853,15.657
G3,5320,52,255,225.092,43.719,5320,29,164,126.539,27.072,5320,29,164,126.539,27.072
G4,5320,53,255,156.731,46.741,5320,17,147,70.635,25.863,5320,17,147,70.635,25.863
G5,5320,129,255,214.830,36.839,5320,28,190,125.401,46.877,5320,28,190,125.401,46.877
G6,5320,93,254,191.106,34.521,5320,47,211,135.259,30.332,5320,47,211,135.259,30.332
G7,5320,37,250,182.883,32.669,5320,27,216,118.464,42.024,5320,27,216,118.464,42.024
G8,5320,53,255,185.300,56.895,5320,34,116,76.359,16.635,5320,34,116,76.359,16.635
G9,5320,59,255,181.023,46.474,5320,0,192,75.863,47.479,5320,0,192,75.863,47.479
G10,5320,138,255,233.372,28.443,5320,120,203,164.776,18.264,5320,120,231,167.558,21.778
G11,5320,151,255,229.059,25.692,5320,82,171,133.986,22.256,5320,82,171,133.986,22.256
G12,5320,54,255,217.511,44.656,5320,21,170,132.314,37.248,5320,21,170,132.314,37.248
G13,5320,51,255,220.381,47.499,5320,25,174,107.105,39.695,5320,25,174,107.105,39.695
G14,5320,57,255,212.423,35.974,5320,32,218,152.247,32.319,5320,32,218,152.251,32.326
G15,5320,70,255,196.304,36.500,5320,38,215,115.016,43.466,5320,38,215,115.017,43.469
G16,5320,174,255,230.137,21.738,5320,59,224,115.292,34.418,5320,59,224,115.292,34.418
G17,5320,59,241,170.878,46.979,5320,0,171,61.867,41.760,5320,0,171,61.867,41.760
G18,5320,36,223,134.786,40.348,5320,36,223,134.786,40.348,5320,69,255,207.919,34.266
G19,5320,109,255,209.380,39.385,5320,109,244,179.381,31.215,5320,132,255,188.768,32.897
G20,5320,152,255,231.538,19.134,5320,52,164,93.345,25.964,5320,52,164,93.345,25.964
G21,5320,53,255,215.838,45.769,5320,32,210,138.459,44.296,5320,32,228,139.428,45.087
G22,5320,48,241,141.380,51.165,5320,42,212,126.144,43.283,5320,42,232,131.483,46.884
G23,5320,67,249,182.185,53.121,5320,67,249,174.975,48.752,5320,69,255,180.307,48.748
G24,5320,108,255,207.142,26.552,5320,108,243,202.271,22.681,5320,129,255,237.636,20.757
G25,5320,50,255,208.528,43.026,5320,44,241,189.700,41.866,5320,44,255,199.034,46.422
G26,5320,64,247,169.975,40.749,5320,47,177,94.612,24.835,5320,47,177,94.612,24.835
G27,5320,27,224,168.107,40.530,5320,27,224,168.107,40.530,5320,66,255,227.391,38.792
G28,5320,119,255,225.786,25.357,5320,118,244,206.502,27.592,5320,120,255,219.162,34.263
G29,5320,46,255,209.653,41.459,5320,24,206,143.873,41.783,5320,24,206,143.873,41.783
G30,5320,50,255,214.187,53.147,5320,29,244,193.889,46.543,5320,29,244,196.867,43.472
G31,5320,62,252,188.992,51.369,5320,61,249,180.323,47.690,5320,61,255,193.978,45.458
G32,5320,49,255,169.321,60.265,5320,44,250,164.397,59.388,5320,44,250,165.714,59.860
G33,5320,41,208,141.705,40.768,5320,41,208,141.513,40.784,5320,50,253,162.774,48.293
G34,5320,70,255,208.424,49.280,5320,69,223,186.201,34.898,5320,71,238,191.941,30.841
G35,5320,65,255,170.517,53.610,5320,44,208,130.255,46.179,5320,44,208,130.255,46.179
G36,5320,104,255,217.760,24.789,5320,81,251,176.888,38.941,5320,81,255,191.034,52.977
G37,5320,114,255,216.519,30.851,5320,114,254,210.751,27.725,5320,117,255,221.892,25.617
G38,5320,171,255,236.454,19.515,5320,149,240,209.305,21.780,5320,149,240,209.305,21.780
G39,5320,153,255,234.581,21.558,5320,108,225,192.536,23.935,5320,108,225,192.536,23.935
G40,5320,113,255,200.494,30.555,5320,54,223,103.142,29.566,5320,54,223,103.142,29.566
G41,5320,88,255,208.042,37.138,5320,52,246,180.424,55.882,5320,52,248,181.340,56.015
G42,5320,127,255,194.449,30.323,5320,127,243,175.538,20.498,5320,132,243,176.848,20.365
G43,5320,126,255,224.892,25.276,5320,64,207,158.766,25.360,5320,64,207,158.766,25.360
G44,5320,42,255,148.114,55.084,5320,25,202,112.804,49.466,5320,25,202,113.235,49.465
G45,5320,13,255,185.761,54.312,5320,0,242,161.210,49.074,5320,0,242,165.411,46.779
G46,5320,176,255,237.050,19.261,5320,159,251,208.452,19.932,5320,159,251,208.945,20.043
G47,5320,200,255,248.566,9.171,5320,112,222,190.052,24.731,5320,112,222,190.052,24.731
G48,5320,126,255,226.361,31.804,5320,66,226,147.661,39.073,5320,66,226,147.662,39.074
G49,5320,181,255,243.150,14.514,5320,134,250,211.234,24.113,5320,134,254,211.883,24.901
G50,5320,125,255,224.226,29.558,5320,79,244,186.517,45.152,5320,79,250,186.868,45.450
G51,5320,106,255,226.951,30.919,5320,41,178,132.312,26.316,5320,41,178,132.312,26.316
G52,5320,85,255,181.313,41.350,5320,25,147,67.881,32.429,5320,25,147,67.881,32.429
G53,5320,35,255,216.145,53.881,5320,0,155,45.989,22.776,5320,0,166,46.049,22.817
G54,5320,148,255,234.528,21.946,5320,144,240,210.538,24.719,5320,146,240,213.985,22.920
G55,5320,190,255,238.659,19.886,5320,124,189,156.580,15.286,5320,124,189,156.580,15.286
G56,5320,206,255,251.828,6.955,5320,112,183,146.972,12.398,5320,112,183,146.972,12.398
G57,5320,109,252,200.552,31.764,5320,63,241,141.128,48.345,5320,63,255,147.360,56.239
G58,5320,0,253,125.421,84.847,5320,0,250,124.501,83.664,5320,120,255,222.954,24.920
G59,5320,0,255,113.117,95.065,5320,0,251,103.804,86.303,5320,22,255,207.328,43.415
G60,5320,37,242,167.462,45.937,5320,21,193,102.392,34.649,5320,21,193,102.865,35.464
G61,5320,81,255,162.651,43.489,5320,13,169,78.125,40.915,5320,13,169,78.125,40.915
G62,5320,34,255,184.115,60.115,5320,0,131,28.941,29.126,5320,0,131,28.952,29.150
G63,5320,40,255,185.653,46.299,5320,27,226,117.201,40.053,5320,27,243,117.660,41.022
G64,5320,84,255,201.966,41.310,5320,51,241,139.142,47.126,5320,51,245,139.218,47.283
G65,5320,104,251,185.585,36.461,5320,96,243,178.325,37.904,5320,96,255,225.191,37.087
G66,5320,0,161,54.473,45.218,5320,0,161,54.473,45.218,5320,167,255,222.130,23.656
G67,5320,0,255,93.890,99.738,5320,0,251,91.086,96.425,5320,69,255,217.704,31.587
G68,5320,138,255,236.236,29.181,5320,94,246,182.739,35.226,5320,94,248,182.951,35.516
G69,5320,186,255,247.265,12.396,5320,101,178,132.436,19.133,5320,101,178,132.436,19.133
