Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,245.133,7.313,5320,59,195,105.324,26.915,5320,59,195,105.324,26.915
G2,5320,72,255,213.814,47.973,5320,0,139,56.072,36.274,5320,0,139,56.072,36.274
G3,5320,56,255,225.499,47.831,5320,0,134,92.434,33.283,5320,0,134,92.434,33.283
G4,5320,53,255,158.930,42.013,5320,0,108,20.075,30.764,5320,0,108,20.075,30.764
G5,5320,45,255,197.819,54.796,5320,0,46,5.277,9.450,5320,0,46,5.277,9.450
G6,5320,69,255,184.671,53.554,5320,2,121,61.594,33.301,5320,2,121,61.594,33.301
G7,5320,47,255,193.018,34.162,5320,13,114,65.544,18.493,5320,13,114,65.544,18.493
G8,5320,51,255,187.659,55.945,5320,30,96,59.895,14.180,5320,30,96,59.895,14.180
G9,5320,57,255,174.343,43.835,5320,0,179,67.725,44.244,5320,0,179,67.725,44.244
G10,5320,124,255,227.953,36.812,5320,124,236,191.624,26.447,5320,139,236,200.010,21.976
G11,5320,175,255,229.623,20.328,5320,65,246,173.189,44.692,5320,65,252,174.154,45.769
G12,5320,136,255,230.491,26.209,5320,42,247,151.656,44.282,5320,42,247,151.798,44.510
G13,5320,25,255,200.411,66.489,5320,0,139,14.510,28.007,5320,0,139,14.510,28.007
G14,5320,48,255,203.796,42.055,5320,0,115,34.437,38.129,5320,0,115,34.437,38.129
G15,5320,31,254,185.090,35.493,5320,8,190,81.963,41.290,5320,8,190,81.963,41.290
G16,5320,174,255,228.881,20.484,5320,50,222,106.136,40.136,5320,50,222,106.136,40.136
G17,5320,60,255,158.829,45.720,5320,0,171,63.054,39.937,5320,0,171,63.054,39.937
G18,5320,23,172,108.099,35.198,5320,23,172,108.099,35.198,5320,64,255,208.029,42.665
G19,5320,63,252,185.513,42.298,5320,63,248,184.130,41.075,5320,111,255,220.221,29.531
G20,5320,179,254,216.777,15.585,5320,179,249,216.475,14.998,5320,200,255,239.799,15.941
G21,5320,166,255,236.685,12.432,5320,143,254,232.479,14.352,5320,143,255,242.549,16.143
G22,5320,44,230,146.145,45.405,5320,0,229,112.299,68.004,5320,0,237,119.084,73.189
G23,5320,54,252,173.110,39.412,5320,0,238,126.161,53.790,5320,0,238,126.191,53.806
G24,5320,132,255,203.007,32.638,5320,116,231,183.336,34.989,5320,116,251,186.195,38.148
G25,5320,49,255,213.293,40.760,5320,42,238,191.351,42.136,5320,42,253,195.144,45.444
G26,5320,65,247,167.703,37.786,5320,49,174,95.547,23.185,5320,49,174,95.547,23.185
G27,5320,31,178,133.255,34.079,5320,31,178,133.255,34.079,5320,82,255,225.072,40.673
G28,5320,65,247,192.736,27.736,5320,65,247,192.656,27.674,5320,133,255,240.592,20.886
G29,5320,134,255,220.380,24.770,5320,122,250,214.074,28.423,5320,122,255,219.398,32.106
G30,5320,93,255,202.961,39.863,5320,88,251,182.555,38.744,5320,88,255,183.536,40.053
G31,5320,64,254,192.386,39.765,5320,63,251,182.223,37.350,5320,63,255,183.488,38.261
G32,5320,167,255,233.175,18.114,5320,149,250,223.123,21.726,5320,149,255,225.882,23.380
G33,5320,96,238,178.532,27.396,5320,86,221,155.299,27.767,5320,86,223,155.550,28.196
G34,5320,62,255,213.346,38.656,5320,56,220,184.158,30.252,5320,56,220,184.213,30.285
G35,5320,66,255,168.717,49.520,5320,45,212,132.173,44.082,5320,45,212,132.173,44.082
G36,5320,36,214,137.210,43.997,5320,36,214,137.210,43.997,5320,95,255,225.838,36.802
G37,5320,110,253,193.998,40.523,5320,110,252,192.923,39.556,5320,151,255,225.686,30.098
G38,5320,153,255,231.286,21.996,5320,139,251,203.433,24.041,5320,139,253,203.570,24.271
G39,5320,185,255,233.837,17.344,5320,141,229,194.100,17.180,5320,141,229,194.100,17.180
G40,5320,180,255,234.284,21.138,5320,152,220,192.573,16.445,5320,152,220,192.573,16.445
G41,5320,54,255,200.315,51.006,5320,50,248,187.937,46.755,5320,50,255,193.782,48.630
G42,5320,68,247,185.598,39.764,5320,68,237,175.205,33.071,5320,76,241,178.060,31.621
G43,5320,122,255,225.880,23.005,5320,76,218,177.242,23.155,5320,76,218,177.242,23.155
G44,5320,46,255,144.434,50.881,5320,29,219,117.154,48.912,5320,29,219,117.758,48.911
G45,5320,11,255,166.545,53.908,5320,0,253,162.206,55.727,5320,0,255,183.636,58.198
G46,5320,125,255,231.233,25.716,5320,124,246,204.117,22.616,5320,124,255,208.239,23.992
G47,5320,218,255,248.388,8.117,5320,96,219,164.481,28.064,5320,96,219,164.481,28.064
G48,5320,190,255,238.541,16.324,5320,98,242,181.688,40.870,5320,98,243,182.171,41.269
G49,5320,129,255,201.527,34.807,5320,129,248,195.884,30.659,5320,152,255,232.701,19.925
G50,5320,72,255,188.540,35.907,5320,72,252,185.635,35.301,5320,81,255,221.487,34.944
G51,5320,83,255,228.567,30.677,5320,51,252,181.271,36.290,5320,51,253,181.494,36.581
G52,5320,97,255,183.028,38.554,5320,43,166,91.762,35.039,5320,43,166,91.762,35.039
G53,5320,36,255,215.177,52.078,5320,21,99,62.166,18.742,5320,21,99,62.199,18.718
G54,5320,131,255,235.556,24.907,5320,131,252,217.675,29.169,5320,141,253,222.283,26.073
G55,5320,155,255,233.410,26.277,5320,117,199,155.778,19.227,5320,117,199,155.778,19.227
G56,5320,217,255,252.825,4.861,5320,88,187,127.282,22.740,5320,88,187,127.282,22.740
G57,5320,134,255,216.345,21.260,5320,83,222,159.851,41.693,5320,83,255,164.823,47.610
G58,5320,39,202,108.102,39.255,5320,39,201,108.065,39.199,5320,69,255,171.812,55.517
G59,5320,31,217,111.275,42.100,5320,31,217,111.076,41.844,5320,32,255,186.319,44.038
G60,5320,31,252,180.285,49.063,5320,26,217,149.708,47.798,5320,26,225,150.936,48.497
G61,5320,87,245,165.495,32.426,5320,33,186,96.601,35.684,5320,33,186,96.601,35.684
G62,5320,38,255,187.519,56.719,5320,15,122,48.885,24.740,5320,15,122,48.894,24.740
G63,5320,25,255,182.865,49.102,5320,23,234,123.795,47.273,5320,24,234,124.034,47.486
G64,5320,73,255,185.751,57.357,5320,19,221,64.402,38.601,5320,19,221,64.408,38.618
G65,5320,45,255,182.719,52.511,5320,28,209,111.803,46.379,5320,28,255,147.097,74.436
G66,5320,58,163,90.203,24.810,5320,58,163,90.203,24.810,5320,148,255,208.922,31.600
G67,5320,20,203,105.357,46.125,5320,20,203,105.351,46.115,5320,40,255,212.827,44.438
G68,5320,68,255,197.750,40.464,5320,68,246,185.019,34.680,5320,142,252,214.535,24.231
G69,5320,135,255,246.476,16.312,5320,93,218,169.783,16.242,5320,93,218,169.783,16.242
G70,5320,22,255,188.313,58.860,5320,22,196,133.788,37.138,5320,42,255,142.009,36.226
G71,5320,101,255,225.647,32.169,5320,101,246,201.682,23.705,5320,140,250,210.520,19.119
G72,5320,75,250,169.443,49.552,5320,19,249,157.598,62.155,5320,19,255,186.653,68.247
G73,5320,0,230,75.957,59.625,5320,0,213,70.025,51.548,5320,57,255,204.156,42.464
G74,5320,0,83,38.035,30.115,5320,0,83,38.035,30.115,5320,128,255,219.187,27.657
G75,5320,0,78,20.525,25.807,5320,0,78,20.525,25.807,5320,183,255,239.364,16.502
G76,5320,0,255,105.439,89.653,5320,0,248,104.108,87.621,5320,107,255,215.806,35.340
G77,5320,57,255,211.855,41.792,5320,57,230,184.740,38.362,5320,60,237,188.848,40.206
G78,5320,1,199,119.998,41.200,5320,1,199,119.998,41.200,5320,4,255,202.726,55.381
G79,5320,84,204,132.112,25.833,5320,84,204,132.112,25.833,5320,179,255,237.323,14.998
G80,5320,0,137,76.422,29.033,5320,0,137,76.422,29.033,5320,131,255,231.346,19.198
G81,5320,0,101,25.007,29.408,5320,0,101,25.007,29.408,5320,117,255,230.692,27.769
G82,5320,0,43,3.225,7.384,5320,0,43,3.225,7.384,5320,183,255,240.519,18.938
G83,5320,0,179,17.427,39.630,5320,0,179,17.427,39.630,5320,85,255,228.831,32.694
G84,5320,3,245,149.919,46.336,5320,3,208,142.442,40.828,5320,55,255,187.671,42.667
G85,5320,85,159,123.696,17.054,5320,85,159,123.696,17.054,5320,145,255,214.284,20.858
G86,5320,50,136,96.080,20.328,5320,50,136,96.080,20.328,5320,100,250,187.721,36.290
G87,5320,97,188,133.061,21.370,5320,97,188,133.061,21.370,5320,165,255,226.955,22.013
G88,5320,45,164,114.745,23.358,5320,45,164,114.745,23.358,5320,179,255,240.597,17.448
G89,5320,0,154,65.436,42.571,5320,0,154,65.436,42.571,5320,158,255,238.952,18.883
G90,5320,0,127,51.239,41.260,5320,0,127,51.239,41.260,5320,33,255,170.562,56.029
G91,5320,19,255,112.902,61.011,5320,19,255,111.176,58.312,5320,31,255,146.549,55.411
G92,5320,30,235,155.227,54.839,5320,0,66,17.135,12.863,5320,0,66,17.135,12.863
G93,5320,83,255,220.814,28.353,5320,0,68,7.414,13.866,5320,0,68,7.414,13.866
G94,5320,141,255,229.354,21.281,5320,0,169,94.481,42.512,5320,0,169,94.481,42.512
G95,5320,69,255,200.563,55.184,5320,46,172,120.995,27.704,5320,46,172,120.995,27.704
G96,5320,112,249,154.775,27.901,5320,112,231,154.143,26.896,5320,126,255,238.826,20.080
G97,5320,1,255,155.603,58.077,5320,1,220,143.157,52.383,5320,9,255,202.437,47.874
G98,5320,30,255,164.997,57.843,5320,30,232,144.027,40.577,5320,59,255,184.918,43.525
G99,5320,28,241,124.777,32.452,5320,28,219,123.840,31.416,5320,42,255,209.970,43.453
G100,5320,33,252,161.865,38.774,5320,33,252,161.865,38.774,5320,54,255,219.365,33.121
