Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,201,255,242.761,9.999,5320,58,204,118.597,29.609,5320,58,204,118.597,29.609
G2,5320,79,255,219.568,43.947,5320,0,157,78.629,39.669,5320,0,157,78.629,39.669
G3,5320,56,255,225.229,45.046,5320,0,148,109.333,32.977,5320,0,148,109.333,32.977
G4,5320,43,255,163.859,41.030,5320,0,132,21.698,34.423,5320,0,132,21.698,34.423
G5,5320,54,255,173.486,37.869,5320,0,96,13.353,16.311,5320,0,96,13.353,16.311
G6,5320,148,255,216.057,30.950,5320,0,83,40.410,27.955,5320,0,83,40.410,27.955
G7,5320,73,255,196.393,38.818,5320,28,84,64.536,10.628,5320,28,84,64.536,10.628
G8,5320,60,255,187.824,54.223,5320,30,94,64.639,15.247,5320,30,94,64.639,15.247
G9,5320,53,255,169.366,41.198,5320,0,168,62.221,41.497,5320,0,168,62.221,41.497
G10,5320,106,255,228.368,36.379,5320,106,251,203.231,29.641,5320,122,254,211.728,23.183
G11,5320,158,255,221.016,24.153,5320,74,254,188.038,38.118,5320,74,255,201.001,45.652
G12,5320,170,255,229.512,20.341,5320,70,232,184.702,36.774,5320,70,255,193.835,44.105
G13,5320,36,218,141.218,41.828,5320,0,206,88.277,57.671,5320,0,207,89.079,58.740
G14,5320,48,248,183.554,45.518,5320,23,204,111.623,47.610,5320,23,204,111.623,47.610
G15,5320,49,255,184.276,38.859,5320,18,228,103.544,54.122,5320,18,233,103.623,54.299
G16,5320,167,255,228.845,22.069,5320,54,226,112.807,38.574,5320,54,227,112.855,38.678
G17,5320,63,251,157.326,45.262,5320,0,175,60.131,41.009,5320,0,175,60.131,41.009
G18,5320,26,181,110.772,33.054,5320,26,181,110.772,33.054,5320,70,254,205.828,38.175
G19,5320,84,247,172.710,33.860,5320,84,245,172.598,33.670,5320,137,255,221.952,29.850
G20,5320,124,241,156.066,23.713,5320,124,241,156.066,23.713,5320,206,255,247.085,11.577
G21,5320,116,224,158.527,24.832,5320,116,224,158.524,24.830,5320,165,255,245.197,19.779
G22,5320,114,220,157.725,28.441,5320,114,219,156.777,27.121,5320,157,249,215.063,21.189
G23,5320,113,244,190.971,27.073,5320,113,223,176.069,18.136,5320,132,250,189.423,24.651
G24,5320,114,253,188.037,36.875,5320,114,252,184.189,32.441,5320,159,255,238.308,19.292
G25,5320,49,255,202.177,41.792,5320,48,248,190.118,39.429,5320,48,255,204.804,43.368
G26,5320,64,244,167.545,37.303,5320,49,182,96.906,23.742,5320,49,182,96.906,23.742
G27,5320,28,172,130.801,32.462,5320,28,172,130.801,32.462,5320,79,255,224.960,37.769
G28,5320,95,202,174.936,19.356,5320,95,202,174.936,19.356,5320,125,255,241.594,22.316
G29,5320,99,195,149.934,18.311,5320,99,195,149.934,18.311,5320,146,255,230.395,27.945
G30,5320,44,154,133.038,13.151,5320,44,154,133.038,13.151,5320,74,255,241.211,23.176
G31,5320,28,153,105.556,22.940,5320,28,153,105.556,22.940,5320,49,255,205.731,50.127
G32,5320,25,193,125.566,37.980,5320,25,193,125.566,37.980,5320,49,255,191.100,44.144
G33,5320,26,183,136.398,42.395,5320,26,183,136.398,42.395,5320,46,246,183.089,55.537
G34,5320,62,255,180.090,51.788,5320,62,249,179.177,50.844,5320,76,255,208.713,43.953
G35,5320,65,255,171.312,49.410,5320,52,246,145.007,52.116,5320,52,249,145.135,52.344
G36,5320,101,255,206.532,35.334,5320,46,242,131.183,57.924,5320,46,255,153.870,81.234
G37,5320,90,243,187.418,32.463,5320,90,242,187.379,32.422,5320,120,255,226.422,29.218
G38,5320,92,248,177.020,50.326,5320,92,239,175.648,48.843,5320,143,255,216.169,34.630
G39,5320,38,244,133.856,44.973,5320,38,239,133.656,44.544,5320,67,255,189.345,39.159
G40,5320,45,174,128.901,26.365,5320,45,174,128.901,26.365,5320,73,255,200.399,38.590
G41,5320,16,133,94.552,24.267,5320,16,133,94.552,24.267,5320,45,255,200.282,42.087
G42,5320,22,211,105.946,41.797,5320,22,211,105.946,41.797,5320,55,238,184.302,44.874
G43,5320,95,255,209.192,30.778,5320,95,250,206.011,29.314,5320,118,253,222.410,24.520
G44,5320,45,255,150.405,52.633,5320,41,235,134.620,50.948,5320,41,235,135.459,50.803
G45,5320,15,255,188.839,56.571,5320,10,250,154.728,53.544,5320,10,251,157.153,53.648
G46,5320,156,255,233.454,23.819,5320,156,253,215.849,23.762,5320,162,255,220.118,23.549
G47,5320,222,255,249.389,6.643,5320,107,249,199.048,31.311,5320,107,249,199.056,31.316
G48,5320,141,255,242.556,16.917,5320,101,244,191.472,39.140,5320,101,250,192.776,39.667
G49,5320,72,255,189.285,53.093,5320,72,247,188.227,52.181,5320,112,255,216.560,37.922
G50,5320,65,189,119.315,27.349,5320,65,189,119.315,27.349,5320,128,255,225.989,33.664
G51,5320,77,237,159.661,33.469,5320,77,237,159.622,33.465,5320,88,255,228.553,29.968
G52,5320,92,247,179.472,38.855,5320,75,247,151.324,50.723,5320,75,255,153.021,52.978
G53,5320,37,255,209.478,59.322,5320,36,126,85.151,22.105,5320,36,126,85.196,22.037
G54,5320,140,255,237.183,25.363,5320,127,248,208.643,30.916,5320,127,248,211.705,28.543
G55,5320,183,255,237.971,21.220,5320,102,192,145.691,19.376,5320,102,192,145.691,19.376
G56,5320,224,255,253.381,4.079,5320,38,184,113.216,27.603,5320,38,184,113.216,27.603
G57,5320,147,255,234.784,25.690,5320,61,246,138.568,51.037,5320,61,246,139.573,52.345
G58,5320,129,255,194.474,34.094,5320,129,248,193.356,32.523,5320,189,255,245.405,12.105
G59,5320,36,194,152.206,23.578,5320,36,194,152.206,23.578,5320,47,255,227.417,42.875
