Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,221,255,243.840,8.822,5320,30,159,63.755,25.339,5320,30,159,63.755,25.339
G2,5320,77,255,219.183,44.687,5320,0,79,22.161,19.809,5320,0,79,22.161,19.809
G3,5320,53,255,225.088,43.625,5320,0,110,62.653,29.779,5320,0,110,62.653,29.779
G4,5320,54,255,162.258,51.626,5320,0,35,5.094,9.396,5320,0,35,5.094,9.396
G5,5320,42,255,171.304,52.708,5320,0,15,0.627,2.131,5320,0,15,0.627,2.131
G6,5320,59,255,213.929,45.539,5320,0,74,35.695,24.053,5320,0,74,35.695,24.053
G7,5320,75,255,198.855,35.271,5320,10,68,41.056,11.178,5320,10,68,41.056,11.178
G8,5320,58,255,190.576,52.532,5320,0,73,30.287,16.168,5320,0,73,30.287,16.168
G9,5320,61,253,166.254,39.839,5320,0,143,49.006,38.730,5320,0,143,49.006,38.730
G10,5320,139,255,234.648,25.403,5320,76,212,149.946,28.974,5320,76,228,151.592,31.576
G11,5320,149,255,228.527,23.086,5320,21,157,99.186,31.985,5320,21,157,99.186,31.985
G12,5320,110,255,223.154,30.820,5320,0,100,27.601,24.081,5320,0,100,27.601,24.081
G13,5320,63,255,186.553,47.999,5320,0,124,32.127,35.022,5320,0,124,32.127,35.022
G14,5320,37,255,209.881,39.261,5320,6,143,73.229,31.267,5320,6,143,73.229,31.267
G15,5320,35,255,184.181,38.852,5320,0,89,38.354,25.203,5320,0,89,38.354,25.203
G16,5320,163,255,227.773,22.530,5320,0,101,30.732,26.287,5320,0,101,30.732,26.287
G17,5320,63,247,157.151,47.751,5320,0,97,37.632,27.773,5320,0,97,37.632,27.773
G18,5320,33,215,141.461,40.945,5320,33,215,141.461,40.945,5320,65,251,209.489,37.061
G19,5320,94,255,214.113,35.696,5320,94,237,178.002,27.333,5320,111,247,186.533,31.241
G20,5320,178,255,232.177,20.275,5320,93,157,121.666,13.380,5320,93,157,121.666,13.380
G21,5320,75,255,208.630,43.457,5320,0,130,64.430,40.517,5320,0,130,64.430,40.517
G22,5320,45,255,163.046,61.183,5320,0,137,27.071,39.669,5320,0,137,27.071,39.669
G23,5320,50,255,195.211,54.110,5320,0,166,107.955,47.008,5320,0,166,107.955,47.008
G24,5320,174,255,240.393,13.909,5320,62,113,87.886,11.742,5320,62,113,87.886,11.742
G25,5320,49,255,214.949,44.024,5320,20,107,73.336,13.605,5320,20,107,73.336,13.605
G26,5320,64,244,167.825,38.010,5320,29,98,58.272,13.183,5320,29,98,58.272,13.183
G27,5320,34,246,175.633,48.198,5320,34,244,175.513,48.043,5320,74,255,219.558,41.568
G28,5320,125,255,234.568,25.859,5320,106,251,201.002,39.214,5320,106,255,204.542,40.679
G29,5320,43,255,217.365,41.191,5320,0,150,67.720,39.347,5320,0,150,67.720,39.347
G30,5320,30,255,228.449,36.635,5320,0,113,26.661,27.925,5320,0,113,26.661,27.925
G31,5320,82,255,202.647,52.852,5320,0,16,0.316,1.390,5320,0,16,0.316,1.390
G32,5320,65,219,180.176,33.925,5320,0,66,4.963,11.747,5320,0,66,4.963,11.747
G33,5320,54,248,207.020,42.609,5320,0,77,20.619,23.742,5320,0,77,20.619,23.742
G34,5320,75,255,211.294,43.155,5320,0,137,82.768,36.831,5320,0,137,82.768,36.831
G35,5320,63,255,170.888,49.751,5320,34,166,95.943,30.134,5320,34,166,95.943,30.134
G36,5320,52,255,160.736,64.222,5320,52,251,160.056,63.560,5320,116,255,228.700,28.450
G37,5320,118,255,212.595,30.932,5320,80,250,178.319,40.526,5320,80,255,180.106,42.846
G38,5320,57,255,210.908,41.732,5320,23,144,112.620,22.871,5320,23,144,112.620,22.871
G39,5320,18,255,161.202,63.816,5320,0,149,40.616,49.300,5320,0,149,40.616,49.300
G40,5320,101,255,234.190,28.705,5320,0,8,0.244,0.894,5320,0,8,0.244,0.894
G41,5320,44,255,173.789,60.163,5320,0,115,34.314,38.752,5320,0,115,34.314,38.752
G42,5320,42,249,178.229,47.920,5320,0,110,65.285,24.420,5320,0,110,65.285,24.420
G43,5320,114,255,225.394,22.471,5320,29,104,77.696,15.465,5320,29,104,77.696,15.465
G44,5320,43,255,155.441,50.924,5320,22,189,86.735,42.449,5320,22,189,86.879,42.566
G45,5320,10,255,167.681,51.509,5320,7,222,140.720,41.523,5320,7,255,159.206,54.692
G46,5320,174,255,232.973,23.866,5320,21,192,92.672,49.239,5320,21,192,92.672,49.239
G47,5320,101,255,208.371,29.081,5320,5,139,52.789,32.968,5320,5,139,52.789,32.968
G48,5320,80,255,202.304,40.950,5320,0,145,72.113,37.096,5320,0,145,72.113,37.096
G49,5320,53,254,157.026,46.240,5320,0,8,0.103,0.639,5320,0,8,0.103,0.639
G50,5320,12,255,183.085,53.750,5320,0,71,5.546,14.765,5320,0,71,5.546,14.765
G51,5320,106,255,224.371,29.554,5320,0,41,3.117,7.704,5320,0,41,3.117,7.704
G52,5320,104,255,185.170,37.422,5320,0,47,7.177,12.075,5320,0,47,7.177,12.075
G53,5320,40,255,201.062,60.353,5320,0,159,20.922,16.564,5320,0,159,20.932,16.592
G54,5320,127,255,238.174,25.388,5320,81,235,179.413,36.848,5320,81,235,181.750,36.410
G55,5320,185,255,238.237,20.907,5320,0,156,43.712,30.947,5320,0,156,43.712,30.947
G56,5320,187,255,229.556,17.269,5320,0,40,3.707,6.553,5320,0,40,3.707,6.553
G57,5320,123,255,211.864,24.672,5320,0,59,6.684,13.981,5320,0,59,6.684,13.981
G58,5320,49,255,158.765,55.163,5320,0,33,1.151,4.120,5320,0,33,1.151,4.120
G59,5320,18,255,161.461,52.980,5320,0,68,4.725,12.909,5320,0,68,4.725,12.909
G60,5320,33,237,172.798,47.638,5320,0,54,21.206,20.278,5320,0,54,21.206,20.278
G61,5320,89,255,161.676,35.534,5320,0,130,40.526,34.051,5320,0,130,40.526,34.051
