Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,241.912,11.239,5320,35,156,76.913,20.918,5320,35,156,76.913,20.918
G2,5320,81,255,220.517,43.599,5320,5,89,56.718,16.755,5320,5,89,56.718,16.755
G3,5320,57,255,224.762,47.503,5320,9,139,98.454,27.412,5320,9,139,98.454,27.412
G4,5320,56,255,161.998,53.667,5320,0,95,11.295,19.525,5320,0,95,11.295,19.525
G5,5320,67,255,220.291,45.867,5320,0,100,13.360,21.329,5320,0,100,13.360,21.329
G6,5320,54,255,197.118,51.959,5320,0,194,102.146,37.335,5320,0,194,102.146,37.335
G7,5320,61,255,180.052,41.544,5320,41,194,122.687,32.311,5320,41,194,122.687,32.311
G8,5320,53,255,188.281,55.417,5320,31,109,64.909,14.768,5320,31,109,64.909,14.768
G9,5320,61,250,178.195,46.357,5320,0,181,67.392,45.550,5320,0,181,67.392,45.550
G10,5320,135,255,234.611,27.091,5320,90,217,140.165,26.138,5320,90,231,141.398,28.613
G11,5320,155,255,230.256,23.566,5320,34,124,87.908,19.712,5320,34,124,87.908,19.712
G12,5320,33,255,199.042,47.762,5320,0,102,45.714,29.860,5320,0,102,45.714,29.860
G13,5320,55,247,183.854,46.458,5320,0,145,41.634,40.390,5320,0,145,41.634,40.390
G14,5320,116,255,230.545,21.749,5320,61,156,123.623,22.141,5320,61,156,123.623,22.141
G15,5320,80,255,187.625,38.207,5320,40,109,71.424,13.815,5320,40,109,71.424,13.815
G16,5320,172,255,230.244,21.546,5320,44,139,81.486,20.862,5320,44,139,81.486,20.862
G17,5320,59,245,164.436,46.527,5320,0,132,51.614,32.006,5320,0,132,51.614,32.006
G18,5320,36,248,153.820,46.605,5320,36,248,153.813,46.595,5320,67,255,207.927,41.118
G19,5320,86,255,218.004,36.033,5320,86,253,169.340,38.165,5320,87,254,173.255,39.960
G20,5320,182,255,239.562,14.809,5320,0,128,45.031,34.852,5320,0,128,45.031,34.852
G21,5320,155,255,229.593,26.857,5320,0,49,10.473,12.825,5320,0,49,10.473,12.825
G22,5320,41,255,183.634,47.497,5320,0,91,28.344,21.861,5320,0,91,28.344,21.861
G23,5320,39,255,219.042,45.664,5320,0,137,67.466,32.788,5320,0,137,67.466,32.788
G24,5320,178,255,244.011,13.590,5320,4,145,77.824,34.610,5320,4,145,77.824,34.610
G25,5320,58,255,218.018,47.879,5320,29,151,118.643,28.658,5320,29,151,118.643,28.658
G26,5320,60,250,171.389,38.226,5320,33,134,77.440,17.946,5320,33,134,77.440,17.946
G27,5320,47,242,182.960,40.955,5320,47,242,182.960,40.955,5320,82,255,225.742,36.032
G28,5320,105,255,233.950,23.884,5320,98,252,200.101,39.554,5320,98,255,204.704,42.960
G29,5320,157,255,224.621,25.671,5320,3,137,53.930,28.815,5320,3,137,53.930,28.815
G30,5320,77,255,229.317,26.960,5320,2,58,42.629,11.616,5320,2,58,42.629,11.616
G31,5320,57,255,196.922,47.311,5320,2,65,42.264,16.070,5320,2,65,42.264,16.070
G32,5320,41,255,195.661,51.014,5320,0,58,21.365,18.245,5320,0,58,21.365,18.245
G33,5320,48,255,177.332,54.939,5320,0,78,9.852,16.034,5320,0,78,9.852,16.034
G34,5320,65,255,211.449,44.622,5320,0,160,98.395,46.702,5320,0,160,98.395,46.702
G35,5320,66,255,168.237,49.014,5320,39,176,108.088,35.188,5320,39,176,108.088,35.188
G36,5320,99,255,223.514,28.221,5320,79,253,179.710,45.881,5320,79,255,186.226,52.683
G37,5320,124,255,220.355,28.410,5320,98,253,187.274,28.342,5320,98,255,190.429,31.997
G38,5320,164,255,220.342,25.227,5320,12,164,74.636,37.739,5320,12,164,74.636,37.739
G39,5320,54,253,176.159,38.084,5320,9,201,71.325,48.920,5320,9,201,71.325,48.920
G40,5320,50,255,161.434,37.996,5320,15,224,102.281,45.814,5320,15,224,102.281,45.814
G41,5320,124,255,192.483,43.442,5320,6,223,96.457,67.857,5320,6,223,96.457,67.857
