Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,192,255,241.882,11.591,5320,40,189,94.600,27.909,5320,40,189,94.600,27.909
G2,5320,80,255,229.334,38.228,5320,0,114,51.243,30.036,5320,0,114,51.243,30.036
G3,5320,52,255,225.768,46.387,5320,0,135,89.722,33.253,5320,0,135,89.722,33.253
G4,5320,50,255,171.210,53.506,5320,0,124,27.716,37.183,5320,0,124,27.716,37.183
G5,5320,59,255,169.238,47.374,5320,0,68,5.145,9.503,5320,0,68,5.145,9.503
G6,5320,59,255,184.389,49.270,5320,0,62,23.523,17.352,5320,0,62,23.523,17.352
G7,5320,51,255,195.283,36.491,5320,0,71,26.336,18.753,5320,0,71,26.336,18.753
G8,5320,52,255,190.639,52.795,5320,29,92,59.289,17.305,5320,29,92,59.289,17.305
G9,5320,55,255,171.050,41.599,5320,0,170,64.434,41.178,5320,0,170,64.434,41.178
G10,5320,125,255,230.582,33.941,5320,117,218,180.173,23.998,5320,117,228,185.648,24.450
G11,5320,192,255,244.821,11.542,5320,93,247,176.579,43.250,5320,93,247,177.149,43.778
G12,5320,187,255,244.970,11.657,5320,73,246,182.106,45.335,5320,73,255,185.075,48.450
G13,5320,46,246,166.398,54.538,5320,0,244,101.963,74.412,5320,0,251,106.690,78.565
G14,5320,10,255,196.483,55.933,5320,0,229,109.914,65.244,5320,0,255,139.839,85.339
G15,5320,40,249,183.806,39.042,5320,0,246,108.569,65.934,5320,0,255,113.689,73.160
G16,5320,142,255,224.834,26.539,5320,36,233,113.151,44.547,5320,36,234,113.400,45.045
G17,5320,59,255,160.036,48.102,5320,0,190,65.176,43.157,5320,0,190,65.176,43.157
G18,5320,25,186,119.582,37.259,5320,25,186,119.582,37.259,5320,64,253,205.273,39.810
G19,5320,81,255,195.257,37.594,5320,81,246,190.677,35.133,5320,113,255,216.499,31.869
G20,5320,176,255,217.575,20.031,5320,176,248,215.685,17.745,5320,194,255,237.956,15.242
G21,5320,145,236,194.810,19.706,5320,145,236,194.563,19.470,5320,194,255,237.719,12.419
G22,5320,0,217,70.112,68.332,5320,0,217,70.093,68.298,5320,58,252,157.591,49.479
G23,5320,0,147,8.402,20.367,5320,0,147,8.401,20.366,5320,134,255,224.278,26.304
G24,5320,4,235,101.806,50.281,5320,4,235,101.728,50.164,5320,185,255,249.194,9.791
G25,5320,45,255,179.075,49.700,5320,45,248,172.263,45.543,5320,49,255,210.653,44.681
G26,5320,64,246,166.635,37.905,5320,52,196,101.253,26.016,5320,52,196,101.253,26.016
G27,5320,40,196,150.250,33.065,5320,40,196,150.250,33.065,5320,85,255,229.236,33.432
G28,5320,107,252,203.096,25.419,5320,107,252,203.044,25.406,5320,123,255,239.588,23.484
G29,5320,133,252,214.849,21.854,5320,130,251,213.432,22.765,5320,130,255,228.433,29.471
G30,5320,91,252,184.358,40.880,5320,91,244,182.487,40.285,5320,99,255,206.979,37.917
G31,5320,0,231,140.901,63.495,5320,0,231,140.901,63.495,5320,52,255,190.281,60.936
G32,5320,0,170,8.541,27.466,5320,0,170,8.541,27.466,5320,26,255,196.684,60.819
G33,5320,0,111,45.890,32.383,5320,0,111,45.890,32.383,5320,47,255,208.980,51.658
G34,5320,38,255,170.113,67.116,5320,38,247,169.095,66.061,5320,77,255,212.876,44.950
G35,5320,67,255,171.723,50.032,5320,54,244,149.027,51.895,5320,54,248,149.143,52.090
G36,5320,93,255,211.379,33.913,5320,53,252,144.782,60.428,5320,53,255,159.657,75.749
G37,5320,101,255,208.656,36.071,5320,101,254,206.930,34.663,5320,118,255,223.531,29.145
G38,5320,147,255,222.985,23.799,5320,126,248,184.161,29.596,5320,126,248,184.172,29.602
G39,5320,144,255,237.848,24.359,5320,116,248,172.901,27.104,5320,116,255,173.666,28.997
G40,5320,121,249,211.711,24.822,5320,121,247,207.353,24.452,5320,153,255,239.554,23.525
G41,5320,0,186,112.327,41.922,5320,0,186,112.327,41.922,5320,34,255,196.007,60.064
G42,5320,0,220,130.445,36.692,5320,0,219,130.439,36.678,5320,36,255,187.857,42.522
G43,5320,115,255,211.189,27.394,5320,115,248,206.161,25.980,5320,122,251,220.396,23.030
G44,5320,42,255,148.254,53.263,5320,36,233,133.926,52.849,5320,36,233,135.295,52.892
G45,5320,10,255,190.270,56.131,5320,7,247,158.053,52.144,5320,7,247,159.136,51.764
G46,5320,162,255,235.573,23.214,5320,157,252,210.772,19.496,5320,157,255,211.779,19.554
G47,5320,197,255,243.142,14.484,5320,96,224,160.666,32.442,5320,96,224,160.666,32.442
G48,5320,196,255,236.594,16.764,5320,97,241,149.261,31.312,5320,97,246,149.333,31.509
G49,5320,64,248,163.713,54.028,5320,64,243,156.637,46.624,5320,89,255,204.034,30.283
G50,5320,49,116,88.779,14.249,5320,49,116,88.779,14.249,5320,134,255,225.378,30.961
G51,5320,34,242,91.444,50.478,5320,34,242,91.421,50.439,5320,91,255,213.419,41.985
G52,5320,87,254,181.441,35.954,5320,71,253,150.488,49.033,5320,71,255,153.721,51.470
G53,5320,26,255,211.645,55.490,5320,17,126,77.522,24.817,5320,17,167,77.608,24.804
G54,5320,142,255,233.801,25.142,5320,140,248,213.649,29.416,5320,143,248,217.463,25.886
G55,5320,180,255,237.532,21.072,5320,123,195,159.331,17.021,5320,123,195,159.331,17.021
G56,5320,219,255,252.371,6.517,5320,95,188,136.049,17.150,5320,95,188,136.049,17.150
G57,5320,169,255,239.159,17.817,5320,105,246,159.004,35.217,5320,105,251,161.736,39.334
G58,5320,0,250,112.750,70.048,5320,0,249,112.701,69.961,5320,194,255,240.631,11.997
G59,5320,0,148,41.823,40.047,5320,0,148,41.823,40.047,5320,17,255,211.917,43.071
G60,5320,24,230,140.846,67.287,5320,24,209,131.452,58.418,5320,57,214,157.052,39.955
G61,5320,86,255,159.071,38.182,5320,40,201,114.031,38.079,5320,40,201,114.113,38.044
G62,5320,40,255,181.275,60.953,5320,5,139,46.293,28.485,5320,5,255,46.944,31.007
G63,5320,43,255,184.163,48.123,5320,32,223,114.757,40.394,5320,32,247,115.298,41.471
G64,5320,80,255,196.494,46.953,5320,33,185,90.531,37.173,5320,33,185,90.531,37.173
G65,5320,93,251,166.362,32.622,5320,40,211,140.124,38.817,5320,40,240,159.839,45.172
G66,5320,0,155,41.417,42.527,5320,0,155,41.417,42.527,5320,120,255,189.559,32.706
G67,5320,0,227,80.764,86.081,5320,0,227,80.764,86.081,5320,61,255,218.322,32.176
G68,5320,143,255,223.768,30.446,5320,143,250,199.054,29.905,5320,145,255,204.187,33.435
G69,5320,176,255,243.643,16.690,5320,109,200,155.241,20.258,5320,109,200,155.241,20.258
G70,5320,20,255,184.956,60.463,5320,20,193,128.402,38.232,5320,39,231,135.906,32.128
G71,5320,128,255,226.825,26.349,5320,128,232,169.386,14.069,5320,139,241,170.980,15.786
G72,5320,197,255,243.372,11.494,5320,156,254,207.137,20.653,5320,156,255,211.199,25.710
G73,5320,69,249,182.242,34.231,5320,69,245,180.708,32.686,5320,142,255,224.977,28.355
