Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,196,255,245.094,10.089,5320,85,218,164.266,31.444,5320,85,218,164.266,31.444
G2,5320,112,255,221.237,36.480,5320,112,233,187.535,24.877,5320,120,255,191.256,27.793
G3,5320,49,255,228.449,35.649,5320,44,231,191.717,26.087,5320,44,231,193.041,25.680
G4,5320,37,231,161.930,44.532,5320,37,231,161.617,44.647,5320,48,255,187.193,50.869
G5,5320,23,250,120.680,53.504,5320,23,235,118.523,51.287,5320,46,254,166.943,49.761
G6,5320,17,253,171.569,47.768,5320,17,246,171.359,47.459,5320,36,255,220.981,33.660
G7,5320,48,255,186.536,36.062,5320,48,252,178.814,37.088,5320,50,252,183.491,40.402
G8,5320,55,255,198.096,53.555,5320,38,176,124.360,32.909,5320,38,176,124.360,32.909
G9,5320,62,255,182.638,52.197,5320,17,216,95.844,50.268,5320,17,216,95.855,50.291
G10,5320,113,255,227.067,38.081,5320,113,245,212.004,30.875,5320,137,245,220.983,17.408
G11,5320,178,255,231.449,18.820,5320,161,241,207.670,17.800,5320,161,241,207.670,17.800
G12,5320,89,255,212.705,36.440,5320,88,236,189.015,26.754,5320,89,236,189.231,26.520
G13,5320,16,178,58.597,42.474,5320,16,170,58.244,41.629,5320,66,254,164.109,47.219
G14,5320,18,223,77.531,52.168,5320,18,223,77.527,52.165,5320,42,255,202.676,55.777
G15,5320,37,237,175.659,38.437,5320,37,235,158.312,39.240,5320,47,255,165.679,46.385
G16,5320,180,255,226.033,21.434,5320,112,244,166.313,27.625,5320,112,246,166.472,27.961
G17,5320,65,251,166.145,50.465,5320,13,202,85.445,43.289,5320,13,202,85.445,43.289
G18,5320,25,176,109.549,32.724,5320,25,176,109.549,32.724,5320,87,254,209.306,30.278
G19,5320,89,254,189.782,45.173,5320,89,249,188.858,44.251,5320,133,255,221.258,30.190
G20,5320,147,255,231.980,26.805,5320,111,252,202.821,32.893,5320,111,255,203.042,33.212
G21,5320,86,255,196.030,39.372,5320,78,235,174.091,35.116,5320,79,236,174.620,35.214
G22,5320,0,166,54.084,44.876,5320,0,166,53.929,44.725,5320,50,228,137.421,37.056
G23,5320,13,123,42.982,16.993,5320,13,123,42.982,16.993,5320,153,255,222.311,21.210
G24,5320,81,234,144.806,36.846,5320,81,231,144.659,36.615,5320,193,255,246.481,13.794
G25,5320,48,255,192.233,42.033,5320,48,246,186.789,40.107,5320,50,255,212.123,42.559
G26,5320,63,246,168.955,42.052,5320,56,208,111.107,29.097,5320,56,208,111.108,29.097
G27,5320,19,186,136.156,36.116,5320,19,186,136.156,36.116,5320,66,255,226.381,39.861
G28,5320,105,255,200.145,29.532,5320,105,254,199.395,28.862,5320,121,255,238.068,23.799
G29,5320,174,255,224.603,23.170,5320,133,252,204.511,24.592,5320,133,253,204.636,24.774
G30,5320,150,255,228.941,22.405,5320,129,254,221.052,27.815,5320,129,255,230.487,26.229
G31,5320,0,202,76.304,50.312,5320,0,202,76.304,50.312,5320,45,251,155.870,45.652
G32,5320,4,143,88.418,37.007,5320,4,143,88.418,37.007,5320,94,255,201.030,40.447
G33,5320,37,166,129.775,26.067,5320,37,166,129.775,26.067,5320,51,254,210.704,45.013
G34,5320,57,255,192.915,59.318,5320,57,250,185.530,52.900,5320,71,251,204.894,38.767
G35,5320,67,255,166.812,52.102,5320,56,232,143.429,49.682,5320,56,232,143.433,49.682
G36,5320,38,202,136.852,40.223,5320,38,202,136.852,40.223,5320,93,255,226.304,36.894
G37,5320,106,255,196.291,42.366,5320,106,252,193.599,39.486,5320,123,255,223.025,29.717
G38,5320,206,255,244.919,10.474,5320,113,240,171.479,37.042,5320,113,240,171.482,37.046
G39,5320,64,255,220.737,39.125,5320,60,253,147.486,39.609,5320,60,255,148.145,41.066
G40,5320,18,255,149.395,70.531,5320,18,252,147.617,68.544,5320,38,255,173.715,57.913
G41,5320,24,248,134.855,65.892,5320,24,244,134.832,65.854,5320,38,255,173.255,61.048
G42,5320,29,248,169.604,44.519,5320,29,246,165.505,40.731,5320,42,255,179.865,35.418
G43,5320,106,255,221.747,30.120,5320,72,233,184.598,29.415,5320,72,233,185.931,29.252
G44,5320,31,255,145.559,58.377,5320,31,221,126.032,58.728,5320,31,226,128.090,59.522
G45,5320,10,255,158.719,55.937,5320,0,253,154.984,56.419,5320,0,255,183.848,58.371
G46,5320,135,255,231.657,27.911,5320,135,250,208.363,21.078,5320,159,254,212.918,17.988
G47,5320,221,255,250.690,5.591,5320,61,214,145.583,40.722,5320,61,214,145.583,40.722
G48,5320,129,255,211.696,28.315,5320,43,214,106.647,42.784,5320,43,214,106.647,42.784
G49,5320,128,255,230.982,26.840,5320,126,243,210.171,24.635,5320,126,247,210.453,24.833
G50,5320,128,247,189.521,33.899,5320,126,247,188.225,33.513,5320,126,255,201.706,36.413
G51,5320,94,255,222.036,25.229,5320,58,234,189.059,28.028,5320,58,255,194.200,33.839
G52,5320,100,250,182.724,37.136,5320,43,184,96.005,40.253,5320,43,184,96.005,40.253
G53,5320,26,255,222.981,47.231,5320,6,100,60.103,23.381,5320,6,116,60.141,23.371
G54,5320,126,255,229.834,25.514,5320,126,252,219.201,25.924,5320,157,253,227.666,20.403
G55,5320,185,255,238.938,19.922,5320,138,211,174.654,16.799,5320,138,211,174.654,16.800
G56,5320,89,255,244.962,21.381,5320,44,195,134.077,32.220,5320,44,195,134.077,32.220
G57,5320,86,255,181.672,36.053,5320,42,217,105.414,48.589,5320,42,255,114.148,63.029
G58,5320,0,250,139.864,70.337,5320,0,242,138.600,69.419,5320,128,255,226.553,26.918
G59,5320,0,210,153.800,51.088,5320,0,210,153.454,51.144,5320,37,255,182.517,41.053
G60,5320,33,237,181.270,45.635,5320,24,213,143.397,43.447,5320,24,228,144.721,45.219
G61,5320,82,253,164.747,34.990,5320,23,177,86.995,35.221,5320,23,177,86.995,35.221
G62,5320,38,255,179.419,56.201,5320,3,127,42.747,32.098,5320,3,127,42.762,32.103
G63,5320,41,255,184.709,44.991,5320,31,222,125.140,40.086,5320,31,248,126.921,42.714
G64,5320,100,255,202.799,38.991,5320,49,248,151.513,54.834,5320,49,255,153.546,57.678
G65,5320,0,247,140.647,71.537,5320,0,236,137.397,68.503,5320,92,255,228.780,24.183
G66,5320,0,85,1.372,7.023,5320,0,85,1.372,7.023,5320,143,255,211.974,27.570
G67,5320,0,192,79.863,77.134,5320,0,192,79.692,76.897,5320,65,255,222.331,30.786
G68,5320,133,255,215.890,26.766,5320,126,237,184.066,23.813,5320,126,245,193.628,27.099
G69,5320,173,255,243.625,17.078,5320,97,189,145.199,19.828,5320,97,189,145.199,19.828
G70,5320,0,255,176.009,80.538,5320,0,197,120.766,54.337,5320,40,255,145.355,43.760
G71,5320,101,255,229.956,29.527,5320,101,224,190.251,17.435,5320,123,242,193.895,16.364
G72,5320,146,255,223.781,31.367,5320,146,251,216.420,26.025,5320,214,255,243.797,10.692
G73,5320,0,168,72.934,45.353,5320,0,168,72.934,45.353,5320,164,255,240.638,18.606
G74,5320,0,48,6.155,10.759,5320,0,48,6.155,10.759,5320,112,255,202.942,41.391
G75,5320,0,153,36.362,34.669,5320,0,153,36.362,34.669,5320,95,250,193.299,35.713
G76,5320,44,255,158.356,62.144,5320,44,240,153.336,55.831,5320,142,255,202.682,29.346
G77,5320,61,255,208.407,38.307,5320,55,226,169.311,34.086,5320,55,236,170.718,35.064
G78,5320,10,202,138.525,46.442,5320,10,202,138.525,46.442,5320,15,255,199.602,60.273
G79,5320,99,232,159.554,28.995,5320,99,232,159.553,28.994,5320,153,255,236.004,19.614
G80,5320,41,152,120.977,18.737,5320,41,152,120.977,18.737,5320,147,255,241.301,14.923
G81,5320,22,134,82.212,21.608,5320,22,134,82.212,21.608,5320,144,255,228.476,24.355
G82,5320,0,99,54.143,26.510,5320,0,99,54.143,26.510,5320,174,255,234.184,21.356
G83,5320,0,207,27.319,43.499,5320,0,207,27.319,43.499,5320,70,255,223.607,37.209
G84,5320,15,240,167.377,43.146,5320,15,214,151.522,34.285,5320,36,252,179.959,38.476
G85,5320,96,173,136.214,17.514,5320,96,173,136.214,17.514,5320,145,255,215.262,22.905
G86,5320,55,146,106.717,21.599,5320,55,146,106.717,21.599,5320,98,248,183.896,35.552
G87,5320,106,187,142.759,17.544,5320,106,187,142.759,17.544,5320,170,255,227.934,22.629
G88,5320,76,174,141.174,15.521,5320,76,174,141.174,15.521,5320,178,255,241.999,18.227
G89,5320,26,168,94.004,32.023,5320,26,168,94.004,32.023,5320,136,255,237.917,22.108
G90,5320,0,143,68.557,43.362,5320,0,143,68.557,43.362,5320,41,255,165.116,54.892
G91,5320,32,255,126.270,56.571,5320,32,255,124.501,54.411,5320,35,255,154.235,53.246
G92,5320,30,247,164.215,60.461,5320,30,184,123.668,36.106,5320,31,195,127.807,35.400
G93,5320,136,255,222.333,26.216,5320,110,237,155.364,26.265,5320,110,251,155.577,26.681
G94,5320,136,254,205.140,27.635,5320,136,247,201.356,25.368,5320,152,255,224.074,21.329
G95,5320,77,255,194.162,57.223,5320,68,253,175.123,61.192,5320,68,255,177.172,63.044
G96,5320,103,249,149.709,31.311,5320,103,226,149.337,30.621,5320,126,255,237.816,22.031
G97,5320,0,255,138.351,53.479,5320,0,206,128.540,46.419,5320,38,255,208.324,44.973
G98,5320,19,255,161.807,59.097,5320,19,217,138.678,40.205,5320,61,255,178.940,42.785
G99,5320,24,243,126.578,32.090,5320,24,218,125.366,31.328,5320,32,255,204.787,41.455
G100,5320,35,239,165.254,33.562,5320,35,239,165.254,33.562,5320,55,255,223.736,31.274
