Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.200,8.482,5320,62,204,112.052,29.128,5320,62,204,112.052,29.128
G2,5320,41,255,209.491,51.075,5320,8,150,66.628,30.893,5320,8,150,66.628,30.893
G3,5320,52,255,222.687,46.869,5320,18,152,104.081,31.368,5320,18,152,104.081,31.368
G4,5320,33,255,175.275,50.084,5320,7,189,100.835,43.502,5320,7,189,100.835,43.502
G5,5320,35,255,158.190,51.199,5320,21,191,112.726,39.412,5320,21,199,113.664,39.439
G6,5320,29,255,185.589,47.671,5320,29,244,171.793,45.837,5320,44,255,195.878,45.930
G7,5320,84,255,191.864,36.310,5320,70,247,182.795,36.802,5320,70,250,189.514,41.470
G8,5320,53,255,192.131,52.676,5320,39,172,122.500,34.355,5320,39,172,122.500,34.355
G9,5320,55,254,169.949,41.136,5320,7,183,80.982,41.299,5320,7,183,80.982,41.299
G10,5320,124,255,227.773,36.056,5320,124,248,200.857,30.348,5320,141,253,209.240,24.436
G11,5320,133,255,206.255,34.547,5320,78,243,175.685,39.766,5320,78,255,196.196,47.328
G12,5320,117,255,186.914,36.047,5320,86,241,175.186,26.322,5320,86,255,226.474,33.198
G13,5320,0,204,101.971,50.654,5320,0,204,98.177,49.554,5320,38,254,171.871,50.087
G14,5320,0,183,77.998,39.776,5320,0,183,77.998,39.776,5320,54,255,203.072,44.320
G15,5320,14,236,158.359,37.802,5320,14,194,147.320,34.270,5320,50,255,183.735,47.377
G16,5320,163,255,226.058,22.141,5320,110,253,178.291,21.170,5320,110,254,182.511,26.882
G17,5320,63,255,158.493,47.189,5320,7,221,83.226,49.314,5320,7,221,83.226,49.314
G18,5320,24,176,106.885,33.188,5320,24,176,106.885,33.188,5320,68,254,203.322,38.134
G19,5320,75,239,175.004,33.667,5320,75,236,174.661,33.232,5320,128,255,221.291,31.486
G20,5320,132,235,162.197,18.373,5320,132,235,162.197,18.373,5320,221,255,247.925,8.790
G21,5320,31,196,132.539,31.131,5320,31,196,132.539,31.131,5320,152,255,227.937,19.505
G22,5320,0,124,7.917,18.834,5320,0,124,7.917,18.834,5320,86,254,175.291,44.510
G23,5320,0,14,0.227,1.356,5320,0,14,0.227,1.356,5320,139,255,210.038,33.777
G24,5320,0,175,49.985,52.743,5320,0,175,49.985,52.743,5320,211,255,247.902,9.896
G25,5320,40,255,153.975,50.378,5320,40,254,152.558,49.101,5320,54,255,214.711,45.516
G26,5320,64,247,166.983,37.919,5320,60,227,118.327,29.961,5320,60,227,118.346,29.987
G27,5320,28,172,131.817,32.226,5320,28,172,131.817,32.226,5320,78,255,227.676,38.989
G28,5320,91,218,183.049,18.531,5320,91,218,183.049,18.531,5320,115,255,240.402,22.532
G29,5320,136,253,178.638,19.201,5320,136,249,178.155,18.279,5320,151,255,230.609,26.868
G30,5320,104,255,199.460,43.222,5320,58,252,193.852,42.447,5320,58,255,219.263,29.613
G31,5320,0,254,113.172,90.086,5320,0,248,109.443,85.684,5320,76,255,166.521,47.562
G32,5320,0,83,19.142,17.887,5320,0,83,19.141,17.885,5320,42,255,207.472,43.419
G33,5320,0,79,39.859,23.766,5320,0,79,39.859,23.766,5320,53,255,215.397,42.667
G34,5320,39,255,169.255,75.494,5320,39,254,165.964,72.168,5320,86,255,209.088,41.066
G35,5320,66,255,168.103,49.495,5320,56,244,146.843,48.132,5320,56,244,146.867,48.159
G36,5320,19,196,120.489,53.567,5320,19,196,120.489,53.567,5320,89,255,228.004,33.108
G37,5320,93,255,196.841,43.984,5320,93,254,191.123,39.154,5320,118,255,220.389,28.802
G38,5320,53,255,180.732,58.185,5320,0,252,116.261,85.103,5320,0,252,117.520,85.878
G39,5320,49,255,186.620,53.018,5320,0,237,52.335,78.109,5320,0,237,52.336,78.110
G40,5320,85,255,214.775,44.528,5320,70,222,177.598,35.478,5320,70,223,178.555,35.362
G41,5320,0,255,138.009,83.234,5320,0,254,133.139,79.608,5320,21,254,173.773,61.091
G42,5320,0,255,164.791,57.008,5320,0,233,155.005,48.167,5320,44,233,177.314,37.035
G43,5320,73,255,223.077,28.000,5320,73,239,189.939,29.154,5320,91,241,192.922,28.293
G44,5320,41,255,148.365,52.072,5320,33,235,128.840,53.038,5320,33,236,130.908,53.941
G45,5320,0,255,157.177,61.486,5320,0,247,149.556,57.177,5320,0,255,177.820,52.125
G46,5320,150,255,231.728,26.475,5320,109,231,172.608,26.719,5320,109,242,175.480,29.470
G47,5320,87,255,225.369,31.495,5320,0,173,87.182,48.617,5320,0,173,87.182,48.617
G48,5320,41,255,181.910,58.855,5320,0,218,134.448,66.399,5320,0,218,134.448,66.399
G49,5320,91,255,193.614,34.134,5320,74,243,162.915,34.208,5320,74,243,162.915,34.208
G50,5320,142,255,215.522,32.304,5320,86,247,140.187,40.845,5320,86,247,140.192,40.857
G51,5320,106,255,225.661,31.263,5320,42,190,120.680,26.190,5320,42,190,120.681,26.192
G52,5320,104,253,184.541,38.470,5320,39,167,84.662,34.630,5320,39,167,84.662,34.630
G53,5320,28,255,212.807,54.974,5320,0,135,53.813,23.340,5320,0,174,53.874,23.404
G54,5320,135,255,235.803,26.276,5320,128,249,207.749,29.580,5320,128,249,211.625,26.793
G55,5320,176,255,237.835,22.218,5320,84,194,123.961,18.704,5320,84,194,123.961,18.704
G56,5320,136,255,250.526,10.757,5320,2,130,70.941,23.732,5320,2,130,70.941,23.732
G57,5320,115,255,219.558,30.889,5320,0,192,49.883,64.502,5320,0,192,49.883,64.502
G58,5320,126,255,216.280,23.803,5320,1,192,111.152,26.786,5320,1,192,111.152,26.786
G59,5320,48,255,219.460,39.821,5320,24,140,108.372,17.802,5320,24,140,108.372,17.802
G60,5320,38,230,169.586,49.785,5320,18,115,84.428,27.103,5320,18,115,84.428,27.103
