Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,243.687,8.127,5320,80,211,131.067,26.385,5320,80,211,131.067,26.385
G2,5320,60,255,209.800,51.229,5320,30,172,104.193,22.620,5320,30,172,104.193,22.620
G3,5320,54,255,221.742,47.772,5320,46,177,137.467,27.266,5320,46,177,137.467,27.266
G4,5320,47,255,138.407,48.102,5320,24,197,119.866,34.831,5320,24,197,129.934,35.967
G5,5320,28,229,102.494,44.144,5320,28,226,100.805,42.791,5320,56,236,122.764,44.157
G6,5320,6,226,103.080,51.745,5320,6,226,103.076,51.738,5320,40,255,200.713,60.706
G7,5320,31,223,147.729,41.515,5320,31,218,146.461,40.625,5320,73,255,197.349,38.147
G8,5320,63,255,190.269,53.292,5320,41,195,129.360,38.513,5320,41,195,129.394,38.567
G9,5320,60,254,166.404,41.142,5320,0,176,76.945,41.736,5320,0,176,76.945,41.736
G10,5320,114,255,227.297,36.060,5320,114,251,208.080,30.666,5320,138,253,217.248,22.222
G11,5320,123,255,206.277,35.589,5320,92,252,178.183,39.397,5320,92,255,194.987,43.938
G12,5320,99,255,173.035,45.645,5320,98,251,164.074,34.106,5320,100,255,217.833,29.183
G13,5320,42,185,101.477,38.537,5320,42,184,101.431,38.475,5320,103,255,224.904,19.331
G14,5320,6,170,86.724,24.933,5320,6,170,86.724,24.933,5320,49,245,178.061,42.755
G15,5320,30,228,157.941,31.965,5320,30,215,150.085,32.394,5320,40,255,177.714,46.619
G16,5320,160,255,223.597,24.531,5320,95,247,171.552,23.782,5320,95,249,173.945,27.388
G17,5320,64,236,159.839,46.184,5320,0,204,76.295,49.994,5320,0,204,76.295,49.994
G18,5320,22,177,104.895,33.442,5320,22,177,104.895,33.442,5320,65,254,202.613,39.251
G19,5320,76,242,168.465,32.575,5320,76,242,168.461,32.568,5320,132,255,220.937,28.810
G20,5320,115,231,142.290,22.955,5320,115,231,142.289,22.954,5320,201,255,241.172,13.891
G21,5320,84,135,113.137,12.075,5320,84,135,113.137,12.075,5320,188,255,243.489,15.067
G22,5320,41,104,76.633,15.360,5320,41,104,76.633,15.360,5320,212,255,246.498,8.745
G23,5320,40,171,110.640,26.103,5320,40,171,110.640,26.103,5320,75,255,202.689,49.880
G24,5320,75,199,131.583,27.206,5320,75,199,131.583,27.206,5320,182,255,248.478,12.976
G25,5320,45,255,168.960,43.358,5320,45,247,166.150,41.074,5320,53,255,214.559,45.018
G26,5320,63,244,166.913,37.227,5320,56,215,110.310,27.539,5320,56,215,110.315,27.545
G27,5320,23,155,118.545,27.649,5320,23,155,118.545,27.649,5320,73,255,228.853,38.810
G28,5320,85,206,167.563,19.671,5320,85,206,167.563,19.671,5320,118,255,241.681,20.825
G29,5320,101,202,157.518,25.401,5320,101,202,157.518,25.401,5320,125,255,215.854,30.430
G30,5320,57,189,108.342,22.508,5320,57,189,108.342,22.508,5320,132,255,199.049,29.721
G31,5320,20,91,57.793,14.387,5320,20,91,57.793,14.387,5320,78,255,198.218,47.983
G32,5320,35,142,83.713,21.809,5320,35,142,83.713,21.809,5320,92,255,220.129,32.089
G33,5320,29,143,110.124,23.290,5320,29,143,110.124,23.290,5320,43,253,206.071,50.286
G34,5320,56,255,181.779,65.512,5320,56,253,178.311,62.126,5320,83,255,207.285,44.219
G35,5320,65,255,171.198,50.796,5320,57,242,147.533,49.324,5320,57,242,147.534,49.324
G36,5320,41,191,127.256,28.869,5320,41,191,127.256,28.869,5320,85,255,227.236,35.837
G37,5320,82,216,160.760,30.703,5320,82,216,160.760,30.703,5320,115,255,226.837,30.851
G38,5320,135,232,202.115,17.169,5320,135,232,202.115,17.169,5320,155,255,235.386,19.664
G39,5320,85,238,204.150,29.938,5320,85,238,204.150,29.938,5320,148,255,238.440,22.358
G40,5320,18,244,124.100,58.019,5320,18,244,124.071,57.985,5320,71,255,174.382,42.523
