Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,241.915,10.605,5320,54,201,118.282,28.182,5320,54,201,118.282,28.182
G2,5320,165,255,236.458,23.831,5320,60,154,96.683,17.359,5320,60,154,96.683,17.359
G3,5320,51,255,231.999,37.750,5320,40,175,136.583,21.297,5320,40,175,136.583,21.297
G4,5320,46,255,179.215,48.218,5320,44,188,119.923,29.878,5320,44,188,119.923,29.877
G5,5320,27,255,146.313,64.344,5320,27,237,136.871,55.716,5320,40,238,159.127,43.113
G6,5320,8,255,86.868,62.486,5320,8,236,85.788,59.937,5320,45,255,190.955,57.278
G7,5320,28,221,117.495,40.633,5320,28,191,116.029,38.307,5320,55,255,195.617,38.295
G8,5320,43,255,191.037,52.530,5320,37,196,126.225,35.314,5320,37,197,126.436,35.444
G9,5320,54,252,168.294,39.901,5320,5,190,83.563,44.113,5320,5,190,83.590,44.136
G10,5320,116,255,228.471,37.645,5320,116,242,198.348,29.289,5320,126,244,206.025,23.330
G11,5320,141,255,218.915,27.388,5320,81,237,179.633,39.286,5320,81,255,184.681,42.793
G12,5320,168,255,241.896,16.687,5320,120,253,196.495,29.138,5320,120,255,197.755,30.284
G13,5320,26,219,91.640,44.864,5320,26,199,86.297,36.446,5320,64,255,153.288,56.098
G14,5320,8,230,120.953,56.342,5320,8,230,120.938,56.314,5320,44,255,220.630,45.089
G15,5320,38,255,193.550,36.867,5320,38,243,170.529,42.073,5320,52,247,173.766,43.576
G16,5320,171,255,229.669,20.691,5320,89,241,162.818,26.080,5320,89,244,163.165,26.665
G17,5320,65,247,157.919,46.614,5320,4,185,74.872,43.783,5320,4,185,74.872,43.783
G18,5320,22,192,113.939,35.027,5320,22,192,113.939,35.027,5320,63,249,202.954,38.264
G19,5320,71,250,182.587,38.577,5320,71,238,181.767,37.669,5320,122,255,220.892,31.211
G20,5320,169,243,196.690,16.951,5320,169,238,196.499,16.514,5320,201,255,241.570,14.913
G21,5320,171,254,212.673,20.910,5320,171,253,211.913,19.962,5320,205,255,242.426,12.117
G22,5320,26,215,122.425,54.131,5320,26,211,122.272,53.943,5320,75,250,174.591,44.340
G23,5320,53,212,125.435,40.618,5320,53,212,125.398,40.570,5320,134,255,222.199,29.329
G24,5320,174,255,218.447,14.424,5320,174,247,217.815,13.537,5320,197,255,248.274,10.348
G25,5320,50,255,206.858,39.704,5320,46,246,196.377,40.978,5320,46,255,205.629,45.679
