Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,202,255,242.428,10.564,5320,76,230,151.218,31.958,5320,76,230,151.219,31.958
G2,5320,78,255,216.554,46.654,5320,49,206,133.727,30.648,5320,49,206,133.727,30.648
G3,5320,49,255,223.470,46.157,5320,38,185,152.099,29.516,5320,38,185,152.099,29.516
G4,5320,47,238,141.179,33.376,5320,31,175,121.418,33.226,5320,31,198,129.515,39.498
G5,5320,40,255,132.370,53.245,5320,40,225,122.704,46.115,5320,42,248,136.853,49.736
G6,5320,22,246,107.290,56.166,5320,22,225,106.961,55.492,5320,49,255,170.828,70.205
G7,5320,45,212,133.542,39.504,5320,45,212,132.408,38.549,5320,59,255,186.347,39.871
G8,5320,61,255,189.442,55.389,5320,44,187,130.437,37.877,5320,44,190,131.142,38.513
G9,5320,68,252,172.375,40.105,5320,17,190,92.414,43.482,5320,17,190,92.415,43.482
G10,5320,99,255,210.548,44.561,5320,99,250,205.037,41.003,5320,138,255,230.102,22.829
G11,5320,107,255,199.180,35.556,5320,107,250,184.487,33.562,5320,113,255,213.400,34.095
G12,5320,85,255,190.775,52.020,5320,85,250,171.868,39.418,5320,107,255,207.753,29.391
G13,5320,0,207,69.277,60.987,5320,0,206,68.836,60.534,5320,66,255,180.746,44.006
G14,5320,0,175,74.475,51.205,5320,0,175,74.475,51.205,5320,47,255,221.851,38.541
G15,5320,41,237,177.532,35.472,5320,41,223,165.385,36.130,5320,60,255,181.624,43.826
G16,5320,163,255,226.055,21.154,5320,76,239,169.891,31.016,5320,76,244,170.291,31.721
G17,5320,65,247,162.939,44.930,5320,10,202,78.042,43.376,5320,10,202,78.042,43.376
G18,5320,17,151,86.484,29.654,5320,17,151,86.484,29.654,5320,65,254,203.897,39.257
G19,5320,57,207,141.734,29.005,5320,57,207,141.734,29.005,5320,114,255,221.666,30.323
G20,5320,53,198,102.962,27.374,5320,53,198,102.962,27.374,5320,200,255,244.786,13.265
G21,5320,50,143,100.076,16.416,5320,50,143,100.076,16.416,5320,107,255,230.627,30.075
G22,5320,0,144,37.249,34.345,5320,0,144,37.249,34.345,5320,80,240,137.737,34.136
G23,5320,0,213,91.154,71.665,5320,0,213,91.154,71.665,5320,58,255,176.058,42.663
G24,5320,45,229,141.530,43.316,5320,45,229,141.446,43.198,5320,64,255,168.718,48.909
G25,5320,49,255,193.953,40.556,5320,48,245,188.588,38.896,5320,50,253,211.529,42.223
G26,5320,63,247,169.246,38.847,5320,52,208,110.123,27.677,5320,52,208,110.123,27.676
G27,5320,21,145,110.936,27.320,5320,21,145,110.936,27.320,5320,82,255,227.644,35.552
G28,5320,72,168,141.270,15.970,5320,72,168,141.270,15.970,5320,118,255,238.324,23.741
G29,5320,27,157,87.807,26.596,5320,27,157,87.807,26.596,5320,140,255,230.264,25.856
G30,5320,1,193,97.967,57.213,5320,1,193,97.967,57.213,5320,102,255,223.155,34.119
G31,5320,86,216,177.511,26.875,5320,86,216,177.511,26.875,5320,118,255,214.104,35.217
G32,5320,135,255,221.358,15.755,5320,135,253,221.312,15.673,5320,192,255,246.976,9.673
G33,5320,68,234,184.132,38.411,5320,68,234,184.132,38.411,5320,82,255,209.570,42.361
G34,5320,56,255,216.151,47.283,5320,56,243,203.549,40.118,5320,70,255,213.545,32.855
G35,5320,64,255,167.813,51.307,5320,54,226,141.491,47.374,5320,54,226,141.491,47.374
G36,5320,91,255,195.748,40.002,5320,88,240,179.221,27.132,5320,93,255,212.552,34.844
G37,5320,75,233,170.196,37.968,5320,75,233,170.154,37.906,5320,118,255,226.209,31.176
G38,5320,0,231,104.242,80.270,5320,0,231,103.955,79.944,5320,46,255,177.645,55.847
G39,5320,0,181,46.023,57.504,5320,0,181,46.023,57.504,5320,87,255,199.946,37.233
G40,5320,70,241,155.113,42.400,5320,70,217,151.995,38.529,5320,74,255,182.990,46.652
G41,5320,55,255,185.278,60.140,5320,55,253,173.756,51.797,5320,58,254,176.946,49.786
G42,5320,74,252,186.030,40.700,5320,74,224,169.158,29.977,5320,83,224,176.984,26.501
G43,5320,128,255,225.130,25.812,5320,68,219,170.269,27.666,5320,68,219,170.648,27.757
G44,5320,42,255,147.027,55.209,5320,27,220,122.948,55.523,5320,27,222,124.208,56.139
G45,5320,13,255,181.873,59.812,5320,0,251,170.910,55.474,5320,0,253,177.018,53.018
G46,5320,150,255,229.910,25.756,5320,150,250,214.519,22.679,5320,162,255,221.981,21.455
G47,5320,16,255,217.588,56.999,5320,16,241,181.760,44.763,5320,122,241,192.345,28.438
G48,5320,0,255,166.036,67.506,5320,0,174,122.287,38.078,5320,79,215,153.056,28.737
G49,5320,96,255,210.358,37.794,5320,80,223,179.358,28.468,5320,80,223,183.185,23.781
G50,5320,98,255,194.582,35.200,5320,33,209,109.222,46.998,5320,33,209,109.222,46.998
G51,5320,105,255,226.977,28.602,5320,29,167,90.148,25.198,5320,29,167,90.148,25.198
G52,5320,87,253,184.506,38.834,5320,26,143,63.862,32.608,5320,26,143,63.862,32.608
G53,5320,40,255,217.052,51.067,5320,0,91,48.760,24.454,5320,0,91,48.808,24.469
G54,5320,137,255,233.566,25.102,5320,137,248,209.518,29.584,5320,140,248,213.506,26.655
G55,5320,177,255,236.008,22.174,5320,115,209,156.828,22.782,5320,115,209,156.828,22.782
G56,5320,177,255,244.687,12.213,5320,0,198,127.765,44.356,5320,0,198,127.765,44.356
G57,5320,133,255,225.585,27.781,5320,0,129,70.388,38.632,5320,0,129,70.388,38.632
G58,5320,167,255,229.039,19.816,5320,87,174,138.433,18.541,5320,87,174,138.433,18.541
G59,5320,53,255,194.023,55.600,5320,17,171,93.176,46.467,5320,17,171,93.176,46.467
G60,5320,40,217,157.607,41.366,5320,11,110,67.980,25.906,5320,11,110,67.980,25.906
G61,5320,84,255,160.528,38.567,5320,13,165,70.944,37.424,5320,13,165,70.944,37.424
G62,5320,62,255,183.210,58.709,5320,0,150,28.444,29.709,5320,0,255,29.440,34.277
G63,5320,23,255,183.238,49.530,5320,22,194,98.497,34.238,5320,22,239,98.952,35.171
G64,5320,67,255,189.006,50.644,5320,0,125,15.984,28.855,5320,0,125,15.984,28.855
G65,5320,71,255,226.261,37.819,5320,0,222,40.384,68.186,5320,0,225,40.401,68.230
G66,5320,143,246,214.273,28.769,5320,82,245,176.757,50.286,5320,82,255,178.180,52.050
G67,5320,68,255,203.487,35.912,5320,50,245,180.878,41.886,5320,50,255,187.541,46.224
G68,5320,140,255,236.015,28.753,5320,87,241,173.796,37.368,5320,87,244,173.942,37.589
G69,5320,169,255,246.205,14.004,5320,100,176,132.548,15.947,5320,100,176,132.548,15.947
G70,5320,15,255,185.278,61.010,5320,15,184,117.913,34.072,5320,40,244,127.300,32.165
G71,5320,124,255,229.558,27.776,5320,113,220,165.798,16.729,5320,113,236,169.353,21.185
G72,5320,81,255,198.719,52.445,5320,0,246,115.591,82.465,5320,0,253,116.334,83.454
G73,5320,47,255,188.311,43.815,5320,0,243,144.197,82.050,5320,0,255,161.225,94.162
G74,5320,85,248,157.372,51.089,5320,85,244,156.929,50.392,5320,137,255,233.226,26.091
G75,5320,91,235,128.892,21.084,5320,91,235,128.892,21.084,5320,126,255,235.123,17.537
G76,5320,58,255,187.134,62.088,5320,58,247,174.991,52.062,5320,128,255,206.488,28.870
G77,5320,61,255,210.872,41.481,5320,58,234,165.256,35.497,5320,58,238,165.791,35.809
G78,5320,11,223,144.801,46.073,5320,11,223,144.800,46.072,5320,16,255,197.087,52.411
G79,5320,129,249,186.135,30.225,5320,129,248,185.664,29.707,5320,189,255,239.486,15.978
G80,5320,109,214,157.102,17.854,5320,109,214,157.102,17.854,5320,172,255,236.545,18.009
G81,5320,84,155,118.606,10.195,5320,84,155,118.606,10.195,5320,122,255,226.405,27.241
G82,5320,0,132,75.216,34.996,5320,0,132,75.216,34.996,5320,165,255,237.358,19.628
G83,5320,0,225,36.486,48.452,5320,0,225,36.486,48.452,5320,80,255,220.278,37.153
G84,5320,38,240,162.311,40.370,5320,31,220,146.640,32.149,5320,31,254,163.701,36.190
G85,5320,92,172,138.843,17.455,5320,92,172,138.843,17.455,5320,130,255,203.224,27.685
G86,5320,56,151,117.154,21.071,5320,56,151,117.154,21.071,5320,100,243,190.157,27.401
G87,5320,87,182,143.619,13.945,5320,87,182,143.619,13.945,5320,145,255,231.305,21.056
G88,5320,78,178,149.740,15.435,5320,78,178,149.740,15.435,5320,166,255,238.032,19.744
G89,5320,29,168,97.321,35.054,5320,29,168,97.321,35.054,5320,146,255,232.955,23.689
G90,5320,0,147,74.732,43.294,5320,0,147,74.732,43.294,5320,76,255,173.934,48.370
G91,5320,28,255,124.526,54.383,5320,28,255,123.248,52.684,5320,30,255,153.158,53.226
G92,5320,17,238,155.277,54.963,5320,13,168,103.045,32.581,5320,13,170,103.197,32.773
G93,5320,101,255,218.421,30.145,5320,79,223,140.508,24.887,5320,79,226,140.553,25.006
G94,5320,124,249,179.187,30.492,5320,124,230,172.764,22.301,5320,156,255,222.624,19.946
G95,5320,79,240,170.063,42.343,5320,79,237,166.539,44.452,5320,82,255,189.859,60.545
G96,5320,81,248,123.706,32.248,5320,81,230,123.552,31.837,5320,126,255,235.217,21.059
G97,5320,5,255,153.191,58.387,5320,5,204,135.978,50.831,5320,13,255,200.438,53.822
G98,5320,42,255,164.937,58.900,5320,42,209,137.338,37.011,5320,66,255,177.249,44.070
