Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,242.984,9.840,5320,54,192,103.342,26.606,5320,54,192,103.342,26.606
G2,5320,69,255,211.186,50.892,5320,12,132,64.923,25.892,5320,12,132,64.923,25.892
G3,5320,50,255,224.926,44.426,5320,19,148,105.950,27.634,5320,19,148,105.943,27.629
G4,5320,47,249,157.185,42.678,5320,8,132,66.346,29.500,5320,8,132,66.346,29.500
G5,5320,47,255,138.126,62.818,5320,21,157,91.140,33.547,5320,21,157,94.575,33.726
G6,5320,47,255,179.697,44.056,5320,46,248,162.893,46.759,5320,48,255,182.171,54.043
G7,5320,44,255,191.624,39.101,5320,35,245,168.796,48.253,5320,35,250,171.324,50.850
G8,5320,47,255,189.757,54.865,5320,32,134,81.261,20.032,5320,32,134,81.261,20.032
G9,5320,57,255,172.049,42.399,5320,0,173,67.950,43.645,5320,0,173,67.950,43.645
G10,5320,127,255,226.920,37.391,5320,127,237,188.910,28.645,5320,127,237,197.340,25.186
G11,5320,116,255,222.442,30.174,5320,54,250,162.621,48.575,5320,54,254,163.087,49.197
G12,5320,75,255,234.658,24.864,5320,29,222,127.774,34.797,5320,29,222,127.774,34.797
G13,5320,47,255,174.176,60.586,5320,18,159,98.623,34.531,5320,18,159,98.623,34.531
G14,5320,34,241,165.103,39.763,5320,33,178,125.363,23.801,5320,33,213,125.800,24.153
G15,5320,65,255,198.353,35.168,5320,45,160,106.112,27.154,5320,45,160,106.112,27.154
G16,5320,160,255,228.637,21.470,5320,56,170,101.856,23.734,5320,56,170,101.856,23.734
G17,5320,59,255,166.000,42.756,5320,0,148,57.510,38.058,5320,0,148,57.510,38.058
G18,5320,23,178,106.989,33.587,5320,23,178,106.989,33.587,5320,62,250,204.317,37.927
G19,5320,75,250,189.950,44.198,5320,75,246,188.348,43.010,5320,122,255,219.293,31.486
G20,5320,205,254,224.605,10.115,5320,205,247,223.823,8.931,5320,215,255,247.434,8.586
G21,5320,203,255,241.504,14.463,5320,135,241,190.497,29.729,5320,135,243,192.696,32.132
G22,5320,85,255,221.972,41.079,5320,26,181,126.230,45.632,5320,26,181,126.230,45.632
G23,5320,98,243,162.371,29.173,5320,12,126,65.988,25.050,5320,12,126,65.988,25.050
G24,5320,140,255,208.057,33.678,5320,71,193,134.577,33.040,5320,71,193,134.577,33.040
G25,5320,51,255,214.441,42.984,5320,34,209,156.083,36.170,5320,34,209,156.083,36.170
G26,5320,64,247,167.943,39.166,5320,41,152,83.670,20.542,5320,41,152,83.670,20.542
G27,5320,24,192,145.293,41.315,5320,24,192,145.293,41.315,5320,70,255,226.665,45.017
G28,5320,104,254,210.250,24.812,5320,104,253,209.011,24.731,5320,120,255,241.799,23.850
G29,5320,152,255,228.102,24.660,5320,129,254,215.868,30.392,5320,129,255,220.319,33.723
G30,5320,191,255,245.301,14.678,5320,81,235,185.533,30.263,5320,81,242,186.611,31.519
G31,5320,133,255,216.460,25.709,5320,0,171,49.418,46.661,5320,0,171,49.418,46.661
G32,5320,89,255,192.776,41.906,5320,0,76,9.895,14.550,5320,0,76,9.895,14.550
G33,5320,70,245,196.995,37.980,5320,7,165,92.304,32.652,5320,7,165,92.304,32.652
G34,5320,69,255,217.733,34.793,5320,46,165,121.611,19.520,5320,46,165,121.611,19.520
G35,5320,66,255,167.366,51.890,5320,38,184,104.816,32.637,5320,38,184,104.816,32.637
G36,5320,13,214,130.347,61.511,5320,13,214,130.347,61.511,5320,91,255,231.203,29.063
G37,5320,105,255,205.144,38.981,5320,105,239,189.075,27.808,5320,121,255,209.465,27.607
G38,5320,133,255,220.281,34.221,5320,73,211,140.462,29.636,5320,73,211,140.462,29.636
G39,5320,92,255,213.480,40.651,5320,0,212,65.364,49.715,5320,0,212,65.364,49.715
G40,5320,114,255,229.201,25.445,5320,0,77,1.833,7.433,5320,0,77,1.833,7.433
