Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,243.616,8.571,5320,83,234,154.088,35.140,5320,83,238,154.153,35.278
G2,5320,66,255,217.281,44.522,5320,25,215,116.663,38.058,5320,25,215,116.663,38.058
G3,5320,52,255,223.528,46.721,5320,28,172,136.388,31.941,5320,28,172,136.388,31.941
G4,5320,50,255,150.533,38.561,5320,20,183,94.494,30.585,5320,20,183,94.494,30.585
G5,5320,50,242,138.681,46.994,5320,34,233,88.919,41.959,5320,34,233,89.387,42.780
G6,5320,0,255,117.217,71.134,5320,0,245,108.660,62.392,5320,52,255,156.834,65.372
G7,5320,0,204,102.856,57.176,5320,0,204,101.725,56.104,5320,58,255,191.549,38.029
G8,5320,50,255,190.547,55.287,5320,44,193,119.619,35.026,5320,44,193,121.041,36.440
G9,5320,65,248,166.132,40.216,5320,11,176,85.391,42.615,5320,11,176,85.420,42.625
G10,5320,100,255,183.509,43.043,5320,100,242,181.237,40.184,5320,137,255,232.676,23.607
G11,5320,76,255,174.259,46.435,5320,76,239,163.500,40.505,5320,108,255,216.199,32.197
G12,5320,90,255,180.730,49.582,5320,82,236,166.162,38.398,5320,82,255,211.456,35.287
G13,5320,0,243,119.457,76.209,5320,0,240,115.192,73.271,5320,57,254,175.208,44.484
G14,5320,0,255,134.538,92.549,5320,0,244,124.001,83.565,5320,52,255,194.608,50.312
G15,5320,0,255,201.045,54.116,5320,0,214,112.730,39.265,5320,47,217,115.959,38.659
G16,5320,187,255,228.963,18.443,5320,79,154,119.150,11.291,5320,79,154,119.150,11.291
G17,5320,57,244,163.557,48.001,5320,9,140,69.424,34.987,5320,9,140,69.424,34.987
G18,5320,16,169,84.500,31.485,5320,16,169,84.500,31.485,5320,71,253,208.006,33.221
G19,5320,20,152,92.504,25.826,5320,20,152,92.504,25.826,5320,59,252,200.627,33.081
G20,5320,24,140,91.793,21.289,5320,24,140,91.793,21.289,5320,84,246,185.106,25.095
G21,5320,39,140,79.778,18.078,5320,39,140,79.778,18.078,5320,88,255,195.278,35.232
G22,5320,0,255,87.327,47.681,5320,0,231,86.500,45.526,5320,53,235,174.318,43.209
G23,5320,0,255,179.422,68.525,5320,0,227,117.804,49.572,5320,30,248,135.664,42.674
G24,5320,86,254,183.156,43.814,5320,0,102,32.704,23.691,5320,0,102,32.704,23.691
