Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,244.063,9.443,5320,64,190,121.521,23.497,5320,64,190,121.521,23.497
G2,5320,78,255,219.752,47.685,5320,44,182,117.134,22.983,5320,44,182,117.134,22.983
G3,5320,53,255,224.357,44.718,5320,36,180,144.770,27.726,5320,36,180,144.770,27.726
G4,5320,51,202,146.330,34.574,5320,36,189,114.872,37.368,5320,36,189,114.872,37.368
G5,5320,59,253,138.644,44.916,5320,47,191,100.112,32.568,5320,47,219,103.143,34.360
G6,5320,0,250,91.202,53.325,5320,0,217,88.359,48.735,5320,50,255,155.264,55.574
G7,5320,0,221,111.931,57.669,5320,0,197,111.055,56.657,5320,34,255,195.710,37.481
G8,5320,51,255,187.664,56.636,5320,43,195,127.016,36.671,5320,43,195,127.130,36.639
G9,5320,61,253,179.994,47.093,5320,13,214,100.806,49.562,5320,13,214,100.836,49.588
G10,5320,131,255,233.733,28.672,5320,129,209,184.467,15.658,5320,131,236,186.944,16.698
G11,5320,193,255,247.614,8.127,5320,132,217,191.251,20.847,5320,132,217,191.251,20.847
G12,5320,57,255,215.329,51.206,5320,41,213,166.418,44.430,5320,41,213,166.418,44.430
G13,5320,58,250,168.489,40.416,5320,45,221,153.153,33.780,5320,45,245,171.143,39.578
G14,5320,78,206,161.220,27.322,5320,78,206,161.220,27.322,5320,112,255,232.602,25.444
G15,5320,8,235,174.279,37.296,5320,8,232,163.134,41.659,5320,34,255,176.735,50.425
G16,5320,147,255,223.669,25.463,5320,109,246,168.150,25.278,5320,109,253,170.925,29.834
G17,5320,58,246,167.918,46.325,5320,10,217,89.456,45.362,5320,10,217,89.456,45.362
G18,5320,25,208,134.891,41.133,5320,25,208,134.891,41.133,5320,56,253,202.495,39.723
G19,5320,95,255,207.497,36.987,5320,95,254,199.064,35.014,5320,118,255,212.554,32.888
G20,5320,196,255,242.985,14.797,5320,175,238,211.345,12.151,5320,175,238,211.346,12.152
G21,5320,222,255,252.851,5.182,5320,198,248,222.434,9.628,5320,198,248,222.448,9.614
G22,5320,56,255,166.492,53.304,5320,56,248,163.514,50.414,5320,77,249,186.159,37.809
G23,5320,78,180,125.117,16.582,5320,78,180,125.117,16.582,5320,114,255,220.144,28.841
G24,5320,66,213,116.530,36.438,5320,66,213,116.526,36.434,5320,180,255,240.312,16.015
G25,5320,52,255,169.660,42.963,5320,52,245,167.241,40.691,5320,58,255,215.137,43.165
G26,5320,64,249,167.927,40.167,5320,56,223,118.730,30.567,5320,56,223,118.739,30.572
G27,5320,37,204,161.074,32.717,5320,37,204,161.074,32.717,5320,76,255,232.964,32.527
G28,5320,105,255,216.368,23.704,5320,105,254,214.396,22.250,5320,115,255,239.397,22.718
G29,5320,143,255,227.810,27.921,5320,127,243,199.112,26.552,5320,127,243,199.114,26.554
G30,5320,136,255,237.352,28.150,5320,101,237,189.407,28.443,5320,101,237,189.407,28.443
G31,5320,43,255,185.332,35.978,5320,43,243,178.097,32.969,5320,59,245,190.067,33.609
G32,5320,31,197,93.856,46.455,5320,31,197,93.856,46.455,5320,57,235,149.432,53.924
G33,5320,30,133,94.829,19.874,5320,30,133,94.829,19.874,5320,44,250,194.520,50.927
G34,5320,52,255,187.975,65.384,5320,52,251,180.721,58.948,5320,69,253,204.677,40.535
G35,5320,72,255,168.170,54.517,5320,53,233,143.620,50.328,5320,53,233,143.620,50.328
G36,5320,117,255,213.816,34.347,5320,27,253,130.048,76.545,5320,27,255,142.184,89.538
G37,5320,105,255,211.180,36.009,5320,105,252,209.935,35.152,5320,116,255,224.309,31.760
G38,5320,137,255,218.736,33.432,5320,121,251,205.588,35.136,5320,121,251,205.603,35.154
G39,5320,66,255,178.598,34.333,5320,63,241,164.952,39.293,5320,63,241,165.043,39.365
G40,5320,48,250,146.520,45.242,5320,47,213,133.967,35.626,5320,47,213,135.692,34.099
G41,5320,45,255,156.256,49.773,5320,45,249,154.342,48.418,5320,65,250,162.086,43.848
G42,5320,32,255,188.007,36.961,5320,32,246,179.658,33.033,5320,48,246,184.785,30.161
G43,5320,103,255,221.681,27.581,5320,78,229,180.016,28.180,5320,78,229,180.755,27.898
G44,5320,48,255,146.743,53.191,5320,30,227,124.425,52.915,5320,30,229,125.362,53.116
G45,5320,19,255,192.024,54.092,5320,0,240,147.246,57.148,5320,0,240,147.420,57.199
G46,5320,144,255,236.760,20.473,5320,141,254,210.055,23.643,5320,141,255,210.437,23.867
G47,5320,217,255,249.679,7.011,5320,94,232,190.457,31.114,5320,94,232,190.457,31.114
G48,5320,106,255,233.909,26.543,5320,78,235,139.403,39.327,5320,78,235,139.403,39.327
G49,5320,103,255,225.011,36.046,5320,75,220,182.236,34.540,5320,75,220,182.236,34.540
G50,5320,41,255,169.026,44.872,5320,0,247,103.762,78.804,5320,0,247,103.762,78.804
G51,5320,45,255,214.730,39.744,5320,0,237,148.567,40.059,5320,0,237,148.567,40.059
G52,5320,88,255,183.001,44.030,5320,35,177,90.096,40.279,5320,35,177,90.096,40.279
G53,5320,43,255,216.379,52.561,5320,3,94,55.316,22.623,5320,3,94,55.339,22.622
G54,5320,141,255,232.097,23.772,5320,136,241,205.355,27.177,5320,136,242,209.598,24.845
G55,5320,190,255,237.465,19.925,5320,111,191,150.236,18.880,5320,111,191,150.236,18.880
G56,5320,220,255,252.649,5.107,5320,18,188,120.265,25.453,5320,18,188,120.265,25.453
G57,5320,212,255,253.331,3.839,5320,12,154,104.814,18.716,5320,12,154,104.814,18.716
G58,5320,50,255,242.894,20.414,5320,40,207,173.126,17.604,5320,40,207,173.126,17.604
G59,5320,35,255,206.468,45.870,5320,19,207,156.881,43.683,5320,19,207,156.881,43.683
G60,5320,33,247,181.641,49.150,5320,24,181,119.473,35.656,5320,24,181,119.473,35.656
G61,5320,83,255,167.366,34.602,5320,22,162,83.398,32.210,5320,22,162,83.398,32.210
G62,5320,44,255,183.129,56.172,5320,0,123,39.733,30.744,5320,0,123,39.736,30.745
G63,5320,44,255,183.638,48.977,5320,31,205,105.726,38.591,5320,31,249,106.839,40.815
G64,5320,75,255,188.210,51.850,5320,0,160,30.383,35.688,5320,0,160,30.383,35.688
G65,5320,171,255,241.566,14.680,5320,0,155,29.906,47.557,5320,0,155,29.906,47.557
G66,5320,224,255,250.588,7.654,5320,39,189,139.494,31.385,5320,39,189,139.494,31.385
G67,5320,70,255,217.917,27.739,5320,60,236,181.058,26.860,5320,60,238,181.748,27.814
G68,5320,158,255,222.811,19.661,5320,102,223,169.259,28.807,5320,102,231,169.517,29.269
G69,5320,171,255,243.173,17.970,5320,87,172,129.780,16.778,5320,87,172,129.780,16.778
G70,5320,0,255,178.247,77.060,5320,0,195,116.468,48.634,5320,37,255,137.624,42.155
G71,5320,121,255,227.680,28.963,5320,121,237,171.290,15.597,5320,140,244,174.997,19.210
G72,5320,87,255,217.480,47.293,5320,0,250,164.696,74.024,5320,0,255,167.037,76.309
G73,5320,110,245,182.160,31.051,5320,0,245,98.573,81.479,5320,0,255,107.532,93.136
G74,5320,51,255,175.742,51.998,5320,35,187,118.223,44.534,5320,35,252,130.428,61.443
G75,5320,55,254,177.565,33.398,5320,37,222,167.749,36.136,5320,37,250,198.150,53.213
G76,5320,80,255,192.214,43.087,5320,80,253,180.233,32.881,5320,141,254,195.833,27.286
G77,5320,62,255,212.247,36.173,5320,55,237,160.314,32.179,5320,55,238,160.464,32.354
G78,5320,2,223,139.666,46.539,5320,2,221,139.662,46.533,5320,5,255,201.305,57.623
G79,5320,119,245,179.092,30.154,5320,119,242,178.538,29.449,5320,175,255,235.401,18.366
G80,5320,91,207,150.093,18.571,5320,91,207,150.093,18.571,5320,162,255,232.758,18.785
G81,5320,56,181,130.887,33.713,5320,56,181,130.887,33.713,5320,144,255,229.208,25.312
G82,5320,34,169,99.621,44.591,5320,34,169,99.621,44.591,5320,164,255,236.331,20.311
G83,5320,6,235,53.898,47.836,5320,6,234,53.883,47.785,5320,77,255,226.893,35.039
G84,5320,36,248,173.205,37.254,5320,32,218,150.237,31.431,5320,32,255,170.700,43.873
G85,5320,100,168,138.543,15.687,5320,100,168,138.543,15.687,5320,137,255,201.261,25.315
G86,5320,61,150,119.189,23.023,5320,61,150,119.189,23.023,5320,105,242,189.234,33.011
G87,5320,104,180,151.070,14.544,5320,104,180,151.070,14.544,5320,158,255,229.903,21.539
G88,5320,69,179,127.571,26.220,5320,69,179,127.571,26.220,5320,177,255,243.629,16.144
G89,5320,37,165,93.316,28.157,5320,37,165,93.316,28.157,5320,157,255,240.862,19.196
G90,5320,4,154,79.905,45.418,5320,4,154,79.905,45.418,5320,30,255,170.707,57.059
G91,5320,25,255,127.548,57.583,5320,25,255,124.171,53.039,5320,40,255,149.212,53.566
G92,5320,33,248,160.426,57.540,5320,23,147,85.015,26.651,5320,23,147,85.015,26.651
G93,5320,114,255,225.051,27.530,5320,51,237,103.252,34.587,5320,51,240,103.253,34.593
