Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,209,255,243.345,10.190,5320,71,218,138.141,32.447,5320,71,218,138.141,32.447
G2,5320,139,255,231.310,30.820,5320,79,235,135.846,34.147,5320,79,236,135.861,34.188
G3,5320,52,255,235.623,33.320,5320,37,177,143.532,20.550,5320,37,177,143.532,20.550
G4,5320,25,254,181.004,52.012,5320,15,233,138.711,46.730,5320,15,233,139.026,46.664
G5,5320,30,243,114.002,44.891,5320,30,228,108.671,40.437,5320,51,228,120.722,35.813
G6,5320,20,244,77.395,45.297,5320,20,233,77.184,44.724,5320,59,243,148.455,42.993
G7,5320,19,198,101.696,40.614,5320,19,187,101.137,39.807,5320,50,255,184.474,35.797
G8,5320,57,255,193.567,50.057,5320,44,211,146.530,41.200,5320,44,211,148.023,42.091
G9,5320,56,252,164.532,40.800,5320,5,188,83.835,43.678,5320,5,188,83.923,43.752
G10,5320,125,255,223.876,36.421,5320,125,253,213.855,32.462,5320,138,255,226.911,23.377
G11,5320,73,255,189.779,53.011,5320,73,251,182.397,48.695,5320,140,255,229.353,23.803
G12,5320,76,255,182.810,47.232,5320,76,253,179.885,44.209,5320,170,255,245.938,14.845
G13,5320,0,193,87.267,58.056,5320,0,190,87.010,57.656,5320,71,240,194.479,31.182
G14,5320,10,120,50.694,25.794,5320,10,120,50.694,25.794,5320,56,255,191.656,60.922
G15,5320,22,227,162.374,28.584,5320,22,208,160.454,28.060,5320,55,255,210.761,41.293
G16,5320,172,255,220.387,24.557,5320,105,247,190.519,21.875,5320,105,255,199.618,26.186
G17,5320,66,231,156.939,46.648,5320,4,207,82.183,52.664,5320,4,208,82.183,52.665
G18,5320,26,200,114.834,36.106,5320,26,200,114.834,36.106,5320,68,254,205.051,38.926
G19,5320,75,232,159.869,28.346,5320,75,232,159.869,28.346,5320,138,255,222.217,31.247
G20,5320,66,205,104.705,25.489,5320,66,205,104.705,25.489,5320,202,255,238.936,15.974
G21,5320,26,132,84.232,23.826,5320,26,132,84.232,23.826,5320,162,255,223.697,23.559
G22,5320,0,72,12.663,16.972,5320,0,72,12.663,16.972,5320,53,255,183.390,51.092
G23,5320,0,122,54.540,34.844,5320,0,122,54.540,34.844,5320,124,255,202.873,31.453
G24,5320,66,180,129.698,22.646,5320,66,180,129.698,22.646,5320,141,255,238.311,24.244
G25,5320,43,254,158.638,42.393,5320,43,254,156.892,40.832,5320,51,255,213.710,44.906
G26,5320,64,240,166.610,36.587,5320,60,218,115.066,27.440,5320,60,219,115.081,27.466
G27,5320,26,166,125.165,32.079,5320,26,166,125.165,32.079,5320,76,255,225.717,39.898
G28,5320,90,192,167.323,13.563,5320,90,192,167.323,13.563,5320,121,255,240.653,21.850
G29,5320,14,174,120.528,26.873,5320,14,174,120.528,26.873,5320,128,255,227.065,29.269
G30,5320,0,108,31.412,30.233,5320,0,108,31.412,30.233,5320,139,255,213.446,27.521
G31,5320,0,82,22.651,24.058,5320,0,82,22.651,24.058,5320,172,255,241.972,18.269
G32,5320,0,123,83.024,33.024,5320,0,123,83.024,33.024,5320,59,255,203.559,47.895
G33,5320,28,138,107.463,23.300,5320,28,138,107.463,23.300,5320,44,255,205.339,52.573
G34,5320,47,255,177.420,63.993,5320,47,252,176.128,62.595,5320,77,255,210.200,44.706
G35,5320,68,255,167.998,51.630,5320,57,249,147.440,52.756,5320,57,250,147.506,52.839
G36,5320,80,223,171.467,29.377,5320,80,223,171.467,29.377,5320,94,255,225.461,35.035
G37,5320,87,255,188.255,41.264,5320,87,244,182.655,36.022,5320,117,255,218.692,28.261
G38,5320,8,243,130.753,50.781,5320,8,241,129.028,49.262,5320,67,254,167.432,36.650
G39,5320,0,140,41.144,38.875,5320,0,140,41.144,38.875,5320,41,255,164.892,50.867
G40,5320,0,58,1.932,7.486,5320,0,58,1.932,7.486,5320,49,255,179.847,58.682
G41,5320,0,195,99.849,68.935,5320,0,195,99.849,68.935,5320,68,255,180.811,49.309
G42,5320,60,224,174.703,26.517,5320,60,224,174.679,26.482,5320,99,252,209.573,24.917
G43,5320,124,255,221.234,23.332,5320,122,242,211.871,22.966,5320,122,247,218.547,21.888
G44,5320,32,255,152.262,56.457,5320,32,227,137.204,55.228,5320,32,227,139.921,55.749
G45,5320,23,255,174.997,53.070,5320,23,247,169.663,49.309,5320,26,255,187.443,54.306
G46,5320,149,255,227.842,29.543,5320,106,244,169.595,29.187,5320,106,246,172.551,32.228
G47,5320,101,255,224.514,25.164,5320,76,250,195.906,45.267,5320,76,255,206.300,50.219
G48,5320,39,213,145.393,36.508,5320,39,213,145.032,36.120,5320,138,255,229.758,16.850
G49,5320,9,163,91.992,30.448,5320,9,163,91.992,30.448,5320,63,247,179.963,42.049
G50,5320,51,159,107.987,18.102,5320,51,159,107.987,18.102,5320,89,245,163.008,31.011
G51,5320,65,239,139.892,45.797,5320,65,239,139.856,45.765,5320,82,252,171.629,51.605
G52,5320,88,250,186.018,34.295,5320,62,245,157.852,45.070,5320,62,251,158.387,45.759
G53,5320,41,255,210.970,52.495,5320,39,145,90.259,20.252,5320,39,176,90.348,20.229
G54,5320,120,255,239.426,24.102,5320,120,242,205.181,30.285,5320,133,242,207.124,28.816
