Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,243.864,10.083,5320,61,188,122.285,26.721,5320,61,188,122.285,26.721
G2,5320,55,255,208.457,49.137,5320,29,166,111.758,22.880,5320,29,166,112.350,23.236
G3,5320,49,255,222.468,46.099,5320,41,170,138.503,22.150,5320,41,170,138.593,21.914
G4,5320,45,254,119.833,45.608,5320,27,185,96.782,28.896,5320,27,213,113.750,36.937
G5,5320,33,255,118.059,50.432,5320,33,188,96.394,34.927,5320,40,213,114.823,37.984
G6,5320,19,255,125.130,65.217,5320,19,222,113.130,52.883,5320,59,255,195.117,49.477
G7,5320,39,223,142.887,42.098,5320,39,223,139.445,39.986,5320,49,255,193.944,38.576
G8,5320,50,255,188.176,57.476,5320,35,180,103.477,30.793,5320,35,180,103.522,30.883
G9,5320,59,251,181.284,45.941,5320,3,202,86.221,50.566,5320,3,202,86.231,50.580
G10,5320,123,255,230.547,34.121,5320,123,230,194.762,22.543,5320,137,230,199.667,17.864
G11,5320,143,255,221.530,24.257,5320,83,242,153.517,32.792,5320,83,242,153.517,32.792
G12,5320,69,255,215.119,34.699,5320,43,156,110.963,24.774,5320,43,156,110.963,24.774
G13,5320,0,188,57.792,50.723,5320,0,163,48.242,38.539,5320,47,255,156.852,66.114
G14,5320,4,235,93.585,62.813,5320,4,230,93.541,62.719,5320,43,255,208.443,49.213
G15,5320,30,253,193.651,45.667,5320,30,242,149.112,49.303,5320,47,247,154.030,48.599
G16,5320,167,255,230.811,20.490,5320,71,169,123.222,17.411,5320,71,169,123.222,17.411
G17,5320,61,247,171.998,45.818,5320,0,157,67.740,40.874,5320,0,157,67.740,40.874
G18,5320,28,185,119.457,34.556,5320,28,185,119.457,34.556,5320,68,249,204.255,36.682
G19,5320,91,255,200.155,40.349,5320,91,254,197.136,38.646,5320,131,255,217.463,30.533
G20,5320,147,255,230.277,19.509,5320,138,251,226.824,21.202,5320,138,255,230.982,22.584
G21,5320,176,255,244.253,13.298,5320,101,253,181.597,38.608,5320,101,255,181.676,38.743
G22,5320,2,239,123.208,69.828,5320,2,132,76.043,39.066,5320,38,243,108.701,39.341
G23,5320,16,255,168.499,67.215,5320,16,246,146.625,60.108,5320,43,249,185.990,45.571
G24,5320,201,255,244.165,11.083,5320,134,250,203.890,23.318,5320,134,250,204.241,23.648
G25,5320,53,255,215.155,44.998,5320,38,191,145.748,29.720,5320,38,191,145.748,29.720
G26,5320,65,246,168.486,39.514,5320,45,159,91.913,21.357,5320,45,159,91.913,21.357
G27,5320,30,193,147.906,37.235,5320,30,193,147.906,37.235,5320,73,255,230.087,40.765
G28,5320,108,255,208.392,26.013,5320,108,252,206.483,24.928,5320,124,255,239.178,22.741
G29,5320,179,255,227.703,22.261,5320,153,252,214.260,28.894,5320,153,255,214.666,29.315
G30,5320,142,255,227.160,24.329,5320,52,254,187.601,53.864,5320,52,255,187.899,54.142
G31,5320,85,255,208.749,42.097,5320,6,121,60.748,24.233,5320,6,121,60.748,24.233
G32,5320,73,255,185.192,49.443,5320,30,203,112.430,46.676,5320,30,203,112.430,46.676
G33,5320,51,255,211.608,48.845,5320,32,207,161.307,41.582,5320,32,207,161.307,41.582
G34,5320,81,255,211.736,44.668,5320,61,190,144.416,27.232,5320,61,190,144.416,27.232
G35,5320,65,255,169.389,51.457,5320,46,198,120.778,37.861,5320,46,198,120.778,37.861
G36,5320,20,206,131.646,54.587,5320,20,206,131.646,54.587,5320,89,255,227.769,34.491
G37,5320,101,255,203.210,39.950,5320,101,248,195.063,32.746,5320,119,255,218.482,26.781
G38,5320,176,255,221.145,25.775,5320,87,219,157.867,26.035,5320,87,219,157.868,26.037
G39,5320,186,255,228.286,19.698,5320,2,218,93.099,54.385,5320,2,219,93.118,54.423
G40,5320,204,255,251.325,7.516,5320,2,68,20.572,13.809,5320,2,68,20.572,13.809
G41,5320,52,255,181.125,49.694,5320,4,109,49.782,25.372,5320,4,109,49.782,25.372
