Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,242.579,9.058,5320,74,212,131.160,27.168,5320,74,212,131.160,27.168
G2,5320,84,255,222.515,38.037,5320,40,174,107.588,21.534,5320,40,174,107.588,21.534
G3,5320,51,255,224.585,44.410,5320,40,172,135.160,25.631,5320,40,172,135.160,25.630
G4,5320,48,255,155.175,51.603,5320,27,189,118.560,34.836,5320,27,189,120.239,34.505
G5,5320,32,255,149.026,52.408,5320,32,219,118.838,45.451,5320,44,229,136.005,48.364
G6,5320,31,255,181.095,56.773,5320,31,247,171.770,51.672,5320,56,255,212.603,38.781
G7,5320,46,254,172.723,43.655,5320,46,254,163.082,43.498,5320,47,255,176.436,46.290
G8,5320,58,255,186.953,56.153,5320,36,169,100.902,29.920,5320,36,169,100.902,29.920
G9,5320,54,255,173.599,43.112,5320,0,185,74.400,46.368,5320,0,185,74.400,46.368
G10,5320,115,255,226.936,38.163,5320,115,252,209.149,32.802,5320,140,255,219.430,22.185
G11,5320,111,255,213.897,29.552,5320,105,249,183.439,35.266,5320,105,255,199.677,41.364
G12,5320,122,255,211.428,31.173,5320,89,242,191.860,23.554,5320,89,255,221.932,31.628
G13,5320,28,221,86.864,39.356,5320,28,217,84.903,37.193,5320,56,232,162.686,46.613
G14,5320,17,248,117.339,54.336,5320,17,241,116.928,53.546,5320,33,251,194.030,39.985
G15,5320,51,255,207.538,34.687,5320,51,250,164.672,46.567,5320,57,251,166.232,47.873
G16,5320,178,255,231.495,20.317,5320,64,205,138.580,24.063,5320,64,205,138.580,24.063
G17,5320,62,255,166.756,43.358,5320,0,170,65.432,42.783,5320,0,170,65.432,42.783
G18,5320,19,172,106.841,33.705,5320,19,172,106.841,33.705,5320,62,250,204.829,39.975
G19,5320,69,239,168.678,32.922,5320,69,239,168.678,32.922,5320,109,255,221.627,31.095
G20,5320,92,232,135.105,25.253,5320,92,232,135.105,25.253,5320,167,255,235.885,18.145
G21,5320,69,177,132.403,24.165,5320,69,177,132.403,24.165,5320,173,255,243.425,14.014
G22,5320,10,134,51.177,30.140,5320,10,134,51.177,30.140,5320,64,255,190.941,34.943
G23,5320,24,255,147.849,61.776,5320,24,245,141.849,57.280,5320,57,248,185.953,47.416
G24,5320,193,255,251.169,8.721,5320,159,245,224.858,14.185,5320,159,245,224.858,14.185
G25,5320,53,255,215.814,45.442,5320,43,242,183.544,44.255,5320,43,242,183.544,44.255
G26,5320,64,249,168.265,38.952,5320,43,174,92.002,23.101,5320,43,174,92.002,23.101
G27,5320,36,172,132.371,29.146,5320,36,172,132.371,29.146,5320,86,255,228.062,34.403
G28,5320,86,204,173.630,18.423,5320,86,204,173.630,18.423,5320,113,255,239.720,23.703
G29,5320,29,193,132.053,27.378,5320,29,193,132.053,27.378,5320,118,255,222.687,32.796
G30,5320,0,125,42.430,44.397,5320,0,125,42.430,44.397,5320,83,255,210.041,46.834
G31,5320,0,214,91.145,53.951,5320,0,214,91.145,53.951,5320,98,255,217.562,30.352
