Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,244.105,8.629,5320,71,198,124.810,25.225,5320,71,198,124.810,25.225
G2,5320,75,255,211.904,49.612,5320,43,165,113.055,23.616,5320,43,165,113.055,23.616
G3,5320,48,255,223.911,44.294,5320,34,179,142.858,27.712,5320,34,179,142.858,27.712
G4,5320,45,224,147.779,43.040,5320,32,221,125.246,51.093,5320,32,238,126.990,53.377
G5,5320,30,242,156.529,56.667,5320,0,242,107.923,76.019,5320,0,255,116.788,82.308
G6,5320,24,239,125.501,57.112,5320,0,198,81.306,52.308,5320,0,255,115.212,71.943
G7,5320,47,235,161.205,36.643,5320,47,235,159.539,35.844,5320,67,255,195.263,39.277
G8,5320,49,255,192.376,53.924,5320,40,186,125.607,36.446,5320,40,189,125.825,36.555
G9,5320,63,255,160.018,40.948,5320,13,170,82.706,39.746,5320,13,170,82.732,39.755
G10,5320,137,255,230.713,31.633,5320,137,233,194.634,19.584,5320,142,233,199.799,17.160
G11,5320,154,255,237.215,16.328,5320,104,239,194.451,28.657,5320,104,239,194.451,28.657
G12,5320,67,255,218.757,36.966,5320,40,228,177.150,39.611,5320,40,228,177.293,39.700
G13,5320,26,245,149.505,55.180,5320,26,245,144.300,51.382,5320,109,255,195.080,25.091
G14,5320,13,205,115.567,41.487,5320,13,205,115.567,41.487,5320,93,255,226.619,33.306
G15,5320,43,250,188.320,39.639,5320,42,246,171.708,43.201,5320,49,255,183.612,51.612
G16,5320,179,255,227.496,20.762,5320,62,234,160.047,31.475,5320,62,234,160.069,31.513
G17,5320,65,252,159.957,44.740,5320,9,188,74.051,40.737,5320,9,188,74.051,40.737
G18,5320,25,197,122.562,36.133,5320,25,197,122.562,36.133,5320,56,250,208.583,38.796
G19,5320,72,255,197.195,42.194,5320,72,251,194.173,40.308,5320,108,255,218.634,31.749
G20,5320,181,255,232.538,19.334,5320,176,251,219.957,18.616,5320,176,254,220.079,18.767
G21,5320,196,255,237.185,15.080,5320,184,254,234.193,15.847,5320,184,255,243.964,16.929
G22,5320,0,240,135.283,73.989,5320,0,240,135.281,73.987,5320,66,255,197.966,53.404
G23,5320,0,152,25.134,35.082,5320,0,152,25.134,35.082,5320,111,255,207.424,28.440
G24,5320,64,250,181.270,34.177,5320,64,250,180.837,33.756,5320,182,255,245.302,14.194
G25,5320,52,255,205.476,41.682,5320,49,253,194.807,41.669,5320,50,255,206.250,45.864
G26,5320,61,246,167.631,37.611,5320,49,193,101.036,25.306,5320,49,193,101.036,25.306
G27,5320,25,198,143.777,38.762,5320,25,198,143.777,38.762,5320,68,255,220.887,42.214
G28,5320,80,255,212.471,25.125,5320,80,253,211.649,24.599,5320,118,255,240.771,22.213
G29,5320,149,255,225.171,22.285,5320,137,251,211.898,25.743,5320,137,254,211.989,25.835
G30,5320,98,251,194.509,32.231,5320,98,250,193.583,31.944,5320,108,255,200.411,28.993
G31,5320,52,224,154.486,40.329,5320,49,214,150.434,41.721,5320,49,248,166.479,48.175
G32,5320,65,255,196.827,46.788,5320,65,244,166.538,42.105,5320,67,255,199.822,47.558
G33,5320,48,255,185.711,37.388,5320,44,235,173.810,37.937,5320,44,250,196.065,49.680
G34,5320,72,255,207.181,50.351,5320,72,229,187.357,36.523,5320,79,241,192.504,34.598
G35,5320,67,255,171.393,51.151,5320,50,213,132.431,43.422,5320,50,213,132.431,43.422
G36,5320,50,221,151.793,39.447,5320,50,221,151.793,39.447,5320,80,255,225.306,33.673
G37,5320,107,255,206.777,38.464,5320,107,250,200.295,33.039,5320,118,255,218.433,29.177
G38,5320,43,255,195.243,48.182,5320,41,245,177.886,40.796,5320,41,245,177.886,40.797
G39,5320,50,253,176.577,44.160,5320,47,229,154.785,38.325,5320,47,229,154.821,38.333
G40,5320,11,255,184.514,57.066,5320,0,232,126.592,62.567,5320,0,232,126.592,62.567
G41,5320,18,255,187.394,63.117,5320,0,219,116.163,61.669,5320,0,219,116.175,61.669
G42,5320,48,255,190.289,39.018,5320,47,209,165.340,27.798,5320,47,209,165.641,27.742
G43,5320,117,255,228.313,21.328,5320,83,204,163.487,21.852,5320,83,204,163.487,21.851
G44,5320,42,255,154.502,55.963,5320,28,220,117.582,49.973,5320,28,220,118.196,50.078
G45,5320,27,255,166.564,52.957,5320,27,228,152.306,41.467,5320,31,255,175.993,50.998
G46,5320,158,255,229.042,28.802,5320,64,239,141.339,43.799,5320,64,240,142.294,44.843
G47,5320,91,255,228.226,34.134,5320,46,212,150.249,42.394,5320,46,212,150.249,42.394
G48,5320,101,255,208.078,34.846,5320,43,204,105.039,41.647,5320,43,204,105.039,41.647
G49,5320,38,246,115.973,43.753,5320,0,76,13.060,21.049,5320,0,76,13.060,21.049
G50,5320,28,255,189.587,54.358,5320,0,184,28.660,50.868,5320,0,184,28.660,50.868
G51,5320,86,255,221.469,31.010,5320,8,162,66.878,29.529,5320,8,162,66.878,29.529
G52,5320,104,255,187.464,37.302,5320,27,140,66.940,30.872,5320,27,140,66.940,30.872
G53,5320,45,255,211.388,51.251,5320,1,101,46.066,21.971,5320,1,125,46.133,22.117
G54,5320,123,255,241.003,20.983,5320,101,226,181.808,33.065,5320,101,226,183.250,32.928
G55,5320,167,255,236.658,23.884,5320,12,141,71.674,22.344,5320,12,141,71.674,22.344
G56,5320,115,255,232.840,26.767,5320,0,82,22.011,24.039,5320,0,82,22.011,24.039
G57,5320,132,255,236.438,18.147,5320,0,86,7.271,16.928,5320,0,86,7.271,16.928
G58,5320,49,250,204.627,30.660,5320,0,43,1.514,5.533,5320,0,43,1.514,5.533
G59,5320,28,255,177.513,59.831,5320,0,83,11.016,19.030,5320,0,83,11.016,19.030
G60,5320,38,216,159.565,44.423,5320,5,96,53.037,23.816,5320,5,96,53.037,23.816
G61,5320,95,245,163.144,30.162,5320,20,132,63.662,26.216,5320,20,132,63.662,26.216
G62,5320,66,255,185.806,56.455,5320,0,97,27.224,22.390,5320,0,97,27.224,22.390
G63,5320,37,255,181.884,49.972,5320,0,242,51.704,42.123,5320,0,248,52.024,43.258
G64,5320,64,255,192.078,57.848,5320,0,46,1.548,5.763,5320,0,46,1.548,5.763
