Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,241.343,10.568,5320,70,210,128.662,27.623,5320,70,210,128.662,27.623
G2,5320,83,255,222.370,36.333,5320,55,172,121.469,18.732,5320,55,172,121.475,18.738
G3,5320,52,255,224.789,41.733,5320,41,180,145.298,23.219,5320,41,180,145.426,22.970
G4,5320,51,255,172.022,49.205,5320,32,232,137.303,45.214,5320,32,232,139.664,44.803
G5,5320,26,255,162.200,54.481,5320,26,233,145.822,46.653,5320,37,244,168.068,48.594
G6,5320,22,255,149.668,57.871,5320,22,231,144.681,52.402,5320,46,255,199.405,52.745
G7,5320,72,240,178.839,31.402,5320,64,239,173.488,32.043,5320,64,255,190.383,39.185
G8,5320,44,255,189.453,54.965,5320,32,175,112.121,32.086,5320,32,175,112.121,32.086
G9,5320,58,251,167.975,41.028,5320,0,179,77.881,40.357,5320,0,179,77.881,40.357
G10,5320,132,255,226.983,37.565,5320,132,250,205.424,30.771,5320,144,254,214.832,21.931
G11,5320,158,255,227.082,21.078,5320,103,248,192.869,31.198,5320,103,255,200.056,35.323
G12,5320,106,255,223.285,28.748,5320,77,248,195.020,29.817,5320,77,255,206.781,37.094
G13,5320,2,188,109.673,43.665,5320,2,188,107.578,43.616,5320,54,237,161.537,49.202
G14,5320,0,206,96.830,43.975,5320,0,204,96.764,43.834,5320,56,255,207.840,52.309
G15,5320,45,228,176.241,32.641,5320,44,223,154.363,37.698,5320,46,255,168.475,49.125
G16,5320,176,255,228.438,21.585,5320,90,250,153.140,30.826,5320,90,252,153.467,31.484
G17,5320,64,252,158.738,46.421,5320,0,190,73.226,43.487,5320,0,190,73.226,43.487
G18,5320,22,188,109.220,34.461,5320,22,188,109.220,34.461,5320,67,251,206.939,39.318
G19,5320,60,249,174.178,36.779,5320,60,248,174.109,36.676,5320,106,255,221.458,32.201
G20,5320,138,242,177.088,18.806,5320,138,241,177.073,18.764,5320,204,255,244.622,11.891
G21,5320,98,206,151.303,24.375,5320,98,206,151.303,24.375,5320,226,255,249.994,6.472
G22,5320,0,163,69.327,47.851,5320,0,163,69.327,47.851,5320,49,255,180.603,58.941
G23,5320,0,81,2.609,8.174,5320,0,81,2.609,8.174,5320,58,255,196.076,48.682
G24,5320,6,222,114.996,52.568,5320,6,221,114.876,52.386,5320,196,255,244.011,14.373
G25,5320,48,255,189.216,44.253,5320,48,253,182.301,41.786,5320,49,255,210.471,45.748
G26,5320,64,247,168.040,38.723,5320,52,198,102.886,26.241,5320,52,198,102.886,26.241
G27,5320,22,166,124.969,31.317,5320,22,166,124.969,31.317,5320,70,255,224.893,40.443
G28,5320,69,212,176.201,19.640,5320,69,212,176.201,19.640,5320,115,255,240.361,22.525
G29,5320,52,207,155.320,24.979,5320,52,207,155.320,24.979,5320,115,255,225.359,32.569
G30,5320,50,182,105.763,20.655,5320,50,182,105.763,20.655,5320,104,255,227.358,33.124
G31,5320,73,201,160.061,28.407,5320,73,201,160.061,28.407,5320,127,255,234.423,22.150
G32,5320,0,255,109.394,59.191,5320,0,199,82.666,56.255,5320,0,255,136.102,64.509
G33,5320,47,255,154.879,44.077,5320,0,222,122.748,55.860,5320,0,255,186.089,81.139
G34,5320,56,255,197.083,57.750,5320,56,246,186.099,49.012,5320,76,246,201.149,37.648
G35,5320,68,255,168.160,50.955,5320,53,225,132.543,46.712,5320,53,225,132.543,46.712
G36,5320,42,190,122.280,44.199,5320,42,190,122.280,44.199,5320,114,255,226.005,29.321
G37,5320,87,252,185.931,43.220,5320,87,244,183.796,41.117,5320,117,255,223.505,29.847
G38,5320,36,255,149.725,69.545,5320,36,247,141.239,63.314,5320,49,255,164.707,55.305
G39,5320,26,225,139.290,43.322,5320,26,225,139.274,43.327,5320,33,255,209.206,44.258
G40,5320,27,201,131.503,43.164,5320,27,201,131.495,43.159,5320,38,255,177.449,65.141
G41,5320,15,255,148.870,65.569,5320,0,253,133.857,70.791,5320,0,255,148.270,76.181
G42,5320,24,255,167.226,56.430,5320,0,250,150.972,49.925,5320,0,254,159.774,48.616
G43,5320,108,255,225.873,24.539,5320,86,223,174.389,25.379,5320,86,228,175.123,25.544
G44,5320,50,255,154.941,54.927,5320,36,218,123.027,49.951,5320,36,218,123.964,50.197
G45,5320,12,255,155.034,59.369,5320,12,251,151.930,56.294,5320,17,255,184.449,53.924
G46,5320,121,255,229.711,27.691,5320,109,246,184.859,24.090,5320,109,250,188.685,26.022
G47,5320,165,255,247.622,9.928,5320,1,181,118.008,40.717,5320,1,181,118.616,41.290
G48,5320,37,255,192.225,47.718,5320,0,214,122.753,59.977,5320,0,214,124.363,60.107
