Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,224,255,244.222,7.982,5320,55,178,95.419,22.290,5320,55,178,95.419,22.290
G2,5320,77,255,216.841,47.214,5320,26,119,75.205,17.056,5320,26,119,75.205,17.056
G3,5320,53,255,224.538,47.916,5320,31,158,116.559,27.534,5320,31,158,116.559,27.534
G4,5320,49,185,137.999,32.082,5320,19,176,91.109,42.438,5320,19,178,92.785,44.571
G5,5320,0,213,70.878,58.912,5320,0,191,61.998,51.337,5320,28,255,121.890,53.457
G6,5320,0,186,29.602,50.253,5320,0,186,29.602,50.253,5320,45,255,193.319,57.378
G7,5320,0,216,68.231,50.643,5320,0,193,67.964,50.062,5320,56,255,190.314,44.161
G8,5320,55,255,188.144,53.881,5320,39,193,126.706,38.148,5320,39,200,128.270,39.865
G9,5320,56,255,171.658,41.984,5320,0,185,72.680,43.027,5320,0,185,72.688,43.036
G10,5320,127,255,231.282,31.369,5320,115,212,170.619,20.856,5320,115,239,175.355,24.231
G11,5320,162,255,223.182,22.873,5320,11,175,105.379,35.498,5320,11,175,105.379,35.498
G12,5320,127,255,223.026,29.692,5320,0,81,33.576,29.163,5320,0,81,33.576,29.163
G13,5320,145,255,227.150,27.762,5320,0,233,75.425,71.767,5320,0,239,75.949,72.807
G14,5320,55,254,153.558,50.833,5320,42,228,143.378,47.369,5320,42,247,162.712,54.437
G15,5320,0,228,161.927,52.855,5320,0,226,151.593,52.609,5320,51,244,165.535,50.364
G16,5320,166,255,229.218,20.384,5320,78,234,152.463,31.863,5320,78,247,152.756,32.586
G17,5320,61,255,159.953,45.803,5320,0,182,66.949,43.726,5320,0,182,66.949,43.726
G18,5320,26,192,127.612,38.759,5320,26,192,127.612,38.759,5320,62,248,205.891,40.840
G19,5320,101,255,206.536,41.625,5320,101,250,183.718,30.844,5320,120,252,199.561,29.668
G20,5320,176,255,237.460,18.822,5320,31,177,113.778,23.292,5320,31,177,113.778,23.292
G21,5320,74,255,216.726,33.208,5320,0,87,27.976,27.466,5320,0,87,27.976,27.466
G22,5320,150,255,221.398,30.906,5320,0,126,54.869,35.046,5320,0,126,54.869,35.046
G23,5320,59,255,220.080,46.251,5320,40,234,165.908,44.807,5320,40,234,166.095,44.755
G24,5320,50,225,134.895,47.048,5320,50,220,134.667,47.225,5320,52,255,176.952,68.720
G25,5320,49,255,200.925,41.369,5320,44,241,187.817,40.838,5320,44,255,200.647,47.721
G26,5320,66,245,167.230,38.176,5320,49,186,97.975,24.365,5320,49,186,97.975,24.365
G27,5320,32,202,154.309,33.936,5320,32,202,154.309,33.936,5320,71,255,227.245,36.281
G28,5320,110,255,218.734,27.371,5320,109,250,203.024,25.717,5320,115,255,224.774,33.253
G29,5320,93,255,221.537,33.299,5320,41,174,97.748,24.080,5320,41,174,97.748,24.080
G30,5320,98,255,216.830,38.551,5320,30,124,87.355,16.545,5320,30,124,87.355,16.545
G31,5320,119,255,244.750,15.537,5320,56,147,103.016,18.229,5320,56,147,103.016,18.229
G32,5320,108,255,228.336,27.904,5320,71,214,126.840,26.296,5320,71,214,126.840,26.296
G33,5320,48,227,167.793,49.454,5320,44,227,156.146,50.086,5320,44,248,161.787,55.526
G34,5320,68,255,207.134,47.312,5320,68,216,177.907,31.033,5320,68,229,179.625,31.442
G35,5320,67,255,171.616,52.705,5320,51,205,128.671,42.322,5320,51,205,128.671,42.322
G36,5320,11,216,123.459,66.447,5320,11,216,123.459,66.447,5320,108,255,227.234,30.218
G37,5320,109,255,209.702,36.427,5320,109,249,197.988,28.286,5320,116,255,215.811,27.883
