Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,226,255,244.717,7.258,5320,69,183,110.841,20.821,5320,69,183,110.841,20.821
G2,5320,90,255,219.413,39.331,5320,29,135,85.557,19.064,5320,29,135,85.557,19.064
G3,5320,53,255,223.691,47.575,5320,27,167,124.701,30.170,5320,27,167,124.701,30.170
G4,5320,47,255,148.170,46.378,5320,21,172,90.533,33.924,5320,21,172,90.533,33.924
G5,5320,43,255,175.970,57.439,5320,28,234,125.451,53.083,5320,28,255,130.787,58.819
G6,5320,29,255,147.898,64.397,5320,29,243,145.551,61.509,5320,45,255,195.372,66.665
G7,5320,69,244,172.985,36.148,5320,62,244,168.846,35.334,5320,62,255,190.730,38.889
G8,5320,62,255,188.505,53.593,5320,40,171,118.518,34.366,5320,40,172,118.520,34.368
G9,5320,56,254,169.728,41.177,5320,2,192,79.009,42.029,5320,2,192,79.009,42.029
G10,5320,139,255,232.952,28.159,5320,136,210,175.140,14.974,5320,136,221,177.706,17.369
G11,5320,167,255,225.929,23.662,5320,89,201,159.577,30.480,5320,89,201,159.577,30.480
G12,5320,186,255,241.006,13.179,5320,93,224,188.864,22.273,5320,93,226,189.285,22.730
G13,5320,0,237,103.421,83.840,5320,0,235,99.757,79.168,5320,102,255,188.401,29.309
G14,5320,0,147,53.297,40.844,5320,0,147,53.297,40.844,5320,62,255,230.722,38.654
G15,5320,47,234,168.703,33.182,5320,47,220,154.926,31.612,5320,56,255,179.460,47.094
G16,5320,170,255,230.520,19.738,5320,91,241,164.601,26.902,5320,91,242,164.712,27.146
G17,5320,61,255,158.320,47.880,5320,2,197,74.314,45.344,5320,2,197,74.314,45.344
G18,5320,33,216,142.711,40.041,5320,33,216,142.706,40.035,5320,65,254,202.592,39.459
G19,5320,106,255,212.919,36.391,5320,106,244,190.961,26.777,5320,128,246,199.085,25.550
G20,5320,191,255,241.037,15.032,5320,137,201,173.623,13.231,5320,137,201,173.623,13.231
G21,5320,145,255,231.694,29.782,5320,123,235,189.963,29.153,5320,123,247,190.897,30.352
G22,5320,0,239,109.081,80.499,5320,0,231,108.190,79.661,5320,52,249,163.417,50.890
G23,5320,0,221,25.297,49.362,5320,0,221,25.297,49.362,5320,49,255,217.350,42.220
G24,5320,31,216,117.307,43.352,5320,31,216,117.214,43.188,5320,193,255,251.075,9.242
G25,5320,48,255,190.492,44.287,5320,48,249,184.286,41.915,5320,50,255,212.968,43.084
G26,5320,64,247,167.576,38.395,5320,51,203,104.437,26.916,5320,51,203,104.437,26.916
G27,5320,44,255,190.378,46.672,5320,44,250,189.625,45.748,5320,80,255,227.416,33.826
G28,5320,147,255,240.215,22.626,5320,105,252,201.598,34.102,5320,105,255,203.982,35.112
G29,5320,127,255,226.675,28.864,5320,0,180,80.734,51.510,5320,0,180,80.734,51.510
G30,5320,53,255,202.123,35.818,5320,0,223,96.090,57.114,5320,0,223,96.090,57.114
G31,5320,50,247,194.039,51.505,5320,45,247,189.932,52.452,5320,45,255,194.364,55.393
G32,5320,0,247,152.398,75.081,5320,0,247,151.907,74.998,5320,51,255,201.730,52.861
G33,5320,16,148,104.885,26.261,5320,16,148,104.885,26.261,5320,36,255,220.449,41.154
G34,5320,52,255,188.787,64.458,5320,52,239,172.580,51.372,5320,74,246,194.296,35.042
G35,5320,66,255,169.295,50.839,5320,51,214,131.479,43.398,5320,51,214,131.479,43.398
G36,5320,52,255,212.502,30.259,5320,45,246,204.186,29.271,5320,45,255,219.877,33.406
G37,5320,149,255,225.230,29.832,5320,0,238,153.545,44.979,5320,0,238,153.545,44.979
G38,5320,138,255,219.271,28.925,5320,0,135,28.092,38.825,5320,0,135,28.092,38.825
G39,5320,42,255,210.611,45.443,5320,0,207,70.478,74.140,5320,0,207,70.478,74.140
G40,5320,62,255,234.534,34.189,5320,55,211,176.228,21.651,5320,55,211,176.228,21.651
G41,5320,87,237,172.985,34.682,5320,47,185,109.618,28.592,5320,47,185,109.877,29.107
G42,5320,38,255,202.173,51.370,5320,38,188,130.808,35.571,5320,51,189,133.482,33.907
G43,5320,101,255,225.839,24.423,5320,63,203,144.026,27.642,5320,63,204,144.384,27.800
G44,5320,43,255,152.109,54.829,5320,25,216,113.403,48.994,5320,25,216,113.841,49.163
G45,5320,14,255,180.658,49.836,5320,0,241,140.447,53.800,5320,0,255,142.327,56.517
G46,5320,173,255,233.512,22.853,5320,0,155,48.453,50.127,5320,0,155,48.453,50.127
G47,5320,205,255,247.327,10.269,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G48,5320,102,255,243.126,17.506,5320,0,162,7.161,25.394,5320,0,162,7.161,25.394
G49,5320,97,255,215.883,38.278,5320,7,162,58.409,29.346,5320,7,162,58.409,29.346
G50,5320,111,255,213.963,29.344,5320,12,111,43.667,15.900,5320,12,111,43.667,15.900
G51,5320,94,255,232.070,27.664,5320,0,93,23.497,20.300,5320,0,93,23.497,20.300
G52,5320,100,255,184.002,39.373,5320,2,98,36.968,22.585,5320,2,98,36.968,22.585
G53,5320,41,255,212.181,55.137,5320,0,137,39.792,21.210,5320,0,145,39.825,21.244
G54,5320,147,255,237.415,21.695,5320,89,237,189.543,30.588,5320,89,237,191.449,30.415
G55,5320,40,255,211.187,42.447,5320,0,165,67.240,54.577,5320,0,165,67.240,54.577
G56,5320,42,255,171.492,63.878,5320,0,98,4.635,13.841,5320,0,98,4.635,13.841
G57,5320,85,255,228.726,36.463,5320,0,101,2.578,10.262,5320,0,101,2.578,10.262
G58,5320,179,255,243.200,15.965,5320,7,179,108.652,48.148,5320,7,179,108.652,48.148
G59,5320,43,255,200.536,47.803,5320,11,177,81.352,44.797,5320,11,177,81.352,44.797
G60,5320,38,249,177.354,49.319,5320,0,113,59.724,37.644,5320,0,113,59.724,37.644
G61,5320,92,238,166.886,30.526,5320,6,141,62.077,28.838,5320,6,141,62.077,28.838
G62,5320,41,255,184.248,56.287,5320,0,190,28.323,26.303,5320,0,251,28.463,27.035
G63,5320,33,255,215.492,42.888,5320,21,241,112.731,26.051,5320,21,245,112.914,26.610
G64,5320,83,255,202.102,38.335,5320,0,227,125.211,56.768,5320,0,227,125.211,56.768
G65,5320,84,255,186.250,39.053,5320,0,227,109.215,55.632,5320,0,227,109.217,55.634
G66,5320,192,255,234.452,18.746,5320,116,183,145.150,16.713,5320,116,183,145.150,16.713
G67,5320,89,255,212.966,37.590,5320,66,232,154.640,36.251,5320,66,232,154.641,36.250
G68,5320,141,255,223.352,20.660,5320,73,223,145.436,33.299,5320,73,223,145.436,33.299
G69,5320,138,255,245.070,15.102,5320,71,158,124.770,11.308,5320,71,158,124.770,11.308
G70,5320,29,255,189.413,53.700,5320,29,178,119.146,30.360,5320,37,241,122.268,33.189
G71,5320,129,255,228.462,26.966,5320,110,237,151.119,21.336,5320,110,244,152.970,24.425
G72,5320,126,255,236.593,23.894,5320,102,249,190.166,34.524,5320,102,255,192.398,37.535
G73,5320,100,255,209.654,28.204,5320,100,252,205.637,29.657,5320,111,255,222.914,35.587
G74,5320,62,255,177.512,53.520,5320,48,244,117.794,31.894,5320,48,245,120.546,34.696
G75,5320,95,255,187.038,28.720,5320,63,228,170.671,41.259,5320,63,244,181.503,48.249
G76,5320,98,255,201.800,40.465,5320,98,241,182.483,30.493,5320,120,252,190.296,28.795
G77,5320,56,255,212.922,38.419,5320,51,227,153.801,29.772,5320,51,234,153.875,29.923
G78,5320,24,239,154.082,51.100,5320,24,238,154.038,51.043,5320,40,255,202.481,58.836
G79,5320,131,254,185.386,30.608,5320,131,250,182.955,28.240,5320,169,255,237.331,21.432
G80,5320,80,216,146.360,23.380,5320,80,216,146.360,23.380,5320,142,255,228.056,29.613
G81,5320,47,194,143.049,30.408,5320,47,194,143.049,30.408,5320,125,255,233.073,26.989
G82,5320,24,184,99.918,52.892,5320,24,184,99.918,52.892,5320,154,255,230.712,22.192
G83,5320,1,234,66.293,45.659,5320,1,230,66.250,45.509,5320,88,255,221.386,34.347
G84,5320,31,252,170.077,34.655,5320,25,223,148.724,33.068,5320,25,253,169.567,46.231
G85,5320,110,179,147.545,15.100,5320,110,179,147.545,15.100,5320,147,255,210.309,23.456
G86,5320,68,160,124.728,21.546,5320,68,160,124.728,21.546,5320,111,250,195.365,30.465
G87,5320,106,183,150.558,16.764,5320,106,183,150.558,16.764,5320,161,255,226.219,22.242
G88,5320,54,189,150.132,26.380,5320,54,189,150.132,26.380,5320,137,255,237.182,17.720
G89,5320,52,179,106.967,33.267,5320,52,179,106.967,33.267,5320,142,255,248.865,13.275
G90,5320,11,154,84.468,43.740,5320,11,154,84.468,43.740,5320,43,255,169.128,55.565
G91,5320,28,255,120.087,56.996,5320,26,255,116.489,52.103,5320,26,255,138.022,51.470
G92,5320,34,227,150.389,53.921,5320,22,137,86.140,28.490,5320,22,137,86.140,28.490
G93,5320,84,255,217.168,34.481,5320,42,187,120.483,30.745,5320,42,187,120.483,30.745
G94,5320,133,255,216.372,23.431,5320,133,241,201.247,19.055,5320,143,255,220.889,24.457
G95,5320,65,255,185.762,57.574,5320,65,252,175.538,60.479,5320,74,255,180.521,62.746
G96,5320,125,247,175.873,24.262,5320,120,231,174.866,23.518,5320,120,255,235.008,22.856
G97,5320,20,255,168.543,59.134,5320,20,248,152.805,59.149,5320,30,255,200.668,53.764
G98,5320,24,255,169.101,56.185,5320,24,220,139.771,39.267,5320,39,255,171.545,49.650
G99,5320,26,254,132.032,31.832,5320,26,206,131.204,31.026,5320,34,255,206.727,45.926
G100,5320,32,253,173.513,37.611,5320,32,248,172.440,36.792,5320,49,255,216.709,34.487
