Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,195,255,244.035,10.359,5320,72,224,146.389,33.263,5320,72,224,146.389,33.263
G2,5320,63,255,206.236,55.066,5320,38,198,120.370,28.957,5320,38,198,120.370,28.957
G3,5320,46,255,225.785,44.472,5320,37,182,150.402,27.491,5320,37,182,150.402,27.491
G4,5320,45,246,147.558,36.767,5320,27,191,132.244,35.463,5320,27,221,142.638,41.236
G5,5320,49,255,133.051,53.642,5320,48,192,113.943,37.148,5320,51,222,131.499,39.674
G6,5320,39,255,176.003,58.879,5320,39,246,168.740,53.998,5320,52,255,191.744,50.131
G7,5320,77,253,188.745,33.806,5320,69,246,181.003,33.632,5320,69,252,187.073,35.913
G8,5320,52,255,196.541,52.081,5320,37,187,130.387,36.054,5320,37,187,130.387,36.054
G9,5320,57,255,176.698,43.639,5320,0,194,84.495,43.243,5320,0,194,84.495,43.243
G10,5320,103,255,209.742,44.395,5320,103,249,203.622,40.440,5320,142,255,229.422,23.830
G11,5320,104,255,186.498,40.376,5320,88,250,173.207,38.617,5320,88,255,209.390,42.466
G12,5320,49,255,188.431,45.569,5320,48,251,178.217,37.282,5320,48,255,216.258,37.787
G13,5320,5,179,100.307,34.608,5320,5,179,100.265,34.635,5320,53,245,180.302,58.166
G14,5320,0,149,49.798,35.537,5320,0,149,49.798,35.537,5320,39,255,174.962,59.636
G15,5320,0,218,140.952,34.557,5320,0,185,133.603,30.835,5320,49,255,175.941,45.918
G16,5320,134,255,214.547,27.197,5320,111,235,172.870,18.706,5320,111,255,181.167,27.925
G17,5320,56,240,165.256,43.151,5320,0,222,86.200,54.456,5320,0,227,86.210,54.480
G18,5320,17,159,87.595,31.662,5320,17,159,87.595,31.662,5320,56,252,203.346,34.567
G19,5320,69,200,133.948,26.509,5320,69,200,133.948,26.509,5320,140,255,220.566,32.231
G20,5320,15,183,67.753,33.877,5320,15,183,67.753,33.877,5320,156,255,236.894,16.417
G21,5320,39,149,89.969,28.406,5320,39,149,89.969,28.406,5320,209,255,246.139,9.396
G22,5320,0,170,67.715,23.907,5320,0,170,67.715,23.907,5320,32,255,213.118,39.129
G23,5320,0,177,16.921,40.506,5320,0,177,16.921,40.506,5320,4,255,207.311,54.172
G24,5320,0,150,31.196,41.635,5320,0,150,31.196,41.635,5320,182,255,246.649,12.990
G25,5320,30,241,131.634,49.827,5320,30,235,130.973,48.810,5320,48,255,217.560,43.389
G26,5320,64,237,168.093,38.339,5320,63,226,126.983,31.115,5320,63,233,127.339,31.769
G27,5320,13,144,109.376,28.744,5320,13,144,109.376,28.744,5320,65,255,229.312,39.240
G28,5320,83,155,133.502,10.787,5320,83,155,133.502,10.787,5320,135,255,241.007,20.565
G29,5320,0,129,58.262,33.720,5320,0,129,58.262,33.720,5320,134,255,234.914,29.662
G30,5320,0,62,14.244,20.442,5320,0,62,14.244,20.442,5320,147,255,237.710,20.474
G31,5320,0,181,61.764,51.658,5320,0,181,61.764,51.658,5320,182,255,233.728,21.347
G32,5320,0,191,69.723,65.471,5320,0,191,69.723,65.471,5320,38,255,195.570,57.429
G33,5320,0,54,14.889,15.227,5320,0,54,14.889,15.227,5320,78,255,217.301,38.581
G34,5320,26,255,146.292,76.217,5320,26,249,145.998,75.830,5320,73,255,210.966,44.003
G35,5320,64,255,164.863,50.613,5320,61,253,154.791,52.838,5320,61,254,157.008,54.415
G36,5320,92,255,188.880,40.755,5320,92,250,181.416,33.912,5320,103,255,221.055,34.264
G37,5320,77,198,154.331,29.179,5320,77,198,154.331,29.179,5320,134,255,227.524,29.426
G38,5320,0,232,115.867,79.088,5320,0,232,115.866,79.087,5320,59,255,204.590,50.287
G39,5320,0,213,83.526,78.785,5320,0,213,83.526,78.785,5320,31,255,181.878,53.811
G40,5320,0,155,63.511,43.163,5320,0,155,63.511,43.163,5320,33,255,157.663,58.051
G41,5320,0,176,91.933,37.120,5320,0,176,91.933,37.120,5320,48,255,189.325,50.216
G42,5320,0,232,128.040,49.579,5320,0,221,127.817,49.194,5320,46,255,186.556,46.693
G43,5320,60,255,212.562,34.140,5320,60,252,206.462,33.395,5320,105,254,219.686,27.393
G44,5320,31,255,143.803,55.870,5320,31,241,134.388,55.264,5320,36,241,142.062,57.772
G45,5320,23,255,173.432,56.206,5320,22,252,169.232,52.176,5320,22,255,187.466,51.300
G46,5320,124,233,198.967,22.998,5320,124,233,198.967,22.998,5320,163,255,236.405,20.633
G47,5320,72,255,240.197,12.984,5320,72,252,231.903,13.457,5320,83,255,243.278,15.644
G48,5320,67,255,199.796,40.285,5320,67,252,193.477,35.762,5320,79,255,204.021,35.562
G49,5320,49,233,135.991,51.820,5320,49,233,135.966,51.791,5320,61,248,165.017,45.009
G50,5320,0,163,61.971,49.672,5320,0,163,61.971,49.672,5320,64,255,186.073,50.190
G51,5320,13,255,153.069,63.395,5320,13,249,150.930,61.386,5320,89,255,223.206,30.051
G52,5320,101,252,182.918,36.446,5320,62,237,131.803,49.680,5320,62,237,131.814,49.698
G53,5320,26,255,212.516,55.883,5320,9,116,70.918,25.205,5320,9,186,71.193,25.600
G54,5320,121,251,218.899,24.397,5320,121,246,218.560,24.306,5320,160,255,236.739,16.240
G55,5320,41,255,209.383,42.868,5320,39,253,205.705,42.780,5320,39,254,218.668,45.448
G56,5320,39,255,166.500,64.928,5320,37,242,137.945,59.669,5320,37,252,139.405,61.554
G57,5320,89,252,197.389,23.121,5320,78,230,163.520,27.917,5320,78,247,166.823,31.469
G58,5320,96,244,202.463,28.244,5320,96,244,201.752,28.060,5320,102,255,228.606,26.460
G59,5320,2,209,102.232,63.018,5320,2,209,101.960,62.923,5320,54,255,148.411,53.561
G60,5320,22,224,144.062,58.073,5320,22,169,118.776,39.821,5320,40,214,137.802,34.173
G61,5320,75,255,163.107,45.909,5320,22,195,106.867,41.986,5320,22,195,106.867,41.986
G62,5320,46,255,183.134,61.309,5320,0,151,42.561,32.603,5320,0,255,43.498,35.840
G63,5320,31,255,212.842,44.934,5320,28,251,196.679,40.659,5320,28,253,198.821,39.164
G64,5320,89,255,178.092,42.856,5320,69,249,170.822,44.627,5320,69,255,189.770,49.647
G65,5320,23,230,108.649,51.527,5320,23,222,105.097,47.918,5320,87,255,199.249,37.702
G66,5320,1,178,32.839,34.497,5320,1,178,32.839,34.497,5320,113,255,227.588,25.629
G67,5320,0,238,100.254,87.718,5320,0,238,100.140,87.607,5320,67,255,219.834,36.780
G68,5320,163,255,231.049,25.641,5320,135,246,197.620,34.033,5320,135,255,200.148,36.899
G69,5320,170,255,244.185,15.799,5320,112,198,150.594,18.212,5320,112,198,150.594,18.212
G70,5320,12,255,183.612,61.033,5320,12,194,127.566,37.526,5320,38,242,136.571,32.789
G71,5320,106,255,188.183,36.415,5320,106,230,181.303,29.484,5320,152,254,212.581,21.058
G72,5320,82,214,168.340,31.631,5320,82,214,168.340,31.631,5320,121,255,233.271,26.971
G73,5320,14,130,68.641,31.078,5320,14,130,68.641,31.078,5320,126,255,225.429,30.284
G74,5320,3,59,27.478,13.119,5320,3,59,27.478,13.119,5320,61,255,192.914,51.510
G75,5320,0,192,27.310,25.262,5320,0,192,27.310,25.262,5320,62,246,196.209,40.778
G76,5320,33,255,162.700,75.443,5320,33,241,157.865,70.488,5320,103,255,211.899,33.226
G77,5320,64,255,211.962,39.379,5320,61,220,175.685,33.941,5320,61,236,177.414,34.950
G78,5320,1,163,78.328,32.700,5320,1,163,78.328,32.700,5320,6,255,197.707,64.842
G79,5320,39,173,102.499,28.535,5320,39,173,102.499,28.535,5320,127,255,232.928,28.249
G80,5320,30,134,105.199,22.132,5320,30,134,105.199,22.132,5320,138,255,241.194,25.977
G81,5320,17,126,61.731,22.284,5320,17,126,61.731,22.284,5320,138,255,227.949,33.571
G82,5320,0,59,31.018,15.930,5320,0,59,31.018,15.930,5320,157,255,235.813,26.072
G83,5320,0,202,25.373,42.307,5320,0,202,25.373,42.307,5320,89,255,225.037,35.645
G84,5320,7,240,162.341,40.078,5320,7,209,149.447,31.749,5320,29,253,179.377,38.120
G85,5320,72,150,110.623,19.722,5320,72,150,110.623,19.722,5320,144,255,208.605,24.014
G86,5320,45,129,92.374,15.697,5320,45,129,92.374,15.697,5320,102,250,203.314,28.305
G87,5320,81,155,119.676,13.479,5320,81,155,119.676,13.479,5320,173,255,240.272,16.473
G88,5320,61,171,129.160,15.739,5320,61,171,129.160,15.739,5320,173,255,237.835,22.499
